,CUI1,CUI2
0,Symptomatic carotid artery stenosis,carotid artery thrombosis with cerebral infarction
1,Blindness of one eye (disorder),indocyanine green videoangiography: hypofluorescent of right eye
2,Bone Marrow Diseases,Dental Diseases
3,pink and silvery appearance of wound bed of face,pink and silvery appearance of wound bed of right mid paraspinal region
4,pink and red appearance of wound bed of left mid paraspinal region,pink and red appearance of wound bed of left upper paraspinal region
5,underdosing of anti-infectives,underdosing of anesthetics
6,Neuritis of left optic nerve,tactile hyperesthesia of left deep peroneal nerve
7,incision of right hip with arterial bleeding,incision of right mid back with arterial bleeding
8,"Deprecated Alcohol-substance abuse rehabilitation treatment plan, Agency that will follow up Identifier","Deprecated Alcohol-substance abuse rehabilitation treatment plan, Author ID Identifier"
9,cardiac catheterization pressure pulmonary artery wedge end diastolic,cardiac catheterization pressure pulmonary artery wedge mean diastolic
10,atherosclerosis of nonbiological bypass graft of extremities with intermittent claudication,atherosclerosis of bypass graft of extremities with intermittent claudication
11,Late effect of traumatic amputation,Late effect of complications of trauma
12,"Pregnancy, Cornual","Pregnancy, Prolonged"
13,puncture of left side of neck consistent with entry wound of specified shrapnel fragment (#___),puncture of left wrist consistent with entry wound of specified shrapnel fragment (#___)
14,Gauzes,Parotid tumour malignant stage IV
15,Febrile proteinuria,gestational edema with proteinuria complicating puerperium
16,Behavioral &or mental health screen assessment:Cmplx:Pt:Behavior:Set:CPHS,Behavioral &or mental health screen follow-up status:Type:Pt:Behavior:Nom:CPHS
17,"Follow-up (referred to) provider &or specialist, address:Addr:Pt:Clinical referral:Nom:CPHS","Follow-up (referred to) provider &or specialist, state location indicator:Type:Pt:Clinical referral:Nom:CPHS"
18,Polyarthritis,Polyarthritis associated with another disorder
19,postvaccination pyrexia,magnetic resonance imaging of thoracic spine: peritendinous mass of T8 vertebra associated with bone destruction
20,mammogram previous mass #3 of superior medial quadrant of right breast with unchanged spicules,mammogram previous mass #2 of superior medial quadrant of right breast with unchanged spicules
21,cyclothymic disorder with anxious distress,"persistent depressive disorder (dysthymia) with anxious distress, moderate"
22,ulcer of back tissue base granulation,ulcer of right wrist tissue base granulation
23,Struck by sports foot wear,reported cut of foot by knife
24,incision of posterior neck with tube drainage,incision of left side of neck with tube drainage
25,Postgastrectomy Syndromes,Sleep Apnea Syndromes
26,atherosclerosis of other type of bypass graft of right leg with ulceration of other part of foot,atherosclerosis of nonbiological bypass graft of right leg with ulceration of other part of foot
27,chronic total atherosclerotic occlusion of artery of extremities with gangrene,occlusion and stenosis of precerebral artery with cerebral infarction
28,Glaucoma associated with anterior segment anomaly,Glaucoma of left eye due to anterior segment anomaly
29,pediatric pre-birth visit for expectant mother,visit for: exam following combined treatment for malignant neoplasm
30,puncture of back of head with surrounding tenderness,puncture of right upper back with surrounding tenderness
31,wound of sternum with aligned margins,wound of left hand with aligned margins
32,artificial skin of finger of right hand,artificial skin of middle finger of right hand
33,"Deprecated Psychiatric rehabilitation treatment plan, Medication name Identifier","Deprecated Psychiatric rehabilitation treatment plan, Medication route Identifier"
34,weakness in limb causing difficulty climbing stairs,weakness in limb when falling asleep
35,allergy testing casein induration,allergy testing aniseed induration
36,serosanguineous exudate of pharynx,tenacious white exudate of pharynx
37,presence of artificial knee joint,presence of artificial wrist joint (physical finding)
38,Development of sexuality,magnetic resonance imaging of thoracic spine: peritendinous mass of T8 vertebra associated with bone destruction
39,weeping incision of left temporomandibular joint,incision of left temporomandibular joint with sterile strips in place
40,soft tissue swelling of right index finger black and blue discoloration,soft tissue swelling of right ring finger with black and blue discoloration
41,post-delivery exam episiotomy incision weeping bloody,weeping incision of right side of neck
42,milestone: able to tie a knot,milestone: pulls self to a standing position
43,Acquired deformity of pierced ear lobe,bronchoscopy grey secretions of right lower lobe superior segmental bronchus
44,ulcer of areola with atrophic unbroken skin,ulcer of left buttock with atrophic unbroken skin
45,Biliuria,x-ray of forearm: sclerotic lesion with soft tissue mass of inferior aspect
