,CUI1,CUI2
0,Neoplastic Glandular Cell,Endometrial Endometrioid Adenocarcinoma with Spindled Epithelial Cells
1,Neoplastic Medium-Sized B-Lymphocyte with Basophilic Cytoplasm,Immunodeficiency-associated Burkitt's lymphoma
2,Primitive Malignant Skeletal Muscle Cell,embryonal rhabdomyosarcoma of orbit
3,Abnormal Lymphocyte cell,Stage IV Diffuse Large B-Cell Lymphoma
4,Neoplastic Cell,Adult Erythroleukemia
5,Neoplastic Mesothelial Cell,Pericardial Adenomatoid Tumor
6,"Tumor cells, malignant",Cutaneous Precursor Lymphoid Neoplasm
7,Neoplastic Glandular Cell,"Adenocarcinoma, Scirrhous"
8,Neoplastic Endocrine Cell,Malignant Intrathoracic Paravertebral Paraganglioma
9,Malignant Stromal Cell,Gastrointestinal Stromal Sarcoma
10,Neoplastic Connective and Soft Tissue Cell,mediastinal lipomatosis
11,Abnormal Lymphocyte cell,Plasmablastic Lymphoma of Mucosa Site
12,"Tumor cells, malignant","Leukemia, Myelomonocytic, Chronic"
13,Neoplastic Cell,Stage I Colon Cancer AJCC v6 and v7
14,"Tumor cells, malignant",Primary cutaneous gamma-delta T-cell lymphoma
15,Undifferentiated Carcinoma Cell,undifferentiated carcinoma of urethra
16,Centrocyte-Like Cell,Borrelia Burgdoferi-Associated Cutaneous Marginal Zone Lymphoma of Mucosa-Associated Lymphoid Tissue
17,Neoplastic T-Lymphocyte,Intestinal T-cell lymphoma refractory
18,Neoplastic Neuroendocrine Cell,Ampulla of Vater Neuroendocrine Tumor
19,"Tumor cells, malignant",Stage IB Lung Adenosquamous Carcinoma AJCC v7
20,"Tumor cells, malignant",Secondary malignant neoplasm of lymph node
21,Neoplastic Lymphocyte,Large B-cell lymphoma arising in HHV8 associated multicentric Castleman disease
22,Neoplastic Cell,Parathyroid Gland Adenocarcinoma
23,"Tumor cells, malignant",Parathyroid Gland Adenocarcinoma
24,"Tumor cells, malignant",Stage IIIC Esophageal Adenocarcinoma AJCC v7
25,Neoplastic Cell,Conventional Cardiac Rhabdomyoma
26,Neoplastic Cell,Stage IVB Hypopharyngeal Carcinoma AJCC v7
27,Neoplastic Cell,Renal Cell Carcinoma with Constitutional Chromosome 3 Translocations
28,Leukemic Lymphocyte,Childhood T Acute Lymphoblastic Leukemia
29,"Tumor cells, malignant",Testicular Mixed Choriocarcinoma and Embryonal Carcinoma
30,Neoplastic Endothelial Cell,Vascular neoplasm of skin
31,Neoplastic Connective and Soft Tissue Cell,Uterine Corpus Bizarre Leiomyoma
32,Neoplastic Glandular Cell,Ampulla of Vater Mucinous Adenocarcinoma
33,Melanoma Cell,Melanoma recurrent
34,Malignant Cytotrophoblastic Cell,Testicular Mixed Choriocarcinoma and Teratoma
35,Adenocarcinoma Cell,Adenocarcinoma of salivary gland
36,Neoplastic Epithelial Cell,large cell carcinoma of salivary gland
37,Mucin-Producing Malignant Epithelial Cell,Mucin-producing adenocarcinoma
38,Neoplastic Centroblast,"Malignant lymphoma centroblastic, diffuse"
39,Neoplastic Transitional Cell,Brenner Tumor
40,Neoplastic Follicle Center B-Cell,Methotrexate-Associated Follicular Lymphoma
41,Neoplastic Cell,Stage IVC Lip Cancer AJCC v6 and v7
42,"Tumor cells, malignant",Stage III Kidney Wilms Tumor
43,Neoplastic Cell,Stage III Kidney Wilms Tumor
44,Neoplastic Cell,Benign neoplasm of kidney
45,Neoplastic Cell,Renal Pelvis and Ureter Carcinoma
46,Neoplastic Cell,Mature B-Cell Neoplasm
47,Malignant Blastemal Cell,Stage IV Kidney Wilms Tumor
48,Neoplastic Cell,Neurilemmoma
49,Neoplastic Cell,Parotid Gland Warthin Tumor
50,Leukemic Cell,Alkylating Agent-Related Acute Myeloid Leukemia
51,Neoplastic Cell,Calcifying Nested Epithelial Stromal Tumor of the Liver
52,Neoplastic Hematopoietic and Lymphoid Cell,Infant Leukemia
53,Neoplastic Glandular Cell,Ampullary Noninvasive Pancreatobiliary Papillary Neoplasm with Low Grade Dysplasia
54,Neoplastic Cell,Intestinal-Type Sinonasal Adenocarcinoma
55,Neoplastic Epithelial Cell,Classic Type Trichilemmoma
56,"Tumor cells, malignant",Stage III Esophageal Cancer AJCC v7
57,Neoplastic Astrocyte,Childhood Anaplastic Oligoastrocytoma
58,Neoplastic Myeloid Cell,Hypergranular promyelocytic leukemia
59,Neoplastic Endocrine Cell,Colon Neuroendocrine Neoplasm
60,Abnormal Hematopoietic and Lymphoid Cell,"lymphomatoid papulosis, type C"
61,Malignant Spindle-Shaped Smooth Muscle Cell,Leiomyosarcoma of uterus
62,Neoplastic Epithelial Cell,Syringoma
63,Dysplastic Epithelial Cell,High Grade Anal Canal Squamous Intraepithelial Neoplasia
64,"Tumor cells, malignant",Stage II Ovarian Germ Cell Tumor AJCC v6 and v7
65,Neoplastic Lymphocyte,Common Variant Anaplastic Large Cell Lymphoma
66,Abnormal Lymphocyte cell,Splenic diffuse red pulp small B-cell lymphoma
67,Neoplastic Hematopoietic and Lymphoid Cell,Refractory Hodgkin Lymphoma
68,Neoplastic Epithelial Cell,Stage IIIA Lung Squamous Cell Carcinoma AJCC v7
69,Adenocarcinoma Cell with Intracytoplasmic Mucin,Mucinous adenocarcinoma gastric
70,Neoplastic Squamous Cell,Cervical Squamous Papilloma
71,"Tumor cells, malignant",Anaplastic Embryonal Rhabdomyosarcoma
72,"Tumor cells, malignant",Stage I Urethral Cancer AJCC v7
73,Hodgkin Cell,Hodgkin's disease nodular sclerosis refractory
74,Malignant Epithelial Cell,Stage IVC Oral Cavity Cancer AJCC v6 and v7
75,"Tumor cells, malignant",Primary Cutaneous Follicle Center Lymphoma
76,Primitive Malignant Skeletal Spindle Cell,Rhabdomyosarcoma with Mixed Embryonal and Alveolar Features
77,Neoplastic Cell,Benign neoplasm of trachea
78,Neoplastic Endocrine Cell,Benign Carotid Body Paraganglioma
79,Neoplastic Medium-Sized Myeloblast with Basophilic Agranular Cytoplasm,Adult Acute Myeloid Leukemia with Minimal Differentiation
80,"Tumor cells, malignant",Acute myeloid leukemia with abnormal marrow eosinophils
81,Neoplastic Glandular Cell,Renal Cell Carcinoma Associated with t(X;1)(p11.2;q21)
82,Neoplastic Neuroepithelial Cell and Neoplastic Perineural Cell,Recurrent Childhood Diffuse Astrocytoma
83,Neoplastic Cell,FIGO Stage IIIB Gestational Trophoblastic Tumor
84,Atypical lymphoblast,ROSE Cluster 8
85,Neoplastic Hematopoietic and Lymphoid Cell,Stage I Adult Non-Hodgkin Lymphoma
86,Signet Ring Adenocarcinoma Cell,"Carcinoma, Signet Ring Cell"
87,"Tumor cells, malignant",Malignant Lung and Pleural Neoplasm
88,Neoplastic Glandular Cell,BCLC Stage A Adult Hepatocellular Carcinoma
89,"Tumor cells, malignant",Secondary malignant neoplasm of bone marrow
90,Malignant Rhabdomyoblast,Adult Botryoid-Type Embryonal Rhabdomyosarcoma of the Vagina
91,Malignant Epithelial Cell,"Vulvar Adenocarcinoma, Intestinal-Type"
92,Neoplastic Cell,Digestive System Neuroendocrine Carcinoma
93,Neoplastic Cell,Benign neoplasm of minor salivary gland
94,Neoplastic Epithelial Cell,Stage IV Adult Liver Cancer AJCC v7
95,Neoplastic Cell,Secondary malignant neoplasm of peritoneum
96,Neoplastic Cell,Lip and Oral Cavity Carcinoma
97,Neoplastic Cell,Vulvar Keratoacanthoma
98,Malignant Endocrine Cell,Esophageal Neuroendocrine Carcinoma
99,Neoplastic Cell,Secondary malignant neoplasm of neck
100,Neoplastic Hematopoietic and Lymphoid Cell,"B Lymphoblastic Leukemia/Lymphoma, Not Otherwise Specified"
101,Neoplastic Cell,Small Intestinal Neuroendocrine Tumor G2
102,Neoplastic Epithelial Cell,Stage IIIB Lung Small Cell Carcinoma AJCC v7
103,Neoplastic Cell,Mantle cell lymphoma refractory
104,Neoplastic Cell,Carcinoma of the Floor of the Mouth
105,Cerebriform Lymphocyte,Granulomatous slack skin disease
106,Malignant Basaloid Cell,Skin Basal Cell Carcinoma with Sebaceous Differentiation
107,Centrocyte-Like Cell,Extranodal marginal zone B-cell lymphoma (MALT type) stage I
108,Malignant Endocrine Cell,Occult Lung Small Cell Carcinoma
109,Neoplastic Cell,Solid carcinoma
110,Neoplastic Epithelial Cell,Ovarian mucinous tumor
111,"Tumor cells, malignant",Childhood T Lymphoblastic Lymphoma
112,"Tumor cells, malignant",Hepatoblastoma recurrent
113,Neoplastic Epithelial Cell,Stage I Esophageal Cancer AJCC v7
114,Neoplastic T-Lymphocyte and Neoplastic Natural Killer Cell,Borderline Primary Cutaneous CD30-Positive T-Cell Lymphoproliferative Disorder
115,Neoplastic B-Lymphocyte,Recurrent Childhood Burkitt Lymphoma
116,"Tumor cells, malignant",Malignant melanoma of anus
117,Neoplastic Cell,Grade 3 Clear Cell Renal Cell Carcinoma
118,Neoplastic B-Lymphocyte,Extranodal marginal zone B-cell lymphoma (MALT type) stage IV
119,Neoplastic Glandular Cell,Colon Traditional Serrated Adenoma
120,Neoplastic Small Lymphocyte with Clumped Chromatin,B-cell small lymphocytic lymphoma recurrent
121,Neoplastic Fibroblast,Cardiac fibroma
122,Neoplastic Epithelial Cell,Minor Salivary Gland Carcinoma
123,Neoplastic Trophoblastic Cell,Testicular choriocarcinoma stage I
124,"Tumor cells, malignant",Stage II Cutaneous Melanoma AJCC v6 and v7
125,Neoplastic Cell,Peripheral Nerve Schwannoma
126,Neoplastic Cell,Glomus Tumor of Uncertain Malignant Potential
127,Neoplastic Germ Cell,Stage I Ovarian Teratoma AJCC v6 and v7
128,Centrocyte-Like Cell,Immunoproliferative Small Intestinal Disease
129,Neoplastic Endothelial Cell,Mediastinal Angiosarcoma
130,Malignant Endothelial Cell,Mediastinal Angiosarcoma
131,Neoplastic Squamous Cell,"Stage 0 Laryngeal Squamous Cell Carcinoma AJCC v6, v7, and v8"
132,Neoplastic Neuroendocrine Polygonal Cell,Carcinoid tumor of the duodenum
133,Neoplastic Connective and Soft Tissue Cell,liposarcoma of mediastinum
134,"Tumor cells, malignant",Uterine Corpus Epithelioid Leiomyosarcoma
135,Neoplastic Germ Cell,Stage IIC Ovarian Germ Cell Tumor AJCC v6 and v7
136,Adenocarcinoma Cell,Adenosquamous cell lung cancer recurrent
137,"Tumor cells, malignant","Bladder Non-Invasive Papillary Urothelial Carcinoma, High Grade"
138,Neoplastic Cell,Ovarian Dermoid Cyst with Melanocytic Nevus
139,Neoplastic Germ Cell,Ovarian Dermoid Cyst with Sebaceous Carcinoma
140,Malignant Endocrine Cell,Recurrent Pancreatic Neuroendocrine Carcinoma
141,"Tumor cells, malignant",Central Nervous System Ganglioneuroblastoma
142,Malignant Epithelial Cell,Ductal Carcinoma In Situ with Microinvasion
143,Neoplastic Glandular Cell,Cervical Mixed Epithelial and Mesenchymal Neoplasm
144,Malignant Epithelial Large Cell with Vesicular Nucleus and Distinct Nucleolus,Oropharyngeal lymphepithelioma
145,Neoplastic Small Cleaved Follicle Center Cell,Ann Arbor Stage II Grade 2 Follicular Lymphoma
146,Neoplastic Hematopoietic and Lymphoid Cell,Stage I Adult Lymphoblastic Lymphoma
147,Adenocarcinoma Cell,adenocarcinoma of middle ear
148,Neoplastic Neuroepithelial Cell and Neoplastic Perineural Cell,Intradural Extramedullary Cauda Equina Astrocytoma
149,Dysplastic Glandular Cell,High Grade Esophageal Glandular Intraepithelial Neoplasia
