,CUI1,CUI2,label
0,Neoplastic Glandular Cell,Endometrial Endometrioid Adenocarcinoma with Spindled Epithelial Cells,0
1,Neoplastic Medium-Sized B-Lymphocyte with Basophilic Cytoplasm,Immunodeficiency-associated Burkitt's lymphoma,0
2,Primitive Malignant Skeletal Muscle Cell,embryonal rhabdomyosarcoma of orbit,0
3,Abnormal Lymphocyte cell,Stage IV Diffuse Large B-Cell Lymphoma,0
4,Neoplastic Cell,Adult Erythroleukemia,0
5,Neoplastic Mesothelial Cell,Pericardial Adenomatoid Tumor,0
6,"Tumor cells, malignant",Cutaneous Precursor Lymphoid Neoplasm,0
7,Neoplastic Glandular Cell,"Adenocarcinoma, Scirrhous",0
8,Neoplastic Endocrine Cell,Malignant Intrathoracic Paravertebral Paraganglioma,0
9,Malignant Stromal Cell,Gastrointestinal Stromal Sarcoma,0
10,Neoplastic Connective and Soft Tissue Cell,mediastinal lipomatosis,0
11,Abnormal Lymphocyte cell,Plasmablastic Lymphoma of Mucosa Site,0
12,"Tumor cells, malignant","Leukemia, Myelomonocytic, Chronic",0
13,Neoplastic Cell,Stage I Colon Cancer AJCC v6 and v7,0
14,"Tumor cells, malignant",Primary cutaneous gamma-delta T-cell lymphoma,0
15,Undifferentiated Carcinoma Cell,undifferentiated carcinoma of urethra,0
16,Centrocyte-Like Cell,Borrelia Burgdoferi-Associated Cutaneous Marginal Zone Lymphoma of Mucosa-Associated Lymphoid Tissue,0
17,Neoplastic T-Lymphocyte,Intestinal T-cell lymphoma refractory,0
18,Neoplastic Neuroendocrine Cell,Ampulla of Vater Neuroendocrine Tumor,0
19,"Tumor cells, malignant",Stage IB Lung Adenosquamous Carcinoma AJCC v7,0
20,"Tumor cells, malignant",Secondary malignant neoplasm of lymph node,0
21,Neoplastic Lymphocyte,Large B-cell lymphoma arising in HHV8 associated multicentric Castleman disease,0
22,Neoplastic Cell,Parathyroid Gland Adenocarcinoma,0
23,"Tumor cells, malignant",Parathyroid Gland Adenocarcinoma,0
24,"Tumor cells, malignant",Stage IIIC Esophageal Adenocarcinoma AJCC v7,0
25,Neoplastic Cell,Conventional Cardiac Rhabdomyoma,0
26,Neoplastic Cell,Stage IVB Hypopharyngeal Carcinoma AJCC v7,0
27,Neoplastic Cell,Renal Cell Carcinoma with Constitutional Chromosome 3 Translocations,0
28,Leukemic Lymphocyte,Childhood T Acute Lymphoblastic Leukemia,0
29,"Tumor cells, malignant",Testicular Mixed Choriocarcinoma and Embryonal Carcinoma,0
30,Neoplastic Endothelial Cell,Vascular neoplasm of skin,0
31,Neoplastic Connective and Soft Tissue Cell,Uterine Corpus Bizarre Leiomyoma,0
32,Neoplastic Glandular Cell,Ampulla of Vater Mucinous Adenocarcinoma,0
33,Melanoma Cell,Melanoma recurrent,0
34,Malignant Cytotrophoblastic Cell,Testicular Mixed Choriocarcinoma and Teratoma,0
35,Adenocarcinoma Cell,Adenocarcinoma of salivary gland,0
36,Neoplastic Epithelial Cell,large cell carcinoma of salivary gland,0
37,Mucin-Producing Malignant Epithelial Cell,Mucin-producing adenocarcinoma,0
38,Neoplastic Centroblast,"Malignant lymphoma centroblastic, diffuse",0
