,CUI1,CUI2
0,Uterine cavity,Stage I Uterine Corpus Cancer AJCC v8
1,Ureter,Stage 0is Renal Pelvis and Ureter Cancer AJCC v8
2,Uterus,Glomerular vascular disorder
3,Vulva,Stage IIIA Appendix Carcinoma AJCC v8
4,Inferior vena cava structure,Hemangioma of intra-abdominal structure
5,Scrotum,Glomerular vascular disorder
6,Genitourinary system,Neoplasm of lacrimal system
7,Skeletal bone,Secondary malignant neoplasm of bone marrow
8,Urinary system,anaplastic large cell lymphoma of central nervous system
9,Head,Resectable Head and Neck Squamous Cell Carcinoma
10,Structure of rete ovarii,Adenocarcinoma of the rete testis
11,Ethmoid sinus structure,Benign tumor of lacrimal drainage structure
12,Bronchi,Stage IIIA Appendix Carcinoma AJCC v8
13,Pulmonary artery structure,Pulmonary artery stenosis
14,Lacrimal gland structure,Benign tumor of lacrimal drainage structure
15,Cardiovascular system,Disorder of male reproductive system
16,Ocular orbit,"Onchocerciasis, Ocular"
17,Occipital lobe,Neoplasm of frontal lobe
18,Pancreas,Stage III Vaginal Cancer AJCC v6 and v7
19,Cornea,Stage III Vaginal Cancer AJCC v6 and v7
20,Cerebellum,Stage III Vaginal Cancer AJCC v6 and v7
21,Anterior Portion of the Urethra,AIDS-Related Plasmablastic Lymphoma of the Oral Mucosa
22,Abdominal part of esophagus,adenosquamous carcinoma of esophagus
23,Structure of conus medullaris,"46, XX Disorders of Sex Development"
24,glottis,Glomerular vascular disorder
25,Urethral gland structure,Benign tumor of lacrimal drainage structure
26,Prostatic Urethra,Prostatic Duct Urothelial Carcinoma
27,Postcricoid region,Congenital spondylolysis of lumbosacral region
28,Ureter,Stage 0is Renal Pelvis and Ureter Cancer AJCC v8
29,Pleural cavity,Benign neoplasm of oral cavity
30,Ciliary Body,Stage I Choroidal and Ciliary Body Melanoma AJCC v8
31,Vertebral column,Stage III Vaginal Cancer AJCC v6 and v7
32,Lumbosacral Region,Preinvasive Neoplasm of the Ampullary Region
33,Lacrimal gland structure,Benign tumor of lacrimal drainage structure
34,Sellar Region,Tumor of the Pineal Region
35,Connective Tissue,Connective Tissue Diseases
36,Structure of uterine ligament,Malignant neoplasm of salivary gland
37,Occipital lobe,Neoplasm of frontal lobe
38,Hepatobiliary System,Secondary Central Nervous System Non-Hodgkin Lymphoma
39,glottis,Stage IIIA Appendix Carcinoma AJCC v8
40,Connective Tissue,Connective and Soft Tissue Disorder
41,Ovary,Glomerular vascular disorder
42,Endocervix,Complex renal cyst
43,Male Reproductive System,Female Non-Neoplastic Reproductive System Disorder
44,Sphenoidal sinus,Malignant tumor of ethmoid sinus
45,Genitourinary system,Neoplasm of lacrimal system
46,Cecum,Glomerular vascular disorder
47,Gastrointestinal system,Gastric and Omental Gastrointestinal Stromal Tumor by AJCC v8 Stage
48,Jugular foramen,Stage IIIA Appendix Carcinoma AJCC v8
49,Jugular foramen,Stage IIIA Appendix Carcinoma AJCC v8
50,Base of skull structure,Disorder of skull
51,frontal lobe,Neoplasm of frontal sinus
52,Superior vena cava structure,Benign tumor of lacrimal drainage structure
53,Thoracic spinal cord structure,neuroblastoma of spinal cord
54,Hard Palate,Hard Palate Monomorphic Adenoma
55,Cerebral hemisphere structure (body structure),Benign tumor of lacrimal drainage structure
56,Cauda Equina,Cauda equina syndrome with neurogenic bladder
57,Anus,Glomerular vascular disorder
58,Lower third of esophagus,Malignant neoplasm of upper third of esophagus
59,frontal lobe,Neoplasm of parietal lobe
60,Aorta,Complex renal cyst
61,Middle third of esophagus,neurofibroma of esophagus
62,Gonadal structure,Hemangioma of intra-abdominal structure
63,Nasolacrimal duct structure,Benign tumor of lacrimal drainage structure
64,Lip structure,Stage III Lip and Oral Cavity Squamous Cell Carcinoma AJCC v6 and v7
65,Mediastinum,Stage III Vaginal Cancer AJCC v6 and v7
66,Nasolacrimal duct structure,Bile duct cystadenoma
67,Buccal mucosa,Pyogenic granuloma of oral mucosa
68,Epiglottis structure,Hemangioma of intracranial structure
69,Cerebellum,"Glioblastoma, IDH-Wildtype"
70,Rectosigmoid Region,Tumor of the Pineal Region
71,Upper third of esophagus,adenosquamous carcinoma of esophagus
72,Nasopharynx,Stage III Vaginal Cancer AJCC v6 and v7
73,Hepatobiliary System,Metastatic Genitourinary System Carcinoma
74,lymph nodes,"Hodgkin's disease, nodular sclerosis of lymph nodes of multiple sites"
75,Hematopoietic System,Hematopoietic and Lymphoid System Neoplasm
76,Testis,Rete Testis Adenoma
77,Thalamic structure,Stage IIIA Appendix Carcinoma AJCC v8
78,ileum,Crohn's disease of the ileum
79,Vagina,Postoperative Spindle Cell Nodule of the Vagina
80,Hepatobiliary System,Secondary Central Nervous System Non-Hodgkin Lymphoma
81,Frontal Sinus,Stage II Paranasal Sinus Cancer AJCC v6 and v7
82,Abdominal part of esophagus,Congenital duplication of esophagus
83,Ear structure,Benign tumor of lacrimal drainage structure
84,Pharyngeal structure,Benign tumor of lacrimal drainage structure
85,Supraglottis (body part),Stage III Vaginal Cancer AJCC v6 and v7
86,glottis,Glomerular vascular disorder
87,Spermatic Cord,Thoracic and Lumbosacral Spinal Cord Ependymal Tumor
88,Urinary system,Neoplasm of lacrimal system
89,Uterine cavity,Stage III Uterine Corpus Leiomyosarcoma AJCC v8
90,Pelvis,Stage IV Renal Pelvis and Ureter Cancer AJCC v7
91,Structure of rete testis,Secondary malignant neoplasm of testis
92,Nipples,Oxyphilic Endometrial Endometrioid Adenocarcinoma
93,Infratentorial brain structure,Unspecified nonpsychotic mental disorder following organic brain damage
94,Maxillary Sinus,Maxillary Sinus Cholesteatoma
95,Thoracic esophagus,Congenital duplication of esophagus
96,Superior vena cava structure,Benign tumor of lacrimal drainage structure
97,Myocardium,Stage III Vaginal Cancer AJCC v6 and v7
98,Vulva,Stage IIIA Appendix Carcinoma AJCC v8
99,Jugular foramen,Stage IIIA Appendix Carcinoma AJCC v8
100,Cerebral Ventricles,Childhood Cerebral Anaplastic Astrocytoma
101,Ovary,Stage IIIA Appendix Carcinoma AJCC v8
102,Pulmonary artery structure,Pulmonary trunk hypoplasia
103,Uterine cavity,Stage I Uterine Corpus Cancer AJCC v8
104,Spleen,Stage IIIA Appendix Carcinoma AJCC v8
105,Pelvis,Stage III Renal Pelvis Cancer AJCC v8
106,"Lens, Crystalline",Stage IIIA Appendix Carcinoma AJCC v8
107,Parietal Lobe,"Epilepsy, Familial Temporal Lobe 1"
108,Sternum,Stage IIIA Appendix Carcinoma AJCC v8
109,Peritoneum and Retroperitoneum,"Recurrent B-Cell Lymphoma, Unclassifiable, with Features Intermediate between Diffuse Large B-Cell Lymphoma and Classic Hodgkin Lymphoma"
110,Maxillary Sinus,Maxillary Sinus Cholesteatoma
111,Colorectal Region,Colorectal Inflammatory Polyp
112,Lower third of esophagus,Congenital duplication of esophagus
113,Scrotum,Stage III Vaginal Cancer AJCC v6 and v7
114,Pancreas,Glomerular vascular disorder
115,Oral cavity,Aneuploid Dysplastic Oral Leukoplakia
116,Nipples,Complex renal cyst
117,labium minus,Stage IIIA Appendix Carcinoma AJCC v8
118,Middle third of esophagus,adenosquamous carcinoma of esophagus
119,Retina,Glomerular vascular disorder
120,Parietal Lobe,"Epilepsy, Familial Temporal Lobe 1"
121,"Palate, Soft",Adult Clear Cell Sarcoma of Soft Parts
122,Subglottis structure,Stage III Vaginal Cancer AJCC v6 and v7
123,Adrenal Glands,Adrenal Rest Tumor
124,Anterior Portion of the Urethra,Recurrent Paget Disease of the Anal Canal
125,Cauda Equina,Cauda equina syndrome with neurogenic bladder
126,Upper third of esophagus,Congenital duplication of esophagus
127,Nasal cavity,Stage IVA Nasal Cavity and Paranasal Sinus Cancer AJCC v8
128,Abdominal part of esophagus,Malignant neoplasm of esophagus
129,Ureter,Stage IV Renal Pelvis and Ureter Cancer AJCC v7
130,Middle third of esophagus,neurofibroma of esophagus
131,ileum,Stage III Vaginal Cancer AJCC v6 and v7
132,Vertebral column,Stage IIIA Appendix Carcinoma AJCC v8
133,Uterine cavity,Adenoid cystic carcinoma of the oral cavity
134,Vertebral column,Secondary malignant neoplasm of vertebral column
135,Chest wall structure,Benign tumor of lacrimal drainage structure
136,Submandibular gland,Neoplasm of lacrimal gland
137,Jugular foramen,Glomerular vascular disorder
138,Adrenal Glands,Adrenal Rest Tumor
139,Biliary tract structure,Benign tumor of lacrimal drainage structure
140,Eyelid structure,Benign tumor of lacrimal drainage structure
141,Mediastinum,Oxyphilic Endometrial Endometrioid Adenocarcinoma
142,Intradural Extramedullary Spinal Canal Space,External Auditory Canal Ceruminous Adenoma
143,Infratentorial brain structure,Primary malignant neoplasm of brain
144,Reproductive system,Diffuse large B-cell lymphoma of central nervous system
145,Choroid,Adult Choroid Plexus Neoplasm
146,Jugular foramen,Stage IIIA Appendix Carcinoma AJCC v8
147,Hematopoietic System,Metastatic Genitourinary System Carcinoma
148,Uterus,"Glioblastoma, IDH-Wildtype"
149,Hepatobiliary System,Metastatic Genitourinary System Carcinoma
150,labium majus,Glomerular vascular disorder
151,Jugular foramen,Stage IIIA Appendix Carcinoma AJCC v8
152,Temporal Lobe,"Epilepsy, Familial Temporal Lobe 1"
153,Renal pelvis,Renal Cell Cancer by AJCC v7 Stage
154,Gingiva,Stage III Vaginal Cancer AJCC v6 and v7
155,Bone structure of cranium,Ewing Sarcoma/Peripheral Primitive Neuroectodermal Tumor of Bone
156,Gastrointestinal system,Stage IIIB Gastric and Omental Gastrointestinal Stromal Tumor AJCC v8
157,Apex of tongue,Benign neoplasm of base of tongue
158,Structure of cerebellopontine angle,adenosquamous carcinoma of esophagus
159,Abdominal part of esophagus,Malignant neoplasm of esophagus
160,Ethmoid sinus structure,Polyp of nasal sinus
161,Aorta,Stage IIIA Appendix Carcinoma AJCC v8
162,Uterus,Stage IIIA Appendix Carcinoma AJCC v8
163,Root of tongue,Malignant neoplasm of tongue
164,Cerebral Ventricles,Cerebral Adrenoleukodystrophy
165,Colon structure (body structure),Benign tumor of lacrimal drainage structure
166,Inferior vena cava structure,Benign tumor of lacrimal drainage structure
167,Mediastinum,Glomerular vascular disorder
168,lymph nodes,"Hodgkin's disease, nodular sclerosis of lymph nodes of multiple sites"
169,Buccal mucosa,Pyogenic granuloma of oral mucosa
170,labium majus,Complex renal cyst
171,Pharyngeal structure,Benign tumor of lacrimal drainage structure
172,Reproductive system,Diffuse large B-cell lymphoma of central nervous system
173,Apex of tongue,Lipoma of the tongue
174,Pulmonary veins,Pulmonary Valve Insufficiency
175,body system,Benign neoplasm of body of uterus
176,Root of tongue,Lipoma of the tongue
177,Structure of retroorbital region,Malignant neoplasm of salivary gland
178,Eyelid structure,Benign tumor of lacrimal drainage structure
179,Duodenum,"Glioblastoma, IDH-Wildtype"
180,Peritoneum and Retroperitoneum,Stage IIIB Gastric and Omental Gastrointestinal Stromal Tumor AJCC v8
181,Cornea,Stage III Vaginal Cancer AJCC v6 and v7
182,Endocervix,Oxyphilic Endometrial Endometrioid Adenocarcinoma
183,Uterine cavity,Adenoid cystic carcinoma of the oral cavity
184,Pulmonary veins,Pulmonary Valve Insufficiency
185,Sinonasal Tract,Cancer of Urinary Tract
186,Intestines,Glomerular vascular disorder
187,Epiglottis structure,Benign tumor of lacrimal drainage structure
188,Rectosigmoid Region,Preinvasive Neoplasm of the Ampullary Region
189,Ovary,Stage IIIA Appendix Carcinoma AJCC v8
190,Sublingual Region,Region 17p13 Allelic Loss Associated Medulloblastoma
191,Chest wall structure,Benign tumor of lacrimal drainage structure
192,Structure of cerebellopontine angle,Extranodal Marginal Zone Lymphoma of Mucosa-Associated Lymphoid Tissue by Ann Arbor Stage
193,Uterus,Stage III Vaginal Cancer AJCC v6 and v7
194,Urethral gland structure,Benign tumor of lacrimal drainage structure
195,Ciliary Body,Stage IIA Choroidal and Ciliary Body Melanoma AJCC v8
196,Ocular orbit,"Onchocerciasis, Ocular"
197,Structure of rete ovarii,"46, XX Disorders of Sex Development"
198,Sublingual Gland,Metastatic Parathyroid Gland Carcinoma
199,Infratentorial brain structure,Benign tumor of lacrimal drainage structure
200,Root of tongue,Lipoma of the tongue
201,Cerebral hemisphere structure (body structure),Cerebral abscess
202,Cervicomedullary Junction,Metastatic Gastroesophageal Junction Adenocarcinoma
203,Structure of hilum of lung,Tuberculous fibrosis of lung
204,Retina,Coloboma of the Retina
205,Male Reproductive System,Female Non-Neoplastic Reproductive System Disorder
206,Submandibular gland,Malignant neoplasm of salivary gland
207,Body of uterus,Benign neoplasm of uterus
208,Ovary,Complex renal cyst
209,Structure of rete ovarii,Malignant neoplasm of salivary gland
210,Colon structure (body structure),Benign tumor of lacrimal drainage structure
211,"Lens, Crystalline",Glomerular vascular disorder
212,Lip structure,Stage III Lip and Oral Cavity Squamous Cell Carcinoma AJCC v6 and v7
213,Temporal Lobe,Temporal Lobe Pleomorphic Xanthoastrocytoma
