,CUI1,CUI2,label
0,Uterine cavity,Stage I Uterine Corpus Cancer AJCC v8,0
1,Ureter,Stage 0is Renal Pelvis and Ureter Cancer AJCC v8,0
2,Uterus,Glomerular vascular disorder,0
3,Vulva,Stage IIIA Appendix Carcinoma AJCC v8,0
4,Inferior vena cava structure,Hemangioma of intra-abdominal structure,0
5,Scrotum,Glomerular vascular disorder,0
6,Genitourinary system,Neoplasm of lacrimal system,0
7,Skeletal bone,Secondary malignant neoplasm of bone marrow,0
8,Urinary system,anaplastic large cell lymphoma of central nervous system,0
9,Head,Resectable Head and Neck Squamous Cell Carcinoma,0
10,Structure of rete ovarii,Adenocarcinoma of the rete testis,0
11,Ethmoid sinus structure,Benign tumor of lacrimal drainage structure,0
12,Bronchi,Stage IIIA Appendix Carcinoma AJCC v8,0
13,Pulmonary artery structure,Pulmonary artery stenosis,0
14,Lacrimal gland structure,Benign tumor of lacrimal drainage structure,0
15,Cardiovascular system,Disorder of male reproductive system,0
16,Ocular orbit,"Onchocerciasis, Ocular",0
17,Occipital lobe,Neoplasm of frontal lobe,0
18,Pancreas,Stage III Vaginal Cancer AJCC v6 and v7,0
19,Cornea,Stage III Vaginal Cancer AJCC v6 and v7,0
20,Cerebellum,Stage III Vaginal Cancer AJCC v6 and v7,0
21,Anterior Portion of the Urethra,AIDS-Related Plasmablastic Lymphoma of the Oral Mucosa,0
22,Abdominal part of esophagus,adenosquamous carcinoma of esophagus,0
23,Structure of conus medullaris,"46, XX Disorders of Sex Development",0
24,glottis,Glomerular vascular disorder,0
25,Urethral gland structure,Benign tumor of lacrimal drainage structure,0
26,Prostatic Urethra,Prostatic Duct Urothelial Carcinoma,0
27,Postcricoid region,Congenital spondylolysis of lumbosacral region,0
28,Ureter,Stage 0is Renal Pelvis and Ureter Cancer AJCC v8,0
29,Pleural cavity,Benign neoplasm of oral cavity,0
30,Ciliary Body,Stage I Choroidal and Ciliary Body Melanoma AJCC v8,0
31,Vertebral column,Stage III Vaginal Cancer AJCC v6 and v7,0
32,Lumbosacral Region,Preinvasive Neoplasm of the Ampullary Region,0
33,Lacrimal gland structure,Benign tumor of lacrimal drainage structure,0
34,Sellar Region,Tumor of the Pineal Region,0
35,Connective Tissue,Connective Tissue Diseases,0
36,Structure of uterine ligament,Malignant neoplasm of salivary gland,0
37,Occipital lobe,Neoplasm of frontal lobe,0
38,Hepatobiliary System,Secondary Central Nervous System Non-Hodgkin Lymphoma,0
39,glottis,Stage IIIA Appendix Carcinoma AJCC v8,0
40,Connective Tissue,Connective and Soft Tissue Disorder,0
41,Ovary,Glomerular vascular disorder,0
42,Endocervix,Complex renal cyst,0
43,Male Reproductive System,Female Non-Neoplastic Reproductive System Disorder,0
44,Sphenoidal sinus,Malignant tumor of ethmoid sinus,0
45,Genitourinary system,Neoplasm of lacrimal system,0
46,Cecum,Glomerular vascular disorder,0
47,Gastrointestinal system,Gastric and Omental Gastrointestinal Stromal Tumor by AJCC v8 Stage,0
48,Jugular foramen,Stage IIIA Appendix Carcinoma AJCC v8,0
49,Jugular foramen,Stage IIIA Appendix Carcinoma AJCC v8,0
50,Base of skull structure,Disorder of skull,0
51,frontal lobe,Neoplasm of frontal sinus,0
52,Superior vena cava structure,Benign tumor of lacrimal drainage structure,0
53,Thoracic spinal cord structure,neuroblastoma of spinal cord,0
54,Hard Palate,Hard Palate Monomorphic Adenoma,0
55,Cerebral hemisphere structure (body structure),Benign tumor of lacrimal drainage structure,0
56,Cauda Equina,Cauda equina syndrome with neurogenic bladder,0
57,Anus,Glomerular vascular disorder,0
58,Lower third of esophagus,Malignant neoplasm of upper third of esophagus,0
59,frontal lobe,Neoplasm of parietal lobe,0
60,Aorta,Complex renal cyst,0
61,Middle third of esophagus,neurofibroma of esophagus,0
62,Gonadal structure,Hemangioma of intra-abdominal structure,0
63,Nasolacrimal duct structure,Benign tumor of lacrimal drainage structure,0
64,Lip structure,Stage III Lip and Oral Cavity Squamous Cell Carcinoma AJCC v6 and v7,0
65,Mediastinum,Stage III Vaginal Cancer AJCC v6 and v7,0
66,Nasolacrimal duct structure,Bile duct cystadenoma,0
67,Buccal mucosa,Pyogenic granuloma of oral mucosa,0
68,Epiglottis structure,Hemangioma of intracranial structure,0
69,Cerebellum,"Glioblastoma, IDH-Wildtype",0
70,Rectosigmoid Region,Tumor of the Pineal Region,0
71,Upper third of esophagus,adenosquamous carcinoma of esophagus,0
72,Nasopharynx,Stage III Vaginal Cancer AJCC v6 and v7,0
73,Hepatobiliary System,Metastatic Genitourinary System Carcinoma,0
