,CUI1,CUI2,label
0,Dilated Cystic Spaces Present,ENSAT Stage II Adrenal Cortex Carcinoma,0
1,Dedifferentiated Malignant Infiltrate,ENSAT Stage II Adrenal Cortex Carcinoma,0
2,Mammary Gland Type Features Present,ENSAT Stage II Adrenal Cortex Carcinoma,0
3,Ectopic Tissue,ENSAT Stage II Adrenal Cortex Carcinoma,0
4,Barrett Esophagus With Metaplastic Goblet Cell Columnar Epithelium,ENSAT Stage II Adrenal Cortex Carcinoma,0
5,Dilated Cystic Spaces Present,Ampulla of Vater Neuroendocrine Carcinoma,0
6,Dedifferentiated Malignant Infiltrate,Ampulla of Vater Neuroendocrine Carcinoma,0
7,Mammary Gland Type Features Present,Ampulla of Vater Neuroendocrine Carcinoma,0
8,Ectopic Tissue,Ampulla of Vater Neuroendocrine Carcinoma,0
9,Barrett Esophagus With Metaplastic Goblet Cell Columnar Epithelium,Ampulla of Vater Neuroendocrine Carcinoma,0
10,Dilated Cystic Spaces Present,Stage IVA Oropharyngeal Carcinoma AJCC v7,0
11,Dedifferentiated Malignant Infiltrate,Stage IVA Oropharyngeal Carcinoma AJCC v7,0
12,Mammary Gland Type Features Present,Stage IVA Oropharyngeal Carcinoma AJCC v7,0
13,Ectopic Tissue,Stage IVA Oropharyngeal Carcinoma AJCC v7,0
14,Barrett Esophagus With Metaplastic Goblet Cell Columnar Epithelium,Stage IVA Oropharyngeal Carcinoma AJCC v7,0
15,Dilated Cystic Spaces Present,"Carcinoma, Endometrioid",0
16,Dedifferentiated Malignant Infiltrate,"Carcinoma, Endometrioid",0
17,Mammary Gland Type Features Present,"Carcinoma, Endometrioid",0
18,Ectopic Tissue,"Carcinoma, Endometrioid",0
19,Barrett Esophagus With Metaplastic Goblet Cell Columnar Epithelium,"Carcinoma, Endometrioid",0
20,Dilated Cystic Spaces Present,adenosquamous carcinoma of pancreas,0
21,Dedifferentiated Malignant Infiltrate,adenosquamous carcinoma of pancreas,0
22,Mammary Gland Type Features Present,adenosquamous carcinoma of pancreas,0
23,Ectopic Tissue,adenosquamous carcinoma of pancreas,0
24,Barrett Esophagus With Metaplastic Goblet Cell Columnar Epithelium,adenosquamous carcinoma of pancreas,0
25,Dilated Cystic Spaces Present,large cell carcinoma of salivary gland,0
26,Dedifferentiated Malignant Infiltrate,large cell carcinoma of salivary gland,0
27,Mammary Gland Type Features Present,large cell carcinoma of salivary gland,0
28,Ectopic Tissue,large cell carcinoma of salivary gland,0
29,Barrett Esophagus With Metaplastic Goblet Cell Columnar Epithelium,large cell carcinoma of salivary gland,0
30,Dilated Cystic Spaces Present,Stage III Esophageal Cancer AJCC v7,0
31,Dedifferentiated Malignant Infiltrate,Stage III Esophageal Cancer AJCC v7,0
32,Mammary Gland Type Features Present,Stage III Esophageal Cancer AJCC v7,0
33,Ectopic Tissue,Stage III Esophageal Cancer AJCC v7,0
34,Barrett Esophagus With Metaplastic Goblet Cell Columnar Epithelium,Stage III Esophageal Cancer AJCC v7,0
35,Dilated Cystic Spaces Present,"Carcinoma, Neuroendocrine",0
36,Dedifferentiated Malignant Infiltrate,"Carcinoma, Neuroendocrine",0
37,Mammary Gland Type Features Present,"Carcinoma, Neuroendocrine",0
38,Ectopic Tissue,"Carcinoma, Neuroendocrine",0
39,Barrett Esophagus With Metaplastic Goblet Cell Columnar Epithelium,"Carcinoma, Neuroendocrine",0
40,Dilated Cystic Spaces Present,Colon Micropapillary Adenocarcinoma,0
41,Dedifferentiated Malignant Infiltrate,Colon Micropapillary Adenocarcinoma,0
42,Mammary Gland Type Features Present,Colon Micropapillary Adenocarcinoma,0
43,Ectopic Tissue,Colon Micropapillary Adenocarcinoma,0
44,Barrett Esophagus With Metaplastic Goblet Cell Columnar Epithelium,Colon Micropapillary Adenocarcinoma,0
45,Coronary Vessel Lesion,Disseminated carcinoma,0
46,Index Lesion,Disseminated carcinoma,0
47,Non-Index Lesion,Disseminated carcinoma,0
48,Mushroom-Shaped Lesion,Disseminated carcinoma,0
49,Annular Lesion,Disseminated carcinoma,0
50,Dilated Cystic Spaces Present,Esophageal carcinoma recurrent,0
51,Dedifferentiated Malignant Infiltrate,Esophageal carcinoma recurrent,0
52,Mammary Gland Type Features Present,Esophageal carcinoma recurrent,0
53,Ectopic Tissue,Esophageal carcinoma recurrent,0
54,Barrett Esophagus With Metaplastic Goblet Cell Columnar Epithelium,Esophageal carcinoma recurrent,0
55,Dilated Cystic Spaces Present,"Stage 0 Laryngeal Verrucous Carcinoma AJCC v6, v7, and v8",0
56,Dedifferentiated Malignant Infiltrate,"Stage 0 Laryngeal Verrucous Carcinoma AJCC v6, v7, and v8",0
57,Mammary Gland Type Features Present,"Stage 0 Laryngeal Verrucous Carcinoma AJCC v6, v7, and v8",0
58,Ectopic Tissue,"Stage 0 Laryngeal Verrucous Carcinoma AJCC v6, v7, and v8",0
59,Barrett Esophagus With Metaplastic Goblet Cell Columnar Epithelium,"Stage 0 Laryngeal Verrucous Carcinoma AJCC v6, v7, and v8",0
60,Dilated Cystic Spaces Present,Recurrent Skin Carcinoma,0
61,Dedifferentiated Malignant Infiltrate,Recurrent Skin Carcinoma,0
62,Mammary Gland Type Features Present,Recurrent Skin Carcinoma,0
63,Ectopic Tissue,Recurrent Skin Carcinoma,0
64,Barrett Esophagus With Metaplastic Goblet Cell Columnar Epithelium,Recurrent Skin Carcinoma,0
65,Carcinomatous Component Present,Parotid Gland Carcinosarcoma,0
66,Large Neoplastic Glands with Branching and Papillary Infolding Present,Parotid Gland Carcinosarcoma,0
67,Multifocal Epithelial Proliferations Less than 1mm in Diameter Present,Parotid Gland Carcinosarcoma,0
68,Entrapped Respiratory Epithelium Present,Parotid Gland Carcinosarcoma,0
69,Endocervical Type Epithelium Present,Parotid Gland Carcinosarcoma,0
70,Dilated Cystic Spaces Present,Early Hepatocellular Carcinoma,0
71,Dedifferentiated Malignant Infiltrate,Early Hepatocellular Carcinoma,0
72,Mammary Gland Type Features Present,Early Hepatocellular Carcinoma,0
73,Ectopic Tissue,Early Hepatocellular Carcinoma,0
74,Barrett Esophagus With Metaplastic Goblet Cell Columnar Epithelium,Early Hepatocellular Carcinoma,0
75,Dilated Cystic Spaces Present,neuroendocrine carcinoma of anal canal,0
76,Dedifferentiated Malignant Infiltrate,neuroendocrine carcinoma of anal canal,0
77,Mammary Gland Type Features Present,neuroendocrine carcinoma of anal canal,0
78,Ectopic Tissue,neuroendocrine carcinoma of anal canal,0
79,Barrett Esophagus With Metaplastic Goblet Cell Columnar Epithelium,neuroendocrine carcinoma of anal canal,0
80,Dilated Cystic Spaces Present,Ovarian Cancer by FIGO Stage,0
81,Dedifferentiated Malignant Infiltrate,Ovarian Cancer by FIGO Stage,0
82,Mammary Gland Type Features Present,Ovarian Cancer by FIGO Stage,0
83,Ectopic Tissue,Ovarian Cancer by FIGO Stage,0
84,Barrett Esophagus With Metaplastic Goblet Cell Columnar Epithelium,Ovarian Cancer by FIGO Stage,0
85,Coronary Vessel Lesion,Prostate Carcinoma Metastatic in the Lung,0
86,Index Lesion,Prostate Carcinoma Metastatic in the Lung,0
87,Non-Index Lesion,Prostate Carcinoma Metastatic in the Lung,0
88,Mushroom-Shaped Lesion,Prostate Carcinoma Metastatic in the Lung,0
89,Annular Lesion,Prostate Carcinoma Metastatic in the Lung,0
90,Dilated Cystic Spaces Present,Stage III Fallopian Tube Cancer AJCC v7,0
91,Dedifferentiated Malignant Infiltrate,Stage III Fallopian Tube Cancer AJCC v7,0
92,Mammary Gland Type Features Present,Stage III Fallopian Tube Cancer AJCC v7,0
93,Ectopic Tissue,Stage III Fallopian Tube Cancer AJCC v7,0
94,Barrett Esophagus With Metaplastic Goblet Cell Columnar Epithelium,Stage III Fallopian Tube Cancer AJCC v7,0
95,Dilated Cystic Spaces Present,Childhood Esophageal Carcinoma,0
96,Dedifferentiated Malignant Infiltrate,Childhood Esophageal Carcinoma,0
97,Mammary Gland Type Features Present,Childhood Esophageal Carcinoma,0
98,Ectopic Tissue,Childhood Esophageal Carcinoma,0
99,Barrett Esophagus With Metaplastic Goblet Cell Columnar Epithelium,Childhood Esophageal Carcinoma,0
100,Dilated Cystic Spaces Present,Stage IVA Cervical Cancer AJCC v6 and v7,0
101,Dedifferentiated Malignant Infiltrate,Stage IVA Cervical Cancer AJCC v6 and v7,0
102,Mammary Gland Type Features Present,Stage IVA Cervical Cancer AJCC v6 and v7,0
103,Ectopic Tissue,Stage IVA Cervical Cancer AJCC v6 and v7,0
104,Barrett Esophagus With Metaplastic Goblet Cell Columnar Epithelium,Stage IVA Cervical Cancer AJCC v6 and v7,0
105,Dilated Cystic Spaces Present,Stage I Merkel Cell Carcinoma AJCC v7,0
106,Dedifferentiated Malignant Infiltrate,Stage I Merkel Cell Carcinoma AJCC v7,0
107,Mammary Gland Type Features Present,Stage I Merkel Cell Carcinoma AJCC v7,0
108,Ectopic Tissue,Stage I Merkel Cell Carcinoma AJCC v7,0
109,Barrett Esophagus With Metaplastic Goblet Cell Columnar Epithelium,Stage I Merkel Cell Carcinoma AJCC v7,0
110,Dilated Cystic Spaces Present,Stage IVA Oral Cavity Adenoid Cystic Carcinoma AJCC v6 and v7,0
111,Dedifferentiated Malignant Infiltrate,Stage IVA Oral Cavity Adenoid Cystic Carcinoma AJCC v6 and v7,0
112,Mammary Gland Type Features Present,Stage IVA Oral Cavity Adenoid Cystic Carcinoma AJCC v6 and v7,0
113,Ectopic Tissue,Stage IVA Oral Cavity Adenoid Cystic Carcinoma AJCC v6 and v7,0
114,Barrett Esophagus With Metaplastic Goblet Cell Columnar Epithelium,Stage IVA Oral Cavity Adenoid Cystic Carcinoma AJCC v6 and v7,0
115,Dilated Cystic Spaces Present,Stage IVA Lip Cancer AJCC v6 and v7,0
116,Dedifferentiated Malignant Infiltrate,Stage IVA Lip Cancer AJCC v6 and v7,0
117,Mammary Gland Type Features Present,Stage IVA Lip Cancer AJCC v6 and v7,0
118,Ectopic Tissue,Stage IVA Lip Cancer AJCC v6 and v7,0
119,Barrett Esophagus With Metaplastic Goblet Cell Columnar Epithelium,Stage IVA Lip Cancer AJCC v6 and v7,0
120,Dilated Cystic Spaces Present,Stage IVB Lip and Oral Cavity Squamous Cell Carcinoma AJCC v6 and v7,0
121,Dedifferentiated Malignant Infiltrate,Stage IVB Lip and Oral Cavity Squamous Cell Carcinoma AJCC v6 and v7,0
122,Mammary Gland Type Features Present,Stage IVB Lip and Oral Cavity Squamous Cell Carcinoma AJCC v6 and v7,0
123,Ectopic Tissue,Stage IVB Lip and Oral Cavity Squamous Cell Carcinoma AJCC v6 and v7,0
124,Barrett Esophagus With Metaplastic Goblet Cell Columnar Epithelium,Stage IVB Lip and Oral Cavity Squamous Cell Carcinoma AJCC v6 and v7,0
125,Dilated Cystic Spaces Present,Non-small cell lung cancer stage II,0
126,Dedifferentiated Malignant Infiltrate,Non-small cell lung cancer stage II,0
127,Mammary Gland Type Features Present,Non-small cell lung cancer stage II,0
128,Ectopic Tissue,Non-small cell lung cancer stage II,0
129,Barrett Esophagus With Metaplastic Goblet Cell Columnar Epithelium,Non-small cell lung cancer stage II,0
130,Dilated Cystic Spaces Present,Stage III Pancreatic Cancer AJCC v6 and v7,0
131,Dedifferentiated Malignant Infiltrate,Stage III Pancreatic Cancer AJCC v6 and v7,0
132,Mammary Gland Type Features Present,Stage III Pancreatic Cancer AJCC v6 and v7,0
133,Ectopic Tissue,Stage III Pancreatic Cancer AJCC v6 and v7,0
134,Barrett Esophagus With Metaplastic Goblet Cell Columnar Epithelium,Stage III Pancreatic Cancer AJCC v6 and v7,0
135,Dilated Cystic Spaces Present,Stage III Intrahepatic Cholangiocarcinoma AJCC v7,0
136,Dedifferentiated Malignant Infiltrate,Stage III Intrahepatic Cholangiocarcinoma AJCC v7,0
137,Mammary Gland Type Features Present,Stage III Intrahepatic Cholangiocarcinoma AJCC v7,0
138,Ectopic Tissue,Stage III Intrahepatic Cholangiocarcinoma AJCC v7,0
139,Barrett Esophagus With Metaplastic Goblet Cell Columnar Epithelium,Stage III Intrahepatic Cholangiocarcinoma AJCC v7,0
140,Coronary Vessel Lesion,Carcinomatosis,0
141,Index Lesion,Carcinomatosis,0
142,Non-Index Lesion,Carcinomatosis,0
143,Mushroom-Shaped Lesion,Carcinomatosis,0
144,Annular Lesion,Carcinomatosis,0
145,Dilated Cystic Spaces Present,Squamous cell carcinoma of nasopharynx,0
146,Dedifferentiated Malignant Infiltrate,Squamous cell carcinoma of nasopharynx,0
147,Mammary Gland Type Features Present,Squamous cell carcinoma of nasopharynx,0
148,Ectopic Tissue,Squamous cell carcinoma of nasopharynx,0
149,Barrett Esophagus With Metaplastic Goblet Cell Columnar Epithelium,Squamous cell carcinoma of nasopharynx,0
150,Dilated Cystic Spaces Present,Ethmoid Sinus Adenoid Cystic Carcinoma,0
151,Dedifferentiated Malignant Infiltrate,Ethmoid Sinus Adenoid Cystic Carcinoma,0
152,Mammary Gland Type Features Present,Ethmoid Sinus Adenoid Cystic Carcinoma,0
153,Ectopic Tissue,Ethmoid Sinus Adenoid Cystic Carcinoma,0
154,Barrett Esophagus With Metaplastic Goblet Cell Columnar Epithelium,Ethmoid Sinus Adenoid Cystic Carcinoma,0
155,Dilated Cystic Spaces Present,Stage IVA Vulvar Cancer AJCC v6,0
156,Dedifferentiated Malignant Infiltrate,Stage IVA Vulvar Cancer AJCC v6,0
157,Mammary Gland Type Features Present,Stage IVA Vulvar Cancer AJCC v6,0
158,Ectopic Tissue,Stage IVA Vulvar Cancer AJCC v6,0
159,Barrett Esophagus With Metaplastic Goblet Cell Columnar Epithelium,Stage IVA Vulvar Cancer AJCC v6,0
160,Dilated Cystic Spaces Present,Stage IVA Oral Cavity Squamous Cell Carcinoma AJCC v6 and v7,0
161,Dedifferentiated Malignant Infiltrate,Stage IVA Oral Cavity Squamous Cell Carcinoma AJCC v6 and v7,0
162,Mammary Gland Type Features Present,Stage IVA Oral Cavity Squamous Cell Carcinoma AJCC v6 and v7,0
163,Ectopic Tissue,Stage IVA Oral Cavity Squamous Cell Carcinoma AJCC v6 and v7,0
164,Barrett Esophagus With Metaplastic Goblet Cell Columnar Epithelium,Stage IVA Oral Cavity Squamous Cell Carcinoma AJCC v6 and v7,0
165,Dilated Cystic Spaces Present,Nasal cavity carcinoma,0
166,Dedifferentiated Malignant Infiltrate,Nasal cavity carcinoma,0
167,Mammary Gland Type Features Present,Nasal cavity carcinoma,0
168,Ectopic Tissue,Nasal cavity carcinoma,0
