,CUI1,CUI2
0,Anaplasia,Adenocarcinoma with squamous metaplasia
1,HIF1A Overexpression Positive,Adenocarcinoma with squamous metaplasia
2,Cauliflower-Like Mass,Occult Lung Cancer AJCC v8
3,Numerous Stromal Mast Cells Present,Stromal sarcoma
4,Congenital Abnormality,Congenital melanocytic nevus
5,Severe dysplasia,Mild epithelial dysplasia
6,Acinar Proliferation,Acinar cell cystadenocarcinoma
7,Vater-Pacini Corpuscles-Like Structures Present,Pseudolymphoma
8,Peau d'orange surface of breast,Usual ductal hyperplasia of breast
9,Collagenous Stroma Formation,Gastric Carcinoma with Lymphoid Stroma
10,Schwannian Stroma Predominant Component of the Tumor Volume,Benign Mixed Tumor of the Vulva
11,Fibrovascular Stroma Formation,Gastric Carcinoma with Lymphoid Stroma
12,Alopecia,Malignant neoplasm of stomach recurrent
13,Sheets of Interfollicular Plasma Cells Present,Recurrent tumors of the Ewing's family
14,Monoclonal Eosinophils Present,Monoclonal Gammopathy of Undetermined Significance
15,Somatostatin Positive Neoplastic Cells Present,Neoplastic Polyp
16,Pseudopapillary Pattern,"Testicular Yolk Sac Tumor, Hepatoid Pattern"
17,Superficial Lesion,Pre-Malignant Skin Epithelial Lesion
18,Recurrent Malignant Neoplasm,Recurrent Human Papillomavirus-Related Malignant Neoplasm
19,Neuronal Differentiation,Superficial Epithelioma with Sebaceous Differentiation
20,Carcinomatous Component Present,Glioblastoma with Primitive Neuronal Component
21,"Blasts Expressing B-Lymphoid, T-Lymphoid, and Myeloid Markers Present",Myeloid Neoplasms with Germline Predisposition and Preexisting Platelet Disorders
22,Honeycomb Pattern,"Testicular Yolk Sac Tumor, Endodermal Sinus Pattern"
23,Hemorrhagic Neuroblastic Nodules Present,Neuroblastic tumors
24,IDH Gene Family Mutation Status Unknown,Renal Cell Carcinoma Associated with Xp11.2 Translocations/TFE3 Gene Fusions
25,Entrapped Respiratory Epithelium Present,Intestinal Metaplasia of Bladder Urachal Epithelium
26,Confluent Sheets of Neoplastic B-Lymphocytes Present,Recurrent tumors of the Ewing's family
27,Multilocular Lesion,Primary Melanocytic Lesion of Meninges
28,Chronic Phase of Disease,Leukemic Phase of Non-Hodgkin's Lymphoma
