,CUI1,CUI2
0,hemorrhage during pregnancy threatening abortion,Threatened abortion
1,Threatened abortion,hemorrhage during pregnancy threatening abortion
2,Threatened abortion,hemorrhage during pregnancy threatening abortion with baby delivered
3,Threatened abortion,hemorrhage during pregnancy threatening abortion as antepartum condition
4,hemorrhage during pregnancy threatening abortion with baby delivered,Threatened abortion
5,hemorrhage during pregnancy threatening abortion as antepartum condition,Threatened abortion
6,Grafting procedure,Complication of artificial skin graft
7,Lupus Erythematosus,Subcutaneous nodule associated with lupus erythematosus
8,Operative Surgical Procedures,Granuloma of surgical wound
9,Subcutaneous nodule associated with lupus erythematosus,Lupus Erythematosus
10,Complication of artificial skin graft and decellularized allodermis,Interventional procedure
11,Complication of artificial skin graft and decellularized allodermis,Artificial skin
12,Leakage of peritoneal dialysate into subcutaneous tissue of abdominal wall,Peritoneal Dialysis
13,Leakage of peritoneal dialysate into pleural cavity,Peritoneal Dialysis
14,Granuloma of surgical wound,Operative Surgical Procedures
15,Complication of artificial skin graft,Grafting procedure
16,Catheter related infection,Catheterization
17,Encapsulating peritoneal sclerosis associated with peritoneal dialysis,Peritoneal Dialysis
18,Catheterization,Catheter related infection
19,Peritoneal Dialysis,Leakage of peritoneal dialysate into subcutaneous tissue of abdominal wall
20,Peritoneal Dialysis,Leakage of peritoneal dialysate into pleural cavity
21,Peritoneal Dialysis,Encapsulating peritoneal sclerosis associated with peritoneal dialysis
22,Interventional procedure,Complication of artificial skin graft and decellularized allodermis
23,Artificial skin,Complication of artificial skin graft and decellularized allodermis
24,Focal Infection,Localized enamel hypomineralization associated with localized infection
25,Connective Tissue Diseases,Scleroderma-associated necrotizing vasculitis
26,Localized enamel hypomineralization associated with localized infection,Focal Infection
27,Failure of dental post,Interventional procedure
28,Blocked central line,Interventional procedure
29,Miscarriage due to Leptospira,Leptospirosis
30,Mechanical complication of chin prosthesis,Interventional procedure
31,Mycoplasma Infections,Erythema multiforme due to mycoplasma infection
32,Lymphogranuloma Venereum,Lymphedema due to lymphogranuloma venereum
33,Toxoplasmosis,suspected damage to fetus from maternal toxoplasmosis
34,Complication of implant,Interventional procedure
