,CUI1,CUI2
0,Post-Traumatic Stress Disorder,Prolonged post-traumatic stress disorder
1,Body Dysmorphic Disorders,Body Dysmorphic Disorders
2,Typhoid Fever,Typhoid and paratyphoid fevers
3,Cat-Scratch Disease,Cat-Scratch Disease
4,Enterovirus Infections,Enteritis due to enterovirus not elsewhere classified
5,Echinococcosis,"Echinococcus granulosus infection, other"
6,Echinococcosis,"Echinococcus multilocularis infection, other sites"
7,Echinococcosis,"Echinococcosis, other and unspecified"
8,Trichomonas Infections,Trichomoniasis of other specified sites
9,Rheumatoid Arthritis,Rheumatoid arthritis and other inflammatory polyarthropathies
10,Rheumatoid Arthritis,Other rheumatoid arthritis with visceral or systemic involvement
11,Rheumatoid Arthritis,Jaccoud's syndrome
12,Rheumatoid Arthritis,Rheumatoid Arthritis
13,Rheumatoid Arthritis,Rheumatoid Arthritis
14,Ankylosing spondylitis,Ankylosing spondylitis and other inflammatory spondylopathies
15,Ankylosing spondylitis,Ankylosing spondylitis
16,Renal tubular acidosis,Distal Renal Tubular Acidosis
17,Renal tubular acidosis,Primary RTA
18,Renal tubular acidosis,"Renal Tubular Acidosis, Type II"
19,Essential Hypertension,"Benign essential hypertension complicating pregnancy, childbirth and the puerperium"
20,Essential Hypertension,"Benign essential hypertension complicating pregnancy, childbirth, and the puerperium, delivered, with or without mention of antepartum condition"
21,Essential Hypertension,"Benign essential hypertension, complicating pregnancy, childbirth, and the puerperium, delivered, with mention of postpartum complication"
22,Essential Hypertension,"Benign essential hypertension complicating pregnancy, childbirth, and the puerperium, unspecified as"
23,Essential Hypertension,"Benign essential hypertension complicating pregnancy, childbirth, and the puerperium, unspecified as"
24,Paraneoplastic Syndromes,Paraneoplastic Syndromes
25,Uterine Cervical Incompetence,"Cervical incompetence complicating pregnancy, childbirth, or the puerperium"
26,Uterine Cervical Incompetence,"Cervical incompetence, unspecified as to episode of care or not applicable"
27,Uterine Cervical Incompetence,Cervical incompetence - delivered
28,Uterine Cervical Incompetence,"Cervical incompetence, delivered, with mention of postpartum complication"
29,Uterine Cervical Incompetence,"Cervical incompetence, antepartum condition or complication"
30,Uterine Cervical Incompetence,"Cervical incompetence, postpartum condition or complication"
31,Uterine Cervical Incompetence,Fetal or neonatal effect of incompetent cervix
32,Dysuria,Urinary spray
33,"Tachycardia, Ventricular",Tidal Volume
34,"Tachycardia, Ventricular","Tachycardia, Ventricular"
35,Sense of smell altered,smell and taste disorder
36,Sense of smell altered,smell and taste disorder
37,Sense of smell altered,Dysosmia
38,Brain Concussion,Concussion with less than 1 hour loss of consciousness
39,Brain Concussion,Concussion with 1-24 hours loss of consciousness
40,Brain Concussion,Concussion with prolonged loss of consciousness and return to pre-existing conscious level
41,Brain Concussion,"Concussion with prolonged loss of consciousness, without return to pre-existing conscious level"
42,Brain Concussion,Concussion with loss of consciousness
43,Brain Concussion,concussion with open intracranial wound
44,Agitation,Discomposure marked
45,Agitation,Discomposure marked
46,Phobic anxiety disorder,Other isolated or simple phobias
47,Phobic anxiety disorder,Phobic anxiety disorder
48,Phobic anxiety disorder,Phobic anxiety disorder
49,Dyslexia,Other specific developmental reading disorder
50,Precocious Puberty,"Precocious sexual development and puberty, NEC in MDR22_0"
51,Oral contraception,Oral contraception
52,Photopsia,Shifting vision
53,Suicide attempt,Suicide attempt by drug overdose
54,Blast Injuries,Blast Injuries
55,Blast Injuries,Blast Injuries
56,Blast Injuries,Blast Injuries
57,furuncle,Furunculosis
58,furuncle,Furuncle (excl genital)
59,Cicatrix,Scar conditions and fibrosis of skin
60,Pterygium of eye,"Peripheral pterygium, progressive"
61,Hyperkeratosis,Skin callus
62,Hyperkeratosis,Corns and callosities
63,Lichenification,Lichenification and lichen simplex chronicus
64,West Syndrome,"Infantile spasms, without mention of intractable epilepsy"
65,West Syndrome,Hypsarrhythmia
66,Raynaud Phenomenon,Raynaud Phenomenon
67,Bence-Jones proteinuria,Bence Jones protein urine absent
68,Bence-Jones proteinuria,Bence Jones protein urine present
69,Arthralgia,"Pain in a joint, pelvic region and thigh"
70,Arthralgia,"Pain in a joint, ankle and foot"
71,Arthralgia,"Pain in joint, other specified sites"
72,Arthralgia,Polyarthralgia
73,Arthralgia,Shoulder joint pain associated with
74,Arthralgia,Pain in (l) elbow
75,Arthralgia,Pain in (r) elbow
76,Arthralgia,Pain in (l) hip
77,Arthralgia,Pain in (r) hip
78,Arthralgia,Aching (l) knee
79,Arthralgia,Aching (r) knee
80,Cataract associated with radiation,Cataract associated with radiation and other physical influences
81,Syndactyly,Polysyndactyly
82,Syndactyly,Web bad fingers
83,Patent ductus arteriosus - persisting type,Patent ductus arteriosus - persisting type
84,Patent ductus arteriosus - persisting type,Patent ductus arteriosus - persisting type
85,Nephrolithiasis,Calculus of kidney and ureter
86,Gastric ulcer,"Gastric ulcer, unspecified as acute or chronic, without mention of hemorrhage or perforation, without mention of obstruction"
87,Gastric ulcer,"Acute gastric ulcer without hemorrhage, without perforation AND without obstruction"
88,Gastric ulcer,"Chronic gastric ulcer without mention of hemorrhage or perforation, without mention of obstruction"
89,Gastric ulcer,"Gastric ulcer, unspecified as acute or chronic, without mention of hemorrhage or perforation, without mention of obstruction"
90,Gastric ulcer,"Gastric ulcer, unspecified as acute or chronic, without mention of hemorrhage or perforation, with obstruction"
91,Gastric ulcer,"Gastric ulcer, unspecified as acute or chronic, without mention of hemorrhage or perforation, with obstruction"
92,Gastric ulcer,"Gastric ulcer, unspecified as acute or chronic, without mention of hemorrhage and perforation"
93,Gastric ulcer,"Chronic gastric ulcer without mention of hemorrhage or perforation, without mention of obstruction"
94,Gastric ulcer,"Gastric ulcer, unspecified as acute or chronic, without mention of hemorrhage or perforation, with obstruction"
95,Gastric ulcer,"Gastric ulcer, unspecified as acute or chronic, without mention of hemorrhage and perforation"
96,Tympanosclerosis,Tympanosclerosis
97,Tympanosclerosis,Tympanosclerosis involving tympanic membrane AND ear ossicles
98,Tympanosclerosis,"Tympanosclerosis involving tympanic membrane, ear ossicles AND middle ear"
99,Tympanosclerosis,Tympanosclerosis involving other combination of structures
100,Pulmonary Infarction,Pulmonary embolism with pulmonary infarction
101,Pulmonary Infarction,Infarction of lung due to iatrogenic pulmonary embolism
102,Pulmonary Infarction,Other pulmonary embolism and infarction
103,Xerostomia,Mouth drawn
104,Xerostomia,Mouth shriveled
105,Lymphadenopathy,Lymphadenopathy
106,Lymphadenopathy,Mucocutaneous lymph node
107,Bacterial sepsis,Septicemia due to other Gram-negative organisms
108,Bacterial sepsis,Septicemia due to other Gram-negative organisms
109,Bacterial sepsis,Septicemia due to other Gram-negative organisms
110,Non-venereal endemic syphilis,Non-venereal endemic syphilis
111,Staphylococcal Infections,Bacterial infection due to other staphylococcus
