,CUI1,CUI2
0,FDA Established Names and Unique Ingredient Identifier Codes Terminology,ETHAVERINE HYDROCHLORIDE
1,FDA Established Names and Unique Ingredient Identifier Codes Terminology,pneumococcal capsular polysaccharide type 2 vaccine
2,FDA Established Names and Unique Ingredient Identifier Codes Terminology,Acetomenaphthone
3,FDA Established Names and Unique Ingredient Identifier Codes Terminology,Cnidium monnieri Fruit
4,NCPDP Strength Form Terminology,Solid Dose Form
5,CTRP Agent Terminology,Forodesine hydrochloride
6,FDA Established Names and Unique Ingredient Identifier Codes Terminology,LEDISMASE
7,FDA CDRH GUDID Terminology,Recommended Storage Humidity
8,CTRP Terminology,Stage IVC Thyroid Gland Papillary Carcinoma AJCC v7
9,CTRP Agent Terminology,EGFRvIII-specific CAR-transduced Autologous T Lymphocytes
10,CDISC QRS Terminology,HAMD-21 - Insomnia Early
11,CareLex eTMF Terminology,Vendor Information Documentation
12,Pediatric Terminology,Perinatal respiratory distress
13,Clinical Data Interchange Standards Consortium Terminology,Experimental Organism Benign Stromal Tumor Neoplasm
14,CDISC SDTM Terminology,Percent Recovered Infinity Observed Normalized by Weight
15,CDISC SDTM Unit of Measure Terminology,Milliliter per gram
16,Perinatal Terminology,Hydatidiform Mole
17,CDISC SDTM Medical Evaluator Terminology,Oncologist 2
18,CDISC CDASH Terminology,Puerto Ricans
19,CDISC SEND Terminology,Feces
20,CDISC SDTM Laboratory Test Terminology by Name,Basophil To Leukocyte Ratio
21,CDISC SDTM PK Unit of Measure Kilogram Weight Terminology,Minute Times Microgram Per Milliliter Per Kilogram
22,CDISC Questionnaire DAD Test Name Terminology,DAD - Adequately Organize Correspondence
23,CDISC SDTM Trial Summary Parameter Terminology by Code,Country of Manufacture
24,CDISC SDTM Terminology,Galactography
25,CDISC QRS Terminology,NPI - Increase in Appetite
26,CTRP Agent Terminology,umbralisib
27,Oral Health Impact Profile,"Unsatisfactory Diet due to Problem with Teeth, Denture or Mouth"
28,CDISC SEND Body System Terminology,Endocrine finding
29,CDISC SDTM Terminology,mCi/kg
30,Clinical Data Interchange Standards Consortium Terminology,Human parainfluenza viruses
31,Clinical Data Interchange Standards Consortium Terminology,GAD-7 - Becoming Easily Annoyed or Irritable
32,Patient Reported Outcomes Version of CTCAE,Past Seven Days Pain Interfering with Usual or Daily Activities
33,Stability Container Type Terminology,Flask
34,CDISC SDTM Terminology,Bacteriological Cure
35,Neonatal Research Network Terminology,Muscle hypotonia
36,Clinical Data Interchange Standards Consortium Terminology,DAD - Eat Meals at a Normal Pace and with Appropriate Manners
37,Neonatal Research Network Terminology,Anemia
38,CareLex eTMF Terminology,Database Validation Plan
39,Clinical Data Interchange Standards Consortium Terminology,Corynebacterium accolens
40,CTRP Agent Terminology,CC-115
41,CDISC Variable Terminology,Microbiology Susceptibility Elapsed Time
42,CDISC SDTM Terminology,New Tumor Confirmation
43,Neonatal Research Network Terminology,Congenital His bundle tachycardia
44,US Counties Terminology,"Gallatin County, KY"
45,Adverse Event Outcome ICSR Terminology,Adverse Event Emergency Room Visit
46,Clinical Data Interchange Standards Consortium Terminology,Thyroid/Parathyroid
47,CTRP Agent Terminology,Extended Release Flucytosine
48,CDISC SDTM Adverse Event Outcome Terminology,Death Related to Adverse Event
49,CTRP Terminology,Adult Central Nervous System Choriocarcinoma
50,eCTD Promotional Material Type Terminology,Giveaway
51,Neurological Development Terminology,Asperger Syndrome
52,CDISC SDTM Terminology,C-SSRS Children's Baseline - Most Lethal Suicide Attempt Date
53,FDA Established Names and Unique Ingredient Identifier Codes Terminology,Phosphorus 32
54,CDISC Questionnaire Terminology,Generalized Anxiety Disorder Scale
55,CTRP Terminology,Cantuzumab ravtansine
56,FDA Established Names and Unique Ingredient Identifier Codes Terminology,Oxetacillin
57,FDA Established Names and Unique Ingredient Identifier Codes Terminology,Ditiocarb
58,NCIt Antineoplastic Agent Terminology,shosaiko-to
59,FDA Established Names and Unique Ingredient Identifier Codes Terminology,calcium lactate
60,NCIt Antineoplastic Agent Terminology,Cintredekin Besudotox
61,CDISC Questionnaire C-SSRS Children's Baseline Test Name Terminology,C-SSRS Children's Baseline - Most Lethal Suicide Attempt Actual Lethality/Medical Damage
62,CDISC SDTM Laboratory Test Terminology by Name,Hepatitis C Virus Antigen Measurement
63,FDA Device Component Code Hierarchy,Ferrule Device
64,FDA Established Names and Unique Ingredient Identifier Codes Terminology,Squalene
65,CDISC Variable Terminology,Questionnaire Reason Not Done
66,CDISC SDTM Terminology,"Short Form 36 Health Survey Acute, US Version 2.0 Questionnaire"
67,FDA Established Names and Unique Ingredient Identifier Codes Terminology,Peraclopone
68,FDA Established Names and Unique Ingredient Identifier Codes Terminology,cicloprolol hydrochloride
69,Clinical Data Interchange Standards Consortium Terminology,Barnes Akathisia Rating Scale Questionnaire
70,Medical Outcomes Study Your Feelings Questionnaire,Extremely Happy
71,CDISC QRS Terminology,C-SSRS Baseline/Screening Version - Number of Interrupted Suicide Attempts (Lifetime)
72,FDA Established Names and Unique Ingredient Identifier Codes Terminology,timolol anhydrous
73,CDISC Questionnaire PHQ Screener Version Test Code Terminology,PHQ Screener Version - Feeling Nervous or Anxious
74,FDA Device Problem Code Hierarchy,Moisture Damage
75,FDA Established Names and Unique Ingredient Identifier Codes Terminology,efegatran sulfate
76,Pediatric Terminology,Weight Gain
77,"Geopolitical Entities, Names, and Codes Terminology",Cyprus
78,Clinical Data Interchange Standards Consortium Terminology,CRQ-SAS Follow-Up Administration Version - Felt Frustrated or Impatient
79,Clinical Data Interchange Standards Consortium Terminology,Billion Organisms
80,Clinical Data Interchange Standards Consortium Terminology,Multi-Drug Resistance
81,CTRP Terminology,Adult Epithelioid Sarcoma
82,CDISC SEND Terminology,Trimonthly
83,Pediatric Terminology,Nephropathy induced by heavy metals
84,CDISC QRS Terminology,CDISC Questionnaire GCGI v1 Test Name Terminology
85,US Counties Terminology,"Logan County, ND"
86,CTRP Terminology,brincidofovir
87,Clinical Data Interchange Standards Consortium Terminology,Actinomyces israelii (bacteria)
88,CTRP Terminology,Levofloxacin
89,FDA Established Names and Unique Ingredient Identifier Codes Terminology,sodium gentisate
90,FDA Established Names and Unique Ingredient Identifier Codes Terminology,clenbuterol hydrochloride
91,Sleep Quality Question,Occasionally Have Trouble Getting to Sleep and Staying Asleep
92,FDA Established Names and Unique Ingredient Identifier Codes Terminology,trandolapril
93,CDISC Questionnaire Terminology,"C-SSRS Since Last Visit - Description of Ideation With Intent, No Plan"
94,CDISC Questionnaire BPI Test Name Terminology,BPI - Need more Pain Medication than Prescribed
95,CDISC SDTM Microorganism Terminology,Streptococcus agalactiae
96,FDA Established Names and Unique Ingredient Identifier Codes Terminology,"Fluoxetine Hydrochloride, (R)-"
97,CDISC SDTM Terminology,Cylindrical Refractive Error
98,NCPDP Quantity Unit of Measure Terminology,bottle - unit dose
99,CTRP Terminology,Isolated limb perfusion
100,NCIt Antineoplastic Agent Terminology,Synthetic hTERT DNA Vaccine INO-1400
101,NCIt Neoplasm Core Terminology,Thymic Small Cell Carcinoma
102,FDA Established Names and Unique Ingredient Identifier Codes Terminology,Inosine Pranobex
103,CDISC QRS Terminology,C-SSRS Baseline/Screening Version - Aborted Suicide Attempt (Lifetime)
104,CDISC SEND Terminology,Minute Times Milligram Per Milliliter Per Milligram Per Gram
105,CTRP Agent Terminology,CD4+ CD25+ Regulatory T Cells
106,Clinical Data Interchange Standards Consortium Terminology,Pancreatic duct
107,Neonatal Research Network Terminology,Classical galactosemia
108,CDISC Variable Terminology,Skin Response Evaluator
109,CDISC SDTM Terminology,ADCS-ADL - Usual Conversation Participation
110,CTRP Agent Terminology,Macitentan
111,Clinical Data Interchange Standards Consortium Terminology,Lambda Z
112,FDA Established Names and Unique Ingredient Identifier Codes Terminology,fenproporex
113,CDISC SDTM Terminology,Long-term Follow-up
114,US Counties Terminology,"Penuelas Municipio, PR"
115,FDA Established Names and Unique Ingredient Identifier Codes Terminology,ethynodiol
116,US Counties Terminology,"Calhoun County, MI"
117,CDISC Questionnaire SGRQ Past 3 Months Version Test Name Terminology,SGRQ Past 3 Months Version - Breathing Makes Difficult to Walk Up Hills
118,Clinical Data Interchange Standards Consortium Terminology,SGRQ Past 3 Months Version - Breathing Makes Difficult to Walk Up Hills
119,SPL Pharmaceutical Dosage Form Terminology,Aerosol Spray Dosage Form
120,FDA Established Names and Unique Ingredient Identifier Codes Terminology,levoxadrol
121,CDISC SDTM Microorganism Terminology,Nosema
122,Pediatric Terminology,Split-Hand/Foot Malformation
123,CDISC SEND Terminology,follow-up
124,FDA Established Names and Unique Ingredient Identifier Codes Terminology,ZSTK474
125,CTRP Agent Terminology,ZSTK474
126,Perinatal Terminology,Splenic Rupture Related to Birth
127,CDISC Questionnaire Terminology,GOSE - Epilepsy: Most Important Factor in Outcome
128,Pediatric Terminology,Respiratory Depression
129,Clinical Data Interchange Standards Consortium Terminology,Streptococcus gallolyticus
130,CDISC SDTM Terminology,DNA
131,CTRP Agent Terminology,Cytokine-Induced Killer Cells
132,CDISC SDTM Terminology,Lactobacillus gasseri
133,CTRP Terminology,Milademetan Tosylate
134,FDA Established Names and Unique Ingredient Identifier Codes Terminology,geldanamycin
135,CTRP Disease Terminology,Heart Diseases
136,CDISC SEND Tumor Findings Results Terminology,Benign Cardiac Schwannoma
137,CDISC SDTM Microorganism Terminology,Veillonella atypica
138,CDISC SDTM Terminology,Oidiodendron
139,CDISC Clinical Classification Terminology,Coronary Thrombus TIMI Grade Clinical Classification
140,CDISC Questionnaire C-SSRS Children's Baseline Test Code Terminology,C-SSRS Children's Baseline - Number of Actual Suicide Attempts
141,CTRP Terminology,"Leukemia, Myelocytic, Acute"
142,FDA Device Problem Code Hierarchy,Unstable Medical Device Problem
143,CDISC Questionnaire ADCS-ADL Test Code Terminology,ADCS-ADL - Dispose of Garbage in Appropriate Place at Home
144,Clinical Data Interchange Standards Consortium Terminology,Milli-International Unit per Milliliter per Kilogram
145,Clinical Data Interchange Standards Consortium Terminology,Minute Times Femtogram Per Milliliter Per Kilogram
146,CDISC SEND Terminology,Day Times gram Per Milliliter Per Milligram Per Gram
147,Clinical Data Interchange Standards Consortium Terminology,CDISC Functional Test BACS Test Code Terminology
148,CDISC SDTM Unit of Measure Terminology,osmole (unit of measure)
149,FDA Established Names and Unique Ingredient Identifier Codes Terminology,fropenem
150,Pediatric Adverse Events Terminology,Basophilopenia
151,Hospital Anxiety and Depression Scale Questionnaire,"Yes, But Not Too Badly"
152,FDA Established Names and Unique Ingredient Identifier Codes Terminology,Cephradine Anhydrous
153,Pediatric Terminology,Macrophage Activation Syndrome
154,CDISC SEND Terminology,Left Ventricular Apical Lateral Segment
155,CDISC SDTM Terminology,Brevibacterium
156,US Counties Terminology,"Bourbon County, KS"
157,CDISC SDTM Microorganism Terminology,Vorticella
