,CUI1,CUI2
0,Gastrointestinal system,tubulovillous adenoma of stomach
1,Respiratory System,Myocarditis
2,Brain,Neoplasm of cerebrum
3,Cornea,Bullous keratopathy
4,Head and neck structure,Mucoepidermoid carcinoma of the oral cavity stage III
5,Nervous system structure,Adult Primary Melanocytic Lesion of Meninges
6,Connective and Soft Tissue,Arthropathy associated with infection
7,Reproductive system,Uterine Corpus Rhabdomyosarcoma
8,Urinary system,Uric acid nephropathy acute
9,Head and neck structure,Major Salivary Gland Non-Hodgkin Lymphoma
10,Brain,Childhood Gliomatosis Cerebri
11,Hematopoietic and Lymphatic System,"Leukemia, Myelomonocytic, Chronic"
12,Head and neck structure,Congenital Epulides
13,Hematopoietic and Lymphatic System,Adult Unfavorable Prognosis Hodgkin Lymphoma
14,Intestines,Stage I Colon Cancer AJCC v6 and v7
15,Lung,Bronchial adenoma
16,Oral cavity,"Odontoma, Compound"
17,Central Nervous System,Anterior Foramen Magnum Meningioma
18,Gonadal structure,Testicular germ cell tumor mixed
19,Lung,Lung Mucinous Cystadenoma
20,Larynx,Laryngeal Adenosquamous Carcinoma
21,Hematopoietic and Lymphatic System,Infant Acute Biphenotypic Leukemia
22,Lung,Primary Pulmonary Diffuse Large B-Cell Lymphoma
23,Intestines,Adenocarcinoma of cecum
24,Colon structure (body structure),Adenocarcinoma of cecum
25,Ear structure,Lipoma of external auditory meatus
26,Head and neck structure,Stage IVC Lip Cancer AJCC v6 and v7
27,Respiratory System,Infectious Lung Disorder
28,Eye,Retinal Detachment
29,Hematopoietic and Lymphatic System,Infant Leukemia
30,Central Nervous System,Childhood Protoplasmic Astrocytoma
31,Esophagus,Malignant neoplasm of esophagus
32,Gastrointestinal system,Gastric Neuroendocrine Neoplasm
33,Eyelid structure,Stage IV Eyelid Carcinoma AJCC v7
34,Gonadal structure,Stage I Ovarian Germ Cell Tumor AJCC v6 and v7
35,Gastrointestinal system,Postsurgical Stage IV Hepatoblastoma
36,Intestines,Colon Burkitt Lymphoma
37,Connective and Soft Tissue,undifferentiated sarcoma of ovary
38,Gastrointestinal system,Stage II Colorectal Cancer AJCC v7
39,Urinary system,Bladder Urothelial Papilloma
40,Cervix Uteri,Acute cervicitis
41,Eye,Ocular Adnexal Lymphoma
42,Connective and Soft Tissue,Primary Non-Hodgkin Lymphoma of Bone
43,Vagina,Vaginal Tubulovillous Adenoma
44,Head and neck structure,Deafness
45,Colorectal Region,Stage III Rectosigmoid Cancer AJCC v7
46,Nervous system structure,Mosquito-borne viral encephalitis
47,Urinary system,Nephrotic Syndrome - WT1 Associated
48,Head and neck structure,Laryngeal Leiomyoma
49,Lacrimal Apparatus,Neoplasm of lacrimal gland
50,Anus,Anal Precancerous Condition
51,Brain,Childhood Cerebral Anaplastic Astrocytoma
52,Bone Marrow,Childhood Acute Myeloid Leukemia with Minimal Differentiation
53,Bone Marrow,"Acute myeloid leukemia, t(8;21) (q22;q22)"
54,Colorectal Region,Grade 3 Colon Adenocarcinoma
55,Vascular System,Acute vascular insufficiency of intestine (disorder)
56,Connective and Soft Tissue,Heberden node
57,Male Reproductive System,"Testicular Mixed Germ Cell-Sex Cord-Stromal Tumor, Unclassified"
58,Central Nervous System,Recurrent Childhood Gliomatosis Cerebri
59,Salivary Glands,Parotid Gland Kaposi Sarcoma
60,Skeletal bone,Stage IIB Bone Cancer AJCC v7
61,Reproductive system,adenosquamous carcinoma of ovary
62,Hepatobiliary System,Non-alcoholic Fatty Liver Disease
63,Major salivary gland structure,Parotid Gland Mucosa-Associated Lymphoid Tissue Lymphoma
64,Gastrointestinal system,Cecal Infection
65,Labyrinth,Neoplasm of the inner ear
66,Heart,Mitral Valve Insufficiency
67,Nervous system structure,Supratentorial Meningioma
68,Vascular System,Transplant-Related Kaposi Sarcoma
69,Nervous system structure,Myelitis
70,Nervous system structure,Epithelioid Malignant Peripheral Nerve Sheath Tumor
71,Gastrointestinal system,Functioning Pancreatic Neuroendocrine Tumor
72,Reproductive system,Benign germ cell tumor of ovary
73,Female Reproductive System,Benign germ cell tumor of ovary
74,Male Reproductive System,Testicular choriocarcinoma stage I
75,Respiratory System,Left atrial myxoma
76,Nervous system structure,Functioning Pituitary Gland Macroadenoma
77,Gastrointestinal system,Colon Kaposi Sarcoma
78,Cardiovascular system,Mediastinal Angiosarcoma
79,Connective and Soft Tissue,Lipomatous neoplasm
80,Kidney,Acute Cortical Necrosis
81,Cardiovascular system,Patent ductus arteriosus
82,Ovary,Ovarian Dermoid Cyst with Sebaceous Carcinoma
83,Skeletal bone,Acquired Rickets
84,Head and neck structure,Acquired central hypothyroidism
85,Gastrointestinal system,basaloid carcinoma of anus
86,Uterus,Stage IC Uterine Corpus Cancer AJCC v6
87,Bile duct structure,papillary adenoma of extrahepatic bile duct
88,Prostate,Stage IV Prostate Cancer AJCC v7
89,Oral cavity,Follicular ameloblastoma
90,Female Reproductive System,Malignant Uterine Corpus Neoplasm
91,Connective and Soft Tissue,Uterine Corpus Soft Tissue Neoplasm
92,Respiratory System,"Foramen Ovale, Patent"
93,Bone structure of cranium,Densely Granulated Lactotroph Adenoma
94,Connective and Soft Tissue,Colon Lymphangioma
95,Urinary system,Postpartum acute renal failure
96,Meninges,Recurrent Meningioma
97,Nervous system structure,Benign neurologic neoplasms
98,Central Nervous System,Nonketotic Hyperglycinemia
99,Nervous system structure,Cerebral meningioma
100,Stomach,Stomach Diseases
101,Gastrointestinal system,Paralytic Ileus
102,Testis,Testicular Mixed Embryonal Carcinoma and Teratoma
103,Breast,Juvenile fibroadenoma of breast
104,Uterus,Uterine Corpus Diffuse Leiomyomatosis
105,Breast,Breast Capillary Hemangioma
106,Salivary Glands,Major Salivary Gland Mucoepidermoid Carcinoma
107,Urinary system,Penile Urethral Malignant Neoplasm
108,Gastrointestinal system,Rectal polyp
109,Urinary system,Papillary tumor of renal pelvis
110,Uterus,Cervical Glandular Neoplasm
111,Gastrointestinal system,Biliary Intraepithelial Neoplasia-3
112,Central Nervous System,Cerebellar Liponeurocytoma
113,Adrenal Glands,Multinodular Adrenal Hyperplasia
114,Brain,Intracerebral Cystic Meningioma
115,Reproductive system,Mature Testicular Teratoma
116,Brain,Region 17p13 Allelic Loss Associated Medulloblastoma
117,Nervous system structure,Atypical Teratoid Rhabdoid Tumor
118,Connective and Soft Tissue,Bladder Leiomyoma
119,Intestines,Malignant Rectal Neoplasm
120,Retroperitoneal Space,Micronodular adrenal hyperplasia
121,Anus,Anal Canal Small Cell Neuroendocrine Carcinoma
122,Urinary system,Bladder Paraganglioma
123,Vulva,Childhood Botryoid-Type Embryonal Rhabdomyosarcoma of the Vulva
124,Nervous system structure,Rhabdoid meningioma
125,Pancreas,Pancreatic Neuroendocrine Microadenoma
126,Neck,Nasopharyngitis
127,Reproductive system,Stage IIC Testicular Cancer AJCC v6 and v7
128,Stomach,Helicobacter-associated gastritis
129,Reproductive system,Vulvar Superficial Myofibroblastoma
130,Supratentorial Brain,Benign cerebral tumor
131,Head and neck structure,Ectopic posterior pituitary
132,Brain Stem,Benign neoplasm of brain stem
133,Nervous system structure,Encephalomalacia
134,Gastrointestinal system,Mature Gastric Teratoma
135,Brain,Recurrent Adult Brain Neoplasm
136,Intestines,Antibiotic-Associated Colitis
137,Kidney,Chronic glomerulonephritis
138,Nervous system structure,Pilocytic astrocytoma of cerebellum
139,Central Nervous System,Central Nervous System Chondroma
140,Gastrointestinal system,Cholangiocarcinoma resectable
141,Vascular System,Hemangioma of subcutaneous tissue
142,Connective and Soft Tissue,Extrarenal Rhabdoid Tumor of the Liver
143,Brain Stem,Childhood Brain Stem Neoplasm
144,Kidney and Ureter,Renal Pelvis Urothelial Papilloma
145,Gastrointestinal system,Gastric Xanthoma
146,Nervous system structure,Childhood Pilocytic Astrocytoma
147,Respiratory System,Non-Neoplastic Thoracic Disorder
148,Kidney,Lymphoma of kidney
149,Urinary system,Secondary Focal Segmental Glomerulosclerosis
150,Vascular System,Double coronary vessel disease
151,Oropharyngeal,Stage III Oropharyngeal Carcinoma AJCC v7
152,Lung,Lung squamous cell carcinoma stage II
153,Cardiovascular system,Soft Tissue Angiosarcoma
154,Bone structure of cranium,Prolactinoma
155,Brain,Childhood Brain Stem Glioma
156,"Bile Ducts, Extrahepatic",papillomatosis of extrahepatic bile duct
157,Nervous system structure,Peripheral motor neuropathy
158,Cervix Uteri,Stage IA Cervical Cancer AJCC v6 and v7
159,Ovary,Ovarian Trabecular Carcinoid Tumor
160,Central Nervous System,Cerebellar hemangioblastoma
161,Oral cavity,Keratocystic Odontogenic Tumor
162,Respiratory System,Mediastinal Soft Tissue Neoplasm
163,Cardiovascular system,Arterial thrombosis
164,Colorectal Region,Rectosigmoid Cancer by AJCC v6 Stage
165,Central Nervous System,Childhood Supratentorial Neoplasm
166,Thyroid Gland,Thyroid Gland Follicular Adenoma
167,Colorectal Region,Colorectal Carcinoma
168,Parathyroid gland,Chief cell adenoma
169,Neck,Hyperthyroidism with Hashimoto disease
170,Reproductive system,Stage IV Penile Cancer AJCC v6
171,Stomach,Gastric Fundus Carcinoma In Situ AJCC v6 and v7
172,Pleural cavity,Pyothorax-Associated Lymphoma
173,Hematopoietic and Lymphatic System,Pyothorax-Associated Lymphoma
174,Respiratory System,Aorticopulmonary Septal Defect
175,Integumentary system,Pemphigoid Gestationis
176,Respiratory System,Adenocarcinoma of lung stage IIIB
177,Connective and Soft Tissue,Cardiac Biphasic Synovial Sarcoma
178,Connective and Soft Tissue,Leiomyoma of lung
179,Female Reproductive System,Ovarian Seromucinous Adenofibroma
180,Eye,"Glaucoma, Primary Open Angle"
181,Connective and Soft Tissue,Breast Leiomyoma
182,Stomach,Benign Gastric Granular Cell Tumor
183,Respiratory System,Occult Lung Adenocarcinoma
184,Connective and Soft Tissue,Osteopetrosis
185,Adrenal Glands,"Pheochromocytoma, malignant"
186,Head and neck structure,Parotid Gland Carcinoma
187,Respiratory System,Acute rheumatic pericarditis
188,Cardiovascular system,Spindle cell hemangioma
189,Cardiovascular system,Vasculitis
190,Gastrointestinal system,Stomach Carcinoma
191,Respiratory System,Schistosis
192,Reproductive system,Stage IIA Gestational Trophoblastic Tumor AJCC v7
193,Skeletal bone,Solitary Osseous Plasmacytoma
194,Esophagus,Benign Esophageal Schwannoma
195,Brain Stem,Childhood Brain Stem Astrocytoma
196,Biliary tract structure,Extrahepatic Bile Duct Mucoepidermoid Carcinoma
197,Female Reproductive System,Ovarian Mixed Germ Cell-Sex Cord-Stromal Tumor
198,Retroperitoneal Space,Adrenocortical carcinoma
199,Connective and Soft Tissue,Cardiac Kaposi's Sarcoma
200,Gastrointestinal system,Polyp of esophagus
201,Female Reproductive System,Stage IIC Ovarian Carcinoma
202,Hepatobiliary System,Hepatic cancer stage IVA
203,Hematopoietic and Lymphatic System,Marginal zone lymphoma recurrent
204,penis,Kaposi's sarcoma of penis
205,Male Reproductive System,"Testicular Yolk Sac Tumor, Microcystic Pattern"
206,Female Reproductive System,Cervical Atypical Polypoid Adenomyoma
207,Brain,Benign Adult Brain Stem Neoplasm
208,Breast,Lipoma of breast
209,Eye,Malignant neoplasm of cornea
210,Retina,Retinitis
211,Reproductive system,"Testicular Yolk Sac Tumor, Macrocystic Pattern"
212,Central Nervous System,Early onset torsion dystonia
213,Integumentary system,Pigmented Dermatofibrosarcoma Protuberans (Bednar Tumor)
214,Reproductive system,Acute salpingitis
215,Female Reproductive System,Serous Tubal Intraepithelial Carcinoma
216,Central Nervous System,Spongiform encephalopathy
217,Heart,Prosthetic valve endocarditis
218,Stomach,Helicobacter Pylori-Associated Gastric Mucosa-Associated Lymphoid Tissue Lymphoma
219,Respiratory System,Stage IA Lung Adenocarcinoma AJCC v7
220,Cardiovascular system,Pericardial Solitary Fibrous Tumor
221,Nervous system structure,Ependymoma of brain stem
222,"Skin, Human",Skin Cavernous Hemangioma
223,Reproductive system,Polyp of vagina
224,Retroperitoneal Space,Adrenal gland abscess
225,Nervous system structure,Childhood Mediastinal Neurogenic Neoplasm
226,Thyroid Gland,Thyroid carcinoma
227,Head and neck structure,Thyroid carcinoma
228,Reproductive system,Placental aromatase deficiency
229,Connective and Soft Tissue,Neonatal rickets
230,Body of uterus,Stage IIIC Uterine Corpus Cancer AJCC v7
231,Neck,Nasopharyngeal lymphoepithelioma stage IV
232,Pituitary Gland,Secretory adenoma of pituitary
233,Female Reproductive System,Fallopian Tube Endometrioid Adenocarcinoma
234,Hematopoietic and Lymphatic System,Ann Arbor Stage II Non-Contiguous Adult Lymphoblastic Lymphoma
235,Vascular System,Pulmonary vascular disorder
236,Liver,BCLC Stage D Hepatocellular Carcinoma
237,Eye,Vascular anomaly of eyelid
238,Intestines,Rectal Signet Ring Cell Adenocarcinoma
239,Central Nervous System,Brain Glioblastoma
240,Hematopoietic and Lymphatic System,Indolent Adult Non-Hodgkin Lymphoma
241,Nervous system structure,Hereditary Neurodegenerative Disorder
242,Reproductive system,"Seminoma, anaplastic"
243,Pineal gland,Pineal Region Yolk Sac Tumor
244,Hematopoietic and Lymphatic System,Small Lymphocytic Lymphoma with Plasmacytoid Differentiation
245,Neck,Laryngitis
246,Ureter,adenocarcinoma of ureter
247,Central Nervous System,anaplastic large cell lymphoma of central nervous system
248,Male Reproductive System,Testicular germ cell tumor mixed stage I
249,Nervous system structure,Thoracic myelocele
250,Gastrointestinal system,Human Papillomavirus-Related Anal Squamous Cell Carcinoma
251,Uvea,Stage III Uveal Melanoma AJCC v7
252,Hepatobiliary System,Non-Neoplastic Hepatobiliary Disorder
253,Gastrointestinal system,Infantile Colic
254,Head and neck structure,Thyroid Diffuse Large B-Cell Lymphoma
255,Integumentary system,Eczema
256,Gonadal structure,Ovarian Sertoli-Leydig Cell Tumor with Heterologous Elements
257,Gastrointestinal system,Rectal Traditional Serrated Adenoma
258,Connective and Soft Tissue,Cavernous hemangioma of retina
259,Meninges,"Meningeal Chronic Myelogenous Leukemia, BCR-ABL1 Positive"
260,Cardiovascular system,Cerebral Infarction
261,Gastrointestinal system,Duodenal Adenoma
262,Gastrointestinal system,BCLC Stage C Hepatocellular Carcinoma
263,Reproductive system,Stage IV Ovarian Cancer AJCC v6 and v7
264,Female Reproductive System,Luteoma
265,Nipples,Erosive Adenomatosis of the Nipple
266,Nervous system structure,Spinal Cord Diseases
267,Head and neck structure,Malignant neoplasm of pituitary gland
268,Gastrointestinal system,benign granular cell tumor of gallbladder
269,Cardiovascular system,Lymphangioendothelioma
270,Trachea,Non-Neoplastic Tracheal Disorder
271,Lung,Asbestosis
272,Cardiovascular system,Thromboembolism
273,Integumentary system,Cutaneous pseudolymphoma
274,"Skin, Human",Stage IB Merkel Cell Carcinoma AJCC v7
275,Connective and Soft Tissue,Bone Glomus Tumor
276,Connective and Soft Tissue,Benign fibrohistiocytic neoplasm of skin
277,Pancreas,Pancreatic Intraepithelial Neoplasia-1A
278,Ureter,Ectopic ureter
279,Head and neck structure,Stage IVB Thyroid Gland Undifferentiated (Anaplastic) Carcinoma AJCC v7
280,Vascular System,Uterine Angiosarcoma
281,Female Reproductive System,Uterine Angiosarcoma
282,Anus,Anal cancer metastatic
283,Integumentary system,Pruritus
284,Rectum,Adenomatous polyp of rectum
285,Female Reproductive System,intraepithelial glandular neoplasia of cervix
286,Integumentary system,Contact Dermatitis
287,Central Nervous System,Central Nervous System Embryonal Carcinoma
288,Head and neck structure,Stage IVC Thyroid Gland Follicular Carcinoma AJCC v7
289,Cerebral hemisphere structure (body structure),Anaplastic Hemispheric Astrocytoma
290,Hepatobiliary System,Gallbladder Cancer by AJCC v7 Stage
291,Head and neck structure,Papilloma of buccal mucosa
292,Reproductive system,Adult Type Testicular Granulosa Cell Tumor
293,Hematopoietic and Lymphatic System,Small Intestinal Enteropathy-Associated T-Cell Lymphoma
294,Central Nervous System,Anaplastic Diencephalic Astrocytoma
295,Testis,Testicular Mixed Yolk Sac Tumor and Teratoma with Seminoma
296,Gonadal structure,Malignant Testicular Sex Cord-Stromal Tumor
297,Lip and Oral Cavity,Squamous cell carcinoma of the oral cavity stage I
298,Hematopoietic and Lymphatic System,"Hodgkin's disease, nodular sclerosis of lymph nodes of multiple sites"
299,Reproductive system,Prostate Cancer by Whitmore-Jewett Stage
300,Supratentorial Brain,Pineal Region Meningioma
301,Female Reproductive System,Grade 2 Endometrial Endometrioid Adenocarcinoma
302,Stomach,Gastric Diverticulitis
303,Central Nervous System,High Grade Astrocytic Tumor
304,Hematopoietic and Lymphatic System,Hereditary Factor V Deficiency
305,Integumentary system,Malignant Vulvar Sweat Gland Neoplasm
306,Gastrointestinal system,Intestinal Atresia
307,Parotid Gland,Pleomorphic adenoma of parotid gland
308,Female Reproductive System,Grade 3 Endometrial Endometrioid Adenocarcinoma
309,Eye,Retinal vascular occlusion
310,Integumentary system,"Primary Cutaneous Diffuse Large B-Cell Lymphoma, Leg Type"
311,Integumentary system,Scar Tissue
312,Female Reproductive System,Vulvar Eccrine Porocarcinoma
313,Pituitary Gland,Densely Granulated Somatotroph Adenoma
314,Hepatobiliary System,Acute Cholecystitis
315,Central Nervous System,gliosarcoma
316,Female Reproductive System,Cervical Angiosarcoma
317,Kidney and Ureter,Juxtaglomerular tumor
318,Reproductive system,Bartholin's gland carcinoma
319,Nasal cavity,Common Cold
320,Head and neck structure,Mouth Mucous Membrane Leukoplakia
321,Gonadal structure,Testicular yolk sac tumor stage III
322,Integumentary system,Skin-associated lymphoid tissue lymphoma
323,Integumentary system,Breast Carcinoma Metastatic in the Skin
324,Central Nervous System,Petrous Apex Meningioma
325,Hematopoietic and Lymphatic System,Stage I Childhood Anaplastic Large Cell Lymphoma
326,Connective and Soft Tissue,Stage IIIB Uterine Sarcoma AJCC v7
327,Reproductive system,Benign Prostate Phyllodes Tumor
328,glottis,Benign neoplasm of glottis
329,Connective and Soft Tissue,Endemic African Kaposi Sarcoma
330,Esophagus,Stage 0 Esophageal Cancer AJCC v7
331,Skeletal bone,Stage IVA Osteosarcoma AJCC v7
332,Liver,Stage IIIA Adult Liver Cancer AJCC v7
333,Testis,Cryptorchidism
334,Hematopoietic and Lymphatic System,Adult T-cell lymphoma/leukemia stage I
335,Rectum,Stage IV Rectal Carcinoma
336,Nasal cavity,Stage IV Nasal Cavity Carcinoma AJCC v7
337,Female Reproductive System,Malignant Ovarian Endometrioid Tumor
338,Vascular System,"Arteriovenous Malformations, Cerebral"
339,Uterus,Postpartum Uterine Inversion
340,Colorectal Region,Rectosigmoid cancer recurrent
341,Intestines,Stage III Rectal Cancer AJCC v6
342,Uterus,Cervix Diseases
343,Testis,Stage III Testicular Cancer AJCC v6 and v7
344,"Intestines, Small",Small Intestinal Squamous Cell Carcinoma
345,Female Reproductive System,Ovarian Biphasic or Triphasic Teratoma
346,Breast,Invasive Lobular Breast Carcinoma
347,Connective and Soft Tissue,Synovial sarcoma metastatic
348,lymph nodes,benign neoplasm of lymph nodes
349,Hematopoietic and Lymphatic System,Stage III Adult Immunoblastic Lymphoma
350,Hematopoietic and Lymphatic System,Adult Acute Myeloid Leukemia with Maturation
351,Ovary,Ovarian Cystic Teratoma
352,Testis,Testicular Mixed Choriocarcinoma and Yolk Sac Tumor
353,Hematopoietic and Lymphatic System,Adult Acute Myelomonocytic Leukemia
354,Intestines,Colorectal Adenoma with Moderate Dysplasia
355,Vascular System,Bone Epithelioid Hemangioma
356,Intestines,Acute perforated appendicitis
357,Esophagus,Malignant Esophageal Neoplasm by Anatomic Region
358,Head and neck structure,Benign neoplasm of middle ear
359,Central Nervous System,"Central Nervous System Embryonal Tumor, Not Otherwise Specified"
360,Oral cavity,Tongue Carcinoma
361,Urinary system,Kidney and Ureter Neoplasm
362,Kidney and Ureter,Kidney and Ureter Neoplasm
363,Female Reproductive System,"Hydatidiform Mole, Partial"
364,Intestines,Stage II Colon Cancer AJCC v7
365,Testis,Choriocarcinoma of the Testis
366,Intestines,Small Intestinal Tubular Adenoma
367,Lung,"Lung Squamous Cell Carcinoma, Papillary Variant"
368,Pharyngeal structure,Undifferentiated carcinoma of nasopharynx
369,Gastrointestinal system,Bile duct signet-ring cell carcinoma
370,Nervous system structure,Central Nervous System Lipoma
371,Pineal gland,Childhood Pineal Parenchymal Tumor of Intermediate Differentiation
372,Hematopoietic and Lymphatic System,Non-Hodgkin Lymphoma During Pregnancy
373,Salivary Glands,Parotid Gland Acinic Cell Carcinoma
374,Uterus,First degree uterine prolapse
375,Urinary system,Nephrotic Syndrome - NEIL1 Associated
376,Scrotum,Paget Disease of the Scrotum
377,Hematopoietic and Lymphatic System,Acute Myeloid Leukemia with Variant MLL Translocations
378,Connective and Soft Tissue,Skull Base Chordoma
379,Hematopoietic and Lymphatic System,Lymphoma by Site
380,Connective and Soft Tissue,Kidney Extraskeletal Osteosarcoma
381,Nervous system structure,Hemangioma of intracranial structure
382,Reproductive system,Vulvar Superficial Angiomyxoma
383,Connective and Soft Tissue,Stromal sarcoma
384,Head and neck structure,Malignant neoplasm of hypopharynx recurrent
385,Respiratory System,Pleural Sarcomatoid Mesothelioma
386,Ear structure,Otitis Media with Effusion
387,Vascular System,Appendix Kaposi Sarcoma
388,Hematopoietic and Lymphatic System,Urticaria Pigmentosa
389,Female Reproductive System,Endometrial Clear Cell Adenocarcinoma
390,Male Reproductive System,Fibroma of prostate
391,Nervous system structure,Vulvar Granular Cell Tumor
392,Central Nervous System,Adult Central Nervous System Germinoma
393,Axilla,Lipoma of axilla
394,Gastrointestinal system,Recurrent Adult Hepatocellular Carcinoma
395,Body of uterus,Endometrial Large Cell Neuroendocrine Carcinoma
396,Gastrointestinal system,Calculus of gallbladder with cholecystitis
397,"Skin, Human",Hemangioma of skin
398,Nervous system structure,New Variant Creutzfeldt-Jakob Disease
399,Central Nervous System,Dystonia Musculorum Deformans
400,Female Reproductive System,Ovarian Adenomatoid Tumor
401,Pharyngeal structure,Stage IVA Oropharyngeal Carcinoma AJCC v7
402,Respiratory System,Bronchopneumonia
403,Salivary Glands,large cell carcinoma of salivary gland
404,Gastrointestinal system,Ampulla of Vater Enterochromaffin Cell Serotonin-Producing Neuroendocrine Tumor
405,Male Reproductive System,Adenocarcinoma of the prostate metastatic
406,Hematopoietic and Lymphatic System,Non-Hodgkin's lymphoma of lung
407,Gastrointestinal system,Gastric Neuroendocrine Tumor
408,Urinary Bladder,Bladder Urachal Urothelial Carcinoma
409,Cardiovascular system,Heart Diseases
410,Gastrointestinal system,cloacogenic carcinoma of rectum
411,Nervous system structure,Nervous System Neoplasms
412,Ampulla of Vater,"Ampullary Noninvasive Papillary Neoplasm, Pancreatobiliary Type"
413,Neck,Recurrent Thyroid Carcinoma
414,Kidney and Ureter,small cell carcinoma of kidney
415,Head and neck structure,Minor Salivary Gland Adenocarcinoma
416,Head and neck structure,Stage IV Oral Cavity Cancer AJCC v6 and v7
417,Anus,High Grade Anal Canal Squamous Intraepithelial Neoplasia
418,Bone Marrow,Acute Myeloid Leukemia with t(17;17)(q21;q21)
419,Lip and Oral Cavity,Stage IVA Oral Cavity Cancer AJCC v6 and v7
420,Head and neck structure,Nasal Cavity and Paranasal Sinus Cancer by AJCC v6 Stage
421,Head and neck structure,Glomus Jugulare Tumor
422,Lung,Stage 0 Lung Cancer AJCC v6 and v7
423,Central Nervous System,"Lupus Vasculitis, Central Nervous System"
424,Gastrointestinal system,Intestinal Neuroendocrine Tumor
425,Cardiovascular system,"Tachycardia, Ventricular"
426,Hematopoietic and Lymphatic System,AIDS-Related Lymphoblastic Lymphoma
427,Gastrointestinal system,Ampulla of Vater Tubulovillous Adenoma
428,Oral cavity,Malocclusion
429,Integumentary system,"Carcinoma, Skin Appendage"
430,Connective and Soft Tissue,Primary Bone Osteosarcoma
431,Integumentary system,Hydroa Vacciniforme
432,Central Nervous System,Childhood Grade I Meningioma
433,Female Reproductive System,Ovarian failure
434,Spleen,Splenic Lymphoblastic Lymphoma
435,Visual Pathways,Visual Pathway Astrocytoma
436,Hematopoietic and Lymphatic System,ISS Stage I Plasma Cell Myeloma
437,Testis,Secondary malignant neoplasm of testis
438,Lip and Oral Cavity,Odontoma
439,Male Reproductive System,Lipoma of spermatic cord
440,Gastrointestinal system,Small Intestinal Neuroendocrine Tumor G2
441,Connective and Soft Tissue,Spinal Degenerative Disorder
442,Hematopoietic and Lymphatic System,Myeloid or lymphoid neoplasm with alpha-type platelet-derived growth factor receptor gene rearrangement
443,Eye,Retinal fold (finding)
444,"Skin, Human",Skin Basal Cell Carcinoma with Sebaceous Differentiation
445,Liver,Hepatoblastoma resectable
446,Submandibular gland,Malignant Submandibular Gland Mixed Tumor
447,Pituitary Gland,Recurrent Anterior Pituitary Gland Neoplasm
448,Nervous system structure,Recurrent Anterior Pituitary Gland Neoplasm
449,Cerebral hemisphere structure (body structure),Childhood Cerebral Astrocytoma
450,Gastrointestinal system,Hepatoblastoma recurrent
451,Liver,Non-alcoholic Fatty Liver Disease
452,Salivary Glands,Parotid Gland Mucosa-Associated Lymphoid Tissue Lymphoma
453,Esophagus,Stage I Esophageal Cancer AJCC v7
454,Reproductive system,Cervix carcinoma
455,Spinal Cord,Recurrent Spinal Cord Neoplasm
