,CUI1,CUI2
0,ADB,Whole Blood ADB Test
1,Bacteria,Culture of Body Fluid (Aerobic/Anaerobic)
2,Bacteria,Culture of Body Fluid
3,Bacteria,Culture of Exudate/Pus (Aerobic/Anaerobic)
4,Bacteria,Culture of Surgical Specimen (Aerobic/Anaerobic)
5,Bacteria,Culture of Unidentified Specimen Site
6,Bacteria,Cyst Culture
7,Bacteria,Decubitus for Culture
8,Bacteria,Dialysis Machine Fluid Culture
9,Bacteria,Drug Sample Culture
10,Bacteria,Ear Culture
11,Bacteria,Endocervical Culture
12,Bacteria,Environmental culture
13,Bacteria,Amniotic Fluid Culture
14,Bacteria,Exudate/Pus Culture
15,Bacteria,Eye Culture
16,Bacteria,Female Genital Culture
17,Bacteria,Female Urethra Culture
18,Bacteria,Fiberoptic Bronchoscopy Culture (Aerobic/Anaerobic)
19,Bacteria,Fomite Culture
20,Bacteria,Food culture
21,Bacteria,IV Catheter Culture
22,Bacteria,IV Solution Culture
23,Bacteria,Instruments Culture
24,Bacteria,Joint Fluid Culture (Aerobic/Anaerobic)
25,Bacteria,Labia Culture
26,Bacteria,Lesion Culture
27,Bacteria,Lochia Culture
28,Bacteria,Lung Biopsy Culture
29,Bacteria,Lymph Node Culture
30,Bacteria,Male Genital Culture
31,Bacteria,Male Urethra Culture
32,Bacteria,Milk Culture
33,Bacteria,Mouth Culture
34,Bacteria,Nasopharynx Culture
35,Bacteria,Nonspecific Bacterial Culture
36,Bacteria,Nose Culture
37,Bacteria,Outside Specimen for Culture
38,Bacteria,Patient Specimen Culture
39,Bacteria,Pelvic Examination Culture (Aerobic/Anaerobic)
40,Bacteria,Pericardial Fluid Culture (Aerobic/Anaerobic)
41,Bacteria,Perineum Culture
42,Bacteria,Peritoneal Dialysis Fluid Culture
43,Bacteria,Peritoneal Fluid Culture (Aerobic/Anaerobic)
44,Bacteria,Peritoneal Fluid Culture
45,Bacteria,Placenta Culture
46,Bacteria,Pleural Fluid Culture (Aerobic/Anaerobic)
47,Bacteria,Pool Water Culture
48,Bacteria,Prenatal Screening Culture
49,Bacteria,Prostatic Fluid Culture
50,Bacteria,Rectal Culture
51,Bacteria,Referred Organism for Identification and Sensitivity
52,Bacteria,Seminal Fluid Culture
53,Bacteria,Specimen for Aerobe/Anaerobe Culture
54,Bacteria,Microbial culture of sputum
55,Bacteria,Stool culture
56,Bacteria,Stool for Colonization Culture
57,Bacteria,Surface Sample Culture
58,Bacteria,Surgical Specimen Culture
59,Bacteria,Throat Colonization Culture
60,Bacteria,Throat culture
61,Bacteria,Tissue Culture Fluid Culture
62,Bacteria,"Tissue, Post Mortem Culture"
63,Bacteria,Tracheal Suction Culture
64,Bacteria,Transfusion Blood Culture
65,Bacteria,Transtracheal Aspirate Culture
66,Bacteria,Ulcer Culture 2
67,Bacteria,Ulcer Culture
68,Bacteria,Umbilical Culture
69,Bacteria,Umbilical Screen
70,Bacteria,Unusual Specimen/Site Culture
71,Bacteria,Ureteral Urine Culture
