,CUI1,CUI2
0,Childhood,Juvenile osteochondrosis of acetabulum
1,Childhood,Anxiety disorder of childhood OR adolescence
2,Childhood,Chronic Bullous Disease of Childhood
3,Childhood,"Dysmorphic sialidosis, juvenile form"
4,Childhood,"Reactive attachment disorder of infancy OR early childhood, disinhibited type"
5,Childhood,Separation anxiety disorder of childhood
6,Childhood,"Dermatomyositis, Childhood Type"
7,Childhood,Childhood bronchiectasis
8,Childhood,Benign granulocytopenia in childhood
9,Childhood,Chronic benign neutropenia of childhood
10,Childhood,Childhood growth AND/OR development finding
11,Childhood,Childhood growth AND/OR development alteration
12,Childhood,Overanxious disorder of childhood
13,Childhood,Juvenile osteochondrosis of pelvis
14,Childhood,"Benign Focal Epilepsy, Childhood"
15,Childhood,"Conduct disorder, childhood-onset type"
16,Childhood,"Gangliosidosis, Generalized GM1, Type 2"
17,Childhood,Oppositional Defiant Disorder
18,Childhood,Active infantile autism
19,Childhood,Residual infantile autism
20,Childhood,Active disintegrative psychoses
21,Childhood,Residual disintegrative psychoses
22,Childhood,Atypical childhood psychoses
23,Childhood,Borderline psychosis of childhood
24,Childhood,Transient childhood tic
25,Childhood,Aggressive unsocial conduct disorder
26,Childhood,Group delinquency
27,Childhood,Childhood disorder of conduct and emotion
28,Childhood,Neurotic delinquency
29,Childhood,Disturbance of anxiety and fearfulness in childhood and adolescence
30,Childhood,Childhood and adolescent fearfulness disturbance
31,Childhood,Childhood and adolescent relationship problem
32,Childhood,Sibling jealousy
33,Childhood,Childhood or adolescent identity disorder
34,Childhood,Academic underachievement disorder
35,Childhood,Childhood phobic anxiety disorder
36,Childhood,Childhood or adolescent disorder of social functioning
37,Childhood,Psychogenic feeding disorder of infancy and childhood
38,Childhood,Pica of infancy and childhood
39,Childhood,Distal muscular dystrophy with juvenile onset
40,Childhood,"Infantile, juvenile and presenile cataract"
41,Childhood,Combined form of nonsenile cataract
42,Childhood,Juvenile polyarteritis
43,Childhood,Chronic polyarticular juvenile rheumatoid arthritis
44,Childhood,Systemic onset juvenile chronic arthritis
45,Childhood,Monarticular juvenile rheumatoid arthritis
46,Childhood,Juvenile arthritis in Crohn disease
47,Childhood,Juvenile arthritis in ulcerative colitis
48,Childhood,Calve's vertebral osteochondrosis
49,Childhood,Juvenile osteochondrosis of head of humerus
50,Childhood,Alpers Syndrome (disorder)
51,Childhood,Childhood Progressive Bulbar Palsy
52,Childhood,Progressive neuronal degeneration of childhood
53,Childhood,Progressive neuronal degeneration without liver cirrhosis
54,Childhood,"Frontal Epilepsy, Benign, Childhood"
55,Childhood,"Epilepsy, Benign Psychomotor, Childhood"
56,Childhood,Benign atypical partial epilepsy in childhood
