,CUI1,CUI2,label
0,Pediatric Neoplasm,Recurrent Uveal Melanoma,0
1,Benign Neoplasm,Giant cell angiofibroma,0
2,Oral cavity,Serous cystadenocarcinoma ovary,0
3,Known,Lipoma of small intestine,0
4,incidence of cases,Cerebral Primitive Neuroectodermal Tumor,0
5,Mammal liver preparation,Botryoid-Type Embryonal Rhabdomyosarcoma,0
6,Cancer Genus,Ichthyoses,0
7,Singular,Mucinous adenocarcinoma gastric,0
8,Lymphoma,Advanced Uterine Corpus Carcinosarcoma,0
9,Skin,Recurrent Ph-Like Acute Lymphoblastic Leukemia,0
10,Non-small cell carcinoma,Colorectal Neuroendocrine Tumor G2,0
11,X-Ray Computed Tomography,Childhood Fibrillary Astrocytoma,0
12,Neutral Charge,Medulloblastoma,0
13,Left,Anterior Urethral Malignant Neoplasm,0
14,Function Axis,Primary Cutaneous Plasmablastic Lymphoma,0
15,Exposure to,Benign neoplasm of thorax,0
16,Screening - general NOS (finding),Xeroderma pigmentosum,0
17,Malignant Neoplasms,Intestinal Metaplasia of Bladder Urothelium,0
18,Urinary tract infection,Non-Metastatic Gestational Trophoblastic Tumor,0
19,status - In progress,Lung squamous cell carcinoma stage I,0
20,Liquid substance,Ovarian germ cell choriocarcinoma stage IV,0
21,Pain,Granular Cell Leiomyosarcoma,0
22,Modify status - jump,Precursor T-lymphoblastic lymphoma/leukemia stage III,0
23,Common Specifications in HL7 V3 Publishing,Thyroid Gland Carcinoma Showing Thymus-Like Differentiation,0
24,Biological Response Modifiers,Mucinous adenocarcinoma gastric,0
25,Spinal Cord Injuries,Leiomyoma of Gallbladder,0
26,DNA,Intestinal Metaplasia of Bladder Urothelium,0
27,Complete excision,Low Grade Squamous Intraepithelial Neoplasia,0
28,common types,Cerebral Primitive Neuroectodermal Tumor,0
29,Tumor type,Endometrial Small Cell Carcinoma,0
30,Ancestry-Informative Marker,Chronic Myelomonocytic Leukemia-2,0
31,Laboratory Procedures,Clonal Hematopoiesis of Indeterminate Potential,0
32,Referral placed,Intestinal Metaplasia of Bladder Urothelium,0
33,Excessive,embryonal rhabdomyosarcoma of prostate,0
34,Carcinoma,Recurrent Testicular Lymphoma,0
35,Usually Need Help from Another Person for Arising,Splenic Manifestation of B-Cell Prolymphocytic Leukemia,0
36,Increased risk for cancer,Thymic Clear Cell Carcinoma,0
37,Image Feature,FIGO Stage II Ovarian Cancer,0
38,Hip structure,Hodgkin lymphoma,0
39,Spongiosis,Benign Carotid Body Paraganglioma,0
40,Medical service,Female Breast Carcinoma,0
41,Methods aspects,Acute Undifferentiated Leukemia,0
42,Males,Undifferentiated Neuroblastoma,0
43,diagnostic procedure,Colorectal Neuroendocrine Tumor G2,0
44,Air (substance),Xeroderma pigmentosum,0
45,Followed by,Unresectable Rhabdomyosarcoma,0
46,Suspected qualifier,Botryoid-Type Embryonal Rhabdomyosarcoma,0
47,Symptoms aspect,Stage IB Lung Cancer AJCC v7,0
48,Neoplasms,FIGO Stage II Ovarian Cancer,0
49,Problems - What subject filter,Thyroid Gland Carcinoma Showing Thymus-Like Differentiation,0
50,Melanoma Pathway,Precursor T-lymphoblastic lymphoma/leukemia stage III,0
51,Uveal melanoma,Nodular Lymphocyte Predominant Hodgkin Lymphoma,0
52,disease transmission,Posterior Pharyngeal Wall Squamous Cell Carcinoma,0
53,Often - answer to question,Neonatal leukemia,0
54,Leukemia,Benign tumor of eyelid,0
55,include - SetOperator,Rhabdomyosarcoma with ganglionic differentiation,0
56,Initially,Platinum-Resistant Lung Small Cell Carcinoma,0
57,PREVENT (product),ALK positive large B-cell lymphoma,0
58,Estimated,Mixed parotid tumor,0
59,TP53 gene,Xeroderma pigmentosum,0
60,React,Thymic Clear Cell Carcinoma,0
61,Proton Pump Inhibitors [MoA],Precursor T-lymphoblastic lymphoma/leukemia stage III,0
62,Tumor Mass,Benign Apocrine Neoplasm,0
63,Positive Selection,Acantholytic squamous cell carcinoma,0
64,Different,Maxillary Sinus Adenocarcinoma,0
65,Probability,Malignant melanoma of eyelid,0
66,Biomaterial Treatment,Precursor T-lymphoblastic lymphoma/leukemia stage III,0
67,Qualitative form,Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,0
68,Present,Intermediate Grade Salivary Gland Mucoepidermoid Carcinoma,0
69,Classification of information,Benign Apocrine Neoplasm,0
70,Thyroid Gland,Childhood Choriocarcinoma,0
71,Etiology aspects,Unresectable Rhabdomyosarcoma,0
72,Tumor cells,Breast Ductal Adenoma,0
73,Therapeutic procedure,Familial Adenomatous Polyposis Associated Medulloblastoma,0
74,Levels (qualifier value),Benign Carotid Body Paraganglioma,0
75,Tickling sensation quality,Clonal Hematopoiesis of Indeterminate Potential,0
76,Appearance,mucinous adenocarcinoma of gallbladder,0
77,Embryonic Development,Choroid Necrotic Melanoma,0
78,Feelings,Malignant Neoplasm of Lung - Multiple Primary Sites,0
79,90%,Stage IVA Lip and Oral Cavity Cancer AJCC v8,0
80,Usual,Pathologic Stage IA Cutaneous Melanoma AJCC v8,0
81,Aggressive Non-Hodgkin Lymphoma,Adult Alveolar Soft Part Sarcoma,0
82,Pharyngeal structure,Cerebral hemangioma,0
83,Chemotherapy Regimen,GIANT PIGMENTED HAIRY NEVUS,0
84,Average,Recurrent Testicular Lymphoma,0
85,various allergen extracts,Tonsillar Carcinoma,0
86,1000000,Localized Ewing Sarcoma,0
87,therapeutic aspects,Malignant Testicular Sertoli Cell Tumor,0
88,Teens,Adult Lymphocyte-Depleted Classical Hodgkin Lymphoma,0
89,Example,Locally Advanced Soft Tissue Sarcoma,0
90,Mental blocking,Acute Undifferentiated Leukemia,0
91,Cover (physical object),Intestinal Metaplasia of Bladder Urothelium,0
92,SPINK5 gene,Recurrent Uveal Melanoma,0
93,Hereditary,adenoid cystic carcinoma of lung,0
94,Gonadal structure,Hodgkin lymphoma,0
95,per year,Clonal Hematopoiesis of Indeterminate Potential,0
96,Vagina,Cartilaginous exostosis,0
97,combination - answer to question,Intraepithelial Melanocytic Hyperplasia,0
98,Primary malignant neoplasm,Posterior Pharyngeal Wall Squamous Cell Carcinoma,0
99,Set of muscles,Recurrent Nasal Cavity and Paranasal Sinus Carcinoma,0
100,Cells,Liver Cavernous Hemangioma,0
101,Blink Reflexes,Grade 3a Malignant Neoplasm,0
102,Known,Cerebral Primitive Neuroectodermal Tumor,0
103,Specimen Source Codes - Respiratory,Localized Askin Tumor,0
104,Fever symptoms (finding),Stage II Gastric and Omental Gastrointestinal Stromal Tumor AJCC v8,0
105,Age of onset of symptoms:Time:Pt:^Patient:Qn,Malignant neoplasm of thalamus,0
106,Physical shape,Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,0
107,Hematologic Neoplasms,Unfavorable Non-Hodgkin Lymphoma,0
108,Science of Etiology,Thymic Clear Cell Carcinoma,0
109,Symptoms aspect,Mucinous adenocarcinoma gastric,0
110,various other agents for local oral treatment in ATC,Refractory Barrett Esophagus,0
111,Rare Lesion,Endometrial Small Cell Carcinoma,0
112,Disease,Spermatocytic seminoma,0
113,Greater Than,Acute Undifferentiated Leukemia,0
114,Biopsy,Ovarian germ cell choriocarcinoma stage IV,0
115,Malignant Cell Count,Recurrent Testicular Lymphoma,0
116,Symptoms aspect,Angiosarcoma of liver,0
117,Elevated,Mucinous adenocarcinoma gastric,0
118,Certain (qualifier value),Methotrexate-Associated Hodgkin Lymphoma,0
119,Occupations,Testicular cancer metastatic,0
120,Negative Surgical Margin,Acute lymphadenitis,0
121,Have Weight Loss,Giant cell angiofibroma,0
122,Retinoic Acid Response Element,Stage II Gastric and Omental Gastrointestinal Stromal Tumor AJCC v8,0
123,Basis - conceptual entity,Leiomyoma of Gallbladder,0
124,Different,Atypical Lobular Breast Hyperplasia,0
125,Togo,squamous cell carcinoma of the thyroid gland,0
126,skin color,FIGO Stage II Ovarian Cancer,0
127,Nuclear hyperchromasia,Botryoid-Type Embryonal Rhabdomyosarcoma,0
128,Pediculus humanus capitis (eukaryote),Neonatal leukemia,0
129,Manufactured form,Advanced Uterine Corpus Carcinosarcoma,0
130,Rate,Malignant neoplasm of thalamus,0
131,40%,Undifferentiated Neuroblastoma,0
132,NCI CTEP SDC Myelodysplastic Syndrome Sub-Category Terminology,Grade 1 Clear Cell Renal Cell Carcinoma,0
133,Mature,Ampulla of Vater Tubular Adenoma,0
134,Term (lexical),Stage 0 Penile Cancer AJCC v8,0
135,Type - attribute,Acantholytic squamous cell carcinoma,0
136,Branch of,Metastatic Lung Small Cell Carcinoma,0
137,Initially,Bladder squamous cell carcinoma stage I,0
138,Process,Colorectal High Grade B-Cell Lymphoma,0
139,include - SetOperator,mucinous adenocarcinoma of gallbladder,0
140,Qualitative form,Stage IVA Lip and Oral Cavity Cancer AJCC v8,0
141,Latin America,adenosquamous carcinoma of breast,0
142,Malignant Neoplasms,Recurrent Uveal Melanoma,0
143,Lumpectomy of breast,Recurrent Ph-Like Acute Lymphoblastic Leukemia,0
144,low confidentiality,Precursor T-lymphoblastic lymphoma/leukemia stage III,0
