,CUI1,CUI2
0,Fascicles of Spindly Tumor Cells Present,Ampulla of Vater Enterochromaffin Cell Serotonin-Producing Neuroendocrine Tumor
1,Venous Type Vascular Channel Formation,"Ovarian Small Cell Carcinoma, Hypercalcemic Type"
2,Abnormal Eosinophilic Granules Present,Acute Myelomonocytic Leukemia without Abnormal Eosinophils
3,Fibrovascular Stalks Present,Stage IIIB Lung Small Cell Carcinoma with Pleural Effusion AJCC v7
4,One Germ Layer Present,Stage IIIB Ovarian Germ Cell Tumor AJCC v6 and 7
5,Abnormal Eosinophilic Granules Present,Childhood Acute Eosinophilic Leukemia
6,Coughing,Stage IIIB Lung Small Cell Carcinoma with Pleural Effusion AJCC v7
7,Malignant Primitive Cellular Infiltrate,Malignant neoplasm of spleen
8,Large Spaces Filled with Blood Present,Large cell carcinoma with rhabdoid phenotype
9,High Plasma Renin Activity,Plasma Cell Myeloma by DS Stage
10,"Adenocarcinoma, intestinal type","Adenocarcinoma, endocervical type"
11,Infiltrating Tumor Margins Present,Ampulla of Vater Enterochromaffin Cell Serotonin-Producing Neuroendocrine Tumor
12,Acinar Proliferation,Recurrent Prostate Acinar Adenocarcinoma
13,Composite Lesion,Primary Melanocytic Lesion of Meninges
14,Skin Ulcer,Stage IV Skin Melanoma
15,Gyriform Trabecular Pattern,Ovarian Trabecular Carcinoid Tumor
16,Myeloblasts 90 Percent or More of Bone Marrow Non-Erythroid Cells,Ampulla of Vater Undifferentiated Carcinoma with Osteoclast-Like Giant Cells
17,Human Papillomavirus Positive,Recurrent Human Papillomavirus-Related Malignant Neoplasm
18,Inflammatory infiltrate,Colorectal Inflammatory Polyp
19,Glial Differentiation,Hepatoblastoma with Combined Fetal and Embryonal Epithelial Differentiation
20,Metaplasia of Malignant Cells Present,Malignant neoplasm of spleen
21,Multinodular Mass,Malignant neoplasm of spleen
22,Contiguous Disease,gamma-Chain Disease
23,Xp11.2 Translocations/TFE3 Gene Fusions Present,Breast Carcinoma by Gene Expression Profile
24,Malignant Epithelial Cells with Cytoplasmic Vacuoles or Flocculent Cytoplasmic Inclusions Containing Wispy Eosinophilic Material Present,Endometrial Endometrioid Adenocarcinoma with Spindled Epithelial Cells
25,Anaplasia,Dysplasia of anus
26,Acute inflammation,Adult Acute Eosinophilic Leukemia
27,Spaces Lined by One to Three Layers of Monotonous Atypical Cells Present,Atypical fibroxanthoma of skin
28,Nodular Pattern,Ann Arbor Stage II Nodular Lymphocyte Predominant Hodgkin Lymphoma
29,Red Papular Lesion,Columnar Cell Lesion of the Breast
30,Blasts of Mixed Phenotype Present,Ovarian Sex Cord-Stromal Tumor of Mixed or Unclassified Cell Types
31,Estrogen receptor negative,Myeloid or lymphoid neoplasm with alpha-type platelet-derived growth factor receptor gene rearrangement
32,Broad Fibrous Bands Formation,"Central Nervous System Solitary Fibrous Tumor/Hemangiopericytoma, Grade 2"
33,Confluent Sheets of Anaplastic T-Lymphocytes Present,Dysplasia of anus
34,Thin-Branching Papillae Present,epithelial-myoepithelial carcinoma of lung
35,Hyalinized Stroma Formation,Thyroid Gland Papillary Carcinoma with Fibromatosis/Fasciitis-Like Stroma
36,Neoplastic Plasma Cells More than 30 Percent of Bone Marrow Nucleated Cells,Osteoclastic Giant Cell-Rich Tumor of Bone
37,Solid Growth Pattern,"Testicular Yolk Sac Tumor, Hepatoid Pattern"
38,Fibrosis,Stage IIIB Lung Small Cell Carcinoma with Pleural Effusion AJCC v7
39,Histiocytosis haematophagic,Central Nervous System Langerhans Cell Histiocytosis
40,Extraocular Dissemination of Disease,Paget Disease of the Scrotum
41,Pleural effusion disorder,Pleural Synovial Sarcoma
42,Cold Nodule,Stage IIIB Lung Small Cell Carcinoma with Pleural Effusion AJCC v7
43,Cartilaginous Component Present,Endometrial Endometrioid Adenocarcinoma with a Poorly Differentiated Carcinomatous Component
44,Prominent Collagen Rosette Formation,Malignant neoplasm of spleen
45,Tubular Pattern,"Testicular Yolk Sac Tumor, Hepatoid Pattern"
46,Polyclonal hypergammaglobulinemia,epithelial-myoepithelial carcinoma of lung
47,Somatostatin Positive Neoplastic Cells Present,Endometrial Endometrioid Adenocarcinoma with Spindled Epithelial Cells
48,Cellular Pseudostratification,Cellular angiofibroma
49,Odontogenic Cysts,Primary Intraosseous Squamous Cell Carcinoma Derived From Keratocystic Odontogenic Tumor
50,Myxoid Changes Present,Childhood Myxoid Chondrosarcoma
51,Acquired Lesion,Reactive Cutaneous Fibrous Lesion
52,Intracytoplasmic and Extracytoplasmic Eosinophilic Material Present,Stage IIB Ovarian Cancer AJCC v6 and v7
53,Lobular Pattern,"Testicular Yolk Sac Tumor, Polyvesicular Vitelline Pattern"
54,Ring Sideroblasts 15 Percent or More of Erythroid Precursors,Ovarian Sex Cord-Stromal Tumor of Mixed or Unclassified Cell Types
55,No Evidence of Hormonal Immunoreactivity Present,Ampulla of Vater Enterochromaffin Cell Serotonin-Producing Neuroendocrine Tumor
56,High Plasma Renin Activity,Plasma Cell Myeloma by DS Stage
57,Pleural effusion disorder,Stage IIIB Lung Small Cell Carcinoma without Pleural Effusion AJCC v7
58,Blasts Expressing T-Lymphoid and Myeloid Markers Present,Myeloid Neoplasms with Germline Predisposition and Preexisting Platelet Disorders
59,Pale Eosinophilic Stroma Formation,Childhood Acute Eosinophilic Leukemia
60,Tobacco Chewing Toxicity,Stage IIIB Lung Small Cell Carcinoma with Pleural Effusion AJCC v7
61,Spindle Cell Component Present,Ductal Eccrine Carcinoma with Spindle Cell Elements
62,Acantholysis,Dysplasia of anus
63,Infiltrating Tumor Margins Present,Ovarian Granulosa Cell Tumor
64,Abundance of Small Lymphocytes,Small cell carcinoma of the cervix
65,Glomeruloid Vessels Present,Dysplasia of anus
66,Well Differentiated Neuroendocrine Lesion,Well Differentiated Ovarian Steroid Cell Tumor
67,Intermediate Grade Lesion,Gallbladder Papillary Neoplasm with Intermediate Grade Intraepithelial Neoplasia
68,Cytologic atypia,Dysplasia of anus
69,Alcohol Toxicity,Malignant neoplasm of spleen
70,Osteoid formation,Squamous cell carcinoma with horn formation
71,Area of Depigmentation at the Periphery of the Dermal Melanocytic Infiltrate Present,Squamous cell carcinoma of the hypopharynx
72,Swelling,Malignant neoplasm of spleen
73,Sheets of Interfollicular Plasma Cells Present,Ampulla of Vater Undifferentiated Carcinoma with Osteoclast-Like Giant Cells
74,Poorly Cohesive Malignant Cellular Infiltrate,Malignant neoplasm of stomach stage I
75,Prominent Elastic Tissue Cores Present,Stage III Soft Tissue Sarcoma AJCC v7
76,Melanin-Forming Neuroepithelial Cells Present,Breast Carcinoma with Osteoclastic Giant Cells
77,Rimming of Adipose Tissue Cells Present,Giant Cell Tumor of Soft Tissue
78,Infantile Lesion,Infantile hemangioma
79,Immunoglobulin Light Chain Deposition,Chronic Lymphocytic Leukemia with Unmutated Immunoglobulin Heavy Chain Variable-Region Gene
80,Crooke Hyaline Change,Columnar Cell Change of the Breast with Atypia
81,Cartilaginous Differentiation,Infiltrating Bladder Urothelial Carcinoma with Glandular Differentiation
82,Lipomatous Differentiation,Infiltrating Bladder Urothelial Carcinoma with Glandular Differentiation
83,Absence of Muscle Invasion,Malignant neoplasm of spleen
84,Neoplastic Growth or Spread,Ovarian Sex Cord-Stromal Tumor of Mixed or Unclassified Cell Types
85,CDKN2A-p16 Negative,Dysplasia of anus
86,Growth Hormone and Prolactin Producing Neoplastic Cells Present,Myelodysplastic Syndrome with Ring Sideroblasts and Single Lineage Dysplasia
87,Polyclonal hypergammaglobulinemia,Malignant neoplasm of spleen
88,PSA Failure,Myeloid Neoplasms with Germline Predisposition Associated with Inherited Bone Marrow Failure Syndromes
89,Fascicular Pattern,"Testicular Yolk Sac Tumor, Hepatoid Pattern"
90,Pseudostratified Columnar Tumor Cells Present,Ovarian Granulosa Cell Tumor
91,Meckel Diverticulum,Stage IIIB Lung Small Cell Carcinoma with Pleural Effusion AJCC v7
92,Elastin Fibers Present,Stage IIIB Lung Small Cell Carcinoma with Pleural Effusion AJCC v7
