,CUI1,CUI2,label
0,Fascicles of Spindly Tumor Cells Present,Ampulla of Vater Enterochromaffin Cell Serotonin-Producing Neuroendocrine Tumor,0
1,Venous Type Vascular Channel Formation,"Ovarian Small Cell Carcinoma, Hypercalcemic Type",0
2,Abnormal Eosinophilic Granules Present,Acute Myelomonocytic Leukemia without Abnormal Eosinophils,0
3,Fibrovascular Stalks Present,Stage IIIB Lung Small Cell Carcinoma with Pleural Effusion AJCC v7,0
4,One Germ Layer Present,Stage IIIB Ovarian Germ Cell Tumor AJCC v6 and 7,0
5,Abnormal Eosinophilic Granules Present,Childhood Acute Eosinophilic Leukemia,0
6,Coughing,Stage IIIB Lung Small Cell Carcinoma with Pleural Effusion AJCC v7,0
7,Malignant Primitive Cellular Infiltrate,Malignant neoplasm of spleen,0
8,Large Spaces Filled with Blood Present,Large cell carcinoma with rhabdoid phenotype,0
9,High Plasma Renin Activity,Plasma Cell Myeloma by DS Stage,0
10,"Adenocarcinoma, intestinal type","Adenocarcinoma, endocervical type",0
11,Infiltrating Tumor Margins Present,Ampulla of Vater Enterochromaffin Cell Serotonin-Producing Neuroendocrine Tumor,0
12,Acinar Proliferation,Recurrent Prostate Acinar Adenocarcinoma,0
13,Composite Lesion,Primary Melanocytic Lesion of Meninges,0
14,Skin Ulcer,Stage IV Skin Melanoma,0
15,Gyriform Trabecular Pattern,Ovarian Trabecular Carcinoid Tumor,0
16,Myeloblasts 90 Percent or More of Bone Marrow Non-Erythroid Cells,Ampulla of Vater Undifferentiated Carcinoma with Osteoclast-Like Giant Cells,0
17,Human Papillomavirus Positive,Recurrent Human Papillomavirus-Related Malignant Neoplasm,0
18,Inflammatory infiltrate,Colorectal Inflammatory Polyp,0
19,Glial Differentiation,Hepatoblastoma with Combined Fetal and Embryonal Epithelial Differentiation,0
20,Metaplasia of Malignant Cells Present,Malignant neoplasm of spleen,0
21,Multinodular Mass,Malignant neoplasm of spleen,0
22,Contiguous Disease,gamma-Chain Disease,0
23,Xp11.2 Translocations/TFE3 Gene Fusions Present,Breast Carcinoma by Gene Expression Profile,0
24,Malignant Epithelial Cells with Cytoplasmic Vacuoles or Flocculent Cytoplasmic Inclusions Containing Wispy Eosinophilic Material Present,Endometrial Endometrioid Adenocarcinoma with Spindled Epithelial Cells,0
25,Anaplasia,Dysplasia of anus,0
26,Acute inflammation,Adult Acute Eosinophilic Leukemia,0
27,Spaces Lined by One to Three Layers of Monotonous Atypical Cells Present,Atypical fibroxanthoma of skin,0
28,Nodular Pattern,Ann Arbor Stage II Nodular Lymphocyte Predominant Hodgkin Lymphoma,0
29,Red Papular Lesion,Columnar Cell Lesion of the Breast,0
30,Blasts of Mixed Phenotype Present,Ovarian Sex Cord-Stromal Tumor of Mixed or Unclassified Cell Types,0
31,Estrogen receptor negative,Myeloid or lymphoid neoplasm with alpha-type platelet-derived growth factor receptor gene rearrangement,0
32,Broad Fibrous Bands Formation,"Central Nervous System Solitary Fibrous Tumor/Hemangiopericytoma, Grade 2",0
33,Confluent Sheets of Anaplastic T-Lymphocytes Present,Dysplasia of anus,0
34,Thin-Branching Papillae Present,epithelial-myoepithelial carcinoma of lung,0
35,Hyalinized Stroma Formation,Thyroid Gland Papillary Carcinoma with Fibromatosis/Fasciitis-Like Stroma,0
36,Neoplastic Plasma Cells More than 30 Percent of Bone Marrow Nucleated Cells,Osteoclastic Giant Cell-Rich Tumor of Bone,0
37,Solid Growth Pattern,"Testicular Yolk Sac Tumor, Hepatoid Pattern",0
38,Fibrosis,Stage IIIB Lung Small Cell Carcinoma with Pleural Effusion AJCC v7,0
39,Histiocytosis haematophagic,Central Nervous System Langerhans Cell Histiocytosis,0
40,Extraocular Dissemination of Disease,Paget Disease of the Scrotum,0
41,Pleural effusion disorder,Pleural Synovial Sarcoma,0
42,Cold Nodule,Stage IIIB Lung Small Cell Carcinoma with Pleural Effusion AJCC v7,0
43,Cartilaginous Component Present,Endometrial Endometrioid Adenocarcinoma with a Poorly Differentiated Carcinomatous Component,0
44,Prominent Collagen Rosette Formation,Malignant neoplasm of spleen,0
45,Tubular Pattern,"Testicular Yolk Sac Tumor, Hepatoid Pattern",0
46,Polyclonal hypergammaglobulinemia,epithelial-myoepithelial carcinoma of lung,0
47,Somatostatin Positive Neoplastic Cells Present,Endometrial Endometrioid Adenocarcinoma with Spindled Epithelial Cells,0
48,Cellular Pseudostratification,Cellular angiofibroma,0
49,Odontogenic Cysts,Primary Intraosseous Squamous Cell Carcinoma Derived From Keratocystic Odontogenic Tumor,0
50,Myxoid Changes Present,Childhood Myxoid Chondrosarcoma,0
51,Acquired Lesion,Reactive Cutaneous Fibrous Lesion,0
52,Intracytoplasmic and Extracytoplasmic Eosinophilic Material Present,Stage IIB Ovarian Cancer AJCC v6 and v7,0
53,Lobular Pattern,"Testicular Yolk Sac Tumor, Polyvesicular Vitelline Pattern",0
54,Ring Sideroblasts 15 Percent or More of Erythroid Precursors,Ovarian Sex Cord-Stromal Tumor of Mixed or Unclassified Cell Types,0
55,No Evidence of Hormonal Immunoreactivity Present,Ampulla of Vater Enterochromaffin Cell Serotonin-Producing Neuroendocrine Tumor,0
56,High Plasma Renin Activity,Plasma Cell Myeloma by DS Stage,0
57,Pleural effusion disorder,Stage IIIB Lung Small Cell Carcinoma without Pleural Effusion AJCC v7,0
58,Blasts Expressing T-Lymphoid and Myeloid Markers Present,Myeloid Neoplasms with Germline Predisposition and Preexisting Platelet Disorders,0
59,Pale Eosinophilic Stroma Formation,Childhood Acute Eosinophilic Leukemia,0
60,Tobacco Chewing Toxicity,Stage IIIB Lung Small Cell Carcinoma with Pleural Effusion AJCC v7,0
61,Spindle Cell Component Present,Ductal Eccrine Carcinoma with Spindle Cell Elements,0
62,Acantholysis,Dysplasia of anus,0
63,Infiltrating Tumor Margins Present,Ovarian Granulosa Cell Tumor,0
64,Abundance of Small Lymphocytes,Small cell carcinoma of the cervix,0
65,Glomeruloid Vessels Present,Dysplasia of anus,0
66,Well Differentiated Neuroendocrine Lesion,Well Differentiated Ovarian Steroid Cell Tumor,0
67,Intermediate Grade Lesion,Gallbladder Papillary Neoplasm with Intermediate Grade Intraepithelial Neoplasia,0
68,Cytologic atypia,Dysplasia of anus,0
69,Alcohol Toxicity,Malignant neoplasm of spleen,0
70,Osteoid formation,Squamous cell carcinoma with horn formation,0
