CUI1,CUI2
"('Pediatric Neoplasm', 'C1368871')","('Recurrent Uveal Melanoma', 'C0278870')"
"('Benign Neoplasm', 'C0086692')","('Giant cell angiofibroma', 'C1367539')"
"('Oral cavity', 'C0226896')","('Serous cystadenocarcinoma ovary', 'C0279663')"
"('Known', 'C0205309')","('Lipoma of small intestine', 'C1336001')"
"('incidence of cases', 'C0220856')","('Cerebral Primitive Neuroectodermal Tumor', 'C0751675')"
"('Mammal liver preparation', 'C3486713')","('Botryoid-Type Embryonal Rhabdomyosarcoma', 'C1306573')"
"('Cancer Genus', 'C0998265')","('Ichthyoses', 'C0020757')"
"('Singular', 'C0205171')","('Mucinous adenocarcinoma gastric', 'C1334809')"
"('Lymphoma', 'C0024299')","('Advanced Uterine Corpus Carcinosarcoma', 'C4764211')"
"('Skin', 'C1123023')","('Recurrent Ph-Like Acute Lymphoblastic Leukemia', 'C4525406')"
"('Non-small cell carcinoma', 'C1266002')","('Colorectal Neuroendocrine Tumor G2', 'C3272614')"
"('X-Ray Computed Tomography', 'C0040405')","('Childhood Fibrillary Astrocytoma', 'C3899662')"
"('Neutral Charge', 'C2825492')","('Medulloblastoma, WNT-Activated', 'C4331965')"
"('Left', 'C0205091')","('Anterior Urethral Malignant Neoplasm', 'C0279930')"
"('Function Axis', 'C0700205')","('Primary Cutaneous Plasmablastic Lymphoma', 'C1709659')"
"('Exposure to', 'C0332157')","('Benign neoplasm of thorax', 'C0346440')"
"('Screening - general NOS (finding)', 'C1261136')","('Xeroderma pigmentosum, variant type', 'C1848410')"
"('Malignant Neoplasms', 'C0006826')","('Intestinal Metaplasia of Bladder Urothelium', 'C1512907')"
"('Urinary tract infection', 'C0042029')","('Non-Metastatic Gestational Trophoblastic Tumor', 'C0280478')"
"('status - In progress', 'C1272688')","('Lung squamous cell carcinoma stage I', 'C0854991')"
"('Liquid substance', 'C0302908')","('Ovarian germ cell choriocarcinoma stage IV', 'C0854944')"
"('Pain', 'C0030193')","('Granular Cell Leiomyosarcoma', 'C1333871')"
"('Modify status - jump', 'C3244298')","('Precursor T-lymphoblastic lymphoma/leukemia stage III', 'C0854862')"
"('Common Specifications in HL7 V3 Publishing', 'C3245511')","('Thyroid Gland Carcinoma Showing Thymus-Like Differentiation', 'C1704613')"
"('Biological Response Modifiers', 'C0005525')","('Mucinous adenocarcinoma gastric', 'C1334809')"
"('Spinal Cord Injuries', 'C0037929')","('Leiomyoma of Gallbladder', 'C1333745')"
"('DNA, Complementary', 'C0006556')","('Intestinal Metaplasia of Bladder Urothelium', 'C1512907')"
"('Complete excision', 'C0015250')","('Low Grade Squamous Intraepithelial Neoplasia', 'C1302773')"
"('common types', 'C3242448')","('Cerebral Primitive Neuroectodermal Tumor', 'C0751675')"
"('Tumor type', 'C4263544')","('Endometrial Small Cell Carcinoma', 'C1516858')"
"('Ancestry-Informative Marker', 'C3540472')","('Chronic Myelomonocytic Leukemia-2', 'C1333044')"
