CUI1,CUI2
"('Links List', 'C1517892')","('Heavy Chain Deposition Disease', 'C1333947')"
"('Term (temporal)', 'C1515273')","('Childhood Fibrillary Astrocytoma', 'C3899662')"
"('Different', 'C1705242')","('Regional Urothelial Carcinoma of the Renal Pelvis and Ureter', 'C0280281')"
"('Human papilloma virus infection', 'C0343641')","('BRCA2 Syndrome', 'C1332443')"
"('Common (qualifier value)', 'C0205214')","('Childhood Central Nervous System Ganglioneuroblastoma', 'C4086154')"
"('Determined by', 'C0521095')","('Microcystic meningioma', 'C1384408')"
"('Chemical Association', 'C0596306')","('Epipodophyllotoxin-Related Myelodysplastic Syndrome', 'C1333418')"
"('Ibrutinib', 'C3501358')","('Regional Urothelial Carcinoma of the Renal Pelvis and Ureter', 'C0280281')"
"('Childhood Lymphoma', 'C1332979')","('Unresectable Rhabdomyosarcoma', 'C4726599')"
"('Definitely Related to Intervention', 'C1704787')","('Diffuse malignant mesothelioma', 'C0392400')"
"('Poverty', 'C0032854')","('Uterine Cancer', 'C0153567')"
"('How Much Distress Itching', 'C4085219')","('Epipodophyllotoxin-Related Myelodysplastic Syndrome', 'C1333418')"
"('13q12', 'C1520539')","('Acute lymphadenitis', 'C0157705')"
"('Head - Component of Device', 'C1706305')","('Undifferentiated Endocervical Sarcoma', 'C1519782')"
"('suggestion', 'C1705535')","(""Kaposi's sarcoma of extrahepatic bile duct"", 'C2064435')"
"('Ulceration', 'C3887532')","('Leptomeningeal sarcoma', 'C1384416')"
"('Etiology aspects', 'C0015127')","('Human Papillomavirus-Related Carcinoma', 'C1334050')"
"('biopsy characteristics', 'C0220797')","('Tonsillar Carcinoma', 'C0558355')"
"('Onset of (contextual qualifier)', 'C0332162')","('Platinum-Resistant Lung Small Cell Carcinoma', 'C4764254')"
"('research subject screening', 'C1698960')","('Splenic Manifestation of B-Cell Prolymphocytic Leukemia', 'C1336061')"
"('Malignant Meningioma', 'C0259785')","('Pathologic Stage IA Cutaneous Melanoma AJCC v8', 'C4527178')"
"('Therapeutic procedure', 'C0087111')","('Blepharal carcinoma', 'C0920196')"
"('Common (qualifier value)', 'C0205214')","('Precursor T-lymphoblastic lymphoma/leukemia stage III', 'C0854862')"
