CUI1,CUI2,Prediction
Occurrence,Stage II Hepatocellular Carcinoma AJCC v6 and v7,0
Localized,Malignant Testicular Sertoli Cell Tumor,1
Overall Publication Type,Undifferentiated Endocervical Sarcoma,1
Night sweats,Stage I Adult Non-Hodgkin Lymphoma,0
Both ovaries,Colorectal cancer,0
Age,Neonatal leukemia,0
treatment - ActInformationManagementReason,Recurrent Uveal Melanoma,1
Females,Bladder squamous cell carcinoma stage I,0
Local disease,Malignant melanoma of eyelid,1
Linear,Sarcomatoid Renal Cell Carcinoma,0
Squamous Epithelial Cells,Acantholytic squamous cell carcinoma,1
Science of Etiology,BRCA2 Syndrome,1
Gastroenterologist,Refractory Barrett Esophagus,0
Cell Count,Atypical Lobular Breast Hyperplasia,1
Aluminum measurement,Giant cell angiofibroma,0
Intraductal papillary mucinous neoplasm,Mucinous neoplasm,0
Numerous,Collecting Duct Carcinoma of the Kidney,1
Neoplasm Metastasis,Benign neoplasm of thorax,0
Epithelioma,Adenocarcinoma of the prostate metastatic,0
favor,mucinous adenocarcinoma of gallbladder,0
NCI CTEP SDC Cervical Cancer Sub-Category Terminology,Human Papillomavirus-Related Carcinoma,0
Overall,Endometrial Small Cell Carcinoma,1
United States,Recurrent Ph-Like Acute Lymphoblastic Leukemia,0
Oral region,Recurrent Uveal Melanoma,0
regional,Malignant neoplasm of choroid,1
Usual,Methotrexate-Associated Hodgkin Lymphoma,0
Primary malignant neoplasm,Colorectal cancer,0
lymph nodes,Mucinous adenocarcinoma gastric,0
Hand,Adult Alveolar Soft Part Sarcoma,0
99,Pathologic Stage IA Cutaneous Melanoma AJCC v8,0
radiotherapeutic,Mucinous adenocarcinoma gastric,1
Out (direction),Stage IB Pancreatic Cancer AJCC v8,0
per second,Colorectal cancer,0
Upper arm,Stage I Adult Non-Hodgkin Lymphoma,0
Qualitative form,FIGO Stage II Ovarian Cancer,0
Structure of lymphatic trunk,Digestive System Hodgkin Lymphoma,0
Involvement with,Pathologic Stage IA Cutaneous Melanoma AJCC v8,1
Weight decreased,Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,1
Form:Finding:Point in time:{Setting}:Document:{Role},Mucinous neoplasm,0
Antibiotic Resistance,Cancer of Urinary Tract,0
Lower (action),Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
Chemotherapy,Localized Askin Tumor,0
Feel Tired question,Recurrent Ph-Like Acute Lymphoblastic Leukemia,0
Neuroendocrine Tumors,Pancreatic Intraepithelial Neoplasia-3,0
Function (attribute),Childhood Thyroid Gland Follicular Carcinoma,1
Stage 3 lower case b,Recurrent Testicular Lymphoma,1
300,Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,0
Alveolar,Adult Alveolar Soft Part Sarcoma,0
filter information process,Digestive System Hodgkin Lymphoma,0
>5,Mucinous adenocarcinoma gastric,0
Vomiting,Malignant neoplasm of thalamus,0
Version,Secondary malignant neoplasm of lymph node,0
Patch Dosing Unit,Contact dermatitis due to alkali,0
Publishing,Noninfiltrating Intraductal Carcinoma,1
CEL gene,Clonal Hematopoiesis of Indeterminate Potential,0
lymph nodes,Malignant melanoma of eyelid,0
Paraganglioma,Benign Carotid Body Paraganglioma,0
Common Specifications in HL7 V3 Publishing,Angiosarcoma of liver,0
Platelet Glycoprotein 4,Anterior Urethral Malignant Neoplasm,0
Approximate,Malignant melanoma of eyelid,1
Communicable Diseases,Human Papillomavirus-Related Carcinoma,1
Arising in,Carcinoma of urinary bladder,1
In addition to,Recurrent Testicular Lymphoma,0
Orchiectomy,Spermatocytic seminoma,1
treatment options,Malignant Testicular Sertoli Cell Tumor,0
Science of Morphology,Leptomeningeal sarcoma,0
shared attribute,BRCA2 Syndrome,0
Neoplasms,Leptomeningeal sarcoma,0
Supportive assistance,Uterine Cancer,0
Kidney,Sarcomatoid Renal Cell Carcinoma,0
To,Stage IB Pancreatic Cancer AJCC v8,0
Surgery specialty,Colorectal High Grade B-Cell Lymphoma,0
Have Difficulty Swallowing,Mucinous adenocarcinoma gastric,0
Take,Undifferentiated Endocervical Sarcoma,0
Blood,Hemangioma,0
Skin tanning,Acantholytic squamous cell carcinoma,1
Including (qualifier),Mucinous neoplasm,0
inflammatory,Female Breast Carcinoma,1
Definition,Female Breast Carcinoma,1
Percent of Bacteria,Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,1
Diagnosis Study,Intestinal Metaplasia of Bladder Urothelium,1
Species,BRCA2 Syndrome,0
Etiology aspects,Spongiotic dermatitis,0
Body tissue,Stage III Gastric Neuroendocrine Tumor AJCC v8,0
Formation,Testicular cancer metastatic,1
Abnormal Cell Count,Choroid Necrotic Melanoma,1
Togo,Stage IB Pancreatic Cancer AJCC v8,0
Base Pair Unit,BRCA2 Syndrome,0
Group A (qualifier value),Stage I Gastric Neuroendocrine Tumor AJCC v8,0
Membrane,Neonatal leukemia,0
Tissue damage,Digestive System Hodgkin Lymphoma,1
Treating,Human Papillomavirus-Related Carcinoma,0
Term (temporal),Ichthyosis,0
Symptoms,Endometrial Small Cell Carcinoma,1
Circulating Neoplastic Cells,Testicular cancer metastatic,1
Protein antibody,Unresectable Rhabdomyosarcoma,0
Formed,Neonatal leukemia,0
Clinical Item,Human Papillomavirus-Related Carcinoma,1
Respiration,Refractory Barrett Esophagus,0
Progestins,Endometrial Small Cell Carcinoma,0
Call (Instruction),Liver Cavernous Hemangioma,0
Supportive assistance,FIGO Stage II Ovarian Cancer,0
Tryptophanase,Localized Askin Tumor,1
Sunlight,Malignant melanoma of eyelid,0
Person Name,Extracranial Neuroblastoma,0
Vulva,Human Papillomavirus-Related Carcinoma,0
Sore Throat,Tonsillar Carcinoma,0
Act Mood - intent,Lung squamous cell carcinoma stage I,0
Descending,Malignant melanoma of eyelid,1
Fever symptoms (finding),Nodular Lymphocyte Predominant Hodgkin Lymphoma,1
Attenuation,Familial Adenomatous Polyposis Associated Medulloblastoma,1
Cell (compartment),squamous cell carcinoma of the thyroid gland,0
World Health Organization,Secondary malignant neoplasm of lymph node,0
Live - Specimen Condition,Extracranial Neuroblastoma,0
Serous Membrane,Atypical Mesothelial Hyperplasia,0
Muscle Contraction,Digestive System Hodgkin Lymphoma,1
Name (property) (qualifier value),BRCA2 Syndrome,0
Science of Etiology,Liver Cavernous Hemangioma,1
Synonym (core metadata concept),Recurrent Testicular Lymphoma,0
site-specific telomere resolvase activity,Stage III Gastric Neuroendocrine Tumor AJCC v8,0
Plasma,Heavy Chain Deposition Disease,0
Premalignant,Recurrent Testicular Lymphoma,1
Unknown (origin) (qualifier value),Acute lymphadenitis,0
Ultrasonics (sound),Malignant Testicular Sertoli Cell Tumor,0
Ultraviolet Rays,Pathologic Stage IA Cutaneous Melanoma AJCC v8,0
Presentation,Epipodophyllotoxin-Related Myelodysplastic Syndrome,1
majority,Stage IB Pancreatic Cancer AJCC v8,0
To,Female Breast Carcinoma,0
Science of Morphology,Noninfiltrating Intraductal Carcinoma,1
Weight Loss,Stage I Adult Non-Hodgkin Lymphoma,1
curative treatment,Testicular cancer metastatic,1
Neoplasms,mucinous adenocarcinoma of gallbladder,0
Operative Surgical Procedures,Uterine Cancer,0
700,Human Papillomavirus-Related Carcinoma,1
Malignant Neoplasms,squamous cell carcinoma of the thyroid gland,0
NCI CTEP SDC Acute Lymphoblastic Leukemia Sub-Category Terminology,Precursor T-lymphoblastic lymphoma/leukemia stage III,0
Lethal,mucinous adenocarcinoma of gallbladder,0
