CUI1,CUI2,Prediction
Localized,Malignant Testicular Sertoli Cell Tumor,1
Overall Publication Type,Undifferentiated Endocervical Sarcoma,1
treatment - ActInformationManagementReason,Recurrent Uveal Melanoma,1
Local disease,Malignant melanoma of eyelid,1
Squamous Epithelial Cells,Acantholytic squamous cell carcinoma,1
Science of Etiology,BRCA2 Syndrome,1
Cell Count,Atypical Lobular Breast Hyperplasia,1
Numerous,Collecting Duct Carcinoma of the Kidney,1
Overall,Endometrial Small Cell Carcinoma,1
regional,Malignant neoplasm of choroid,1
radiotherapeutic,Mucinous adenocarcinoma gastric,1
Involvement with,Pathologic Stage IA Cutaneous Melanoma AJCC v8,1
Weight decreased,Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,1
Lower (action),Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
Function (attribute),Childhood Thyroid Gland Follicular Carcinoma,1
Stage 3 lower case b,Recurrent Testicular Lymphoma,1
Publishing,Noninfiltrating Intraductal Carcinoma,1
Approximate,Malignant melanoma of eyelid,1
Communicable Diseases,Human Papillomavirus-Related Carcinoma,1
Arising in,Carcinoma of urinary bladder,1
Orchiectomy,Spermatocytic seminoma,1
Skin tanning,Acantholytic squamous cell carcinoma,1
inflammatory,Female Breast Carcinoma,1
Definition,Female Breast Carcinoma,1
Percent of Bacteria,Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,1
Diagnosis Study,Intestinal Metaplasia of Bladder Urothelium,1
Formation,Testicular cancer metastatic,1
Abnormal Cell Count,Choroid Necrotic Melanoma,1
Tissue damage,Digestive System Hodgkin Lymphoma,1
Symptoms,Endometrial Small Cell Carcinoma,1
Circulating Neoplastic Cells,Testicular cancer metastatic,1
Clinical Item,Human Papillomavirus-Related Carcinoma,1
Tryptophanase,Localized Askin Tumor,1
Descending,Malignant melanoma of eyelid,1
Fever symptoms (finding),Nodular Lymphocyte Predominant Hodgkin Lymphoma,1
Attenuation,Familial Adenomatous Polyposis Associated Medulloblastoma,1
Muscle Contraction,Digestive System Hodgkin Lymphoma,1
Science of Etiology,Liver Cavernous Hemangioma,1
Premalignant,Recurrent Testicular Lymphoma,1
Presentation,Epipodophyllotoxin-Related Myelodysplastic Syndrome,1
Science of Morphology,Noninfiltrating Intraductal Carcinoma,1
Weight Loss,Stage I Adult Non-Hodgkin Lymphoma,1
curative treatment,Testicular cancer metastatic,1
700,Human Papillomavirus-Related Carcinoma,1
Malignant neoplasm of ovary,Advanced Uterine Corpus Carcinosarcoma,1
Moveable,Deep Leiomyoma,1
White Blood Cell Count procedure,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
Survival Rate,Spermatocytic seminoma,1
Clone Cells,Heavy Chain Deposition Disease,1
Experimental Result,Refractory Barrett Esophagus,1
