,CUI1,CUI2,label
0,Anaplasia,Adenocarcinoma with squamous metaplasia,0
1,HIF1A Overexpression Positive,Adenocarcinoma with squamous metaplasia,0
2,Cauliflower-Like Mass,Occult Lung Cancer AJCC v8,0
3,Numerous Stromal Mast Cells Present,Stromal sarcoma,0
4,Congenital Abnormality,Congenital melanocytic nevus,0
5,Severe dysplasia,Mild epithelial dysplasia,0
6,Acinar Proliferation,Acinar cell cystadenocarcinoma,0
7,Vater-Pacini Corpuscles-Like Structures Present,Pseudolymphoma,0
8,Peau d'orange surface of breast,Usual ductal hyperplasia of breast,0
9,Collagenous Stroma Formation,Gastric Carcinoma with Lymphoid Stroma,0
10,Schwannian Stroma Predominant Component of the Tumor Volume,Benign Mixed Tumor of the Vulva,0
11,Fibrovascular Stroma Formation,Gastric Carcinoma with Lymphoid Stroma,0
12,Alopecia,Malignant neoplasm of stomach recurrent,0
13,Sheets of Interfollicular Plasma Cells Present,Recurrent tumors of the Ewing's family,0
14,Monoclonal Eosinophils Present,Monoclonal Gammopathy of Undetermined Significance,0
15,Somatostatin Positive Neoplastic Cells Present,Neoplastic Polyp,0
16,Pseudopapillary Pattern,"Testicular Yolk Sac Tumor, Hepatoid Pattern",0
17,Superficial Lesion,Pre-Malignant Skin Epithelial Lesion,0
18,Recurrent Malignant Neoplasm,Recurrent Human Papillomavirus-Related Malignant Neoplasm,0
19,Neuronal Differentiation,Superficial Epithelioma with Sebaceous Differentiation,0
20,Carcinomatous Component Present,Glioblastoma with Primitive Neuronal Component,0
21,"Blasts Expressing B-Lymphoid, T-Lymphoid, and Myeloid Markers Present",Myeloid Neoplasms with Germline Predisposition and Preexisting Platelet Disorders,0
22,Honeycomb Pattern,"Testicular Yolk Sac Tumor, Endodermal Sinus Pattern",0
23,Hemorrhagic Neuroblastic Nodules Present,Neuroblastic tumors,0
24,IDH Gene Family Mutation Status Unknown,Renal Cell Carcinoma Associated with Xp11.2 Translocations/TFE3 Gene Fusions,0
25,Entrapped Respiratory Epithelium Present,Intestinal Metaplasia of Bladder Urachal Epithelium,0
26,Confluent Sheets of Neoplastic B-Lymphocytes Present,Recurrent tumors of the Ewing's family,0
27,Multilocular Lesion,Primary Melanocytic Lesion of Meninges,0
28,Chronic Phase of Disease,Leukemic Phase of Non-Hodgkin's Lymphoma,0
29,Subcutaneous nodule,Endometrial stromal nodule,0
30,Fibroblastoma-Like Differentiation,Superficial Epithelioma with Sebaceous Differentiation,0
31,Tall Papillae Present,Malignant neoplasm of stomach recurrent,0
32,Myeloblasts 20 Percent or More of Bone Marrow Nucleated Cells,Malignant Giant Cell Tumor of Bone,0
33,CD56-Positive Neoplastic Cells Present,Undifferentiated Carcinoma with Osteoclast-Like Giant Cells,0
34,Alternative Fascicle (Bundle) Pattern,"Testicular Yolk Sac Tumor, Microcystic Pattern",0
35,Abnormal alveolar pattern,Acute Myelomonocytic Leukemia without Abnormal Eosinophils,0
36,Extraosseous Lesion,Pre-Malignant Skin Epithelial Lesion,0
37,Mild dysplasia of colon,Mild epithelial dysplasia,0
38,Nuclear Clearing,Adenocarcinoma with squamous metaplasia,0
39,Undifferentiated Lesion,Undifferentiated carcinoma of ovary,0
40,Intracellular Accumulation of Lipids,"Benign neoplasm of brain, unspecified",0
41,Perineural spread,Adenocarcinoma with squamous metaplasia,0
42,CD4-Positive Neoplastic Cells Present,Undifferentiated Carcinoma with Osteoclast-Like Giant Cells,0
43,Cholesterolosis,Adenocarcinoma with squamous metaplasia,0
44,Inoperable Disease,Localized Castleman Disease,0
45,Parakeratinized Stratified Squamous Epithelium Present,Schistosoma Hematobium-Related Bladder Squamous Cell Carcinoma,0
46,Vacuolated Plasma Cells in the Bone Marrow,Breast Carcinoma Metastatic in the Bone,0
47,Ependymal Differentiation,Ventricular and Brain Stem Ependymal Tumor,0
48,Metastatic/Recurrent Disease,Chronic Bullous Disease of Childhood,0
49,Multilineage Dysplasia Present,Squamous Lung Dysplasia,0
50,Myeloblasts Under 10 Percent of Peripheral Blood White Cells,Peripheral neuroepithelioma of bone recurrent,0
51,Nuclear Clearing,Occult Lung Cancer AJCC v8,0
52,Endometrial Type Glands and Stroma Present,Testicular Mixed Embryonal Carcinoma and Seminoma,0
53,Multinodular and Vacuolated Pattern,Testicular Mixed Embryonal Carcinoma and Seminoma,0
54,Dermal Involvement,Benign Dermal Schwannoma,0
