,CUI1,CUI2
0,Postgerminal Center B-Lymphocyte of Unknown Differentiation Stage,Stage IB Ampulla of Vater Cancer AJCC v8
1,Bone Marrow Stem Cell with Variable Lineage Potential,Stage IIIB Lung Small Cell Carcinoma with Pleural Effusion AJCC v7
2,"Neuron, Neuroepithelial Cell, and Supporting Cell of the Nervous System",Stage 0 Cutaneous Squamous Cell Carcinoma of the Head and Neck AJCC v8
3,Adipocytes,Stage IA Uterine Corpus Endometrial Stromal Sarcoma AJCC v8
4,Bone Marrow Stem Cell with Variable Lineage Potential,Myelodysplastic Syndrome with Ring Sideroblasts and Single Lineage Dysplasia
5,Urothelial Cell,Retroperitoneal Germ Cell Tumor
6,Primitive Bone Marrow Myeloid Stem Cell,Acidophil Stem Cell Pituitary Gland Adenoma
7,Primitive Stem Cell with Some Degree of Commitment to the Erythroid Lineage,Metastatic Squamous Cell Carcinoma of the Oropharynx
8,Langerhans cell,Squamous cell carcinoma of the oral cavity stage IV
9,Sebocyte,Familial medullary thyroid carcinoma
10,Structure of interstitial cell of Leydig,Papillary transitional cell neoplasm of low malignant potential
11,Perineural Cell,Retroperitoneal Germ Cell Tumor
12,Pituicyte,Large B-cell lymphoma arising in HHV8 associated multicentric Castleman disease
13,Peripheral Epidermotropic T-Lymphocyte,"Recurrent Peripheral T-Cell Lymphoma, Not Otherwise Specified"
14,"Myocytes, Cardiac",Cardiac Intramuscular Hemangioma
15,Transformed Peripheral B-Lymphocyte,Peripheral Ganglioneuroblastoma
16,Cementoblasts,Stage IA Uterine Corpus Endometrial Stromal Sarcoma AJCC v8
17,Myeloid Progenitor Cells,"Myeloid Leukemia, Chronic"
18,Hematopoietic stem cells,Astrocytoma of brain stem
19,Pituitary TSH-Secreting Cells,Tumors Derived from Langerhans Cells
20,EBV-Transformed Mature B-Lymphocyte,Mature T- and NK-Cell Lymphoma by Ann Arbor Stage
21,lymphoblast,Chondroma
