,CUI1,CUI2,label
0,Postgerminal Center B-Lymphocyte of Unknown Differentiation Stage,Stage IB Ampulla of Vater Cancer AJCC v8,0
1,Bone Marrow Stem Cell with Variable Lineage Potential,Stage IIIB Lung Small Cell Carcinoma with Pleural Effusion AJCC v7,0
2,"Neuron, Neuroepithelial Cell, and Supporting Cell of the Nervous System",Stage 0 Cutaneous Squamous Cell Carcinoma of the Head and Neck AJCC v8,0
3,Adipocytes,Stage IA Uterine Corpus Endometrial Stromal Sarcoma AJCC v8,0
4,Bone Marrow Stem Cell with Variable Lineage Potential,Myelodysplastic Syndrome with Ring Sideroblasts and Single Lineage Dysplasia,0
5,Urothelial Cell,Retroperitoneal Germ Cell Tumor,0
6,Primitive Bone Marrow Myeloid Stem Cell,Acidophil Stem Cell Pituitary Gland Adenoma,0
7,Primitive Stem Cell with Some Degree of Commitment to the Erythroid Lineage,Metastatic Squamous Cell Carcinoma of the Oropharynx,0
8,Langerhans cell,Squamous cell carcinoma of the oral cavity stage IV,0
9,Sebocyte,Familial medullary thyroid carcinoma,0
10,Structure of interstitial cell of Leydig,Papillary transitional cell neoplasm of low malignant potential,0
11,Perineural Cell,Retroperitoneal Germ Cell Tumor,0
12,Pituicyte,Large B-cell lymphoma arising in HHV8 associated multicentric Castleman disease,0
13,Peripheral Epidermotropic T-Lymphocyte,"Recurrent Peripheral T-Cell Lymphoma, Not Otherwise Specified",0
14,"Myocytes, Cardiac",Cardiac Intramuscular Hemangioma,0
15,Transformed Peripheral B-Lymphocyte,Peripheral Ganglioneuroblastoma,0
16,Cementoblasts,Stage IA Uterine Corpus Endometrial Stromal Sarcoma AJCC v8,0
17,Myeloid Progenitor Cells,"Myeloid Leukemia, Chronic",0
18,Hematopoietic stem cells,Astrocytoma of brain stem,0
19,Pituitary TSH-Secreting Cells,Tumors Derived from Langerhans Cells,0
20,EBV-Transformed Mature B-Lymphocyte,Mature T- and NK-Cell Lymphoma by Ann Arbor Stage,0
21,lymphoblast,Chondroma,0
22,Bone Marrow Stem Cell with Predominant Neutrophil Differentiation,Skin Basal Cell Carcinoma with Adnexal Differentiation,0
23,Gamma/Delta T-Lymphocyte,Fibroid Tumor,0
24,Renal Pelvis Urothelial Cell,Infiltrating Renal Pelvis and Ureter Urothelial Carcinoma,0
25,Apocrine Cell,Childhood Germinomatous Germ Cell Tumor,0
26,Embryonic Cell,"Salivary Gland Clear Cell Carcinoma, Not Otherwise Specified",0
27,Structure of endometrial glandular cell,Squamous cell carcinoma of the hypopharynx recurrent,0
28,Endothelial Cells,Breast Carcinoma with Osteoclastic Giant Cells,0
29,Eccrine Cell,Retroperitoneal Germ Cell Tumor,0
30,theca cell,Basal cell carcinoma - adamantinoid,0
31,Neuroectodermal Cell,Small Intestinal Signet Ring Cell Carcinoma,0
32,Hepatocyte,Large B-cell lymphoma arising in HHV8 associated multicentric Castleman disease,0
33,Glandular cell of large intestine,Adenocarcinoma of large intestine,0
34,Cuboidal cell,Basal cell carcinoma - adamantinoid,0
35,Glandular cell of small intestine,fibrosarcoma of small intestine,0
36,Endodermal cell,Basal cell carcinoma - adamantinoid,0
37,Connective Tissue Cells,Thymic Mucosa-Associated Lymphoid Tissue Lymphoma,0
38,Postgerminal Center Marginal Zone B-Lymphocyte,Nodal Marginal Zone Lymphoma by Ann Arbor Stage,0
39,Bone Marrow-Homing Plasma Cell,Plasma Cell Post-Transplant Lymphoproliferative Disorder,0
40,Salivary Gland Myoepithelial Cell,"Salivary Gland Clear Cell Carcinoma, Not Otherwise Specified",0
41,Astrocytes,Large B-cell lymphoma arising in HHV8 associated multicentric Castleman disease,0
42,Glandular cell of large intestine,Adenocarcinoma of large intestine,0
43,Myeloid Progenitor Cells,Recurrent Acute Myeloid Leukemia with Recurrent Genetic Abnormalities,0
44,Synoviocytes,Large B-cell lymphoma arising in HHV8 associated multicentric Castleman disease,0
45,Adenohypophysial Cell,Postneoadjuvant Therapy Stage I Esophageal Squamous Cell Carcinoma AJCC v8,0
46,Naive Pregerminal Center B-Lymphocyte,Primary Cutaneous Follicle Center Lymphoma,0
47,Bone Marrow Stem Cell with Some Commitment to Monocytic Differentiation,Dermatofibrosarcoma Protuberans with Giant Cell Fibroblastoma-Like Differentiation,0
48,Cartilage Cell,Small Intestinal Signet Ring Cell Carcinoma,0
49,Alveolar Epithelial Cells,Tumors Derived from Langerhans Cells,0
50,Columnar cell of endocervix,Squamous cell carcinoma of the hypopharynx recurrent,0
51,Connective Tissue Cells,Thymic Mucosa-Associated Lymphoid Tissue Lymphoma,0
52,Peripheral (Post-Thymic) T-Lymphocyte and Natural Killer Cell,Cutaneous Squamous Cell Carcinoma of the Head and Neck by AJCC v8 Stage,0
53,Intraepithelial T-Lymphocyte of the Intestine,Squamous cell carcinoma of the oral cavity stage IV,0
54,Plasma Cells,Tumors Derived from Langerhans Cells,0
55,Terminal Duct Cell,Retroperitoneal Germ Cell Tumor,0
56,"Myocytes, Cardiac",Cardiac Capillary Hemangioma,0
57,Peripheral (Post-Thymic) T-Lymphocyte and Natural Killer Cell,Cutaneous Squamous Cell Carcinoma of the Head and Neck by AJCC v8 Stage,0
58,Myofibroblasts,Familial medullary thyroid carcinoma,0
59,Postgerminal Center Marginal Zone B-Lymphocyte,Transformed Marginal Zone Lymphoma to Diffuse Large B-Cell Lymphoma,0
