CUI1,CUI2
"('Infrequent', 'C0521114')","('Uterine Corpus Carcinosarcoma', 'C1704376')"
"('Patient Discharge', 'C0030685')","('Pancreatic Somatostatinoma', 'C1368041')"
"('Occurrence Indicator', 'C4284875')","('Metastatic Digestive System Neuroendocrine Carcinoma', 'C4744461')"
"('Unconscious State', 'C0041657')","('Childhood Brain Glioblastoma', 'C4554065')"
"('Third', 'C0205437')","('Pancreatic Large Cell Neuroendocrine Carcinoma', 'C2987239')"
"('Mitochondria', 'C0026237')","('Refractory anemia with ringed sideroblasts', 'C1264195')"
"('Advanced phase', 'C0205179')","('Recurrent Childhood Anaplastic Oligoastrocytoma', 'C3897760')"
"('Calcium, Dietary', 'C0006726')","('High Grade Ductal Breast Carcinoma In Situ', 'C1334002')"
"('Science of Statistics', 'C0038215')","('Oncocytic Variant Thyroid Gland Papillary Carcinoma', 'C1709312')"
"('Affecting', 'C0392760')","('Borderline Ovarian Mucinous Adenofibroma', 'C1881912')"
"('Contrast Media', 'C0009924')","('insulinoma', 'C0021670')"
"('Feature', 'C2348519')","('Recurrent Anaplastic Oligoastrocytoma', 'C3897760')"
"('Ten', 'C0205456')","('Small cell lung cancer extensive stage', 'C0278726')"
"('Tissue damage', 'C0010957')","('Childhood Lung Small Cell Carcinoma', 'C3899641')"
"('Class', 'C0456387')","('Childhood Anaplastic Oligoastrocytoma', 'C3899676')"
"('Hand', 'C0018563')","('Common wart', 'C0043037')"
"('Clinical Observation', 'C3889687')","('Carcinosarcoma of ovary', 'C0392998')"
"('Fatigue', 'C0015672')","('Refractory cytopenia with multilineage dysplasia', 'C0796466')"
"('photoreactivating enzyme activity', 'C2257086')","('Platinum-Sensitive Lung Small Cell Carcinoma', 'C4764256')"
"('Cerebrovascular accident', 'C0038454')","('Recurrent Glioblastoma', 'C3897752')"
"('Case (situation)', 'C0868928')","('Stage II Thyroid Gland Papillary Carcinoma 55 Years and Older AJCC v8', 'C4683426')"
"('Two', 'C0205448')","('Recurrent Childhood Gliosarcoma', 'C3897750')"
"('Volume', 'C0449468')","('Laryngeal verrucous carcinoma', 'C0280328')"
"('Changed status', 'C0443172')","('Childhood Brain Glioblastoma', 'C4554065')"
"('Speaking (activity)', 'C0234856')","('Recurrent Childhood Anaplastic Oligodendroglioma', 'C3897759')"
"('factor A', 'C0960756')","('Refractory Lung Small Cell Carcinoma', 'C4743561')"
"('Headache', 'C0018681')","('Glioblastoma multiforme of spinal cord', 'C0559185')"
"('Qualitative form', 'C0348078')","('Refractory Uterine Corpus Carcinosarcoma', 'C4764209')"
"('Classification', 'C0008902')","('Refractory Cytopenia of Childhood', 'C2826323')"
"('Study', 'C2603343')","('Borderline Ovarian Serous Adenofibroma', 'C1511266')"
"('Testis present', 'C0577205')","('Malignant Vulvar Phyllodes Tumor', 'C4288773')"
"('Genus equus', 'C1265527')","('Adenoma, Sweat Gland', 'C0019522')"
"('Nausea', 'C0027497')","('Glioblastoma by Gene Expression Profile', 'C3827194')"
"('Percent Activity', 'C0439167')","('Glioblastoma with Primitive Neuronal Component', 'C4289034')"
"('Average', 'C1510992')","('Refractory Uterine Corpus Carcinosarcoma', 'C4764209')"
"('Usual Severity Vomiting', 'C4084768')","('Borderline Ovarian Mucinous Adenofibroma', 'C1881912')"
"('MOSTLY', 'C0750554')","('Recurrent Childhood Anaplastic Oligoastrocytoma', 'C3897760')"
"('Spread by direct extension', 'C3669041')","('Childhood Giant Cell Glioblastoma', 'C3899659')"
"('Chemotherapy Regimen', 'C0392920')","('Stage I Lung Small Cell Carcinoma AJCC v7', 'C1336482')"
"('Present', 'C0150312')","('Anaplastic Hemispheric Astrocytoma', 'C1332282')"
"('Due to', 'C0678226')","('Pancreatic Somatostatinoma', 'C1368041')"
"('Retinoic Acid Response Element', 'C1514917')","('Glucagonoma', 'C0017689')"
"('Various patch test substance', 'C0440102')","('Recurrent Anaplastic Oligoastrocytoma', 'C3897760')"
