CUI1,CUI2
"('Immunotherapy', 'C0021083')","('Localized Askin Tumor', 'C1321778')"
"('defects aspect', 'C0243067')","('Familial Adenomatous Polyposis Associated Medulloblastoma', 'C1333598')"
"('Disease', 'C0012634')","('adenoid cystic carcinoma of lung', 'C1334439')"
"('Purple', 'C0439542')","('Extracranial Neuroblastoma', 'C1333499')"
"('Malignant - descriptor', 'C0205282')","('Breast Ductal Adenoma', 'C1511307')"
"('Left sided', 'C0443246')","('mucinous adenocarcinoma of gallbladder', 'C1333750')"
"('Body tissue', 'C0040300')","('Acantholytic squamous cell carcinoma', 'C0334250')"
"('Females', 'C0086287')","('Regional Urothelial Carcinoma of the Renal Pelvis and Ureter', 'C0280281')"
"('Multiple sexual contacts', 'C0558265')","('Human Papillomavirus-Related Carcinoma', 'C1334050')"
"('Group A (qualifier value)', 'C0441835')","('Regional Urothelial Carcinoma of the Renal Pelvis and Ureter', 'C0280281')"
"('Histopathologic Grade differentiation', 'C1511938')","('Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation', 'C1336011')"
"('Communicable Diseases', 'C0009450')","('Human Papillomavirus-Related Carcinoma', 'C1334050')"
"('white blood cell type', 'C0427536')","('Malignant Neoplasm with Regional Lymph Node Involvement', 'C1332837')"
"('Affecting', 'C0392760')","('Primary Cutaneous Plasmablastic Lymphoma', 'C1709659')"
"('Slow', 'C0439834')","('Liver Cavernous Hemangioma', 'C0238246')"
"('Disease', 'C0012634')","('Mucinous adenocarcinoma gastric', 'C1334809')"
"('Lymphoma', 'C0024299')","('Childhood Lymphoma', 'C1332979')"
"('Molecule', 'C0567416')","('Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation', 'C1336011')"
"('Medical Device Material Separation', 'C1881713')","('Childhood Cerebellar Neoplasm', 'C1332959')"
"('Synonym', 'C0871468')","('Acute lymphadenitis', 'C0157705')"
"('Container status - Identified', 'C1550043')","('Thymic Clear Cell Carcinoma', 'C1333069')"
"('Deep (qualifier value)', 'C0205125')","('Adult Alveolar Soft Part Sarcoma', 'C0279544')"
"('gene therapy', 'C0017296')","('Ichthyoses', 'C0020757')"
"('Fresh (qualifier value)', 'C0443224')","('Mucinous adenocarcinoma gastric', 'C1334809')"
