CUI1,CUI2
"('Case (situation)', 'C0868928')",Serous Adenocarcinoma Cell
"('Pericytes', 'C0598800')",Neoplastic Fibroblast
"('Call (Instruction)', 'C1947967')",Neoplastic T-Lymphocyte and Neoplastic Natural Killer Cell
"('Enlargement procedure', 'C1293134')",Hodgkin Cell
"('Uncontrolled', 'C0205318')",Neoplastic Centroblast
"('white blood cell type', 'C0427536')",Hodgkin Cell
"('Effect', 'C1280500')",Neoplastic Connective and Soft Tissue Cell
"('Human body', 'C0242821')",Neoplastic Hematopoietic and Lymphoid Cell
"('Contain (action)', 'C2700400')",Malignant Osteoblast
"('Different', 'C1705242')",Neoplastic Multinucleated Giant Cell
"('Cervix Uteri', 'C0007874')",Malignant Epithelial Small Cell
"('Lacking', 'C0332268')",Neoplastic Ganglion Cell
"('Malignant Blood Vessel Neoplasm', 'C1458139')",Neoplastic Hobnail Cell
"('Always (frequency)', 'C2003902')",Neoplastic Cell
"('Location', 'C0450429')",Neoplastic Ganglion Cell
"('various allergen extracts', 'C3540765')",Malignant Small Hyperchromatic Cell
"('Inferior Colliculus', 'C0021358')",Neoplastic Small to Medium-Sized B-Lymphocyte Resembling a Centrocyte
"('Main', 'C1542147')",Neoplastic Epithelial Cell
"('Negation', 'C1518422')",Hypergranular Promyelocyte
"('Plasmablast (cell)', 'C0229657')",Plasmablastic Immunoblast
"('Orbital region', 'C0700042')",Melanoma Cell
"('Study', 'C2603343')",Neoplastic Oligodendrocyte
"('Frequently', 'C0332183')",Neoplastic Monoblast
"('Affecting', 'C0392760')",Malignant Mesothelial Cell
"('Tumor Mass', 'C3273930')",Malignant Rhabdomyoblast
"('Corticosteroid ophthalmologic and otologic preparations', 'C3540726')",Neoplastic Melanocyte
"('Provide (product)', 'C0359589')",Neoplastic Neuroepithelial Cell
"('Participation Type - origin', 'C1550512')",Secretory Adenocarcinoma Cell
"('Malignant Vaginal Neoplasm', 'C0042237')",Malignant Squamous Cell
"('Analysis of substances', 'C0002778')",Neoplastic Lipoblast
"('Loss of Appetite question', 'C3814874')",Serous Adenocarcinoma Cell
"('Including (qualifier)', 'C0332257')",Malignant Stromal Cell
"('Neurons', 'C0027882')",Neoplastic Glial Cell
"('Sample Range', 'C2348147')",Neoplastic Perineurial-Like Cell
"('Abdomen+', 'C4299167')",Malignant Mesothelial Cell
"('Antibiotics for systemic use', 'C3540704')",Malignant Small Hyperchromatic Cell
"('Occur (action)', 'C1709305')",Poorly Differentiated Neoplastic Astrocyte
"('Glycoproteins', 'C0017968')",Neoplastic Skeletal Muscle Cell
"('Decision', 'C0679006')",Neoplastic Epithelial Clear Cell
"('Characteristics', 'C1521970')",Malignant Epithelial Large Cell
"('Sometimes', 'C1998882')",Secretory Adenocarcinoma Cell
"('Immune system', 'C0020962')",Plasmablastic Immunoblast
"('Tumor cells, malignant', 'C0334227')",Centrocyte-Like Cell
"('System - kit', 'C1553451')",Centrocyte-Like Cell
"('Cell Count', 'C0007584')",Neoplastic Stromal Cell
"('Hematopoietic stem cells', 'C0018956')",Neoplastic Monoblast
"('Dietary Lead', 'C2348269')",Foam Cells
"('Age-Years', 'C1510829')",Neoplastic Lymphocyte
"('Immune response', 'C0301872')",Malignant Endothelial Cell
"('Manufactured form', 'C0376315')",Neoplastic Small Neuroepithelial Cell
"('Primary operation', 'C0439631')",Epithelioid Osteoblast
"('Too little', 'C3843661')",Malignant Hyperchromatic Epithelial Cell
"('Primary', 'C0205225')",Neoplastic Ependymal Cell
"('various other agents for local oral treatment in ATC', 'C3540762')",Malignant Small Hyperchromatic Cell
"('Obesity', 'C0028754')",Serous Adenocarcinoma Cell
"('Lacking', 'C0332268')",Neoplastic Lymphocyte
"('Appearance Distress Question', 'C4084721')",Neoplastic Ganglion Cell
"('Primary malignant neoplasm', 'C1306459')",Malignant Hyperchromatic Small Epithelial Cell
"('Canada', 'C0006823')",Malignant Syncytiotrophoblastic Giant Cell
"('Secretory Vesicles', 'C0886515')",Mucin-Producing Malignant Epithelial Cell
"('Prostate', 'C0033572')",Neoplastic Acinar Cell
"('Type - attribute', 'C0332307')",Malignant Neuroendocrine Cell
"('Oral region', 'C0230028')",Neoplastic Connective and Soft Tissue Cell
"('Skeletal bone', 'C0262950')",Atypical Chondrocyte
"('Unit', 'C0439148')",Malignant Spindle-Shaped Smooth Muscle Cell
"('Transection (procedure)', 'C0152060')",Neoplastic Centroblast
"('Given name', 'C3244317')",Malignant Skeletal Muscle Cell
"('Talpidae', 'C0324740')",Malignant Lipocyte
"('Occurrence Indicator', 'C4284875')",Neoplastic Granulosa Cell
"('Valid', 'C2349099')",Neoplastic Small Sex Cord-Stromal Cell
"('Economic supply', 'C0699914')",Neoplastic Ependymal Cell
"('Forecast of outcome', 'C0033325')",Keratinizing Malignant Squamous Cell
"('treatment - ActInformationManagementReason', 'C3887704')",Malignant Skeletal Muscle Cell
"('Asthma Control Test Questionnaire', 'C4048375')",Neoplastic Melanocyte
"('Entire sciatic nerve', 'C1278851')",Malignant Rhabdomyoblast
"('Hair', 'C0018494')",Malignant Smooth Muscle Cell
"('Defense Mechanisms', 'C0011142')",Neoplastic Ganglion Cell
"('Extrinsic', 'C0205101')",Malignant Large Germ Cell with Abundant Cytoplasm
"('Role', 'C3871154')",Spider Cell
"('Half', 'C2825407')",Plasmablastic Immunoblast
"('Classification', 'C0008902')",Epithelioid Osteoblast
"('Physical Examination', 'C0031809')",Neoplastic Monoblast
"('Physical', 'C0205485')",Neoplastic Monoblast
"('Carcinoid Tumor', 'C0007095')",Malignant Neuroendocrine Cell
"('Overlap', 'C1948020')",Abnormal Hematopoietic and Lymphoid Cell
"('Homo sapiens', 'C0086418')",Immature Malignant Mast Cell
"('Common Specifications in HL7 V3 Publishing', 'C3245511')",Neoplastic Lipocyte
"('Benign', 'C0205183')",Malignant Epithelial Cell
"('Report (document)', 'C0684224')",Epithelioid Endothelial Cell
"('Device system', 'C3888058')",Neoplastic Parathyroid Gland Cell
"('week', 'C0439230')",Neoplastic Myeloid Blast
"('Progress', 'C1280477')",Neoplastic Germ Cell
"('Fingers, unit of measurement', 'C0549188')",Epithelioid Endothelial Cell
"('Unknown GENC', 'C4050014')",Neoplastic Muscle Cell
"('Social group', 'C0687744')",Neoplastic Squamous Cell
"('Homeostasis', 'C0019868')",Neoplastic Oligodendrocyte
"('Structure of respiratory epithelium', 'C0225385')",Mucin-Producing Malignant Epithelial Cell
"('Benign neurologic neoplasms', 'C0497550')",Neoplastic Germ Cell
"('Either', 'C3844638')",Neoplastic Hematopoietic and Lymphoid Cell
"('Lymphocyte', 'C0024264')",Hodgkin Cell
"('Usually', 'C3888388')",Neoplastic Fibroblast
"('Area', 'C0205146')",Malignant Mesothelial Cell
"('Aggressive natural killer-cell leukemia', 'C1292777')",Neoplastic T-Lymphocyte
"('Triggered by', 'C1444748')",Neoplastic Epithelial Clear Cell
"('Testis', 'C0039597')",Malignant Germ Cell
"('Person Name', 'C1547383')",Malignant Epithelioid Cell
"('Destruction (action)', 'C1948029')",Neoplastic Neuroepithelial Cell
"('Usually', 'C3888388')",Neoplastic Muscle Cell
"('Borg Category-Ratio 10 Perceived Exertion Score 5', 'C4050466')",Abnormal Hematopoietic and Lymphoid Cell
"('Digital Content Category', 'C3889287')",Malignant Large Germ Cell with Abundant Cytoplasm
"('Cells', 'C0007634')",Malignant Smooth Muscle Cell
"('Distended', 'C4082695')",Malignant Goblet-Like Mucous Cell
"('Precaution Code - Confused', 'C1547301')",Atypical Chondrocyte
"('histiocytic', 'C0334122')",Neoplastic Multinucleated Giant Cell
"('Molecular Mass', 'C3152252')",Malignant Lipocyte
"('Ectoderm', 'C0013574')",Malignant Myoepithelial Cell
"('Metabolism', 'C0025519')",Neoplastic Melanocyte
"('Hematological Disease', 'C0018939')",Abnormal Hematopoietic and Lymphoid Cell
"('Hyperplasia', 'C0020507')",Malignant Myoepithelial Cell
"('Delta (difference)', 'C1705241')",Neoplastic Spindle-Shaped Myofibroblast
"('Front of neck', 'C0446455')",Malignant Epithelial Small Cell
"('Does play', 'C0600138')",Neoplastic Oligodendrocyte
"('Frequently', 'C0332183')",Giant Cells
"('Human body', 'C0242821')",Keratinizing Malignant Squamous Cell
"('Infrequent', 'C0521114')",Neoplastic Smooth Muscle Cell
"('Neural Cell Adhesion Molecules', 'C0282587')",Neoplastic Fibroblast-Like Cell
"('Percent of Abnormal Cells', 'C2347472')",Neoplastic Myeloid Blast
"('Cutaneous Melanoma', 'C0151779')",Malignant Cutaneous Basal Cell
"('Cell (compartment)', 'C1948049')",Malignant Primitive Germ Cell
"('Patient need for (contextual qualifier)', 'C0686904')",Neoplastic Ganglion Cell
"('Distal (qualifier value)', 'C0205108')",Spider Cell
"('Human body structure', 'C0460148')",Foam Cells
"('Distal (qualifier value)', 'C0205108')",Neoplastic Neuroepithelial Cell
"('epithelial', 'C0221908')",Eccrine Adenocarcinoma Cell
"('Body tissue', 'C0040300')",Neoplastic Epithelial Cell
"('Milliampere second', 'C3539882')",Neoplastic Epithelial Clear Cell
"('Fluorides', 'C0016327')",Epithelioid Endothelial Cell
"('Include (action)', 'C2700399')",Neoplastic Small Neuroepithelial Cell
"('hold - Data Operation', 'C3853841')",Neoplastic Small Neuroepithelial Cell
"('seen', 'C0205397')",Immature Malignant Mast Cell
"('Primary operation', 'C0439631')",Eccrine Adenocarcinoma Cell
"('Teaching principal', 'C0401925')",Adenocarcinoma Cell with Intracytoplasmic Mucin
"('Giant Cell Tumor of Bone', 'C0206638')",Neoplastic Stromal Cell
"('Promotion (action)', 'C0033414')",Neoplastic Fibroblast
"('Duct (organ) structure', 'C0687028')",Neoplastic Eccrine Cell
"('Associated with', 'C0332281')",Adenocarcinoma Cell with Intracytoplasmic Mucin
"('Myoepithelial cell', 'C0225356')",Neoplastic Stellate Cell
"('Metabolic acidosis', 'C0220981')",Malignant Skeletal Muscle Cell
"('Relocation of home or business', 'C2699029')",Centrocyte-Like Cell
"('Two', 'C0205448')",Malignant Smooth Muscle Cell
"('Proliferation', 'C1514485')",Neoplastic Histiocytic and Dendritic Cell
