,CUI1,CUI2,label
0,Infrequent,Uterine Corpus Carcinosarcoma,0
1,Patient Discharge,Pancreatic Somatostatinoma,0
2,Occurrence Indicator,Metastatic Digestive System Neuroendocrine Carcinoma,0
3,Unconscious State,Childhood Brain Glioblastoma,0
4,Third,Pancreatic Large Cell Neuroendocrine Carcinoma,0
5,Mitochondria,Refractory anemia with ringed sideroblasts,0
6,Advanced phase,Recurrent Childhood Anaplastic Oligoastrocytoma,0
7,Calcium,High Grade Ductal Breast Carcinoma In Situ,0
8,Science of Statistics,Oncocytic Variant Thyroid Gland Papillary Carcinoma,0
9,Affecting,Borderline Ovarian Mucinous Adenofibroma,0
10,Contrast Media,insulinoma,0
11,Feature,Recurrent Anaplastic Oligoastrocytoma,0
12,Ten,Small cell lung cancer extensive stage,0
13,Tissue damage,Childhood Lung Small Cell Carcinoma,0
14,Class,Childhood Anaplastic Oligoastrocytoma,0
15,Hand,Common wart,0
16,Clinical Observation,Carcinosarcoma of ovary,0
17,Fatigue,Refractory cytopenia with multilineage dysplasia,0
18,photoreactivating enzyme activity,Platinum-Sensitive Lung Small Cell Carcinoma,0
19,Cerebrovascular accident,Recurrent Glioblastoma,0
20,Case (situation),Stage II Thyroid Gland Papillary Carcinoma 55 Years and Older AJCC v8,0
21,Two,Recurrent Childhood Gliosarcoma,0
22,Volume,Laryngeal verrucous carcinoma,0
23,Changed status,Childhood Brain Glioblastoma,0
24,Speaking (activity),Recurrent Childhood Anaplastic Oligodendroglioma,0
25,factor A,Refractory Lung Small Cell Carcinoma,0
26,Headache,Glioblastoma multiforme of spinal cord,0
27,Qualitative form,Refractory Uterine Corpus Carcinosarcoma,0
28,Classification,Refractory Cytopenia of Childhood,0
29,Study,Borderline Ovarian Serous Adenofibroma,0
30,Testis present,Malignant Vulvar Phyllodes Tumor,0
31,Genus equus,Adenoma,0
32,Nausea,Glioblastoma by Gene Expression Profile,0
33,Percent Activity,Glioblastoma with Primitive Neuronal Component,0
34,Average,Refractory Uterine Corpus Carcinosarcoma,0
35,Usual Severity Vomiting,Borderline Ovarian Mucinous Adenofibroma,0
36,MOSTLY,Recurrent Childhood Anaplastic Oligoastrocytoma,0
37,Spread by direct extension,Childhood Giant Cell Glioblastoma,0
38,Chemotherapy Regimen,Stage I Lung Small Cell Carcinoma AJCC v7,0
39,Present,Anaplastic Hemispheric Astrocytoma,0
40,Due to,Pancreatic Somatostatinoma,0
41,Retinoic Acid Response Element,Glucagonoma,0
42,Various patch test substance,Recurrent Anaplastic Oligoastrocytoma,0
43,Infection,Vaginal Warty Carcinoma,0
44,risk factors,Warty Carcinoma of the Penis,0
45,Tryptophanase,Borderline Ovarian Mucinous Adenofibroma,0
46,Diagnosis Study,Refractory cytopenia with multilineage dysplasia,0
47,Adult Glioblastoma,Neural Glioblastoma,0
48,Very Much,Refractory Uterine Corpus Carcinosarcoma,0
49,Comparison,combined small cell carcinoma of lung,0
50,site-specific telomere resolvase activity,Advanced Small Intestinal Small Cell Neuroendocrine Carcinoma,0
51,Have Been Vomiting,Recurrent Childhood Giant Cell Glioblastoma,0
52,One,Refractory Pancreatic Neuroendocrine Carcinoma,0
53,Glioblastoma Multiforme,Glioblastoma by Gene Expression Profile,0
54,Primary,Metastatic Extraskeletal Myxoid Chondrosarcoma,0
55,Skin,Histiocytosis,0
56,Headache,Mesenchymal Glioblastoma,0
57,Tissue Donors,Leukemia,0
58,Short,Platinum-Resistant Lung Small Cell Carcinoma,0
59,Relationships,Borderline Ovarian Clear Cell Adenofibroma with Intraepithelial Carcinoma,0
60,Grade IV Childhood Astrocytic Neoplasm,gliosarcoma,0
61,Term (temporal),Pancreatic Large Cell Neuroendocrine Carcinoma,0
62,Neuroectodermal Tumor,Refractory Pancreatic Neuroendocrine Carcinoma,0
63,Often - answer to question,Multifocal Glioblastomas,0
64,Frequently,Bladder squamous cell carcinoma stage 0,0
65,Mitotic Activity,Anaplastic Oligoastrocytoma,0
66,Add - instruction imperative,Thyroid Gland Black Follicular Adenoma,0
67,Weight Loss,Stage IIIB Lung Small Cell Carcinoma with Pleural Effusion AJCC v7,0
68,Sweat Glands,Digital papillary eccrine carcinoma of skin,0
69,Long,Anaplastic Oligoastrocytoma,0
70,Localized,insulinoma,0
71,Anatomic Site,Human Papillomavirus-Related Verrucous Carcinoma,0
72,SPINK5 gene,Metastatic Gastric Neuroendocrine Carcinoma,0
73,Operative Surgical Procedures,Uterine Corpus Carcinosarcoma,0
74,Include (action),Childhood Glioblastoma,0
75,More,Recurrent Childhood Pilocytic Astrocytoma,0
76,N not otherwise specified Antibody,Digital papillary eccrine carcinoma of skin,0
77,Representation (action),Stage II Thyroid Gland Papillary Carcinoma 55 Years and Older AJCC v8,0
78,Block (unit of measure),Pancreatic Somatostatinoma,0
79,Vomiting,Childhood Gliosarcoma,0
80,Ephrin Type-B Receptor 1,Advanced Small Intestinal Neuroendocrine Carcinoma,0
81,Occur (action),Metastatic Extraskeletal Myxoid Chondrosarcoma,0
82,1000000,Bladder squamous cell carcinoma stage 0,0
83,Post,combined small cell carcinoma of lung,0
84,Cancer Registry,Borderline Ovarian Endometrioid Cystadenofibroma,0
85,Occurrence Indicator,Secondary Supratentorial Anaplastic Astrocytoma,0
86,Gastrointestinal Stromal Tumors,Recurrent Pancreatic Neuroendocrine Carcinoma,0
87,Age,Recurrent Childhood Anaplastic Oligoastrocytoma,0
88,Confirmation,Borderline Ovarian Serous Adenofibroma,0
89,Enneking Low Surgical Grade,Anaplastic Oligoastrocytoma,0
90,Name,Adult Grade III Lymphomatoid Granulomatosis,0
91,Therapeutic procedure,Bladder squamous cell carcinoma stage 0,0
92,Skin,Urethral Verrucous Carcinoma,0
93,Curative - procedure intent,Platinum-Sensitive Lung Small Cell Carcinoma,0
94,New,Follicular Variant Thyroid Gland Papillary Carcinoma,0
95,Very,Refractory Uterine Corpus Carcinosarcoma,0
96,Empty (qualifier),Intraductal Cribriform Breast Adenocarcinoma,0
97,eTMF Content Model Code,Borderline Ovarian Clear Cell Adenofibroma with Intraepithelial Carcinoma,0
98,Often - answer to question,Common wart,0
99,SLC6A2 protein,Advanced Gastric Neuroendocrine Carcinoma,0
100,Therapeutic procedure,Vulvar Warty Carcinoma,0
101,Unknown,Recurrent Childhood Gliosarcoma,0
102,4+ Answer to question,Refractory Lung Small Cell Carcinoma,0
103,Neck of organ,Laryngeal verrucous carcinoma,0
104,Early,Carcinosarcoma of ovary,0
105,Progress,Childhood Anaplastic Oligoastrocytoma,0
106,Location,Common wart,0
107,Spreading (qualifier value),Human Papillomavirus-Related Verrucous Carcinoma,0
108,Duct (organ) structure,Digital papillary eccrine carcinoma of skin,0
109,Financial Account,Childhood Anaplastic Oligoastrocytoma,0
110,Recombinant Insulin,Somatostatinoma,0
111,Science of Morphology,Dedifferentiated Solitary Fibrous Tumor,0
112,Annual,Adult Anaplastic Astrocytoma,0
113,Astrocytes,Anaplastic Hemispheric Astrocytoma,0
114,Five,Refractory anemia with ringed sideroblasts,0
115,NCI CTEP SDC Cervical Cancer Sub-Category Terminology,Vaginal Warty Carcinoma,0
116,Presentation,Refractory Uterine Corpus Carcinosarcoma,0
117,Neoplasms,Recurrent Childhood Gliosarcoma,0
118,Gait normal,Refractory anemia with ringed sideroblasts,0
119,Small cell carcinoma of lung,Stage I Lung Small Cell Carcinoma AJCC v7,0
120,Group A (blood group),Malignant Vulvar Phyllodes Tumor,0
121,Common Specifications in HL7 V3 Publishing,Metastatic Digestive System Neuroendocrine Tumor G1,0
122,combination of objects,Platinum-Resistant Lung Small Cell Carcinoma,0
123,Relationships,Dedifferentiated Solitary Fibrous Tumor,0
124,Multiple Endocrine Neoplasia Type 1,Glucagonoma,0
125,Glioblastoma Multiforme,Cerebellar Glioblastoma,0
126,Bands,Clear Cell Variant Thyroid Gland Papillary Carcinoma,0
127,include - SetOperator,Brain Glioblastoma,0
128,shared attribute,Advanced Small Intestinal Neuroendocrine Carcinoma,0
129,Tryptophanase,Childhood Pilocytic Astrocytoma,0
130,Mammary Gland Parenchyma,Alveolar soft part sarcoma metastatic,0
131,Papillary thyroid carcinoma,Tall Cell Variant Thyroid Gland Papillary Carcinoma,0
132,Discover,Papillary serous cystadenocarcinoma,0
133,Beginning,Classical Glioblastoma,0
134,Unknown GENC,Childhood Glioblastoma,0
135,Intention - mental process,Combined Lung Small Cell Carcinoma and Lung Adenocarcinoma,0
136,combination - answer to question,Refractory cytopenia with multilineage dysplasia,0
137,Object Class,Anaplastic Hemispheric Astrocytoma,0
138,LATS1 wt Allele,Common wart,0
139,Water,Digital papillary eccrine carcinoma of skin,0
140,Cells,Refractory anemia with ringed sideroblasts,0
141,shared attribute,Metastatic Digestive System Neuroendocrine Tumor G1,0
142,shared attribute,Recurrent Merkel Cell Carcinoma,0
143,Formation,Recurrent Childhood Pilocytic Astrocytoma,0
144,Medications:Presence or Identity:Duration of the study:^Patient:Nominal,Borderline Ovarian Mucinous Adenofibroma,0
145,Common (qualifier value),Advanced Gastric Large Cell Neuroendocrine Carcinoma,0
146,Malignant neoplasm of skin,Carcinosarcoma of ovary,0
147,Detected (finding),High Grade Ductal Breast Carcinoma In Situ,0
148,Specimen Source Codes - tumor,Perivascular epithelioid tumor,0
149,Malignant tumor of cervix,Cervical Warty Carcinoma,0
150,Staphylococcal Protein A,Cerebellar Glioblastoma,0
151,Science of Etiology,Recurrent Childhood Anaplastic Oligodendroglioma,0
152,Visual Impairment,Anaplastic Brain Stem Astrocytoma,0
153,lymph nodes,Histiocytosis,0
154,lobe,Clear Cell Variant Thyroid Gland Papillary Carcinoma,0
155,Healthy,Refractory cytopenia with multilineage dysplasia,0
156,Often - answer to question,Advanced Gastric Neuroendocrine Carcinoma,0
157,Genes,Intraductal Cribriform Breast Adenocarcinoma,0
158,Pitch (deviation),Laryngeal verrucous carcinoma,0
159,gastrointestinal,Small cell lung cancer extensive stage,0
160,Type - attribute,Glioblastoma,0
161,Genus Anemia,Leukemia,0
162,Primary malignant neoplasm,Childhood Gliosarcoma,0
163,Order (record artifact),Refractory anemia with ringed sideroblasts,0
164,Connection,Clear Cell Variant Thyroid Gland Papillary Carcinoma,0
165,Verrucous carcinoma of oral cavity,Verrucous carcinoma of penis,0
166,Neurofibromatosis 1,Juvenile Pilocytic Astrocytoma,0
167,Mammal liver preparation,Malignant Vulvar Phyllodes Tumor,0
168,20%,Leukemia,0
169,Feature,Combined Lung Large Cell Neuroendocrine Carcinoma,0
170,Endocrine Gland Neoplasms,Malignant Pancreatic Vipoma,0
171,Brain Neoplasms,Anaplastic Brain Stem Astrocytoma,0
172,Benign,Childhood Glioblastoma,0
