,CUI1,CUI2,label
0,Immunotherapy,Localized Askin Tumor,0
1,defects aspect,Familial Adenomatous Polyposis Associated Medulloblastoma,0
2,Disease,adenoid cystic carcinoma of lung,0
3,Purple,Extracranial Neuroblastoma,0
4,Malignant - descriptor,Breast Ductal Adenoma,0
5,Left sided,mucinous adenocarcinoma of gallbladder,0
6,Body tissue,Acantholytic squamous cell carcinoma,0
7,Females,Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,0
8,Multiple sexual contacts,Human Papillomavirus-Related Carcinoma,0
9,Group A (qualifier value),Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,0
10,Histopathologic Grade differentiation,Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,0
11,Communicable Diseases,Human Papillomavirus-Related Carcinoma,0
12,white blood cell type,Malignant Neoplasm with Regional Lymph Node Involvement,0
13,Affecting,Primary Cutaneous Plasmablastic Lymphoma,0
14,Slow,Liver Cavernous Hemangioma,0
15,Disease,Mucinous adenocarcinoma gastric,0
16,Lymphoma,Childhood Lymphoma,0
17,Molecule,Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,0
18,Medical Device Material Separation,Childhood Cerebellar Neoplasm,0
19,Synonym,Acute lymphadenitis,0
20,Container status - Identified,Thymic Clear Cell Carcinoma,0
21,Deep (qualifier value),Adult Alveolar Soft Part Sarcoma,0
22,gene therapy,Ichthyoses,0
23,Fresh (qualifier value),Mucinous adenocarcinoma gastric,0
24,Present,Digestive System Hodgkin Lymphoma,0
25,Autosome,Ichthyoses,0
26,Relational and Item-Specific Encoding Task,Refractory Barrett Esophagus,0
27,Removal of bladder,Intestinal Metaplasia of Bladder Urothelium,0
28,How Often Vomiting,Mucinous adenocarcinoma gastric,0
29,Rare,mucinous adenocarcinoma of gallbladder,0
30,Skin Specimen,Acantholytic squamous cell carcinoma,0
31,Inhibition,Unresectable Rhabdomyosarcoma,0
32,Common Specifications in HL7 V3 Publishing,Acantholytic squamous cell carcinoma,0
33,Part of,Adenocarcinoma of the prostate metastatic,0
34,Bacteria,Digestive System Hodgkin Lymphoma,0
35,Occurrence,Malignant melanoma of eyelid,0
36,Dangerousness,Malignant melanoma of eyelid,0
37,Laminar,Adult Fibrolamellar Carcinoma,0
38,Five-year Survival Rate,Intestinal Metaplasia of Bladder Urothelium,0
39,per year,Malignant Testicular Sertoli Cell Tumor,0
40,Third,Endometrial Small Cell Carcinoma,0
41,Common Specifications in HL7 V3 Publishing,Refractory Barrett Esophagus,0
42,Screening Study,Mucinous adenocarcinoma gastric,0
43,Tissue Specimen Code,Intestinal Neuroendocrine Carcinoma,0
44,Symptoms aspect,Choroid Necrotic Melanoma,0
45,Woman,Pathologic Stage IA Cutaneous Melanoma AJCC v8,0
46,Sometimes,Undifferentiated Endocervical Sarcoma,0
47,Experimental Result,Thymic Clear Cell Carcinoma,0
48,Tumor cells,Intestinal Neuroendocrine Carcinoma,0
49,Occurrence,Contact dermatitis due to alkali,0
50,Involvement with,mucinous adenocarcinoma of gallbladder,0
51,Age,Precursor T-lymphoblastic lymphoma/leukemia stage III,0
52,500,Neonatal leukemia,0
53,Diagnosis,Recurrent Testicular Lymphoma,0
54,Cells panel,Heavy Chain Deposition Disease,0
55,NCI CTEP SDC Ewing Sarcoma Sub-Category Terminology,Localized Askin Tumor,0
56,Biomaterial Treatment,Acantholytic squamous cell carcinoma,0
57,Choose (action),Breast Ductal Adenoma,0
58,Cell Count,Stage IB Pancreatic Cancer AJCC v8,0
59,Gram per Deciliter,Recurrent Testicular Lymphoma,0
60,Evidence,Heavy Chain Deposition Disease,0
61,Term (lexical),Cartilaginous exostosis,0
62,Abnormal Reference Range,Recurrent Testicular Lymphoma,0
63,radiotherapeutic,Recurrent Ph-Like Acute Lymphoblastic Leukemia,0
64,Times,Recurrent Uveal Melanoma,0
65,Collection (action),Liver Cavernous Hemangioma,0
66,Subtype (attribute),Mucinous adenocarcinoma gastric,0
67,Endothelium,Angiosarcoma of liver,0
68,Telephone Extension Number,Leptomeningeal sarcoma,0
69,Spreading (qualifier value),Granular Cell Leiomyosarcoma,0
70,Usual Severity Weight Loss,Stage IB Lung Cancer AJCC v7,0
71,vascular inflammations,Acute lymphadenitis,0
72,Divide,Mucinous adenocarcinoma gastric,0
73,Progress,Choroid Necrotic Melanoma,0
74,Encode (action),BRCA2 Syndrome,0
75,Used by,Testicular cancer metastatic,0
76,High,BRCA2 Syndrome,0
77,Test Result,Benign Carotid Body Paraganglioma,0
78,Chemotherapy,Malignant melanoma of eyelid,0
79,Benign Neoplasm,Benign Carotid Body Paraganglioma,0
80,Patient Reported Outcome Stem,Intracortical osteosarcoma,0
81,Fatigue,Stage I Adult Non-Hodgkin Lymphoma,0
82,Cosmetics,Maxillary Sinus Adenocarcinoma,0
83,Negation,Liver Cavernous Hemangioma,0
84,Back structure,Recurrent Uveal Melanoma,0
85,Specimen Source Codes - Tube,Grade 1 Clear Cell Renal Cell Carcinoma,0
86,Benign condition,Recurrent Testicular Lymphoma,0
87,Diagnosis Study,Uterine Cancer,0
88,Graph Node,Tonsillar Carcinoma,0
89,Skin,Malignant melanoma of eyelid,0
90,Suspected qualifier,Uterine Cancer,0
91,Carcinoma of bladder,Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,0
92,Channel,Adult Alveolar Soft Part Sarcoma,0
93,Cancer Genus,Recurrent Testicular Lymphoma,0
94,Anatomic Structure,Benign neoplasm of thorax,0
95,Show,squamous cell carcinoma of the thyroid gland,0
96,Time,Leptomeningeal sarcoma,0
97,various antiinfectives and antiseptics for local oral treatment,Extra-Adrenal Paraganglioma,0
98,Term (temporal),Granular Cell Leiomyosarcoma,0
99,Back structure,Pathologic Stage IA Cutaneous Melanoma AJCC v8,0
100,Compleat Liquid Nutrition,Carcinoma of urinary bladder,0
101,Hematologic Tests,Acute Undifferentiated Leukemia,0
102,Malignant Central Nervous System Neoplasm,Refractory Glioma,0
103,analysis aspect,Pathologic Stage IA Cutaneous Melanoma AJCC v8,0
104,To,Clonal Hematopoiesis of Indeterminate Potential,0
105,Papule,Spongiotic dermatitis,0
106,Bounded by,Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,0
107,Patients,Tonsillar Carcinoma,0
108,Times,Cancer of Urinary Tract,0
109,Vomiting,Mucinous adenocarcinoma gastric,0
110,Molecular Mass,Anterior Urethral Malignant Neoplasm,0
111,Carcinoma,Endometrial Small Cell Carcinoma,0
112,Overall,Clonal Hematopoiesis of Indeterminate Potential,0
113,Extension,Leptomeningeal sarcoma,0
114,KIAA1549L gene,Pilocytic astrocytoma of cerebellum,0
115,Published Comment,Refractory Barrett Esophagus,0
116,International Statistical Classification of Diseases and Related Health Problems,Secondary malignant neoplasm of lymph node,0
117,Adenocarcinoma,Bladder squamous cell carcinoma stage I,0
118,Cancer Remission,Primary Cutaneous Plasmablastic Lymphoma,0
119,More,Clonal Hematopoiesis of Indeterminate Potential,0
120,Dilated,Undifferentiated Endocervical Sarcoma,0
121,Aspects of disease screening,Endometrial Small Cell Carcinoma,0
122,Persons,Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,0
123,Persons,Adult Hepatocellular Carcinoma,0
124,As Much as Desired,Malignant Neoplasm of Lung - Multiple Primary Sites,0
125,diagnosis aspect,Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,0
126,Lymphoid Tissue,Methotrexate-Associated Hodgkin Lymphoma,0
127,Group A (qualifier value),Intestinal Neuroendocrine Carcinoma,0
128,Precancerous Conditions,Secondary malignant neoplasm of lymph node,0
129,Official,BRCA2 Syndrome,0
130,Array Feature,Blepharal carcinoma,0
131,Present,Tonsillar Carcinoma,0
132,Tobacco smoking behavior,Human Papillomavirus-Related Carcinoma,0
133,Time (foundation metadata concept),GIANT PIGMENTED HAIRY NEVUS,0
134,Pharmaceutical Preparations,Diffuse malignant mesothelioma,0
135,Pharmaceutical Preparations,de novo Myelodysplastic Syndrome,0
136,Regulation,Collecting Duct Carcinoma of the Kidney,0
137,Subject Risk,FIGO Stage II Ovarian Cancer,0
138,High,Acantholytic squamous cell carcinoma,0
139,Pelvic Pain,Undifferentiated Endocervical Sarcoma,0
140,Area,Mucinous adenocarcinoma gastric,0
141,More,Recurrent Uveal Melanoma,0
142,Science of Etiology,Spongiotic dermatitis,0
143,Tissue Specimen Code,Stage III Gastric Neuroendocrine Tumor AJCC v8,0
144,Type - attribute,Pathologic Stage IA Cutaneous Melanoma AJCC v8,0
145,Uncontrolled,Stage IB Lung Cancer AJCC v7,0
146,Cell (compartment),Breast Ductal Adenoma,0
147,Linear,Diffuse malignant mesothelioma,0
148,Meibomian Cyst,Benign Apocrine Neoplasm,0
149,Occur (action),Childhood Central Nervous System Immature Teratoma,0
150,Feature,Blepharal carcinoma,0
151,Continuance of life,adenoid cystic carcinoma of lung,0
152,Increased,Undifferentiated Endocervical Sarcoma,0
153,Feel Tired question,Malignant Neoplasm with Regional Lymph Node Involvement,0
154,In Blood,Liver Cavernous Hemangioma,0
155,Manufactured form,Malignant neoplasm of thalamus,0
156,Broken skin,Malignant melanoma of eyelid,0
157,Hematochezia,Mucinous adenocarcinoma gastric,0
158,Administration procedure,Maxillary Sinus Adenocarcinoma,0
159,Adult Lymphoma,Stage I Adult Non-Hodgkin Lymphoma,0
160,Approximate,Diffuse malignant mesothelioma,0
161,Seed entity,Extracranial Neuroblastoma,0
162,Country number,Endometrial Small Cell Carcinoma,0
163,Chemotherapy Regimen,Endometrial Small Cell Carcinoma,0
164,TP53 gene,Precursor T-lymphoblastic lymphoma/leukemia stage III,0
165,Qualitative form,Anterior Urethral Malignant Neoplasm,0
166,Qualitative form,Adult Fibrolamellar Carcinoma,0
167,Physical findings,Malignant melanoma of eyelid,0
168,Valid,Noninfiltrating Intraductal Carcinoma,0
169,Illness: Cannot describe symptoms,FIGO Stage II Ovarian Cancer,0
170,Usual,Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,0
171,Approximate,Localized Askin Tumor,0
172,Definitely Related to Intervention,Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,0
173,Maybe,Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,0
174,Thyroid carcinoma,papillary carcinoma of penis,0
175,International Classification of Diseases for Oncology,Intracortical osteosarcoma,0
176,Surgical aspects,Bladder squamous cell carcinoma stage I,0
177,Room of building - Study,Recurrent Ph-Like Acute Lymphoblastic Leukemia,0
178,Interferes with,Precursor T-lymphoblastic lymphoma/leukemia stage III,0
179,Variable (uniformity),Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,0
180,Visible,Maxillary Sinus Adenocarcinoma,0
181,NCI CTEP SDC Hodgkin Lymphoma Sub-Category Terminology,Childhood Lymphoma,0
182,Malignant neoplasm of kidney,Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,0
183,Mixed Tumor,Carcinoma ex pleomorphic adenoma of parotid gland,0
184,Metastatic Neoplasm,Familial Adenomatous Polyposis Associated Medulloblastoma,0
185,Usually,Malignant Neoplasm with Regional Lymph Node Involvement,0
186,Intergroup Rhabdomyosarcoma Clinical Group Extent of Disease,FIGO Stage II Ovarian Cancer,0
187,Meaning,Granular Cell Leiomyosarcoma,0
188,Pharmacotherapy,Mucinous adenocarcinoma gastric,0
189,Biomaterial Treatment,Adult Hepatocellular Carcinoma,0
190,Project,Advanced Uterine Corpus Carcinosarcoma,0
191,Call (Instruction),Adenocarcinoma of the prostate metastatic,0
192,/40,Clonal Hematopoiesis of Indeterminate Potential,0
193,Pelvis,Localized Askin Tumor,0
194,Diabetes Mellitus,Uterine Cancer,0
195,Stat (do immediately),Unfavorable Non-Hodgkin Lymphoma,0
196,Pediculus (eukaryote),Noninfiltrating Intraductal Carcinoma,0
197,Endometrial Carcinoma,Endometrial Small Cell Carcinoma,0
198,Blood group A (finding),Malignant Neoplasm with Regional Lymph Node Involvement,0
199,ovarian,Endometrial Small Cell Carcinoma,0
200,Tumor cells,Epipodophyllotoxin-Related Myelodysplastic Syndrome,0
201,60%,Unfavorable Non-Hodgkin Lymphoma,0
