,CUI1,CUI2
0,Fanolesomab,Coronary Artery Bypass Surgery
1,Levamisole Phosphate,Oliguria
2,Levobunolol Hydrochloride,Oliguria
3,ferumoxsil,Oliguria
4,Glyburide,"Tuberculosis, Cutaneous"
5,tapentadol,Oliguria
6,paritaprevir,Coronary Artery Bypass Surgery
7,Atracurium Besylate,Coronary Artery Bypass Surgery
8,piperazine hydrate,"Tuberculosis, Cutaneous"
9,lanreotide,Burn injury
10,METHYLDOPA ANHYDROUS,Burn injury
11,Granisetron,"Tuberculosis, Cutaneous"
12,Melphalan,Burn injury
13,interferon beta-1b,Coronary Artery Bypass Surgery
14,Salsalate,Oliguria
15,Clopidogrel bisulfate,Coronary Artery Bypass Surgery
16,testosterone decanoate,Coronary Artery Bypass Surgery
17,calcium chloride anhydrous,Burn injury
18,candesartan cilexetil,Oliguria
19,paricalcitol,Coronary Artery Bypass Surgery
20,Dihydroergotoxine,Burn injury
21,Hyoscyamine,Coronary Artery Bypass Surgery
22,Panthenol,Oliguria
23,cephalothin sodium,Burn injury
24,Triptorelin Acetate,Coronary Artery Bypass Surgery
25,docetaxel,Coronary Artery Bypass Surgery
26,hydroxyethyl cellulose,Coronary Artery Bypass Surgery
27,HYDROXOCOBALAMIN ACETATE,"Tuberculosis, Cutaneous"
28,influenza A virus A/Singapore/INFIMH-16-0019/2016 (H3N2) antigen,Hemophilia A
29,Naproxen,"Tuberculosis, Cutaneous"
30,ibandronic acid,Oliguria
31,VORTIOXETINE HYDROBROMIDE,Burn injury
32,rocuronium bromide,Burn injury
33,Eflornithine,Burn injury
34,aluminum chlorohydrate,Burn injury
35,Verteporfin,"Tuberculosis, Cutaneous"
36,ethanolamine,Coronary Artery Bypass Surgery
37,Hydromorphone Hydrochloride,"Tuberculosis, Cutaneous"
38,Hemin,Oliguria
39,erythromycin lactobionate,Oliguria
40,Charcoal,Burn injury
41,"Japanese encephalitis virus vaccine Nakayama-NIH strain, inactivated",Burn injury
42,Folic Acid,Burn injury
43,Streptococcus pneumoniae serotype 3 capsular antigen diphtheria CRM197 protein conjugate vaccine,"Tuberculosis, Cutaneous"
44,propiomazine,Burn injury
45,Hyaluronic Acid,Burn injury
46,Testosterone Propionate,Burn injury
47,Buclizine hydrochloride,Oliguria
48,TIROFIBAN HYDROCHLORIDE,Oliguria
49,"Insulin, Prompt Zinc, Beef-Pork",Coronary Artery Bypass Surgery
50,Reviparin sodium,Oliguria
51,doripenem,"Tuberculosis, Cutaneous"
52,Dipyridamole,"Tuberculosis, Cutaneous"
53,ETIDRONATE TETRASODIUM,"Tuberculosis, Cutaneous"
54,Azithromycin,Burn injury
55,Calcium Citrate,Burn injury
56,ertugliflozin,"Tuberculosis, Cutaneous"
57,Gadobenate dimeglumine,Oliguria
58,Fludrocortisone,Coronary Artery Bypass Surgery
59,Ceftriaxone,Oliguria
60,CODEINE ANHYD,Coronary Artery Bypass Surgery
61,Purified Protein Derivative of Tuberculin,Sphincter of Oddi Dysfunction
62,torsemide,"Tuberculosis, Cutaneous"
63,Chondroitin Sulfate A Sodium,Burn injury
64,glucomannan,Burn injury
65,influenza A virus (H1N1) antigen,Hemophilia A
66,nalmefene,Burn injury
67,Caspofungin,Oliguria
68,Rubella virus vaccine,Oliguria
69,acrivastine,Burn injury
70,belatacept,"Tuberculosis, Cutaneous"
71,Betamethasone acetate,Coronary Artery Bypass Surgery
72,Epoprostenol,Burn injury
73,Dihydroergocryptine,"Tuberculosis, Cutaneous"
74,timolol anhydrous,Burn injury
75,calcium chloride anhydrous,"Tuberculosis, Cutaneous"
76,Glycine,Coronary Artery Bypass Surgery
77,Arsenic,Coronary Artery Bypass Surgery
78,piperazine hydrate,Coronary Artery Bypass Surgery
79,risedronate sodium,Burn injury
80,"Anthrax immune globulin, human",Coronary Artery Bypass Surgery
81,Menthol,Coronary Artery Bypass Surgery
82,sucralfate malate,Burn injury
