,CUI1,CUI2,label
0,Fanolesomab,Coronary Artery Bypass Surgery,0
1,Levamisole Phosphate,Oliguria,0
2,Levobunolol Hydrochloride,Oliguria,0
3,ferumoxsil,Oliguria,0
4,Glyburide,"Tuberculosis, Cutaneous",0
5,tapentadol,Oliguria,0
6,paritaprevir,Coronary Artery Bypass Surgery,0
7,Atracurium Besylate,Coronary Artery Bypass Surgery,0
8,piperazine hydrate,"Tuberculosis, Cutaneous",0
9,lanreotide,Burn injury,0
10,METHYLDOPA ANHYDROUS,Burn injury,0
11,Granisetron,"Tuberculosis, Cutaneous",0
12,Melphalan,Burn injury,0
13,interferon beta-1b,Coronary Artery Bypass Surgery,0
14,Salsalate,Oliguria,0
15,Clopidogrel bisulfate,Coronary Artery Bypass Surgery,0
16,testosterone decanoate,Coronary Artery Bypass Surgery,0
17,calcium chloride anhydrous,Burn injury,0
18,candesartan cilexetil,Oliguria,0
19,paricalcitol,Coronary Artery Bypass Surgery,0
20,Dihydroergotoxine,Burn injury,0
21,Hyoscyamine,Coronary Artery Bypass Surgery,0
22,Panthenol,Oliguria,0
23,cephalothin sodium,Burn injury,0
24,Triptorelin Acetate,Coronary Artery Bypass Surgery,0
25,docetaxel,Coronary Artery Bypass Surgery,0
26,hydroxyethyl cellulose,Coronary Artery Bypass Surgery,0
27,HYDROXOCOBALAMIN ACETATE,"Tuberculosis, Cutaneous",0
28,influenza A virus A/Singapore/INFIMH-16-0019/2016 (H3N2) antigen,Hemophilia A,0
29,Naproxen,"Tuberculosis, Cutaneous",0
30,ibandronic acid,Oliguria,0
31,VORTIOXETINE HYDROBROMIDE,Burn injury,0
32,rocuronium bromide,Burn injury,0
33,Eflornithine,Burn injury,0
34,aluminum chlorohydrate,Burn injury,0
35,Verteporfin,"Tuberculosis, Cutaneous",0
36,ethanolamine,Coronary Artery Bypass Surgery,0
37,Hydromorphone Hydrochloride,"Tuberculosis, Cutaneous",0
38,Hemin,Oliguria,0
39,erythromycin lactobionate,Oliguria,0
40,Charcoal,Burn injury,0
41,"Japanese encephalitis virus vaccine Nakayama-NIH strain, inactivated",Burn injury,0
42,Folic Acid,Burn injury,0
43,Streptococcus pneumoniae serotype 3 capsular antigen diphtheria CRM197 protein conjugate vaccine,"Tuberculosis, Cutaneous",0
44,propiomazine,Burn injury,0
45,Hyaluronic Acid,Burn injury,0
46,Testosterone Propionate,Burn injury,0
47,Buclizine hydrochloride,Oliguria,0
48,TIROFIBAN HYDROCHLORIDE,Oliguria,0
49,"Insulin, Prompt Zinc, Beef-Pork",Coronary Artery Bypass Surgery,0
50,Reviparin sodium,Oliguria,0
51,doripenem,"Tuberculosis, Cutaneous",0
52,Dipyridamole,"Tuberculosis, Cutaneous",0
53,ETIDRONATE TETRASODIUM,"Tuberculosis, Cutaneous",0
54,Azithromycin,Burn injury,0
55,Calcium Citrate,Burn injury,0
56,ertugliflozin,"Tuberculosis, Cutaneous",0
57,Gadobenate dimeglumine,Oliguria,0
58,Fludrocortisone,Coronary Artery Bypass Surgery,0
