,CUI1,CUI2
0,AAK1 gene,AAK1 gene
1,AAK1 gene,AAK1 gene
2,ABHD8 gene,ABHD8 gene
3,ABHD8 gene,ABHD8 gene
4,ABHD8 gene,ABHD8 gene
5,ABHD16A gene,ABHD16A gene
6,ABHD16A gene,ABHD16A gene
7,ABLIM1 gene,ABLIM1 gene
8,ABLIM1 gene,ABLIM1 gene
9,ABRACL gene,ABRACL gene
10,ABRACL gene,ABRACL gene
11,ABRACL gene,ABRACL gene
12,ACAP2 gene,ACAP2 gene
13,ACAP2 gene,ACAP2 gene
14,ACAT1 gene,ACAT1 gene
15,ACER2 gene,ACER2 gene
16,ACOT7 gene,ACOT7 gene
17,ACOT7 gene,ACOT7 gene
18,ACOT7 gene,ACOT7 gene
19,ACOT7 gene,ACOT7 gene
20,ACOT7 gene,ACOT7 gene
21,ACOT7 gene,ACOT7 gene
22,ACOT7 gene,ACOT7 gene
23,ACOT8 gene,ACOT8 gene
24,ACOT8 gene,ACOT8 gene
25,ACOT8 gene,ACOT8 gene
26,ADAM6 gene,ADAM6 gene
27,ADAM29 gene,ADAM29 gene
28,ADAM29 gene,ADAM29 gene
29,ADRA1A gene,ADRA1A gene
30,ADRA1D gene,ADRA1D gene
31,ADRA1D gene,ADRA1D gene
32,ADRA1D gene,ADRA1D gene
33,AGAP4 gene,AGAP4 gene
34,AGAP4 gene,AGAP4 gene
35,AGFG1 gene,AGFG1 gene
36,AGFG1 gene,AGFG1 gene
37,AGFG2 gene,AGFG2 gene
38,AGMO gene,AGMO gene
39,AGXT2 gene,AGXT2 gene
40,AHR gene,AHR gene
41,ALAD gene,ALAD gene
42,ALAD gene,ALAD gene
43,ALYREF gene,ALYREF gene
44,ALYREF gene,ALYREF gene
45,ALYREF gene,ALYREF gene
46,ALYREF gene,ALYREF gene
47,AMZ1 gene,AMZ1 gene
48,ANAPC4 gene,ANAPC4 gene
49,ANKHD1-EIF4EBP3 gene,ANKHD1-EIF4EBP3 gene
50,ANKIB1 gene,ANKIB1 gene
51,ANKIB1 gene,ANKIB1 gene
52,ANKMY2 gene,ANKMY2 gene
53,ANKMY2 gene,ANKMY2 gene
54,ANKRD11 gene,ANKRD11 gene
55,ANKRD11 gene,ANKRD11 gene
56,ANKRD13C gene,ANKRD13C gene
57,ANKRD13C gene,ANKRD13C gene
58,ANKRD18A gene,ANKRD18A gene
59,ANKRD18A gene,ANKRD18A gene
60,ANKRD22 gene,ANKRD22 gene
61,ANKRD23 gene,ANKRD23 gene
62,ANKRD23 gene,ANKRD23 gene
63,ANKRD23 gene,ANKRD23 gene
64,ANKRD26P1 gene,ANKRD26P1 gene
65,ANKRD49 gene,ANKRD49 gene
66,ANKRD49 gene,ANKRD49 gene
67,ANKRD49 gene,ANKRD49 gene
68,ANKRD62 gene,ANKRD62 gene
69,ANO6 gene,ANO6 gene
70,ANXA2 gene,ANXA2 gene
71,APAF1 gene,APAF1 gene
72,APAF1 gene,APAF1 gene
73,AQP7P3 gene,AQP7P3 gene
74,ARAP2 gene,ARAP2 gene
75,ARGLU1 gene,ARGLU1 gene
76,ARHGAP11A gene,ARHGAP11A gene
77,ARHGAP18 gene,ARHGAP18 gene
78,ARHGAP18 gene,ARHGAP18 gene
79,ARHGAP22 gene,ARHGAP22 gene
80,ARHGAP28 gene,ARHGAP28 gene
81,ARHGAP28 gene,ARHGAP28 gene
82,ARHGAP31 gene,ARHGAP31 gene
83,ARMC4 gene,ARMC4 gene
84,ARMC4 gene,ARMC4 gene
85,ARMC4 gene,ARMC4 gene
86,ARMC6 gene,ARMC6 gene
87,ARRDC4 gene,ARRDC4 gene
88,ASB16 gene,ASB16 gene
89,ASCC1 gene,ASCC1 gene
90,ASCC1 gene,ASCC1 gene
91,ASCC1 gene,ASCC1 gene
92,ASNA1 gene,ASNA1 gene
93,ASNA1 gene,ASNA1 gene
94,ASNA1 gene,ASNA1 gene
95,ASPN gene,ASPN gene
96,ASPN gene,ASPN gene
97,ASZ1 gene,ASZ1 gene
98,ASZ1 gene,ASZ1 gene
99,ASZ1 gene,ASZ1 gene
100,ASZ1 gene,ASZ1 gene
101,ATF4P1 gene,ATF4P1 gene
102,ATL1 gene,ATL1 gene
103,ATL1 gene,ATL1 gene
104,ATXN2 gene,ATXN2 gene
105,ATXN10 gene,ATXN10 gene
106,ATXN10 gene,ATXN10 gene
107,AUNX1 gene,AUNX1 gene
108,AVPR2 gene,AVPR2 gene
109,B3GALNT1 gene,B3GALNT1 gene
110,B3GALNT1 gene,B3GALNT1 gene
111,B3GALNT1 gene,B3GALNT1 gene
112,B3GALNT1 gene,B3GALNT1 gene
113,B3GNT5 gene,B3GNT5 gene
114,B3GNT5 gene,B3GNT5 gene
115,B3GNT7 gene,B3GNT7 gene
116,BCAN gene,BCAN gene
117,BCAN gene,BCAN gene
118,BCAN gene,BCAN gene
119,BCAS1 gene,BCAS1 gene
120,BCAS1 gene,BCAS1 gene
121,BCOR gene,BCOR gene
122,BCOR gene,BCOR gene
123,BDKRB2 gene,BDKRB2 gene
124,BEST1 gene,BEST1 gene
125,BEST1 gene,BEST1 gene
126,BFAR gene,BFAR gene
127,BFAR gene,BFAR gene
128,BIRC8 gene,BIRC8 gene
129,BIRC8 gene,BIRC8 gene
130,BLZF1 gene,BLZF1 gene
131,BRD4 gene,BRD4 gene
132,BRD4 gene,BRD4 gene
133,BRD4 gene,BRD4 gene
134,BRD4 gene,BRD4 gene
