,CUI1,CUI2
0,Family history of diabetes mellitus,Diabetes Mellitus
1,FH: Gout,Gout
2,FH: Cholinesterase deficiency,Pseudocholinesterase deficiency
3,FH: Hereditary spherocytosis,Hereditary spherocytosis
4,FH: Thalassemia,Thalassemia
5,Family history of sickle cell anemia,"Anemia, Sickle Cell"
6,FH: Sickle cell trait,Sickle Cell Trait
7,FH: Senile dementia,Senile dementia
8,Family history of Huntington's chorea,Huntington Disease
9,FH: Epilepsy,Epilepsy
10,FH: Migraine,Migraine Disorders
11,FH: Glaucoma,Glaucoma
12,Family history: Occupational lung disease,Occupational lung disease
13,FH: Rheumatoid arthritis,Rheumatoid Arthritis
14,FH: Scleroderma,Systemic Scleroderma
15,H/O: purpura,Purpura
16,H/O: ear disorder,Ear Diseases
17,H/O: aortic aneurysm,Aortic Aneurysm
18,H/O lower GIT neoplasm,Gastrointestinal Neoplasms
19,H/O: male genital disorder,Disorder of male reproductive system
20,H/O: congenital anomaly,Congenital Disorders
21,History of - risk factor,At risk - finding
22,Insurance refused - medical reasons,At risk - finding
23,Hepatitis B Occupational risk,At risk - finding
24,History of - risk factor,At risk - finding
25,H/O: abnormal uterine bleeding,Abnormal uterine bleeding unrelated to menstrual cycle
26,FH: Blindness/low vision,Blindness AND/OR vision impairment level
27,A/B cover need - surg./dentist,At risk - finding
28,H/O: full term delivery,Term Birth
29,H/O: abnormal uterine bleeding,Abnormal uterine bleeding unrelated to menstrual cycle
30,Nystagmus absent,Nystagmus
31,Meningism absent,Meningism
32,Meningism present,Meningism
33,No FH: Angina,Angina Pectoris
34,FH: Stomach cancer,Malignant neoplasm of stomach
35,FH: Bowel cancer,Intestinal Cancer
36,FH: Bronchus cancer,Primary malignant neoplasm of bronchus
37,Family history: Parkinsonism,Parkinsonian Disorders
38,FH: Angina,Angina Pectoris
39,H/O: thrombosis,Thrombosis
40,H/O: knee problem,Disorder of knee
41,A/B cover need - dentistry,At risk - finding
42,A/B cover need - surgery,At risk - finding
43,Family history of chronic obstructive lung disease,Chronic Obstructive Airway Disease
44,Family history of neoplasm of lung,Lung Neoplasms
45,H/O: Treatment for ischemic heart disease,Myocardial Ischemia
46,Laboratory finding absent,Laboratory test finding
47,FH: Thrombosis,Thrombosis
48,On examination - no disease present,Disease
49,No thrombus,Definite thrombus
50,O/E - diabetic maculopathy absent both eyes,Maculopathy of right eye with diabetes mellitus
51,O/E - diabetic maculopathy absent both eyes,Maculopathy of left eye with diabetes mellitus
52,H/O: fragility fracture,Pathological fracture
53,FH: Maternal hip fracture,Fracture of proximal end of femur
54,FH: Hip fracture in first degree relative,Fracture of proximal end of femur
55,Birth History,Birth
56,Born by cesarean section,Birth
57,FH: Alzheimer's disease,Alzheimer's Disease
58,Missed childhood immunizations,At risk - finding
59,FH: Aortic aneurysm,Aortic Aneurysm
60,Born by forceps delivery,Birth
61,Born by elective cesarean section,Birth
62,Born by normal vaginal delivery,Birth
63,Born by emergency cesarean section,Birth
64,Family history of prostate cancer,Malignant neoplasm of prostate
65,"History of malignant neoplasm of ear, nose AND/OR throat","Primary malignant neoplasm of ear, nose AND/OR throat"
66,Family history of tuberous sclerosis,Tuberous Sclerosis
67,Cerebrospinal (CSF) fluid flow absent,Free flow of (CSF) cerebrospinal fluid
68,Family history of malignant melanoma,Cutaneous Melanoma
69,Family history of malignant neoplasm of vagina,Malignant Vaginal Neoplasm
70,Family history of malignant neoplasm of biliary tract,Biliary Tract Cancer
71,Family history of malignant neoplasm of lung,Malignant neoplasm of lung
72,Family history of malignant neoplasm of liver,Malignant neoplasm of liver
73,Family history of malignant neoplasm of brain,Malignant neoplasm of brain
74,History of malignant neoplasm of thyroid,Malignant neoplasm of thyroid
75,History of malignant neoplasm of tongue,Malignant neoplasm of tongue
76,Family history of malignant neoplasm of uterus,Uterine Cancer
77,Family history of attention deficit hyperactivity disorder,Attention deficit hyperactivity disorder
78,Family history of eating disorder,Eating Disorders
79,Family history of stenosis of aortic valve,Aortic Valve Stenosis
80,Family history of pulmonary emphysema,Pulmonary Emphysema
81,Family history of cleft lip,Cleft upper lip
82,Family history of conduction disorder of the heart,Conduction disorder of the heart
83,Family history of heart failure,Heart failure
84,Family history of dementia,Dementia
85,Family history of hereditary disease,Hereditary Diseases
86,Family history of headache disorder,Headache Disorders
87,Family history of irritable colon,Irritable Bowel Syndrome
88,Family history of malignant lymphoma,Lymphoma
89,Family history of polyp of colon,Colonic Polyps
90,Family history of Charcot-Marie-Tooth disease,Charcot-Marie-Tooth Disease
91,Family history of impaired glucose tolerance,Glucose Intolerance (disease)
92,Family history of backache,Back Pain
93,Family history of congenital cataract,Congenital cataract
94,Family history of endocarditis,Endocarditis
95,History of cerebrovascular accident without residual deficits,Cerebrovascular accident
96,Family history of Ménière disease,Meniere Disease
97,History of thrombophlebitis,Thrombophlebitis
98,Family history of cleft palate,Cleft Palate
99,Family history of intestinal obstruction,Intestinal Obstruction
100,Family history of hyperthyroidism,Hyperthyroidism
