,CUI1,CUI2
0,Hyperthyroidism due to ectopic thyroid tissue,Ectopic thyroid tissue (disorder)
1,Thyrotoxicosis from ectopic thyroid nodule with crisis,Ectopic thyroid tissue (disorder)
2,Hyperthyroidism due to ectopic thyroid nodule,Ectopic thyroid tissue (disorder)
3,Cerebral degeneration in Hunter's disease,Mucopolysaccharidosis II
4,Cerebral degeneration in mucopolysaccharidosis,Mucopolysaccharidoses
5,Chronic ischemic colitis,Vascular insufficiency
6,Acute ischemic enteritis,Ischemia
7,Dermatosis resulting from intravascular thrombosis,Thrombosis of blood vessel
8,Hemosiderin pigmentation of skin due to venous insufficiency,Vascular insufficiency
9,Coumarin necrosis,Thrombosis of blood vessel
10,Cerebral degeneration due to Parkinson's disease,Parkinsonian Disorders
11,Postoperative aspiration pneumonia,Aspiration into lower respiratory tract
12,Traumatic injury due to assault,Assault
13,Embolism from thrombosis of vein of distal lower extremity,Thrombosis of vein of lower limb
14,Esophageal bleeding due to ulcerative esophagitis,Ulcerative esophagitis
15,Fear of drinking liquids due to dysphagia,Deglutition Disorders
16,Injury due to suicide attempt,Suicide attempt
17,Ulcer of limb due to chronic venous insufficiency,Venous Insufficiency
18,Fecal incontinence due to anorectal disorder,Anorectal Diseases
19,Chronic ischemic enterocolitis,Ischemia
20,Acute ischemic enterocolitis,Ischemia
21,Cardiac beriberi,Thiamine Deficiency
22,Chronic ischemic enteritis,Ischemia
23,Ischemic enteritis,Ischemia
24,Hyperthyroidism due to ectopic thyroid nodule,Ectopic thyroid tissue (disorder)
25,Ischemic enterocolitis,Ischemia
26,Acquired portal-systemic shunt due to cirrhosis,Liver Cirrhosis
27,Acute atrophic spinal paralysis,Spinal Cord Diseases
28,Hyperglycemic Hyperosmolar Nonketotic Coma,Diabetic Ketoacidosis
29,Type 1 diabetes mellitus with hyperosmolar coma,Diabetic Ketoacidosis
30,Type 2 diabetes mellitus with hyperosmolar coma,Diabetic Ketoacidosis
31,Hyperglycemic Hyperosmolar Nonketotic Coma,Diabetic Ketoacidosis
32,Stenosis of spinal canal due to subluxation,Subluxation of joint of spine
33,Sarcoid dactylitis,Disease
34,Hypophosphatemic rickets with nephrotic-glycosuric dwarfism,Specific renal tubule transport defect
35,Autosomal dominant hypophosphatemic rickets,Specific renal tubule transport defect
36,autosomal dominant hypophosphatemic bone disease,Specific renal tubule transport defect
