,CUI1,CUI2
0,Methylprednisolone 16 MG Oral Tablet,{14 (Methylprednisolone 16 MG Oral Tablet) } Pack
1,Naproxen 250 MG Oral Tablet [Naprosyn],{7 (lansoprazole 15 MG Delayed Release Oral Capsule [Prevacid]) / 14 (Naproxen 250 MG Oral Tablet [Naprosyn]) } Pack [PREVACID NapraPAC 250]
2,Naproxen 250 MG Oral Tablet,{7 (lansoprazole 15 MG Delayed Release Oral Capsule) / 14 (Naproxen 250 MG Oral Tablet) } Pack
3,Ethinyl Estradiol 0.02 MG / Levonorgestrel 0.1 MG Oral Tablet,{7 (Ethinyl Estradiol 0.01 MG Oral Tablet) / 84 (Ethinyl Estradiol 0.02 MG / Levonorgestrel 0.1 MG Oral Tablet) } Pack
4,Ethinyl Estradiol 0.02 MG / Levonorgestrel 0.1 MG Oral Tablet,{7 (Ethinyl Estradiol 0.01 MG Oral Tablet) / 84 (Ethinyl Estradiol 0.02 MG / Levonorgestrel 0.1 MG Oral Tablet) } Pack [LoSeasonique]
5,Ethinyl Estradiol 0.01 MG Oral Tablet,{7 (Ethinyl Estradiol 0.01 MG Oral Tablet) / 84 (Ethinyl Estradiol 0.02 MG / Levonorgestrel 0.1 MG Oral Tablet) } Pack
6,Ethinyl Estradiol 0.01 MG Oral Tablet,{7 (Ethinyl Estradiol 0.01 MG Oral Tablet) / 84 (Ethinyl Estradiol 0.02 MG / Levonorgestrel 0.1 MG Oral Tablet) } Pack [LoSeasonique]
7,Ethinyl Estradiol 0.035 MG / Norethindrone 0.5 MG Oral Tablet,Eth estra-Noreth 0.035-0.5 MG (12) Oral Tablet / Eth estra-Noreth 0.035-1 MG (9) Oral Tablet / Inert 1 MG (7) Oral Tablet 28 Day Pack
8,Ethinyl Estradiol 0.035 MG / Norethindrone 1 MG Oral Tablet,Eth estra-Noreth 0.035-0.5 MG (12) Oral Tablet / Eth estra-Noreth 0.035-1 MG (9) Oral Tablet / Inert 1 MG (7) Oral Tablet 28 Day Pack
9,Ethinyl Estradiol 0.05 MG / Norethindrone 1 MG Oral Tablet,{21 (Ethinyl Estradiol 0.05 MG / Norethindrone 1 MG Oral Tablet) / 7 (Inert Ingredients 1 MG Oral Tablet) } Pack [Norethin 1/50 M 28 Day]
10,lansoprazole 15 MG Delayed Release Oral Capsule,{7 (lansoprazole 15 MG Delayed Release Oral Capsule) / 14 (Naproxen 250 MG Oral Tablet) } Pack
11,lansoprazole 15 MG Delayed Release Oral Capsule [Prevacid],{7 (lansoprazole 15 MG Delayed Release Oral Capsule [Prevacid]) / 14 (Naproxen 250 MG Oral Tablet [Naprosyn]) } Pack [PREVACID NapraPAC 250]
12,Inert Ingredients 1 MG Oral Tablet,{21 (Ethinyl Estradiol 0.05 MG / Norethindrone 1 MG Oral Tablet) / 7 (Inert Ingredients 1 MG Oral Tablet) } Pack [Norethin 1/50 M 28 Day]
13,Inert Ingredients 1 MG Oral Tablet,Eth estra-Noreth 0.035-0.5 MG (12) Oral Tablet / Eth estra-Noreth 0.035-1 MG (9) Oral Tablet / Inert 1 MG (7) Oral Tablet 28 Day Pack
