,CUI1,CUI2
0,"Tumor cells, malignant",Hemangioma of retina
1,Malignant Stromal Cell,Ampulla of Vater Signet Ring Cell Carcinoma
2,Neoplastic Squamous Cell,Hepatitis B Virus-Related Hepatocellular Carcinoma
3,Malignant Stromal Cell,Intrahepatic Cholangiocarcinoma
4,Atypical lymphoblast,Adult Erythroleukemia
5,Neoplastic Smooth Muscle Cell,Common wart
6,Malignant Stromal Cell,Squamous cell carcinoma
7,Neoplastic Glandular Cell,Squamous cell carcinoma
8,Neoplastic Small to Medium-Sized T-Lymphocyte,Intestinal T-cell lymphoma recurrent
9,Serous Adenocarcinoma Cell,Uterine Corpus Epithelioid Leiomyoma
10,Neoplastic T-Lymphocyte and Neoplastic Natural Killer Cell,Ann Arbor Stage II Grade 1 Non-Contiguous Follicular Lymphoma
11,Neoplastic Smooth Muscle Cell,Adenoma of the Colon with Intramucosal Adenocarcinoma
12,Neoplastic Smooth Muscle Cell,Ovarian Carcinoid Tumor
13,Neoplastic Glandular Cell,Squamous cell carcinoma of cornea
14,Neoplastic Serous Epithelial Cell,"Papillary mucinous cystadenoma, borderline malignancy"
15,Adenocarcinoma Cell,Hamartoma of lung
16,"Tumor cells, malignant",Lipoma of spinal cord
17,Neoplastic Smooth Muscle Cell,Anal canal squamous cell carcinoma
18,Malignant Stromal Cell,Recurrent Thyroid Carcinoma
19,Neoplastic Smooth Muscle Cell,Transitional cell carcinoma in situ
20,"Tumor cells, malignant",Benign neoplasm of submaxillary gland
21,Atypical lymphoblast,Acute Myelomonocytic Leukemia without Abnormal Eosinophils
22,Reed-Sternberg Cells,Common Variant Anaplastic Large Cell Lymphoma
23,Dysplastic Erythroid Precursor,"Myelodysplastic syndrome, no ICD-O subtype"
24,Malignant Stromal Cell,squamous cell carcinoma of urethra
25,Atypical lymphoblast,Acute myeloid leukemia with abnormal marrow eosinophils
26,Reed-Sternberg Cells,AIDS-Related Lymphoblastic Lymphoma
27,Malignant Stromal Cell,minimally invasive follicular carcinoma of the thyroid gland
28,"Tumor cells, malignant",Benign neoplasm of minor salivary gland
29,Neoplastic Squamous Cell,Parietal cell carcinoma
30,Neoplastic Smooth Muscle Cell,Small Intestinal Mixed Adenoneuroendocrine Carcinoma
31,Neoplastic Smooth Muscle Cell,Penile Cancer by AJCC v6 Stage
32,Malignant Stromal Cell,Recurrent Skin Carcinoma
33,Neoplastic Smooth Muscle Cell,Nasopharyngeal Carcinoma by AJCC v6 Stage
34,Neoplastic Smooth Muscle Cell,Laryngeal Paraganglioma
35,Malignant Stromal Cell,Minor Salivary Gland Mucoepidermoid Carcinoma
36,Neoplastic Smooth Muscle Cell,Thymoma malignant invasive
37,Neoplastic Smooth Muscle Cell,carcinosarcoma of extrahepatic bile duct
38,Neoplastic Squamous Cell,mucinous adenocarcinoma of ovary
39,Neoplastic T-Lymphocyte and Neoplastic Natural Killer Cell,Extranodal marginal zone B-cell lymphoma (MALT type) stage III
40,Malignant Stromal Cell,Bladder squamous cell carcinoma stage I
41,Malignant Squamous Cell,Grade 3 Clear Cell Renal Cell Carcinoma
42,Reed-Sternberg Cells,Enteropathy-Associated T-Cell Lymphoma
43,Neoplastic Smooth Muscle Cell,Mixed Type Pancreatic Intraductal Papillary-Mucinous Neoplasm
44,Neoplastic Smooth Muscle Cell,Stage IIA Pancreatic Cancer AJCC v6 and v7
45,Malignant Stromal Cell,Stage IVC Laryngeal Squamous Cell Carcinoma AJCC v7
46,Malignant Epithelial Cell,Sphenoid Sinus Schneiderian Papilloma
47,Reed-Sternberg Cells,Breast Diffuse Large B-Cell Lymphoma
48,Neoplastic Sex Cord-Stromal Cell,Central Nervous System Germ Cell Tumor
49,Neoplastic Squamous Cell,Borderline Ovarian Mucinous Tumor/Atypical Proliferative Ovarian Mucinous Tumor
50,Neoplastic Smooth Muscle Cell,Grade II Penile Intraepithelial Neoplasia
51,Malignant Stromal Cell,Combined Lung Large Cell Neuroendocrine Carcinoma
52,Malignant Stromal Cell,Gallbladder Goblet Cell Carcinoid
53,Neoplastic B-Lymphocyte,Mycosis fungoides/Sezary syndrome stage II
54,Malignant Stromal Cell,Stage III Major Salivary Gland Cancer AJCC v7
55,Neoplastic Epithelial Cell with Intracytoplasmic Mucin,serous adenocarcinofibroma of ovary
56,"Tumor cells, malignant",Benign neoplasm of meninges
57,Malignant Epithelial Cell,Sphenoid Sinus Inverted Papilloma
58,Neoplastic Glandular Cell,Stage I Lip and Oral Cavity Squamous Cell Carcinoma AJCC v6 and v7
