,CUI1,CUI2
0,Mixed Neoplastic Glandular and Squamous Cell Population,Gallbladder Flat Biliary Intraepithelial Neoplasia
1,Borderline Lesion,Desmoplastic trichoepithelioma
2,Intracytoplasmic Eosinophilic Inclusion,alveolar rhabdomyosarcoma of orbit
3,Tubular Pattern,Ampulla of Vater Villous Adenoma
4,Chronic Clinical Course,Infant Acute Undifferentiated Leukemia
5,Indolent Clinical Course,Plasma Cell Myeloma Post-Transplant Lymphoproliferative Disorder
6,Indolent Clinical Course,Glioblastoma with Primitive Neuronal Component
7,Dermal Involvement,Stage 0 Cutaneous Melanoma AJCC v6 and v7
8,Nuclei of Various Sizes and Shapes Present,Lobular Neoplasia Type A
9,Mixed Neoplastic Glandular and Squamous Cell Population,Intraepithelial Neoplasia in Barrett Esophagus
10,Mixed Neoplastic Glandular and Squamous Cell Population,Stage IIIA Lung Squamous Cell Carcinoma AJCC v7
11,Indolent Clinical Course,Childhood Clear Cell Sarcoma of Soft Parts
12,Seminomatous Component Present,Childhood Central Nervous System Teratoma
13,Indolent Clinical Course,Childhood Cerebral Anaplastic Astrocytoma
14,Precise Histogenesis Unknown,Recurrent Childhood Optic Nerve Glioma
15,Liver Cirrhosis,Fibrolamellar Hepatocellular Carcinoma
16,Grade 4 Lesion,Recurrent Childhood Gemistocytic Astrocytoma
17,Prominent Schwannian Stroma Present,Mediastinal Neuroblastoma
18,Intermediate Filaments Present,Intracranial Extraskeletal Myxoid Chondrosarcoma
19,Severe cytologic atypia,Small Intestinal Carcinoid Tumor
20,Benign Cellular Infiltrate,Esophageal Well Differentiated Squamous Cell Carcinoma
21,Solid Growth Pattern,ROSE Cluster 4
22,Benign Cellular Infiltrate,Secondary malignant neoplasm of rectum
23,Mixed Neoplastic Glandular and Squamous Cell Population,basaloid squamous cell carcinoma of vulva
24,Mucoid Stroma Formation,Vulvar Warty Carcinoma
25,Low Grade Lesion,Mediastinal Angiosarcoma
26,Seminomatous Component Present,Stage III Ovarian Teratoma AJCC v6 and v7
27,Mixed Neoplastic Glandular and Squamous Cell Population,Vulvar Adenocarcinoma of Sweat Gland Type
28,Indolent Clinical Course,Retroperitoneal sarcoma
29,Mitotic Activity,Protoplasmic astrocytoma
30,Precise Histogenesis Unknown,Adult Spinal Cord Ependymoma
31,Mixed Neoplastic Glandular and Squamous Cell Population,Cervical Basaloid Carcinoma
32,Mucoid Stroma Formation,Papillary carcinoma in situ
33,Borderline Lesion,Warty dyskeratoma
34,Solid Growth Pattern,Benzene-Related Acute Myeloid Leukemia
35,High Mitotic Activity,Leiomyoma of Gallbladder
36,Borderline Lesion,Ureter Inverted Papilloma
37,Benign Cellular Infiltrate,Gallbladder Leiomyosarcoma
38,Intermediate Filaments Present,Gallbladder Leiomyosarcoma
39,Local disease,Lymphangioleiomyomatosis of skin
40,Dysplasia,Pilomatrixoma
41,Dysplasia,Benign Dermal Neoplasm
42,Invasive Lesion,Low Grade Squamous Intraepithelial Neoplasia
43,Metastatic Lesion,Benign Testicular Sertoli Cell Tumor
44,Solid Growth Pattern,Recurrent Adult Acute Lymphoblastic Leukemia
45,High Mitotic Activity,malignant gastrinoma of pancreas
46,Benign Cellular Infiltrate,Stage IIIC Rectal Cancer AJCC v7
47,High Grade Lesion,Chondroid chordoma
48,Chronic Clinical Course,Acute Myeloid Leukemia with Myelodysplasia-Related Changes
49,Intermediate Filaments Present,Skin Angiosarcoma
50,Benign Cellular Infiltrate,Stage IVB Rectal Cancer AJCC v7
51,Benign Cellular Infiltrate,Stage IIIC Appendix Carcinoma AJCC v7
52,Favorable Clinical Outcome,"Primary Cutaneous Diffuse Large B-Cell Lymphoma, Other"
53,Indolent Clinical Course,Anaplastic Ependymoma
54,Invasive Lesion,Extrahepatic Bile Duct Biliary Intraepithelial Neoplasia
55,Intermediate Filaments Present,Kaposi's sarcoma of extrahepatic bile duct
56,Favorable Clinical Outcome,Stage II Childhood Hepatocellular Carcinoma AJCC v6 and v7
57,Invasive Lesion,Intrahepatic Bile Duct Biliary Intraepithelial Neoplasia
58,Chronic Clinical Course,Mixed phenotype acute leukemia T/myeloid
59,Capsular Invasion,Aldosterone-Producing Adrenal Cortex Adenoma
60,Mixed Neoplastic Glandular and Squamous Cell Population,Stage IIB Lung Adenocarcinoma AJCC v7
61,Dysplasia,Pyogenic granuloma of skin and subcutaneous tissue
62,Indolent Clinical Course,Childhood Angiosarcoma
63,Tumor Vascular Invasion,Androgen-Producing Adrenal Cortex Adenoma
64,Intracytoplasmic Eosinophilic Inclusion,Cardiac Biphasic Synovial Sarcoma
65,Necrotic changes (finding),Mixed Oligodendroglioma-Astrocytoma
66,Intermediate Filaments Present,Cardiac Monophasic Synovial Sarcoma
67,Borderline Lesion,Squamous Papilloma of the Nasopharynx
68,Intracytoplasmic Eosinophilic Inclusion,embryonal rhabdomyosarcoma of prostate
69,Mixed Neoplastic Glandular and Squamous Cell Population,"Adenocarcinoma of lung, stage IV"
70,Encapsulated Mass,neurofibroma of esophagus
71,Mixed Neoplastic Glandular and Squamous Cell Population,Lung squamous cell carcinoma stage I
72,Benign Cellular Infiltrate,Malignant neoplasm of anus
73,Favorable Clinical Outcome,Melanoma Arising in Giant Congenital Nevus
74,Precise Histogenesis Unknown,Secondary Supratentorial Anaplastic Astrocytoma
75,Seminomatous Component Present,"Testicular Yolk Sac Tumor, Macrocystic Pattern"
76,CD21-Positive Neoplastic Cells Present,Adult Langerhans Cell Histiocytosis
77,Mixed Neoplastic Glandular and Squamous Cell Population,Stage 0 Intrahepatic Cholangiocarcinoma AJCC v7
78,Keratin pearl formation,Nasopharyngeal lymphoepithelioma stage III
79,Intermediate Filaments Present,Ewings sarcoma
80,Solid Growth Pattern,Acute monoblastic leukemia
81,Borderline Lesion,Trichilemmoma
82,Leukoerythroblastic Reaction,"Polycythemia Vera, Polycythemic Phase"
83,Focal dysplasia,Filiform Serrated Adenoma
84,Mixed Neoplastic Glandular and Squamous Cell Population,Perihilar Intrahepatic Cholangiocarcinoma
85,Mixed Neoplastic Glandular and Squamous Cell Population,adenocarcinoma of breast with squamous metaplasia
86,Mucoid Stroma Formation,Subglottic Verrucous Carcinoma
87,Intracytoplasmic Eosinophilic Inclusion,Extra-osseous Ewing's sarcoma
88,Mixed Neoplastic Glandular and Squamous Cell Population,Posterior Tongue Squamous Cell Carcinoma
89,"Amorphus, Eosinophilic, and Acellular Deposit",Heavy Chain Deposition Disease
90,Indolent Clinical Course,"Adult Intracranial Solitary Fibrous Tumor/Hemangiopericytoma, Grade 3"
91,Intermediate Filaments Present,"Leiomyosarcoma, Epithelioid"
92,Neoplastic Glandular Epithelium Resembling the Normal Endometrium Present,Ovarian Papillary Cystadenoma
93,Benign Cellular Infiltrate,Rectal Carcinoma
94,Mixed Neoplastic Glandular and Squamous Cell Population,Human Papillomavirus-Related Penile Squamous Cell Carcinoma
95,Immunologic Deficiency Syndromes,Cerebral Lymphoma in Immunocompetent Host
96,Intermediate Filaments Present,Fibromyxosarcoma
97,Intracytoplasmic Eosinophilic Inclusion,Rhabdomyosarcoma of the orbit
98,Diffuse Lesion,Pedunculated conjunctival papilloma
99,Acute Clinical Course,Chronic Lymphocytic Leukemia with Unmutated Immunoglobulin Heavy Chain Variable-Region Gene
100,Neoplastic Glandular Epithelium Resembling the Normal Endometrium Present,Malignant Ovarian Transitional Cell Tumor
101,Mixed Neoplastic Glandular and Squamous Cell Population,"Squamous cell carcinoma, metastatic"
102,Melanin Pigment Present,"Melanoma, Amelanotic"
103,Precise Histogenesis Unknown,Recurrent Childhood Anaplastic Oligodendroglioma
104,Secondary Lesion,Primary solid type intraosseous squamous cell carcinoma
105,Mass of body structure,Microscopic Thymoma
106,Severe cytologic atypia,Descending Colon Neuroendocrine Tumor G1
107,Chronic Clinical Course,Infant Acute Lymphoblastic Leukemia without KMT2A Gene Rearrangement
108,Seminomatous Component Present,Adult Central Nervous System Mature Teratoma
109,Malignant Germinomatous Cellular Infiltrate,Adult Central Nervous System Mature Teratoma
110,Malignant Germinomatous Cellular Infiltrate,Childhood Ovarian Teratoma
111,Intracytoplasmic Eosinophilic Inclusion,Leiomyosarcoma of Vessels
112,Atypical Glandular Epithelium Resembling the Normal Endometrium Present,Borderline Ovarian Clear Cell Adenofibroma with Intraepithelial Carcinoma
113,Hemorrhagic Neuroblastic Nodules Present,"Ganglioneuroblastoma, Intermixed"
114,Mixed Neoplastic Glandular and Squamous Cell Population,Squamous Cell Carcinoma Metastatic in the Neck with Occult Primary
115,Intracytoplasmic Eosinophilic Inclusion,Bladder Sarcoma
116,Mixed Neoplastic Glandular and Squamous Cell Population,Upper Gingival Squamous Cell Carcinoma
117,Indolent Clinical Course,Central Nervous System Choriocarcinoma
118,Intestinal metaplasia,Small Intestinal Signet Ring Cell Carcinoma
119,Mixed Neoplastic Glandular and Squamous Cell Population,Vulvar Eccrine Porocarcinoma
120,High Mitotic Activity,Subependymal Glioma
121,Chronic Clinical Course,Mixed phenotype acute leukemia
122,Indolent Clinical Course,Stage IV Uterine Sarcoma AJCC v7
123,Squamous Differentiation,Stage IV Oropharyngeal Undifferentiated Carcinoma AJCC v7
124,Infiltrative Growth Pattern,Gardner Fibroma
125,Mixed Neoplastic Glandular and Squamous Cell Population,Squamous cell carcinoma of esophagus
126,Tissues Derived from Two or Three Embryonic Layers Present,Ovarian Dermoid Cyst with Secondary Carcinoma
127,Premalignant Lesion,carcinosarcoma of lung
128,Tissues Derived from Two or Three Embryonic Layers Present,Monodermal teratoma
129,Chronic Clinical Course,Core binding factor acute myeloid leukemia
130,Malignant Germinomatous Cellular Infiltrate,choriocarcinoma of mediastinum
131,Borderline Lesion,Esophageal squamous papilloma
132,Benign Cellular Infiltrate,fibrosarcoma of small intestine
133,Benign Cellular Infiltrate,Small intestine adenocarcinoma metastatic NOS
134,Mixed Neoplastic Glandular and Squamous Cell Population,Laryngeal squamous cell carcinoma recurrent
135,Mucoid Stroma Formation,Breast Papillomatosis
136,Mucoid Stroma Formation,"Carcinoma, Papillary"
137,Intermediate Filaments Present,Stage I Bone Sarcoma AJCC v7
138,Mixture of Germ Cell Neoplastic Components Present,Childhood Ovarian Choriocarcinoma
139,Intermediate Filaments Present,leiomyosarcoma of kidney
140,Indolent Clinical Course,Chondroblastic osteosarcoma
141,Intracytoplasmic Eosinophilic Inclusion,Rectal Kaposi Sarcoma
142,Mixed Neoplastic Glandular and Squamous Cell Population,Thyroid Hurthle Cell Carcinoma
143,Borderline Lesion,Renal Pelvis Inverted Papilloma
144,Neoplastic Glandular Epithelium Resembling the Normal Endometrium Present,Fallopian Tube Mucinous Neoplasm
145,Benign Cellular Infiltrate,Malignant tumor of small intestine
146,Mixed Neoplastic Glandular and Squamous Cell Population,Clear cell squamous cell carcinoma of skin
147,Intestinal metaplasia,Bile duct signet-ring cell carcinoma
148,Borderline Lesion,Oral Cavity Pleomorphic Adenoma
149,Histiocytosis,Centroblastic Lymphoma Post-Transplant Lymphoproliferative Disorder
150,Borderline Lesion,Desmoplastic trichilemmoma
151,Stromal Invasion,Pancreatic Intraductal Tubulopapillary Neoplasm
