,CUI1,CUI2
0,Carcinomatous Component Present,ENSAT Stage II Adrenal Cortex Carcinoma
1,Myeloblasts Under 2 Percent of Peripheral Blood White Cells,"Leukemia, Myeloid, Chronic-Phase"
2,Metaplasia,Urethral Nephrogenic Adenoma
3,Epithelial Component Present,Invasive Apocrine Breast Carcinoma
4,Diffuse Pattern,Childhood Diffuse Astrocytoma
5,Blasts of Mixed Phenotype Present,Acute biphenotypic leukemia
6,Infiltrative Growth Pattern,Childhood Gliosarcoma
7,Burn injury,Old Burn Scar-Related Skin Squamous Cell Carcinoma
8,Myxoid Stroma Formation,Follicular Myxoma
9,Diffuse Pattern,T-cell/histiocyte rich large B-cell lymphoma
10,Hypertensive disease,Hypertensive crisis
11,Well-Circumscribed Lesion,Papillary mucinous cystadenoma
12,Cystic Change,Bile Duct Mucinous Cystic Neoplasm with High Grade Intraepithelial Neoplasia
13,Melanin Pigment Present,Pigmented Basal Cell Carcinoma
14,Secondary Lesion,Secondary malignant neoplasm of lymph node
15,Blasts Under 20 Percent of Bone Marrow Nucleated Cells,Juvenile Myelomonocytic Leukemia
16,Cutaneous Involvement,"Keratoderma, Palmoplantar, Epidermolytic"
17,Severe dysplasia,Stage 0 Esophageal Adenocarcinoma AJCC v7
18,Papillary Pattern,Lung Glandular Papilloma
19,Neuroendocrine Differentiation,Ampulla of Vater Neuroendocrine Tumor G1
20,Carcinomatous Component Present,Ampulla of Vater Neuroendocrine Carcinoma
21,Carcinomatous Component Present,Stage IVA Oropharyngeal Carcinoma AJCC v7
22,Epithelial Component Present,Stage IVA Oropharyngeal Carcinoma AJCC v7
23,Well-Circumscribed Lesion,Large Bowel Juvenile Polyp
24,Hereditary Lesion,Hereditary pyropoikilocytosis
25,Carcinomatous Component Present,"Carcinoma, Endometrioid"
26,Carcinomatous Component Present,adenosquamous carcinoma of pancreas
27,Mixture of Germ Cell Neoplastic Components Present,Testicular Mixed Choriocarcinoma and Teratoma
28,Villous Pattern,Cervical Villoglandular Adenocarcinoma
29,Carcinomatous Component Present,large cell carcinoma of salivary gland
30,Cystic Change,Brenner Tumor
31,Squamous Metaplasia of Malignant Cells Present,Ductal Breast Carcinoma with Squamous Metaplasia
32,Papillary Pattern,Ureter Urothelial Papilloma
33,Epithelial Component Present,Bladder Urachal Squamous Cell Carcinoma
34,Carcinomatous Component Present,Stage III Esophageal Cancer AJCC v7
35,Ineffective hematopoiesis,Topoisomerase II Inhibitor-Related Acute Myeloid Leukemia
36,Epithelial Component Present,Gastric Neuroendocrine Neoplasm
37,Cutaneous Involvement,"lymphomatoid papulosis, type C"
38,Papillary Pattern,Schneiderian papilloma
39,Neoplastic Monocytes and Precursors 20 Percent or More of Bone Marrow Cells,Childhood Acute Myelomonocytic Leukemia
40,Fascicular Pattern,Adult Clear Cell Sarcoma of Soft Parts
