,CUI1,CUI2
0,Hematopoietic and Lymphoid Cell,Cyclic neutropenia
1,Mature B-Lymphocyte,Stage III Diffuse Large B-Cell Lymphoma
2,Glandular cell,Gallbladder Flat Biliary Intraepithelial Neoplasia
3,Glandular cell,Pancreatic Intraductal Tubulopapillary Neoplasm with an Associated Invasive Carcinoma
4,Cells,Sertoli cell tumor of testis
5,Transitional epithelial cell of urinary bladder,Stage 0is Bladder Urothelial Carcinoma AJCC v6 and v7
6,Neural Crest-Derived Cell,Malignant Cardiac Paraganglioma
7,Epithelial Cells,Mucoepidermoid carcinoma of the oral cavity stage III
8,Epithelial Cells,Acantholytic acanthoma
9,Cells,Prostate Phyllodes Tumor
10,Epithelial Cells,Breast Solid Neuroendocrine Carcinoma
11,Mature Lymphocyte,Adult Unfavorable Prognosis Hodgkin Lymphoma
12,Epithelial Cells,Posterior Tongue Adenoid Cystic Carcinoma
13,Epithelial Cells,Stage IIIC Esophageal Adenocarcinoma AJCC v7
14,Terminal Ductal Lobular Unit Cell,"Invasive Lobular Breast Carcinoma, Pleomorphic Variant"
15,Germ Cells,Adult Teratoma
16,Epithelial Cells,Stage IVC Nasopharyngeal Carcinoma AJCC v7
17,B-Lymphocytes,Ann Arbor Stage II Non-Contiguous Mantle Cell Lymphoma
18,Epithelial Cells,tubular adenoma of gallbladder
19,Connective Tissue Cells,Intravenous leiomyomatosis
20,Neuroepithelial Cells,"Neuroectodermal Tumor, Melanotic"
21,Epithelial Cells,Condyloma acuminata of cervix
22,Bone marrow stem cell,Acute Megakaryocytic Leukemias
23,Lymphocyte,Cervical lymphadenitis
24,Hematopoietic and Lymphoid Cell,Gallbladder Lymphoma
25,melanocyte,Gallbladder Melanoma
26,keratinocyte,Solar Radiation-Related Skin Squamous Cell Carcinoma
27,Epithelial Cells,Nasal Cavity and Paranasal Sinus Small Cell Carcinoma
28,Connective Tissue Cells,Ovarian Endometrioid Stromal and Related Neoplasms
29,mast cell,"Systemic mastocytosis with associated clonal, hematologic non-mast-cell lineage disease"
30,melanocyte,Stage II Lentigo Maligna Melanoma AJCC v6 and v7
31,Hematopoietic and Lymphoid Cell,Colon Burkitt Lymphoma
32,Epithelial Cells,Vaginal Adenoma
33,Germ Cells,Gastric Teratoma
34,Hematopoietic and Lymphoid Cell,Esophageal Diffuse Large B-Cell Lymphoma
35,Cells,Adult Giant Cell Glioblastoma
36,Neuroglia,Recurrent Childhood Gemistocytic Astrocytoma
37,Epithelial Cells,Anal Verrucous Carcinoma
38,Astrocytes,Visual Pathway Astrocytoma
39,Endocrine-Stromal Cell,Benign Sertoli Cell Tumor
40,Epithelial Cells,Stage IVA Laryngeal Verrucous Carcinoma AJCC v7
41,Embryonic Cell,Mediastinal Neuroblastoma
42,Hematopoietic and Lymphoid Cell,Stage IV Burkitt Lymphoma
43,Lymphocyte,Monocytoid B-cell lymphoma
44,Germ Cells,Testicular Pure Germ Cell Tumor
45,Cells,Eccrine mixed tumor of skin
46,Hematopoietic and Lymphoid Cell,Gastric Diffuse Large B-Cell Lymphoma
47,Epithelial Cells,Thyroid stimulating hormone-producing pituitary tumor
48,Hematopoietic and Lymphoid Cell,Gastric T-Cell Non-Hodgkin Lymphoma
49,Germ Cells,Stage I Ovarian Teratoma AJCC v6 and v7
50,Epithelial Cells,Functioning Pituitary Gland Macroadenoma
51,Cartilage Cell,Grade III Chondrosarcoma
52,Muscle Cells,Oral Cavity Leiomyoma
53,Germ Cells,Stage III Ovarian Teratoma AJCC v6 and v7
54,Precursor T-Lymphoblast,Mediastinal T Lymphoblastic Lymphoma
55,Epithelial Cells,papillary adenoma of extrahepatic bile duct
56,Hematopoietic and Lymphoid Cell,Stage III Adult Hodgkin Lymphoma
57,Germ Cells,Ovarian Dermoid Cyst with Secondary Pituitary-Type Tumor
