,CUI1,CUI2
0,Epithelium,Cardiac Paraganglioma
1,Lymphoid Tissue,EBV-Related Clonal Post-Transplant Lymphoproliferative Disorder
2,Body tissue,Breast Phyllodes Tumor
3,Epithelium,Bronchial adenoma
4,Hematopoietic and Lymphoid Tissue,Childhood T Acute Lymphoblastic Leukemia
5,soft tissue,Juvenile Dermatomyositis Sine Myositis
6,Hematopoietic and Lymphoid Tissue,Primary Pulmonary Diffuse Large B-Cell Lymphoma
7,Germinal Layer,Dysgerminoma of ovary
8,Epithelium,Low Grade Lung Neuroendocrine Neoplasm
9,Epithelium,Occult Lung Large Cell Carcinoma
10,Connective and Soft Tissue,Stage IA Bone Sarcoma AJCC v7
11,Esophageal mucous membrane,Stage 0 Esophageal Squamous Cell Carcinoma AJCC v7
12,Hematopoietic and Lymphoid Tissue,Hodgkin's disease mixed cellularity stage I site unspecified
13,Connective and Soft Tissue,Stage IA Soft Tissue Sarcoma AJCC v7
14,Hematopoietic and Lymphoid Tissue,"Leukemia, Myeloid, Accelerated Phase"
15,Urothelium,Bladder Papillary Urothelial Neoplasm
16,Epithelium,Bladder Papillary Urothelial Neoplasm
17,Urothelium,Stage 0a Ureter Cancer AJCC v7
18,Epithelium,Metastatic urothelial carcinoma
19,Hematopoietic and Lymphoid Tissue,Ocular Adnexal Lymphoma
20,Ependyma and Remnants of the Central Canal of the Spinal Cord,Childhood Infratentorial Ependymoma
21,Neuroepithelial Tissue,Meningeal Gliomatosis
22,Epithelium,Stage 0 Lung Cancer AJCC v6 and v7
23,Odontogenic Epithelium,Clear cell odontogenic carcinoma
24,Muscle Tissue,Cervical Rhabdomyoma
25,Hepatobiliary Tissue,Stage IIIC Adult Liver Cancer AJCC v7
26,soft tissue,Breast Myoepitheliosis
27,Structure of germinal epithelium of ovary,Ovarian Transitional Cell Carcinoma
28,Glandular Epithelium,Adenocarcinoma in situ in tubulovillous adenoma
29,Epithelium,Minor Salivary Gland Mucoepidermoid Carcinoma
30,Urothelium,Bladder transitional cell carcinoma stage I
31,Body tissue,Malignant Parotid Gland Mixed Tumor
32,Glandular Epithelium,cystadenoma of salivary gland
33,Epithelium,Endolymphatic sac tumor
34,Lymphoid Tissue,ROSE Cluster 3
35,Lymphoid Tissue,ROSE Cluster 5
36,Ovarian Tissue,Benign germ cell tumor of ovary
37,Neural Crest,Metastatic Bone Ewing Sarcoma
38,myometrium,Benign Metastasizing Leiomyoma of the Uterine Corpus
39,Connective and Soft Tissue,Hemangioma of gingiva
40,Embryonic tissue,Cellular Congenital Mesoblastic Nephroma
41,Connective and Soft Tissue,Uterine Corpus Epithelioid Leiomyosarcoma
42,Laryngeal Epithelium,Stage IVA Laryngeal Squamous Cell Carcinoma AJCC v7
43,Epithelium,Stage IIA Pancreatic Cancer AJCC v6 and v7
44,Epithelium,Cystadenoma of pancreas
45,Lymphoid Tissue,Lymphoma stage I
46,myometrium,Uterine Corpus Smooth Muscle Tumor of Uncertain Malignant Potential
47,soft tissue,Benign Cervical Soft Tissue Neoplasm
48,"Nerve Tissue, Neuroepithelial Tissue, and Nerve Sheaths",ganglioneuroblastoma of mediastinum
49,soft tissue,Uterine Corpus Endometrial Stromal Sarcoma
50,Connective and Soft Tissue,Post-Radiotherapy Breast Angiosarcoma
51,Epithelium,Mucinous adenocarcinoma of colon
52,Blood Vessel Endothelium,Angiosarcoma of the Skin of the Arm after Radical Mastectomy followed by Lymphedema
53,Endothelium of lymphatic vessel,Colon Lymphangioma
54,Epithelium of gallbladder,Gallbladder Mucinous Cystic Neoplasm with an Associated Invasive Carcinoma
55,Epithelium,Appendix Mucinous Cystadenoma
56,Embryonic tissue,Stage 3 Neuroblastoma
57,Connective and Soft Tissue,Malignant fibrous histiocytoma recurrent
58,Connective and Soft Tissue,Benign Gastric Gastrointestinal Stromal Tumor
59,Lymphoid Tissue,Mycosis Fungoides Variant
60,Lymphoid Tissue,Breast T-Cell Non-Hodgkin Lymphoma
61,Hematopoietic and Lymphoid Tissue,Appendix Lymphoma
62,Lactiferous terminal ductal lobular unit,Juvenile fibroadenoma of breast
63,Mammary Epithelium,Noninfiltrating intraductal papillary adenocarcinoma
64,Endometrium,"Endometrial Endometrioid Adenocarcinoma, Variant with Squamous Differentiation"
