,CUI1,CUI2
0,TP53 gene,"Cervical Mucinous Adenocarcinoma, Signet Ring Cell Type"
1,BMPR1A gene,Juvenile polyposis syndrome
2,KRAS gene,Appendix Tubulovillous Adenoma
3,FHIT gene,Cervical Endometrioid Adenocarcinoma
4,ERBB2 gene,Invasive papillary breast carcinoma
5,BCL2 gene,Recurrent Grade 3 Follicular Lymphoma
6,KRAS gene,Ovarian mucinous tumor
7,MYC gene,Stage IV Adult Burkitt Lymphoma
8,EML4 gene,"Bronchiolo-alveolar carcinoma, non-mucinous"
9,EWSR1/ERG Fusion Gene,Localized Ewing Sarcoma
10,BRAF gene,Colon Cribriform Comedo-Type Adenocarcinoma
11,SS18/SSX1 Fusion Gene,"Synovial sarcoma, epithelioid cell"
12,GNA11 gene,Mixed Cell Uveal Melanoma
13,BRAF gene,Stage IIIC Rectal Cancer AJCC v7
14,BCL3 gene,Chronic lymphocytic leukemia refractory
15,RET gene,"Follicular Variant Thyroid Gland Papillary Carcinoma, Infiltrative Subtype"
16,BCL2 gene,"Follicle center lymphoma, follicular grade I, II, III stage IV"
17,SS18 gene,Cardiac Biphasic Synovial Sarcoma
18,NCOA4/RET Fusion Gene,Oncocytic Variant Thyroid Gland Papillary Carcinoma
19,TRIM24/RET Fusion Gene,Oncocytic Variant Thyroid Gland Papillary Carcinoma
20,TP53 gene,"Anaplastic Astrocytoma, IDH-Wildtype"
21,ERBB2 gene,Pancreatic Hepatoid Adenocarcinoma
22,BRAF gene,Childhood Colorectal Carcinoma
23,MYC gene,Stage 0 Cervical Cancer AJCC v6
24,TSC2 gene,Lymphangiomyoma
25,BCR-ABL Fusion Gene,B Acute Lymphoblastic Leukemia with t(9;22)(q34.1;q11.2); BCR-ABL1
26,CTNNB1 gene,Endometrioid carcinoma ovary
27,PTEN gene,Vulvar Squamous Cell Carcinoma with Tumor Giant Cells
28,ETV6/NTRK3 FUSION GENE,Infantile fibrosarcoma
29,ERG gene,Prostate Acinar Adenocarcinoma
30,TP53 gene,Bladder transitional cell carcinoma stage IV
31,BRAF gene,Stage III Colorectal Cancer
32,PTCH1 gene,Skin Nodular Solid Basal Cell Carcinoma
33,NF1 gene,Epithelioid neurofibroma
34,GNAS gene,Densely Granulated Somatotroph Adenoma
35,TP53 gene,Stage 0 Rectosigmoid Cancer AJCC v6 and v7
36,RB1 gene,"Retinoblastoma, undifferentiated"
37,TP53 gene,"Infiltrating Renal Pelvis Urothelial Carcinoma, Sarcomatoid Variant"
38,ERG gene,"Acinar Prostate Adenocarcinoma, Pseudohyperplastic Variant"
39,EGFR gene,Adenosquamous cell lung cancer stage IIIB
40,NF1 gene,Atypical neurofibroma
41,TP53 gene,Stage II Colon Cancer AJCC v7
42,MYH11 gene,"Acute myeloid leukemia, t(16;16)(p13;q22)"
43,TP53 gene,Soft Palate Squamous Cell Carcinoma
44,PLAG1 gene,Lipoblastoma
45,PRKAR1A/RET Fusion Gene,Papillary Thyroid Microcarcinoma
46,CCND1 gene,Invasive Ductal Breast Carcinoma with Predominant Intraductal Component
47,MSH2 gene,Turcot Syndrome Type 1
48,CDC73 gene,Familial Isolated Hyperparathyroidism
49,MYC gene,Sporadic Burkitt's lymphoma
50,APC gene,Adenoma of ampulla of Vater
51,TP53 gene,Ampulla of Vater Intestinal-Type Adenocarcinoma
52,KRAS gene,Colloid Carcinoma of the Pancreas
53,CDKN2A gene,carcinoma of pancreas with osteoclast-like giant cells
54,NF1 gene,Cardiac neurofibroma
55,RARA gene,Hypergranular promyelocytic leukemia
56,MEN1 gene,Glucagonoma
57,KRAS gene,Stage IV Colorectal Cancer AJCC v7
58,APC gene,Rectal Micropapillary Adenocarcinoma
59,GNA11 gene,Recurrent Uveal Melanoma
60,SS18/SSX2 Fusion Gene,Esophageal Synovial Sarcoma
61,TP53 gene,Adenosquamous cell lung cancer recurrent
62,EWSR1/FLI1 Fusion Gene,Metastatic Ewing's Sarcoma
63,TP53 gene,Stage IVC Laryngeal Verrucous Carcinoma AJCC v7
64,TP53 gene,Adult Anaplastic Astrocytoma
65,NOTCH1 gene,Cutaneous T Lymphoblastic Leukemia/Lymphoma
66,EGFR gene,Papillary Lung Adenocarcinoma
67,TP53 gene,Small cell lung cancer recurrent
68,MYC gene,Adenoid basal carcinoma of cervix uteri
69,VHL gene,Pancreatic Neuroendocrine Microadenoma
70,BRAF gene,Stage II Superficial Spreading Melanoma AJCC v6 and v7
71,NCOA4/RET Fusion Gene,"Follicular Variant Thyroid Gland Papillary Carcinoma, Infiltrative Subtype"
72,HMGA2 gene,Retroperitoneal Inflammatory Myofibroblastic Tumor
73,TP53 gene,Stage IVA Rectal Cancer AJCC v7
74,NOTCH1 gene,Mediastinal T Lymphoblastic Leukemia/Lymphoma
75,APC gene,Rectosigmoid Cancer by AJCC v7 Stage
76,APC gene,Colorectal Sarcomatoid Carcinoma
77,TP53 gene,Anterior Tongue Squamous Cell Carcinoma
78,TP53 gene,Stage IA Lung Adenocarcinoma AJCC v7
79,TP53 gene,Combined Lung Small Cell Carcinoma and Lung Adenocarcinoma
80,NCOA4/RET Fusion Gene,Thyroid Gland Papillary Carcinoma with Fibromatosis/Fasciitis-Like Stroma
81,ERC1/RET Fusion Gene,Thyroid Gland Papillary Carcinoma with Fibromatosis/Fasciitis-Like Stroma
82,FUS/ERG FUSION GENE,Askin's tumor
83,EWSR1 gene,Askin's tumor
84,EGFR gene,Non-small cell lung cancer stage III
85,GNAQ gene,Intermediate Cell Type Iris Melanoma
86,GNAQ gene,Choroid Epithelioid Cell Melanoma
87,VHL gene,Pancreatic Neuroendocrine Tumor G1
88,NTRK1/TPM3 Fusion Gene,Stage IVA Thyroid Gland Papillary Carcinoma AJCC v7
89,TP53 gene,Verrucous carcinoma of oral cavity
90,GNA11 gene,Ciliary Body Epithelioid Cell Melanoma
91,CRTC1/MAML2 Fusion Gene,Intermediate Grade Salivary Gland Mucoepidermoid Carcinoma
92,BRAF gene,Squamous cell carcinoma of colon
93,KRAS gene,Mucinous cystadenocarcinoma of ovary
94,BCR-ABL Fusion Gene,"Splenic Manifestation of Chronic Myelogenous Leukemia, BCR-ABL1 Positive"
95,KRAS gene,Colorectal Goblet Cell Rich Hyperplastic Polyp
96,EML4 gene,Bronchioloalveolar Adenocarcinoma
97,TP53 gene,Stage I Rectal Cancer AJCC v6 and v7
98,EWSR1 gene,Recurrent tumors of the Ewing's family
99,KRAS gene,Stage III Rectal Cancer AJCC v6
100,CTNNB1 gene,Hepatoblastoma with Pure Fetal Epithelial Differentiation
101,ERBB2 gene,solid type ductal carcinoma in situ of breast
102,BRAF gene,Stage IIB Colon Cancer AJCC v7
103,GNA11 gene,Stage IIB Uveal Melanoma AJCC v7
104,HMGA1 gene,Uterine Corpus Epithelioid Leiomyoma
105,CDC73 gene,Hyperparathyroidism-Jaw Tumor Syndrome
106,HMGA1 gene,Uterine Corpus Bizarre Leiomyoma
107,TP53 gene,Recurrent Rectal Cancer
108,MYC gene,Methotrexate-Associated Burkitt Lymphoma
109,PMS2 gene,Hereditary Non-Polyposis Colon Cancer Type 2
110,STAT5B/RARA FUSION GENE,Acute Myeloid Leukemia with t(17;17)(q21;q21)
111,TP53 gene,Childhood Cerebral Anaplastic Astrocytoma
112,EML4 gene,mucinous adenocarcinoma of lung
113,RB1 gene,Granular Cell Leiomyosarcoma
114,BRAF gene,Adenocarcinoma of colon
115,TP53 gene,Endocervical Carcinoma
116,PCM1 gene,Nonencapsulated sclerosing tumor
117,TP53 gene,"Stage 0 Laryngeal Squamous Cell Carcinoma AJCC v6, v7, and v8"
118,TP53 gene,Cervical Large Cell Neuroendocrine Carcinoma
119,EWSR1/ETV4 Fusion Gene,Localized Ewing Sarcoma
120,EXT1 gene,Hereditary Multiple Exostoses
121,FUS/ERG FUSION GENE,Extra-osseous Ewing's sarcoma metastatic
122,CCND1 gene,Blastoid Variant Mantle Cell Lymphoma
123,MDM2 gene,Spindle cell liposarcoma
124,NOTCH1 gene,Adult T Acute Lymphoblastic Leukemia
125,NTRK1/TPM3 Fusion Gene,"Follicular Variant Thyroid Gland Papillary Carcinoma, Infiltrative Subtype"
126,KRAS gene,Undifferentiated Carcinoma of Colon
127,EGFR gene,Stage 0 Lung Adenocarcinoma AJCC v6 and v7
128,TP53 gene,Stage IIIB Cervical Cancer AJCC v6 and v7
129,KRAS gene,"Pancreatic Intraductal Papillary Mucinous Neoplasm, Pancreatobiliary-Type"
130,CDC73 gene,Recurrent Parathyroid Gland Carcinoma
131,TP53 gene,Squamous cell carcinoma of floor of mouth
132,MEN1 gene,Parathyroid Adenoma
133,KRAS gene,"Adenocarcinoma of lung, stage II"
134,TP53 gene,Grade III Childhood Astrocytoma
135,CCDC6/RET Fusion Gene,Clear Cell Variant Thyroid Gland Papillary Carcinoma
136,WT1 gene,Cervical Wilms Tumor
137,SS18 gene,Monophasic Synovial Sarcoma
138,CEBPA gene,Acute myeloid leukemia with mutated CEBPA
139,TP53 gene,Serous Tubal Intraepithelial Carcinoma
140,HLA-A gene,Nasopharyngeal lymphoepithelioma stage II
141,EWSR1/ETV1 Fusion Gene,Ewings sarcoma
142,AML1/TEL FUSION GENE,B Acute Lymphoblastic Leukemia with t(12;21)(p13.2;q22.1); ETV6-RUNX1
143,HLA-A gene,Stage III Nasopharyngeal Carcinoma AJCC v7
144,NF2 gene,Anaplastic (Malignant) Intracranial Meningioma
145,MUTYH gene,MUTYH-Associate Polyposis
146,TP53 gene,Ampulla of Vater Hepatoid Adenocarcinoma
147,EWSR1/PATZ1 Fusion Gene,Peripheral Primitive Neuroectodermal Tumor of the Kidney
148,MLL/AF4 FUSION GENE,B Acute Lymphoblastic Leukemia with t(v;11q23.3); KMT2A Rearranged
149,HBB gene,"Anemia, Sickle Cell"
