,CUI1,CUI2
0,Loss of Chromosome 7,Adult Oligodendroglial Tumor
1,t(2;8)(p11;q24),Immunodeficiency-associated Burkitt's lymphoma
2,del(6q21q25),Angiocentric lymphoma recurrent
3,Loss of Chromosome 4q,Stage IB Esophageal Adenocarcinoma AJCC v7
4,Gain of Chromosome 17,Leiomyosarcoma of small intestine
5,t(2;8)(p11;q24),Adult Burkitt Leukemia
6,Loss of Chromosome 3p,Intraspinal Meningioma
7,del(17q25),Stage III Esophageal Squamous Cell Carcinoma AJCC v7
8,Gain of Chromosome 20,Adult Hepatocellular Carcinoma
9,"Chromosome 11, deletion 11p",Postsurgical Stage II Hepatoblastoma
10,Gain of Chromosome 19,Acute myeloid leukemia with multilineage dysplasia
11,t(14;18)(q32;q21),Grade 3b Follicular Lymphoma
12,Chromosome 13q deletion,mucinous adenocarcinoma of lung
13,Loss of Chromosome 4,Chondrosarcoma recurrent
14,Loss of Chromosome 3p,Bladder squamous cell carcinoma stage I
15,Loss of Chromosome 9p,Bladder squamous cell carcinoma stage I
16,Gain of Chromosome 1q21-31,Granular Cell Leiomyosarcoma
17,t(8;14)(q24;q32),Stage IV Adult Burkitt Lymphoma
18,Loss of Chromosome 6,oligodendroglioma
19,Loss of Chromosome 14,oligodendroglioma
20,Loss of Chromosome 14,Childhood Gastrointestinal Stromal Tumor
21,Gain of Chromosome 1q21-31,Uterine Corpus Myxoid Leiomyosarcoma
22,del(6q21),B-cell small lymphocytic lymphoma stage II
23,Gain of Chromosome 9p,Hodgkin's disease nodular sclerosis stage I supradiaphragmatic
24,Loss of Chromosome 22,Malignant Ameloblastoma
25,t(9;14)(p13;q32),Ann Arbor Stage II Follicular Lymphoma
26,Gain of Chromosome 15q,Epidural Spinal Canal Meningioma
27,Gain of Chromosome 12q,Epidural Spinal Canal Meningioma
28,Gain of Chromosome 1q,Epidural Spinal Canal Meningioma
29,Chromosome 13q deletion,Polycythemia Vera
30,t(5;12)(q33;q13-15),Conventional Lipoma
31,Loss of Chromosome 13,Malignant fibrous histiocytoma recurrent
32,"Chromosome 7, monosomy",Refractory cytopenia with multilineage dysplasia
33,Gain of Chromosome 9p,Grade I Nodular Sclerosis Hodgkin's Lymphoma
