,CUI1,CUI2
0,Cystic Change,Stage IVC Thyroid Gland Papillary Carcinoma AJCC v7
1,Polymorphic Cellular Infiltrate,childhood nasal type extranodal NK/T-cell lymphoma
2,Gamma-Glutamyltransferase Increased,Hepatitis B Virus-Related Hepatocellular Carcinoma
3,Fibroblast Growth Factor 2 Overexpression,Hepatitis B Virus-Related Hepatocellular Carcinoma
4,Granulocytopenic disorder,Acute biphenotypic leukemia
5,Headache,Adult Choroid Plexus Neoplasm
6,Hypercellular bone marrow,Childhood Acute Monoblastic and Monocytic Leukemia
7,Chronic Clinical Course,Chronic Neutrophilic Leukemia
8,Chronic Inflammatory Infiltrate,Intestinal T-cell lymphoma refractory
9,Persistence of hemoglobin F,Juvenile Myelomonocytic Leukemia
10,Ectodermal Differentiation,Adult Teratoma
11,Seizures,Posterior Foramen Magnum Meningioma
12,Organoid Pattern,Thymic Typical Carcinoid Tumor
13,Perineural spread,undifferentiated carcinoma of pancreas
14,Ring Sideroblasts 15 Percent or More of Erythroid Precursors,Alkylating Agent-Related Myelodysplastic Syndrome
15,Pain,Secretory breast carcinoma
16,Lymphadenopathy,"Malignant lymphoma centroblastic, diffuse"
17,Unfavorable Clinical Outcome,WHO Grade III Glioma
18,Granulocytopenic disorder,Refractory anaemia with excess blasts
19,Palpitations,Benign Adrenal Gland Composite Pheochromocytoma
20,Abdominal Pain,Stage III Kidney Wilms Tumor
21,Weight decreased,Nasopharyngeal Carcinoma by AJCC v7 Stage
22,Serum Prostate Specific Antigen Increased,Adenocarcinoma of the prostate stage III
23,Dyspnea,Stage IA Lung Squamous Cell Carcinoma AJCC v7
24,Necrotic changes (finding),Atypical carcinoid tumor
25,Hemoptysis,Stage IIA Lung Squamous Cell Carcinoma AJCC v7
26,HMB-45-Positive Neoplastic Cells Present,Stage IIA Uveal Melanoma AJCC v7
27,Mallory Bodies,Aflatoxins-Related Hepatocellular Carcinoma
28,Weight decreased,Aflatoxins-Related Hepatocellular Carcinoma
29,Cytopenia,Aggressive Systemic Mastocytosis
30,Fever,Grade 2 Rectal Adenocarcinoma
31,Meckel Diverticulum,Postsurgical Stage II Hepatoblastoma
32,Intestinal hemorrhage NOS,Stage III Rectal Cancer AJCC v7
33,Endodermal Differentiation,Gastric Teratoma
34,Unfavorable Clinical Outcome,Childhood Cerebral Anaplastic Astrocytoma
35,Fibroblast Growth Factor 1 Overexpression,BCLC Stage A Adult Hepatocellular Carcinoma
36,Lymphadenopathy,Recurrent Adult Burkitt Lymphoma
37,Aggressive Clinical Course,Basal-Like Breast Carcinoma
38,Lymphadenopathy,Stage II Burkitt Lymphoma
39,Ineffective hematopoiesis,Acute Undifferentiated Leukemia
40,Weight decreased,Hodgkin's disease nodular sclerosis stage II subdiaphragmatic
41,Interleukin-5 Overexpression,Hodgkin's disease nodular sclerosis stage II subdiaphragmatic
