,CUI1,CUI2
0,Activity of daily living (ADL) alteration,Activities of daily living alteration:Find:Pt:^Patient:Ord:Observed.CCC
1,Impaired skin integrity,Skin integrity impairment:Find:Pt:Skin:Ord:Observed.CCC
2,Interpersonal Relationship:knowledge,Interpersonal relationship.knowledge:Find:Pt:^Patient:Ord:Observed.OMAHA
3,Residence:status,Residence.status:Find:Pt:^Patient:Ord:Observed.OMAHA
4,Respiration:status,Respiration.status:Find:Pt:^Patient:Ord:Observed.OMAHA
5,Spirituality.behavior,Spirituality.behavior:Find:Pt:^Patient:Ord:Observed.OMAHA
6,Activities,Activity:Find:Pt:^Patient:Ord:Observed.QAM
7,Stability of conditions,Stability of conditions:-:Pt:^Patient:Set
8,Parenteral or enteral intake,Parenteral or enteral intake:-:Pt:^Patient:Set
9,Current ability - transferring,Current ability - transferring:Find:Pt:^Patient:Ord:OASIS
10,MDS quarterly assessment form - version 2.0 - optional version for RUG-III,MDS quarterly assessment form - version 2.0 - optional version for RUG-III:-:Point in time:^Patient:-
11,Why conclusions are not supported by the evidence in file,Why conclusions are not supported by the evidence in file:Imp:Pt:^Patient:Nar:RFC assessment
12,Financial durable power attorney,Financial durable power attorney:Find:Pt:^Patient:Ord:MDS
13,Patient responsible for self,Patient responsible for self:Find:Pt:^Patient:Ord:MDS
14,Skin.knowledge,Skin.knowledge:Find:Pt:^Community:Ord:Observed.OMAHA
15,Sleep and Rest Pattern:knowledge,Sleep and rest pattern.knowledge:Find:Pt:^Community:Ord:Observed.OMAHA
16,Uses written messages to express or clarify needs,Uses written messages to express or clarify needs:Find:Pt:^Patient:Ord:MDS
17,"Range of Motion, Articular",Range of motion:Find:Pt:Hand:Ord:MDS
18,Pursues involvement in life of facility,Pursues involvement in life of facility:Find:Pt:^Patient:Ord:MDS
19,Absence of contact with family &or friends,Absence of contact with family &or friends:Find:Pt:^Patient:Ord:MDS
20,Skin treatments - none of above,Skin treatments - none of above:Find:Pt:^Patient:Ord:MDS
21,Constipation,Constipation:Find:Pt:^Patient:Ord:MDS
22,Chewing problem,Chewing problem:Find:Pt:^Patient:Ord:MDS
23,Ostomy care (regime/therapy),Ostomy care:Find:Pt:^Patient:Ord:MDS
24,Mood state trigger,Mood state trigger:Find:Pt:^Patient:Nar:MDS
25,Resident assessment protocol 2--Cognitive loss - proceed with care,Resident assessment protocol 2--Cognitive loss - proceed with care:Find:Pt:^Patient:Ord:MDS
26,Resident assessment protocol 9--Behavioral symptoms - triggered,Resident assessment protocol 9--Behavioral symptoms - triggered:Find:Pt:^Patient:Nom:MDS
27,Resident assessment protocol 11--Falls - triggered,Resident assessment protocol 11--Falls - triggered:Find:Pt:^Patient:Nom:MDS
28,Cognitive patterns section,Cognitive patterns section:-:Point in time:^Patient:-
