,CUI1,CUI2
0,"TRIM29 protein, human",Transcription Regulation Gene
1,"Receptors, Cytokine",Receptor Gene
2,"FZD9 protein, human",Receptor Gene
3,PARD6A gene,PARD6A gene
4,"CXCR3 protein, human",Chemokine Receptor Gene
5,"endothelial PAS domain protein 1, human","Genes, Regulator"
6,"CDK7 protein, human",Transferase Gene
7,CDK-Activating Kinase Assembly Factor MAT1,Transcription factor genes
8,"ATP2A2 protein, human",Enzyme Gene
9,"APEX2 protein, human",Lyase Gene
10,"ILK protein, human",ILK gene
11,"EPHA5 protein, human",Kinase Family Gene
12,NUP98/PHF23 Fusion Protein,PHF23 gene
13,Tyrosine-tRNA Ligase,Enzyme Gene
14,"WNK1 protein, human",Enzyme Gene
15,"IFNGR1 protein, human",IFNGR1 gene
16,Insulinase,Hydrolase Gene
17,Core Histone Macro-H2A,Structural gene
18,"SLC7A8 protein, human",Transport Protein Gene
19,"HLA Class II Histocompatibility Antigen Gamma Chain, human","Genes, MHC Class II"
20,"CCR6 protein, human",G Protein-Coupled Receptor Genes
21,Adenovirus E1A Proteins,"Genes, Viral"
22,"Eukaryotic Translation Initiation Factor 2-Alpha Kinase 3, human",Enzyme Gene
23,"LIG3 protein, human",Enzyme Gene
24,"Vascular Cell Adhesion Molecule-1, human",Ligand Binding Protein Gene
25,matrix Gla protein,Structural gene
26,"TP53BP2 protein, human",Apoptosis Regulation Gene
27,KIF5B/RET Fusion Protein,Fusion Gene
28,Melanoma-Associated Antigen B18,MAGEB18 gene
29,"GNB2 protein, human",GNB2 gene
30,"RPRM protein, human",RPRM gene
31,FGFR1OP2/FGFR1 Fusion Protein,Fusion Gene
32,SENP1/MESDC2 Fusion Protein,Fusion Gene
33,"PTPRS protein, human",PTPRS gene
34,"TUBA1B protein, human",Cytoskeletal Gene
35,"CCBP2 protein, human",ACKR2 gene
36,Candidate Tumor Suppressor Protein,Candidate Tumor Suppressor Gene
37,"GNRHR protein, human",Ligand Binding Protein Gene
38,"PHLPP2 protein, human",Hydrolase Gene
39,"HIF1A protein, human",Transcription Regulation Gene
40,Fibroblast Growth Factor Receptor Family Isoform IIIb,Fibroblast Growth Factor Receptor Family Gene
41,PRCC/TFE3 Fusion Protein,Fusion Gene
42,"PFN1 protein, human",Cytoskeletal Gene
43,Antiphospholipid Antibodies,Immunoprotein Gene
44,TNF receptor-associated factor 3,TRAF3 gene
45,"CDK11B protein, human",Cyclin-Dependent Kinase Gene
46,"ARNT protein, human",ARNT gene
47,"EHF protein, human","Genes, Regulator"
48,Acyl-Protein Thioesterase 1,Enzyme Gene
49,Human Properdin,CFP gene
50,Advanced Glycosylation End Product-Specific Receptor,Ligand Binding Protein Gene
51,ETV6/ABL2 Fusion Protein,ABL2/ETV6 FUSION GENE
52,"MMP11 protein, human",Enzyme Gene
53,"SRPK1 protein, human",Enzyme Gene
54,"CADM2 protein, human",Cell Adhesion Molecule Gene
55,"VDAC3 protein, human",Transport Protein Gene
56,Protein FAN,NSMAF gene
57,"TNF Receptor-Associated Factor 2, human",TRAF2 gene
58,"Nuclear Factor of Activated T-Cells, Cytoplasmic 2",NFATC2 gene
59,"CREB1 protein, human",CREB1 gene
60,"TACSTD1 protein, human",Cell Adhesion Molecule Gene
61,"IFIH1 protein, human",Hydrolase Gene
62,"TSSC4 protein, human",TSSC4 gene
63,"Pro-Interleukin-16, human",Cytokine Gene
64,"RPA2 protein, human",RPA2 gene
65,"ACVR2A protein, human",Transferase Gene
66,"MAST2 protein, human",Serine/Threonine Protein Kinase Gene
67,"RET protein, human",Transferase Gene
68,"prothrombin, human",F2 gene
69,RUNX1/ZNF687 Fusion Protein,ZNF687/RUNX1 FUSION GENE
70,Zinc Finger Protein 423,ZNF423 gene
71,"CHD1 protein, human",Helicase Gene
72,"angiostatin, human",PLG gene
73,Hydrolase,Enzyme Gene
74,3'-5'-Exonucleases,Enzyme Gene
