,CUI1,CUI2
0,T Cell Receptor Signaling Pathway KEGG,IL4 wt Allele
1,Angiopoietin-1 Receptor Signaling Pathway,NOS3 wt Allele
2,FAS Signaling Pathway PID,IKBKB wt Allele
3,Type II Diabetes Mellitus Pathway,IKBKB wt Allele
4,Asthma Pathway,IL13 wt Allele
5,Adherens Junction Formation Pathway,CDH1 wt Allele
6,Attenuation of GPCR Signaling Pathway,PRKAR1A wt Allele
7,FOXA2 and FOXA3 Transcription Factor Signaling Pathway,FOXA1 wt Allele
8,Calcineurin-Regulated NFAT-Dependent Transcription Pathway,CTLA4 wt Allele
9,Ascorbate and Aldarate Metabolism Pathway,UGT1A1 wt Allele
10,Natural Killer Cell-Mediated Cytotoxicity Pathway,IFNAR2 wt Allele
11,Stathmin Pathway,CD3E wt Allele
12,T-Cell Receptor Signaling Pathway in Naive CD4+ T Cells,CD3E wt Allele
13,Epidermal Growth Factor Receptor Downstream Signaling Pathway,SRF wt Allele
14,RELA Pathway,NFKBIA wt Allele
15,IL12 Signaling Pathway,CD3G wt Allele
16,Phospholipid Signaling Pathway,S1PR1 wt Allele
17,Keratinocyte Differentiation Pathway,DAXX wt Allele
18,T Cell Receptor Signaling Pathway KEGG,CD247 wt Allele
19,T Cell Receptor and CD3 Complex Signaling Pathway,CD247 wt Allele
20,Cytokine-Cytokine Receptor Signaling Pathway,TNFSF15 wt Allele
21,Syndecan-4-Mediated Signaling Pathway,CXCL12 wt Allele
22,Purine Metabolism Pathway,GUCY1A3 wt Allele
23,Eicosanoid Metabolism Pathway,TBXA2R wt Allele
24,p53 Effector Pathway,BNIP3L wt Allele
25,p53 Signaling Pathway BioCarta,GADD45A wt Allele
26,Cytokine-Cytokine Receptor Signaling Pathway,IL22 wt Allele
27,ATF-2 Transcription Factor Signaling Pathway,SOCS3 wt Allele
28,Integrin Signaling Pathway,CSK wt Allele
29,Jak-STAT Signaling Pathway,IFNA13 wt Allele
30,Leukocyte Transendothelial Migration Pathway,ACTB wt Allele
31,TNFR1 Signaling Pathway,TRAF2 wt Allele
32,Phosphoinositide Pathway,GSK3B wt Allele
33,Inflammatory Response Pathway,TGFB1 wt Allele
34,TGF-beta Signaling Pathway KEGG,TGFB1 wt Allele
35,CD40/CD40L Signaling Pathway,TRAF1 wt Allele
36,Actin Cytoskeleton Regulation Pathway,SOS1 wt Allele
37,EGFR-Dependent Endothelin Signaling Pathway,SOS1 wt Allele
38,Melanoma Pathway,MITF wt Allele
39,TGF-beta Signaling Pathway KEGG,TGFBR1 wt Allele
40,Glycerophospholipid Metabolism Pathway,PLA2G4B wt Allele
41,Primary Immunodeficiency Pathway,IL2RG wt Allele
42,ATF-2 Transcription Factor Signaling Pathway,ATF3 wt Allele
