,CUI1,CUI2
0,T-Cell Development,ATM gene
1,Transcriptional Regulation,MTA1 wt Allele
2,Immune response,KIR2DL3 gene
3,Embryonic Development,MMP9 gene
4,Cell Proliferation,USP8 gene
5,Intercellular Communication Process,WNT11 wt Allele
6,Developmental process,NPY5R wt Allele
7,Intercellular Communication Process,CXCL1 gene
8,Hydrolysis,NUDT1 gene
9,Hydrolysis,HPN gene
10,Oxidation-Reduction,CYP2C9*11 Allele
11,Signal Transduction,WNT9A gene
12,Cell Differentiation process,MAP2K1 gene
13,protein folding,HSP90AA1 wt Allele
14,Signal Transduction,NEK9 wt Allele
15,Muscle Contraction,EZR gene
16,Mitotic Cell Cycle,TK1 gene
17,Antiviral Response,IFNL3 gene
18,Signal Transduction,FZD2 gene
19,G Protein-Coupled Receptor Signaling,FZD2 gene
20,Ligand Binding,CTLA4 wt Allele
21,Signal Transduction,ADCY9 wt Allele
22,Morphogenesis,BGN gene
23,Cell Movement,KRT16 gene
24,Cell Proliferation Regulatory Process,UBR5 gene
25,Visual Perception,GRM8 gene
26,Interleukin Signaling Process,IL17RB wt Allele
27,Cell Survival,NGFR gene
28,DNA Binding,TRPS1 gene
29,Phosphorylation,MAP2K3 wt Allele
30,Ligand Binding,GRM8 wt Allele
31,Ligand Binding,Receptor Tyrosine Kinase Gene
32,Receptor Signaling,FZD6 gene
33,Receptor Signaling,IFNGR2 wt Allele
34,Polymerization,DNTT gene
35,Cellular Stress Response,ETV5 gene
36,Protein-Protein Interaction,WDR66 gene
37,Oxidation-Reduction,NOS1 wt Allele
38,Cell-Matrix Junction,SDC3 gene
39,DNA Replication,PCNA wt Allele
40,Muscle Contraction,MYH9 gene
41,Ligand Binding,SDC3 wt Allele
42,Proteolysis,GZMB gene
43,Protein-Protein Interaction,AGTRAP wt Allele
44,Transcriptional Activation,ZBTB38 gene
45,G Protein-Coupled Receptor Signaling,GRM5 gene
46,Metabolism,CYP2D6*4 Allele
47,Signal Transduction,DRG1 wt Allele
48,Signal Transduction,DIXDC1 wt Allele
49,Ubiquitination,RNF43 gene
50,"Transcription, Genetic",GTF3C2 wt Allele
51,Immunity,C4A gene
52,Metabolic Control,PPP2CB wt Allele
53,Protein phosphorylation,YES1 gene
54,Immunity,C4B gene
55,Tumor Suppression,BARD1 gene
56,Ligand Binding,HBA1 gene
57,G Protein-Coupled Receptor Signaling,GRM7 wt Allele
58,Tyrosine Phosphorylation,EPHB4 wt Allele
59,Cell Differentiation process,PPARG gene
60,Transcription Termination,SRSF2 wt Allele
61,Chemotaxis,CCL7 wt Allele
62,Protein-Carbohydrate Interaction,LGALS1 gene
63,Transcriptional Activation,NMI gene
64,Cell Cycle Control,MAD2L1 wt Allele
65,Transcriptional Activation,TRIP11 gene
66,Ligand Binding,SLC38A3 gene
67,Hydrolysis,GTPase Gene
68,Transcriptional Regulation,AFF4 wt Allele
69,Ligand Binding,U2AF1 wt Allele
70,Receptor Signaling,DMBT1 gene
71,Ubiquitinated Protein Degradation,RAD23B wt Allele
72,Cell Death,TNFSF13B wt Allele
73,Developmental process,NPY2R gene
74,Signal Transduction,PTPN14 wt Allele
75,Cytoskeletal Modeling,KRT72 gene
76,Receptor Binding,NRG2 wt Allele
77,Apoptosis,CAV2 wt Allele
78,Signal Transduction,WNT5B gene
79,Cytokinesis,TUBB3 gene
80,Positive Regulation of Cell Differentiation,WNT5B wt Allele
81,Cell Movement,TUBB3 wt Allele
82,Pattern Formation,ESRRA gene
83,Immunity,IL32 gene
84,Neurogenesis,L1CAM gene
85,Ligand Binding,GOLIM4 wt Allele
86,Calcium Binding,ATP2C2 wt Allele
87,Xenobiotic Metabolism,CYP3A5*9 Allele
88,Cytokinesis,TUBA1B gene
89,Signal Transduction,HHIP wt Allele
90,Molecular Transport,CLCN6 gene
91,Apoptosis,IAPP wt Allele
92,G Protein-Coupled Receptor Signaling,Alpha Adrenergic Receptor Gene
93,Biologic Development,NR4A1 wt Allele
94,Oxidation-Reduction,ALDH1A1 wt Allele
95,Receptor Signaling,NSMAF gene
96,Oxidation-Reduction,GPX2 gene
97,Stress Response Signaling,POMC gene
98,B-Cell Activation,PAX5 wt Allele
99,Ligand Binding,TGFBR1 wt Allele
100,Signal Transduction,ARHGAP11B wt Allele
101,Positive Regulation of Apoptosis,BAK1 wt Allele
102,Cell Differentiation process,TLX3 wt Allele
103,Ionophore activity,SLC16A1 gene
104,Tyrosine Phosphorylation,EPHA7 wt Allele
105,Genetic Translation Process,AGO3 wt Allele
106,Immune System Processes,BTLA wt Allele
107,Muscle Contraction,TRPV6 wt Allele
108,Ligand Binding,IL3RA wt Allele
109,Proteolysis,USP13 wt Allele
110,Platelet Activation,VWF gene
111,Regulation of Cell Shape,ANLN gene
112,Intercellular Communication Process,GDF9 gene
113,Receptor Signaling,CRLF2 wt Allele
114,Cytokine Signaling,CRLF2 wt Allele
115,Chemotaxis,CCL8 gene
116,Cell Proliferation Regulatory Process,BTC gene
117,Signal Transduction,TGFBR3 wt Allele
118,Leukotriene Production,ALOX12B wt Allele
119,Myelopoiesis,SIRPB1 wt Allele
120,Fatty Acid Metabolism Pathway,FABP3 wt Allele
121,Ionophore activity,SCN9A gene
122,Transcriptional Regulation,PIAS3 wt Allele
123,Ionophore activity,TFR2 wt Allele
124,DNA Binding,NONO wt Allele
125,Iron Chelation,CYP2C9 wt Allele
126,Ligand Binding,HTR2A wt Allele
