,CUI1,CUI2
0,Cytoplasmic matrix,"DDC protein, human"
1,Plasma membrane,Integrin alpha4beta1
2,Extracellular Space,Insulinase
3,Centrioles,"HERC2 protein, human"
4,Plasma membrane,Adenylyl Cyclase 9
5,Cellular Membrane,"GOLPH3 protein, human"
6,Cell Nucleus,"FKBP5 protein, human"
7,Cell Nucleus,Retinoic Acid Receptor RXR-Alpha
8,Blood Platelets,"GP1BB protein, human"
9,Extracellular Space,"CST6 protein, human"
10,Plasma membrane,"Ephrin Type-B Receptor 4, human"
11,Extracellular Space,Fibroblast Growth Factor
12,Extracellular Space,"Fibroblast Growth Factor 21, human"
13,Cellular Membrane,"ATP5B protein, human"
14,Cytoskeleton,Myosin-2
15,Cellular Membrane,"ATP2C2 protein, human"
16,Extracellular Space,"TFF3 protein, human"
17,Alpha Granule,"SELP protein, human"
18,Membrane of the Golgi Apparatus,"SREBF1 protein, human"
19,Plasma membrane,"JUP protein, human"
20,Zonula Adherens,"JUP protein, human"
21,Cytoplasm,"NACA protein, human"
22,Gated Ion Channel,Piezo-Type Mechanosensitive Ion Channel Component 2
23,Plasma membrane,"TACSTD1 protein, human"
24,Basal lamina,"LAMC2 protein, human"
25,Microfilaments,"WASL protein, human"
26,Plasma membrane,Voltage-Dependent T-Type Calcium Channel Subunit Alpha-1G
27,Plasma membrane,"CD47 protein, human"
28,Cell Nucleus,MRE11/RAD50 Double-Strand Break Repair Complex
29,Nuclear Envelope,Adenovirus Death Protein
30,Cellular Membrane,ligatin
31,Cell Nucleus,"S100A11 protein, human"
32,Central Nervous System,"beta-Thromboglobulin, human"
33,Cell Nucleus,Histone H2
34,Cellular Membrane,"Apolipoprotein C-III, human"
35,Plasma membrane,"LGR6 protein, human"
36,Cellular Membrane,Amyloid Beta A4 Precursor Protein-Binding Family A Member 3
37,Extracellular Space,"BMP7 protein, human"
38,Plasma membrane,"SIGLEC9 protein, human"
39,Cellular Membrane,"NRBP protein, human"
40,Secretory Vesicles,"Chromogranin-A, human"
41,Endoplasmic Reticulum,"Cytochrome P450 2D6, human"
42,Extracellular Space,"ANGPT2 protein, human"
43,Cytokeratin filaments,"KRT1 protein, human"
44,Intercalated cell of collecting duct of renal tubule,"Anion Exchange Protein 1, Erythrocyte"
45,Cytoplasm,Cryptochrome-2
46,Epithelial Cells,"CCL15 protein, human"
47,Axon,Oligophrenin-1
48,Cell Nucleus,SAP Domain-Containing Ribonucleoprotein
49,Cell Nucleus,Aryl Hydrocarbon Receptor Nuclear Translocator 2
50,Cytoskeleton,delta catenins
51,Cell Nucleus,"Zinc Finger and SCAN Domain-Containing Protein 30, human"
52,Central Nervous System,Monocyte Chemoattractant Protein 4
53,Cell Nucleus,Protein HEXIM1
54,Cellular Membrane,"KNS2 protein, human"
55,Cytoplasmic matrix,"GART protein, human"
56,Plasma membrane,Interleukin-7 Receptor alpha Subunit
57,Nucleoplasm,"DNA Polymerase Epsilon Catalytic Subunit A, Human"
58,Islets of Langerhans,"MAFA protein, human"
59,Nuclear Pore,SUMO-1 Protein
60,Cytoplasmic matrix,"INPP4B protein, human"
61,Axon,"DCC protein, human"
62,Cytoplasmic matrix,SH3 Domain-Containing Protein 19
63,Brain,"SRGAP3 protein, human"
64,Smooth endoplasmic reticulum membrane,Vesicle-Trafficking Protein SEC22b
65,Extracellular Space,"SOD3 protein, human"
66,Plasma membrane,"KLRG1 protein, human"
67,Cytokeratin filaments,"KRT16 protein, human"
68,Cytoplasmic matrix,Heat Shock Protein HSP 90-Beta
69,Epithelial Cells,"CXCL1 protein, human"
70,Cell Nucleus,"DAXX protein, human"
71,Plasma membrane,"JTB protein, human"
72,Extracellular Matrix,Extracellular Matrix Proteins
73,Cell Nucleus,"MSH4 protein, human"
74,Postsynaptic membrane,Neuronal Acetylcholine Receptor Subunit Beta-4
75,Nucleoplasm,Nuclear Receptor Subfamily 1 Group D Member 2
76,Cytokeratin filaments,"SPRR2A protein, human"
77,Plasma membrane,"TRPM3 protein, human"
78,Plasmacytoid Dendritic Cells,Placenta-Specific Gene 8 Protein
79,Endoplasmic Reticulum,"CES1 protein, human"
80,Gastrointestinal tract structure,"Gastrin, human"
81,Presynaptic Terminals,Synaptic Vesicular Amine Transporter
82,Cytoplasm,"NR3C2 protein, human"
83,Plasma membrane,Solute Carrier Family 22 Member 1
84,Central Nervous System,"Platelet Factor 4, human"
85,Plasma membrane,"MPL protein, human"
86,Wall of endosome,"Toll-Like Receptor 9, human"
87,Cytoplasm,I-kappa B Proteins
88,Cytoplasm,"NR0B1 protein, human"
89,Wall of rough endoplasmic reticulum,"TLR3 protein, human"
90,Plasma membrane,Insulin-Like Growth Factor Receptor
91,Cytoplasmic matrix,"L-Lactate Dehydrogenase A Chain, human"
92,Cytoplasm,"BMX protein, human"
93,Plasma membrane,"FAP protein, human"
94,Adipocytes,"ADIPOQ protein, human"
95,coated pit,"Beta-Arrestin-1, human"
96,"Mitochondrial Membrane, Outer","1-Acyl-Sn-Glycerol-3-Phosphate Acyltransferase Epsilon, human"
97,Cell Nucleus,"CDX2 Protein, human"
98,Extracellular Space,"TFF1 protein, human"
99,Cell Nucleus,Unconventional Prefoldin RPB5 Interactor
100,Cellular Membrane,Adenine Nucleotide Translocase
101,Cell Nucleus,"KDM5C protein, human"
102,Cellular Membrane,Gamma-Aminobutyric Acid Receptor Subunit Alpha-3
103,Cytoplasmic matrix,"HSPH1 protein, human"
104,Cytoskeleton,"TUBG2 protein, human"
105,Wall of endosome,"CD1C protein, human"
106,Cell Nucleus,"XRCC1 protein, human"
107,Cell Nucleus,"POZ-, AT Hook-, and Zinc Finger-Containing Protein 1"
108,Cell Nucleus,PHD Finger Protein 6
109,Plasma membrane,"NK Cell Lectin-Like Receptor Subfamily C, Member 2"
110,Plasma membrane,"FZD2 protein, human"
111,Ion Channel,Sodium Channel Protein Type 1 Subunit Alpha
112,Cellular Membrane,Sodium Channel Protein Type 1 Subunit Alpha
113,Extracellular Space,"Guanylin, human"
114,Nuclear Pore Complex,"RANBP2 protein, human"
115,Extracellular Space,"VEGFB protein, human"
116,Cell Nucleus,"ZCCHC8 protein, human"
117,Cellular Membrane,Vesicle-Associated Membrane Protein-Associated Protein C
118,Cell Nucleus,"RBM15 protein, human"
119,Cell Nucleus,"HLF protein, human"
120,Cytoplasm,CHS protein
121,telomere,Telomeric-Repeat Binding Factor
122,Plasma membrane,"NRXN1 protein, human"
123,Extracellular Space,"THSD2 protein, human"
124,"Mitochondrial Membrane, Outer",CDw92 antigen
125,Wall of rough endoplasmic reticulum,"TAP2 protein, human"
126,Cytoplasmic matrix,"GSTA4 protein, human"
127,Mitochondrial matrix,"Folylpolyglutamate Synthase, Mitochondrial"
128,Cytoplasm,"BHMT2 protein, human"
129,Plasma membrane,"CELSR1 cadherin, human"
130,Cellular Membrane,"CDC91L1 protein, human"
131,Cell Nucleus,"LHX2 protein, human"
132,Cellular Membrane,Calcium-Activated Potassium Channel Subunit Alpha-1
133,Cell Nucleus,"ALPK2 protein, human"
134,Extracellular Space,"MSLN protein, human"
135,Erythrocytes,"GYPA protein, human"
136,Nuclear Envelope,Nuclear Pore Complex Proteins
137,Cytoplasmic matrix,"PDE8B protein, human"
138,Cytoplasm,"estrogen receptor beta, human"
139,Cell Nucleus,"PBX3 protein, human"
140,Plasma membrane,Canalicular Multispecific Organic Anion Transporter 1
141,Membrane of lysosome,"CD1D protein, human"
142,Placenta,Pappalysin-1
143,Cytoplasm,Nitrilase Homolog 1
144,Cell Nucleus,"NR1I2 protein, human"
145,Extracellular Matrix,Collagen Alpha-1(VII) Chain
146,Extracellular Space,"PDGFD protein, human"
147,Extracellular Space,"CD5L protein, human"
148,Extracellular Space,"PDGFA protein, human"
149,Cell Nucleus,"UBR5 protein, human"
150,Extracellular Space,NRG1 Gene Product
151,Plasma membrane,"RAMP2 protein, human"
152,Plasma membrane,"GPC5 protein, human"
153,Epithelial Cells,"CCL7 protein, human"
154,Wall of endosome,"VPS18 protein, human"
155,Mitochondria,"A-Kinase Anchor Protein 10, Mitochondrial"
156,Cytoplasm,Ran-Binding Protein 17
157,Extracellular Space,"IL31 protein, human"
158,Plasma membrane,"Ephrin-B2, human"
159,Cytoplasm,"DIXDC1 protein, human"
160,Cytoplasm,Ribonuclease Inhibitor
161,Cell Nucleus,"CDK11B protein, human"
162,Cytoplasmic matrix,"NT5C2 protein, human"
163,Plasma membrane,"IFNAR2 protein, human"
164,Hemidesmosomes,"KRT5 protein, human"
165,Cell Nucleus,"ZNF281 protein, human"
166,Wall of rough endoplasmic reticulum,UDP-Glucuronosyltransferase 2B15
167,Cytoplasm,Protein FAN
168,Cell Nucleus,"Homeobox Protein Nkx-2.5, human"
169,Mitochondria,"Monofunctional C1-Tetrahydrofolate Synthase, Mitochondrial"
170,Cell Nucleus,E2F2 Transcription Factor
171,Plasma membrane,"Coxsackievirus and Adenovirus Receptor, human"
172,Blood Platelets,"Platelet Glycoprotein V, human"
173,Cytoplasm,"Arachidonate 12-Lipoxygenase, 12S-Type"
174,Nervous system structure,"MBP protein, human"
175,Extracellular Space,Annexin A2
176,Extracellular Space,"ANGPT1 protein, human"
177,Smooth endoplasmic reticulum membrane,Serine Protease Hepsin
178,Plasma membrane,"UPF0577 Protein KIAA1324, Human"
179,Cellular Membrane,Hemoglobin Subunit Alpha
180,Mitochondrial matrix,"PDK1 protein, human"
181,Caveolae,Scavenger Receptor Class B Member 1
182,Cell Nucleus,Homeobox Protein Hox-B6
183,Cytoskeleton,"PXN protein, human"
184,Cellular Membrane,"NOTCH2 protein, human"
185,Cellular Membrane,"SLC22A2 protein, human"
186,Cytoskeleton,NAD-Dependent Deacetylase Sirtuin-2
187,Cytoplasmic matrix,Ras-Related C3 Botulinum Toxin Substrate 3
188,Plasma membrane,"IL2RG protein, human"
189,Cell Nucleus,"CDK8 protein, human"
190,Extracellular Space,Soluble Tumor Necrosis Factor Receptor Superfamily Member 8
191,Extracellular Space,Nodal Homolog
192,Plasma membrane,"GPR120 protein, human"
193,Cytoplasm,"TRIM25 protein, human"
194,Extracellular Space,"SERPINA7 protein, human"
195,Central Nervous System,"CCL15 protein, human"
196,Cellular Membrane,"ABCC6 protein, human"
197,Intermediate Filaments,Lamin Type B
198,Cell Nucleus,"PSIP1 protein, human"
199,Cell Nucleus,"CHEK1 protein, human"
200,Transport Vesicles,Amyloid Beta A4 Precursor Protein-Binding Family A Member 1
201,Plasma membrane,"FN1 protein, human"
202,Cell Nucleus,SOX18 Transcription Factor
203,Plasma membrane,"KLRD1 protein, human"
204,Cytoplasm,F-Box Only Protein 11
205,Cell Nucleus,"HDAC10 protein, human"
206,Cell Nucleus,Transcription Factor HES-4
207,peroxisome,"HACL1 protein, human"
208,Mitochondrial matrix,12S Mitochondrial Ribosomal RNA
209,Cytoplasm,"CALB2 protein, human"
210,Cell Nucleolus,"GLTSCR2 protein, human"
211,Plasma membrane,Tissue Factor
212,Wall of rough endoplasmic reticulum,"SLC16A11 protein, human"
213,Epithelial Cells,"CCL26 protein, human"
214,Plasma membrane,"Complement Decay-Accelerating Factor, human"
215,Cellular Membrane,Protein Transport Protein Sec31A
216,Centromere,Nuclear Pore Complex Protein Nup107
217,Exosomes,S100 calcium binding protein A10
218,Plasma membrane,"T-Lymphocyte Activation Antigen CD80, human"
219,Cellular Membrane,"Serotransferrin, human"
220,26S proteasome,"26S Protease Regulatory Subunit 7, human"
221,Cytoplasm,"ATXN2 protein, human"
222,Gated Ion Channel,"GRIA3 protein, human"
223,Cellular Membrane,Monocarboxylate Transporter 1
224,Cytoplasmic matrix,"QPRT protein, human"
225,Cytoplasm,Autophagy-Related Protein 13
226,Cellular Membrane,"VDAC3 protein, human"
227,Cytoplasm,"NR2F6 protein, human"
228,Endothelial Cells,"SELP protein, human"
229,Extracellular Space,growth differentiation factor 3
230,Cytoplasm,"NR1H4 protein, human"
231,Extracellular Space,"IL18BP protein, human"
232,Extracellular Space,"SCGB2A2 protein, human"
233,Extracellular Space,"SLIT2 protein, human"
234,Cell Nucleus,A/G-Specific Adenine DNA Glycosylase
235,Cellular Membrane,"sodium channel, voltage-gated, type II, alpha 1"
236,Cytoplasmic matrix,Carbonyl Reductase [NADPH] 3
237,Cell Nucleolus,"BLM protein, human"
238,Epithelial Cells,CXC Chemokines
239,Nucleosomes,Histone Acetyltransferase MYST3
240,Lysosomes,Sialate O-acetylesterase
241,Extracellular Matrix,alpha 2 collagen type I
242,Plasma membrane,C-C Chemokine Receptor Type 2
243,macrophage,"CHI3L1 protein, human"
244,Centromere,"SMC3 protein, human"
245,Microtubules,Ninein
246,Plasma membrane,"LAMP2 protein, human"
247,Plasma membrane,HLA Class II Histocompatibility Antigen DRB
248,Cell Nucleus,"RBM6 protein, human"
249,Mitochondrial matrix,"Mitochondrial Malate Dehydrogenase, human"
250,Plasma membrane,Neurexin-3
251,Plasma membrane,Sphingomyelin Phosphodiesterase 2
252,Cytoplasm,NADP-Dependent Malic Enzyme
253,Extracellular Space,"Oxytocin, human"
254,Endoplasmic Reticulum,"CYP1A1 protein, human"
255,Cell Nucleus,PGR Gene Product
256,Extracellular Space,"CYR61 protein, human"
257,Cell Nucleus,"MSH6 protein, human"
258,Plasma membrane,"IL10RB protein, human"
259,Cell Nucleus,DNA (Cytosine-5)-Methyltransferase 3A
260,Plasma membrane,"STX11 protein, human"
261,Cell Nucleus,Zinc Finger Protein SNAI2
262,Extracellular Space,"EREG protein, human"
263,Extracellular Space,"Pro-Neuregulin-1, Membrane-Bound Isoform, human"
264,Cellular Membrane,"SLC4A7 protein, human"
265,Centromere,"Centromere Protein X, human"
266,Extracellular Space,"CTGF protein, human"
267,Cytoplasm,"ZMIZ1 protein, human"
268,Cell Nucleus,"Transcription Factor SOX-4, human"
269,Plasma membrane,"SIRPB1 protein, human"
270,Cytoplasm,"PADI4 protein, human"
271,Cell Nucleus,Homeobox Protein Hox-D13
272,Smooth endoplasmic reticulum membrane,Prostaglandin F2 Receptor Negative Regulator
273,Plasma membrane,"CCR6 protein, human"
274,Spindle Pole Body,"PLK1 protein, human"
275,"Mitochondrial Membrane, Outer","BCL2L1 protein, human"
276,Cellular Membrane,"SLC6A2 protein, human"
277,Extracellular Space,Interferon Type II
278,Mitochondria,Membrane protein of mitochondrion
279,Plasma membrane,"Metabotropic Glutamate Receptor 7, human"
280,Extracellular Space,"VEGF protein, human"
281,Structure of intestinal epithelium,"CDX2 Protein, human"
282,Cellular Membrane,Carrier Proteins
283,Neuroglia,"ARHGAP11B protein, human"
284,Plasma membrane,syndecan
285,Extracellular Space,"WFDC1 protein, human"
286,Cytoplasmic matrix,"N-Chimaerin, human"
287,Extracellular Space,"LGALS3BP protein, human"
