,CUI1,CUI2
0,Neuroactive Ligand-Receptor Signaling Pathway,"Pro-Opiomelanocortin, human"
1,Cyclin Regulation of Cell Cycle Pathway,Retinoblastoma-Like Protein p107
2,Cellular Anthrax Toxin Pathway,Calmodulin 1
3,Natural Killer Cell-Mediated Cytotoxicity Pathway,"GZMB protein, human"
4,IL23-Mediated Signaling Pathway,"NFKBIA protein, human"
5,PPAR-alpha Gene Regulation Pathway,"NFKBIA protein, human"
6,Fibrinolysis Pathway,Plasminogen
7,Neuroactive Ligand-Receptor Signaling Pathway,Plasminogen
8,Erythropoietin Signaling Pathway,"Mitogen-Activated Protein Kinase 3, human"
9,alpha-Linolenic Acid Metabolism Pathway,"PLA2G2A protein, human"
10,Arrhythmogenic Right Ventricular Cardiomyopathy Pathway,"CACNA1D protein, human"
11,Human Cytomegalovirus Infection Pathway,"MAP2K3 protein, human"
12,p38-gamma and p38-delta Signaling Pathway,"MAP2K3 protein, human"
13,Ether Lipid Metabolism Pathway,"PPAP2A protein, human"
14,Phosphatidylinositol Signaling System Pathway,1-Phosphatidylinositol 4-Kinase
15,Paxillin-Dependent Alpha4/Beta1 Integrin Signaling Pathway,"Vascular Cell Adhesion Molecule-1, human"
16,Lysophosphatidic Acid Receptor Signaling Pathway,"Guanine Nucleotide-Binding Protein G(I)/G(S)/G(O) Subunit Gamma-2, Human"
17,Centrosome Pathway,"AKAP9 protein, human"
18,CSK Protein Kinase Activation Pathway,"PRKACB protein, human"
19,Calpain-2 Cell Motility Pathway,"PRKACB protein, human"
20,Nitric Oxide Signaling Pathway,"PRKACB protein, human"
21,Alpha-Synuclein Signaling Pathway,"BLK protein, human"
22,Segmentation Clock Pathway,"ADAM17 protein, human"
23,Extrinsic Prothrombin Activation Pathway,"Serotransferrin, human"
24,CXCR4-Mediated Signaling Pathway,"Tyrosine-Protein Kinase Lck, Human"
25,Epidermal Growth Factor Receptor Downstream Signaling Pathway,"FRAP1 protein, human"
26,G1 to S Transition Pathway,transcription factor DP-1
27,Entamoeba histolytica Infection Pathway,"PRKACG protein, human"
28,Glycosaminoglycan Degradation Pathway,"HPSE2 protein, human"
29,Proteasome Pathway,"26S Protease Regulatory Subunit 7, human"
30,Leishmaniasis Infection Pathway,"TLR4 protein, human"
31,Wnt Signaling Pathway,"CREBBP protein, human"
32,Pitx2 Transcription Regulation Pathway,"EP300 protein, human"
33,Wnt Signaling Pathway KEGG,"PRKCA protein, human"
34,Aldosterone-Regulated Sodium Reabsorption Pathway,"MAPK1 protein, human"
35,Glioblastoma Multiforme Pathway,"AKT3 protein, human"
36,Androgen Receptor Regulation Pathway,Nuclear LIM Interactor-Interacting Factor 2
37,Calcium-Mediated Signaling Pathway,"Gastrin/Cholecystokinin Type B Receptor, human"
38,Erk1/Erk2 MAPK Signaling Pathway,"Son of Sevenless Homolog 1, human"
39,Insulin/Insulin Receptor Signaling Pathway,"Son of Sevenless Homolog 1, human"
40,PTEN-Dependent Cell Cycle Arrest and Apoptosis Pathway,"Son of Sevenless Homolog 1, human"
41,T-Cell Activation Co-Stimulatory Signaling Pathway,"ITK protein, human"
42,Complement and Coagulation Cascade,"SERPINC1 protein, human"
43,Calcineurin-Dependent NFAT Signaling Pathway in Lymphocytes,"PRKACA protein, human"
44,Gonadotropin-Releasing Hormone Signaling Pathway,"PRKACA protein, human"
45,Olfactory Transduction Pathway,"PRKACA protein, human"
46,Cell to Cell Adhesion Signaling Pathway,"CSK protein, human"
47,FGF Signaling Pathway,"FGFR1 protein, human"
48,Salivary Secretion Pathway,Transient Receptor Potential Cation Channel Subfamily V Member 6
49,AlphaM/Beta2 Integrin Signaling Pathway,"Integrin Beta-2, human"
50,Endometrial Cancer Pathway,"Glycogen Synthase Kinase-3 Beta, human"
51,Retinol Metabolism Pathway,UDP-Glucuronosyltransferase 2B15
52,IFN-Beta Enhancer Pathway,"ARID1A protein, human"
53,Cell Cycle,Proliferating Cell Nuclear Antigen
54,Coregulation Pathway for Androgen Receptor Activity,"PELP1 protein, human"
55,Nongenotropic Androgen Signaling Pathway,"PELP1 protein, human"
56,Dilated Cardiomyopathy Pathway,"TGFB1 protein, human"
57,IL1R Signaling Pathway,"TGFB1 protein, human"
58,PTPN1 Signaling Pathway,"Proto-Oncogene Tyrosine-Protein Kinase Src, human"
59,Syndecan-2-Mediated Signaling Pathway,"Proto-Oncogene Tyrosine-Protein Kinase Src, human"
60,Natural Killer Cell-Mediated Cytotoxicity Pathway,"KIR2DL3 protein, human"
61,Glyoxylate and Dicarboxylate Metabolism Pathway,CATALASE
62,B-Cell Survival Pathway,"AKT1 protein, human"
63,Dendritic Cell Pathway,"IL5 protein, human"
64,Dicer Pathway,Protein Argonaute-4
65,Angiopoietin-1 Receptor Signaling Pathway,"Angiopoietin-1 Receptor, Human"
66,Regulation of Nuclear SMAD2/3 Signaling Pathway,"CREB1 protein, human"
67,Antigen Processing and Presentation Pathway,"HLA Class I Histocompatibility Antigen, Alpha Chain G"
68,Graft-Versus-Host Disease Pathway,"HLA Class I Histocompatibility Antigen, Alpha Chain G"
69,Neuroactive Ligand-Receptor Signaling Pathway,Gamma-Aminobutyric Acid Receptor Subunit Alpha-3
70,Prion Disease Pathway,"MAP2K2 protein, human"
71,Splicing Regulation Pathway,"MAP2K2 protein, human"
72,Sprouty Regulation of Tyrosine Kinase Signaling Pathway,"MAP2K2 protein, human"
73,Trka Receptor Signaling Pathway,"HRAS protein, human"
74,Gap Junction Assembly Pathway,"PRKCB protein, human"
75,Glycolysis/Gluconeogenesis Pathway,Phosphoglycerate Kinase 1
76,Stathmin Pathway,"TSG101 protein, human"
77,Telomere Pathway,Ku70 protein
78,Neurotrophin Signaling Pathway,"brain-derived neurotrophic factor, human"
79,Rac1 Cell Motility Signaling Pathway,"LIMK1 protein, human"
80,Erythropoietin Signaling Pathway,stress-activated protein kinase 1
81,Starch and Sucrose Metabolism Pathway,"UGT1A1 protein, human"
82,Sonic Hedgehog Pathway,"RASGRF1 protein, human"
83,Base Excision Repair Pathway,"POLD1 protein, human"
84,FAS Signaling Pathway PID,"PDK1 protein, human"
85,Hepatocyte Growth Factor Receptor Signaling Pathway PID,"PDK1 protein, human"
86,Type I Diabetes Mellitus Pathway,"IL12B protein, human"
87,Axon Guidance,"EPHB2 protein, human"
88,Erythropoietin Signaling Pathway,"RAF Proto-Oncogene Serine/Threonine-Protein Kinase, human"
89,MAPK Signaling Pathway,"MAPK13 protein, human"
90,Toll-Like Receptor Signaling Pathway,"MAPK13 protein, human"
91,Ribosomal Biogenesis Pathway,"E2F1 protein, human"
92,Interferon-Gamma Signaling Pathway,"Prostaglandin E Synthase 2, human"
93,TGF-beta Signaling Pathway KEGG,"BMP6 protein, human"
94,Chemokine Signaling Pathway,C-C Chemokine Receptor Type 2
95,Thrombin/Protease-Activated Receptor Signaling Pathway,"ROCK1 protein, human"
96,Class I PI3K Signaling Pathway,"SGK1 protein, human"
97,FOXO Transcription Factor Family Signaling Pathway,"SGK1 protein, human"
98,IFN Gamma Signaling Pathway,"STAT1 protein, human"
99,Inhibition of Cellular Proliferation by Gleevec Pathway,"STAT1 protein, human"
100,Sumoylation Pathway,"SUMO-Activating Enzyme Subunit 1, human"
101,Fc Gamma Receptor-Mediated Phagocytosis Pathway,"ASAP1 protein, human"
102,Cardiac Hypertrophy Pathway,"Angiotensin-1, human"
103,B Cell Receptor Signaling Pathway,Ras-Related C3 Botulinum Toxin Substrate 3
104,Axon Guidance,"EPHA4 protein, human"
105,Neuroactive Ligand-Receptor Signaling Pathway,"Lysophosphatidic Acid Receptor 3, human"
106,Bioactive Peptide Signaling Pathway,"CELSR1 cadherin, human"
107,Apoptosis Pathway,"Phosphatidylinositol 4,5-Bisphosphate 3-Kinase Catalytic Subunit Delta Isoform, human"
108,Atypical NF-kappaB Signaling Pathway,BCL3 protein
109,HDAC Class II Signaling Pathway,"GATA2 protein, human"
110,Cell Cycle Progression Pathway,"CHEK1 protein, human"
111,MAPK Signaling Pathway,CRKL protein
112,Gonadotropin-Releasing Hormone Signaling Pathway,"MAPK7 protein, human"
