,CUI1,CUI2
0,Transcriptional Activation,CREB-Regulated Transcription Coactivator 3
1,ATP Hydrolysis,"DDX58 protein, human"
2,Receptor Signaling,Neuropeptide Y Receptor Type 2
3,Cell Growth,Beta Isomer of C-Terminal Telopeptide of Type I Collagen
4,Inflammatory Response,"C5a Anaphylatoxin, human"
5,Antiviral Response,"Schlafen Family Member 11, human"
6,Dephosphorylation,"PTPRT protein, human"
7,Transcriptional Regulation,"Evi-1 protein, human"
8,Cell Proliferation Regulatory Process,"GFRA2 protein, human"
9,Ligand Binding,Cofilin 1
10,Apoptosis,"FOXO3A protein, human"
11,Immunoregulation,"Platelet Basic Protein, human"
12,DNA Repair,"POLK protein, human"
13,Lipid Metabolism,"PPAP2A protein, human"
14,Cell Cycle Progression,"HDAC6 protein, human"
15,DNA Binding,"Peroxisome Proliferator-Activated Receptor Gamma, human"
16,Transcriptional Repression,Transcription Repressor/Corepressor
17,Cytokine Signaling Process,"CCRL2 protein, human"
18,cell motility,"CCL5 protein, human"
19,G Protein-Coupled Receptor Signaling,"GNB1 protein, human"
20,GTP Binding,"Guanine Nucleotide-Binding Protein G(I)/G(S)/G(O) Subunit Gamma-11, human"
21,Pathologic Neovascularization,"HPSE2 protein, human"
22,Protein dephosphorylation,"PPP2R5D protein, human"
23,Cell Growth,"FGFR2 protein, human"
24,Phosphorylation,"ACVR1 protein, human"
25,Signal Transduction,"RPS6KA5 protein, human"
26,glycosylation,Galactosyltransferases
27,Histone Deacetylation,"HDAC7 protein, human"
28,Synaptic Transmission,"Metabotropic Glutamate Receptor 4, human"
29,Wound Healing,"DCN protein, human"
30,Intercellular Communication Process,"CCBP2 protein, human"
31,Hydrolysis,"HDAC4 protein, human"
32,RNA Binding,"DAZAP1 protein, human"
33,Cell Survival,"APEX1 protein, human"
34,Replication Initiation,"MCM4 protein, human"
35,Ligand Binding,"Ephrin Type-B Receptor 4, human"
36,Hydrolysis,"USP17L2 protein, human"
37,Nucleic Acid Binding,RNA Helicase
38,RNA Binding,Serine/Arginine-Rich Splicing Factor 2
39,Cell Proliferation,"RARG protein, human"
40,Meiosis,"BRDT protein, human"
41,Digestion,"Gastrin/Cholecystokinin Type B Receptor, human"
42,Apoptosis,"PAK6 protein, human"
43,DNA Binding,AF5q31 protein
44,Cytokine Signaling,"CXCL14 protein, human"
45,"Transcription, Genetic",Myocyte-Specific Enhancer Factor 2B
46,T-Cell Development,Orphan Nuclear Receptor ROR-gammaT
47,protein folding,"Putative Endoplasmin-Like Protein, human"
48,Cell Growth,RET Gene Product
49,DNA Replication,Chromatin Assembly Factor 1 Subunit A
50,mRNA Export,Splicing Factor U2AF 35 kDa Subunit
51,Calcium Signaling,"CCR9 protein, human"
52,Cell Movement,"ANLN protein, human"
53,ATP Hydrolysis,Adenosine Triphosphatases
54,Cell Cycle Control,"CSK protein, human"
55,Hydrolysis,"Putative Neutral Ceramidase C, human"
56,Apoptosis,transcription factor DP2
57,Immune response,Tumor Necrosis Factor Receptor Superfamily Member 21
58,Angiogenic Process,Matrix Metalloproteinase 2
59,Ligand Binding,"FMR1 protein, human"
60,Translational Repression,"FMR1 protein, human"
61,Calcium Signaling,"DYSF protein, human"
62,Signal Transduction,"DTX1 protein, human"
63,Biologic Development,Nuclear Receptor ROR-Gamma
64,Ubiquitination,Ubiquitin Conjugation Factor E4 B
65,Receptor Signaling,"NR4A3 protein, human"
66,DNA Binding,DNA-Binding Protein Ikaros
67,Receptor Signaling,"NR2F6 protein, human"
68,Transcriptional Regulation,"SKIL protein, human"
69,DNA Binding,"EGR3 protein, human"
70,Hydrolysis,Acyl-Protein Thioesterase 1
71,Signal Transduction,"TACR3 protein, human"
72,Cytoskeletal Modeling,Sphingosine 1-Phosphate Receptor 1
73,Translational Regulation,Protein Argonaute-3
74,Receptor Signaling,"Ephrin Type-A Receptor 7, human"
75,Cytoskeletal Modeling,"KRT10 protein, human"
76,Transcriptional Regulation,"MLF1 protein, human"
77,Receptor Signaling,"Stem Cell Growth Factor Beta, human"
78,Synaptic Transmission,Gamma-Aminobutyric Acid Receptor Subunit Alpha-3
79,Transcriptional Repression,Negative Elongation Factor C/D
80,Transcriptional Regulation,"RSC8 protein, S cerevisiae"
81,Mitosis,"KIF11 protein, human"
82,Cellular Stress Response,"CREB3 protein, human"
83,Cell Fate Control,"WNT4 protein, human"
84,chromatin remodeling,"Histone Acetyltransferase KAT2B, human"
85,Cytokine Signaling,"IL17F protein, human"
86,Desire for food,leptin
87,Chemotaxis,Protein S100-A9
88,Cell Movement,"LAMC2 protein, human"
89,Cell Movement,osteopontin
90,Receptor Signaling,Heparin-Binding Neurotrophic Factor
91,Cell Cycle Checkpoints,"NBS1 protein, human"
92,DNA Repair,"TP53 protein, human"
93,Tyrosine Phosphorylation,EML4/ALK Fusion Protein Variant 1
94,Cell Proliferation Regulatory Process,"GDNF protein, human"
95,Signal Transduction,"Neurotensin, human"
96,Protein phosphorylation,Receptor-Interacting Serine/Threonine-Protein Kinase 4
97,Translational Regulation,Lin-28 Homolog A
98,Heparan Sulfate Biosynthesis,"EXTL3 protein, human"
99,Hydrolysis,"USP6 protein, human"
100,Hydrolysis,Presenilin-1
101,Replication Initiation,"CDC6 protein, human"
102,DNA Binding,"ZFHX3 protein, human"
103,Cell Proliferation,Soluble ErbB-1
104,Biologic Development,"EYA1 protein, human"
105,Transcriptional Regulation,NF-kappa B
106,Cytokinesis,"Keratin, Type II Cytoskeletal 7"
107,Cell Movement,Prelamin-A/C
108,Organogenesis,Osteocalcin
109,Transcriptional Regulation,"T protein, human"
110,glycosylation,"UGT1A1 protein, human"
111,Ligand Binding,Hemoglobin Subunit Alpha
112,Antiviral Response,"RNF216 protein, human"
113,Phospholipid Binding,Rho Guanine Nucleotide Exchange Factor 2
114,Phosphorylation,"TGFBR2 protein, human"
115,Ligand Binding,"TGFBR2 protein, human"
116,Ionophore activity,Potassium Voltage-Gated Channel Subfamily KQT Member 1
117,Signal Transduction,alpha-Synuclein
118,Protein-Protein Interaction,"MGA protein, human"
119,Transcriptional Regulation,myocyte enhancer factor 2C
120,Hydrolysis,"PTPN6 protein, human"
121,Protein dephosphorylation,"PTPN6 protein, human"
122,Signal Transduction,"PTPN6 protein, human"
123,Cytokinesis,"Actin, Gamma 2"
124,Phosphorylation,"FGR protein, human"
125,Ligand Binding,Vasopressin Receptor
