,CUI1,CUI2
0,Percutaneous,Reduction of closed talus fracture with manipulation and percutaneous pinning
1,Percutaneous,Percutaneous insertion of intravascular filter
2,Percutaneous,Percutaneous cholecystostomy
3,Percutaneous,Diagnostic percutaneous operations on gallbladder
4,Percutaneous,Percutaneous transluminal cannulation of vein
5,Percutaneous,Other specified percutaneous puncture of kidney
6,Percutaneous,Percutaneous puncture of kidney
7,Percutaneous,Other specified puncture of pleura
8,Percutaneous,Puncture of pleura NOS
9,Percutaneous,Introduction of substance into pleural cavity
10,Percutaneous,Image controlled percutaneous drainage of subphrenic abscess
11,Percutaneous,Percutaneous needle biopsy of lesion of bone
12,Percutaneous,Therapeutic percutaneous puncture of bone
13,Percutaneous,Other therapeutic aspiration
14,Percutaneous,Needle biopsy of brain
15,Percutaneous,Percutaneous intravascular fetal blood transfusion
16,Percutaneous,Percutaneous removal of renal lesion
17,Percutaneous,Percutaneous puncture of renal collecting system
18,Percutaneous,Percutaneous puncture of kidney for upper tract urodynamics
19,Percutaneous,Percutaneous removal of ureteric stent
20,Percutaneous,Percutaneous replacement of ureteric stent
21,Percutaneous,Percutaneous removal of endovascular foreign body
22,Percutaneous,Non-thoracoscopic percutaneous pleural puncture procedure
23,Percutaneous,Percutaneous needle puncture operation on kidney or renal pelvis
24,Percutaneous,Percutaneous aspiration of kidney
25,Percutaneous,CT guided percutaneous therapeutic drainage
26,Percutaneous,Percutaneous magnetic resonance guided therapeutic drainage
27,Percutaneous,Percutaneous needle biopsy liver
28,Percutaneous,Percutaneous needle lymphatic biopsy
29,Percutaneous,Percutaneous imaging guided therapeutic drainage
30,Percutaneous,"Excisional biopsy of cerebral meninges, percutaneous, needle"
31,Percutaneous,Percutaneous puncture of kidney
32,Percutaneous,Percutaneous fine needle biopsy of pleura
33,Percutaneous,Percutaneous transluminal insertion of stent into carotid artery
34,Percutaneous,Percutaneous radiofrequency ablation of lesion of kidney
35,Percutaneous,Percutaneous radiofrequency ablation of lesion of liver
36,Percutaneous,Percutaneous radiofrequency ablation of lesion of lung
37,Percutaneous,Imaging guided percutaneous occlusion of colorectal fistula
38,Percutaneous,Percutaneous transluminal insertion of stent into aorta
39,Percutaneous,Percutaneous transluminal insertion of stent graft into hepatic artery
40,Percutaneous,Percutaneous transluminal replacement of pulmonary valve
41,Percutaneous,Percutaneous thrombolysis of dialysis fistula using fluoroscopic guidance
42,Percutaneous,Fluoroscopic cholecystography using contrast
43,Percutaneous,Percutaneous aspiration thrombectomy of dialysis fistula using fluoroscopic guidance
44,Percutaneous,Percutaneous mechanical thrombectomy of dialysis fistula using fluoroscopic guidance
45,Percutaneous,Percutaneous insertion of catheter into inferior vena cava using fluoroscopic guidance
46,Percutaneous,Percutaneous insertion of catheter into renal vein using fluoroscopic guidance
47,Percutaneous,Percutaneous replacement of temporary filter of superior vena cava using fluoroscopic guidance
48,Percutaneous,Percutaneous repositioning of temporary filter of superior vena cava using fluoroscopic guidance
49,Percutaneous,Fluoroscopic angiography of coronary graft using contrast
50,Percutaneous,Fluoroscopic pancreatography using contrast
51,Percutaneous,Percutaneous insertion of artificial venous valve using fluoroscopic guidance
52,Percutaneous,Percutaneous aspiration of thrombus using fluoroscopic guidance
53,Percutaneous,Percutaneous insertion of catheter into hepatic vein using fluoroscopic guidance
54,Percutaneous,Fluoroscopic angiography of abdominal vessel using carbon dioxide contrast
55,Percutaneous,Percutaneous replacement of temporary filter of inferior vena cava using fluoroscopic guidance
56,Percutaneous,Percutaneous reposition of temporary filter of inferior vena cava using fluoroscopic guidance
57,Percutaneous,Percutaneous insertion of nephrovesical stent using fluoroscopic guidance
58,Percutaneous,Percutaneous injection of sclerosing agent into long saphenous vein using fluoroscopic guidance
59,Percutaneous,Percutaneous injection of sclerosing agent into short saphenous vein using fluoroscopic guidance
60,Percutaneous,Percutaneous endoscopic cholangiography with insertion of biliary drain using fluoroscopic guidance
61,Percutaneous,Fluoroscopic angiography of pancreas using contrast
62,Percutaneous,Percutaneous endoscopic insertion of gastrostomy tube using fluoroscopic guidance
63,Percutaneous,Percutaneous transluminal septal myocardial ablation
64,Percutaneous,CT guided percutaneous aspiration of neck
65,Percutaneous,CT guided percutaneous aspiration of pancreas
66,Percutaneous,Percutaneous transluminal temporary balloon occlusion of common iliac artery using fluoroscopic guidance
67,Percutaneous,Percutaneous transluminal balloon test occlusion of vertebral artery using fluoroscopic guidance
68,Percutaneous,Percutaneous embolization of common hepatic artery using fluoroscopic guidance
69,Percutaneous,Percutaneous embolization of spinal artery aneurysm using fluoroscopic guidance
70,Percutaneous,Percutaneous transluminal angioplasty of vertebral artery using fluoroscopic guidance
71,Percutaneous,Percutaneous transluminal balloon test occlusion of carotid artery using fluoroscopic guidance
72,Percutaneous,Percutaneous transluminal temporary balloon occlusion of internal iliac artery using fluoroscopic guidance
73,Percutaneous,Percutaneous embolization of spinal neoplasm using fluoroscopic guidance
74,Percutaneous,Percutaneous transluminal balloon test occlusion of middle cerebral artery using fluoroscopic guidance
75,Percutaneous,Percutaneous transluminal embolization of branch of gastroduodenal artery using fluoroscopic guidance
76,Percutaneous,Percutaneous transluminal temporary balloon occlusion of uterine artery using fluoroscopic guidance
77,Percutaneous,Percutaneous venous embolization of cerebral arteriovenous fistula using fluoroscopic guidance
78,Percutaneous,Percutaneous transluminal cutting balloon angioplasty of vein using fluoroscopic guidance
79,Percutaneous,Percutaneous skeletal fixation of distal dislocation of radius and ulna
80,Percutaneous,Percutaneous skeletal fixation of dislocation of interphalangeal joint of foot with manipulation
81,Percutaneous,Percutaneous embolization of nasal blood vessel using fluoroscopic guidance
82,Percutaneous,CT guided percutaneous radiofrequency ablation of tumor of bone
83,Percutaneous,Percutaneous transluminal embolization of branch of iliac vein using fluoroscopic guidance
84,Percutaneous,Percutaneous transluminal insertion of metallic stent into bile duct using fluoroscopic guidance
85,Percutaneous,Percutaneous transluminal insertion of metallic stent into innominate vein using fluoroscopic guidance
86,Percutaneous,Percutaneous sampling of blood of cerebral venous sinus using fluoroscopic guidance
87,Percutaneous,Percutaneous embolization of neoplasm of base of skull using fluoroscopic guidance
88,Percutaneous,Percutaneous skeletal fixation of dislocation of carpometacarpal joint with manipulation
89,Percutaneous,Percutaneous thrombolysis of cerebral venous sinus using fluoroscopic guidance
90,Percutaneous,Percutaneous transluminal coil embolization of cerebral aneurysm using fluoroscopic guidance
91,Percutaneous,Percutaneous balloon assisted coil embolization of cerebral aneurysm using fluoroscopic guidance
92,Percutaneous,Percutaneous arterial embolization of cerebral arteriovenous fistula using fluoroscopic guidance
93,Percutaneous,CT guided percutaneous aspiration of abdomen
94,Percutaneous,Percutaneous embolization of renal artery using fluoroscopic guidance
95,Percutaneous,Percutaneous insertion of stent into vein using fluoroscopic guidance
96,Percutaneous,Percutaneous transluminal insertion of stent into inferior vena cava using fluoroscopic guidance
97,Percutaneous,Percutaneous transluminal insertion of stent into superior vena cava using fluoroscopic guidance
98,Percutaneous,Fluoroscopic percutaneous balloon test occlusion of anterior cerebral artery
99,Percutaneous,Percutaneous thrombolysis of spinal artery using fluoroscopic guidance
100,Percutaneous,Percutaneous transjugular embolization of gastric vein using fluoroscopic guidance
101,Percutaneous,Percutaneous transluminal coil embolization of cerebral venous sinus using fluoroscopic guidance
102,Percutaneous,Percutaneous embolization of cerebral neoplasm using fluoroscopic guidance
103,Percutaneous,Percutaneous skeletal fixation of fracture of phalangeal shaft with manipulation
104,Percutaneous,Percutaneous skeletal fixation of distal phalangeal fracture of finger
105,Percutaneous,Percutaneous skeletal fixation of distal phalangeal fracture of thumb
106,Percutaneous,Percutaneous polymer embolization of cerebral venous sinus using fluoroscopic guidance
107,Percutaneous,Percutaneous transluminal balloon angioplasty of cerebral artery
108,Percutaneous,Percutaneous intradiscal annuloplasty using fluoroscopic guidance
109,Percutaneous,Percutaneous angiography of cerebral artery and insertion of drug eluting stent using fluoroscopic guidance
110,Percutaneous,CT guided percutaneous aspiration of pelvis
111,Percutaneous,Percutaneous embolization of spinal arteriovenous malformation using fluoroscopic guidance
112,Percutaneous,Percutaneous thrombectomy of cerebral artery using fluoroscopic guidance
113,Percutaneous,Percutaneous transjugular embolization of esophageal vein using fluoroscopic guidance
114,Percutaneous,Percutaneous transluminal polymer embolization of cerebral artery using fluoroscopic guidance
115,Percutaneous,Percutaneous mechanical thrombectomy of cerebral venous sinus using fluoroscopic guidance
116,Percutaneous,Percutaneous transluminal angioplasty of cerebral venous sinus using fluoroscopic guidance
117,Percutaneous,Percutaneous insertion of stent into cerebral venous sinus using fluoroscopic guidance
118,Percutaneous,Percutaneous measurement of cerebral venous sinus pressure using fluoroscopic guidance
119,Percutaneous,Percutaneous skeletal fixation of fracture of great toe with manipulation
120,Percutaneous,Percutaneous skeletal fixation of fracture of metacarpal
121,Percutaneous,"Percutaneous skeletal fixation of interphalangeal joint dislocation, with manipulation"
122,Percutaneous,Percutaneous skeletal fixation of dislocation of metacarpophalangeal joint with manipulation
123,Percutaneous,"Percutaneous skeletal fixation of metatarsophalangeal joint dislocation, with manipulation"
124,Percutaneous,Percutaneous skeletal fixation of dislocation of talocalcaneonavicular joint with manipulation
125,Percutaneous,Percutaneous skeletal fixation of fracture of phalanx of foot with manipulation
126,Percutaneous,Percutaneous stereotactic neurostimulation of spinal cord
127,Percutaneous,Percutaneous cryotherapy of unilateral tumor of kidney
128,Percutaneous,Percutaneous embolization of pancreaticoduodenal artery using fluoroscopic guidance
129,Percutaneous,Percutaneous thrombolysis of cerebral artery using fluoroscopic guidance
130,Percutaneous,Percutaneous chemical angioplasty of cerebral artery using fluoroscopic guidance
131,Percutaneous,Percutaneous embolization of common iliac artery using fluoroscopic guidance
132,Percutaneous,Percutaneous aspiration of pancreas using ultrasound guidance
133,Percutaneous,Percutaneous embolization of facial artery using fluoroscopic guidance
