,CUI1,CUI2
0,Accessory atrioventricular bundle (body structure),Ventricular part of atrioventricular bundle
1,Structure of brachiocephalic artery,Aortic arch structure
2,Superior mesenteric artery structure,Abdominal aorta structure
3,Structure of inferior mesenteric artery,Abdominal aorta structure
4,Structure of inferior alveolar nerve,Structure of lingual nerve
5,Structure of superior laryngeal nerve,Vagus nerve structure
6,Structure of ansa subclavia,Structure of middle cervical ganglion
7,Structure of ansa subclavia,Structure of vertebral ganglion
8,Structure of ansa subclavia,Structure of stellate ganglion
9,Structure of anterior ascending branch of right pulmonary artery,Interlobar portion of right pulmonary artery
10,Structure of anterior cecal artery,Inferior branch of ileocolic artery
11,Structure of anterior cerebral artery,Internal carotid artery structure
12,Structure of anterior choroidal artery,Internal carotid artery structure
13,Structure of anterior choroidal artery,Cerebral portion of internal carotid artery
14,Structure of anterior communicating artery,Structure of anterior cerebral artery
15,Structure of anterior communicating artery,Structure of left anterior cerebral artery
16,Structure of anterior communicating artery,Structure of right anterior cerebral artery
17,Structure of anterior descending branch of left pulmonary artery,Interlobar portion of left pulmonary artery
18,Structure of anterior ethmoidal artery,Structure of ophthalmic artery
19,Structure of anterior ethmoidal nerve,Structure of nasociliary nerve
20,Structure of intercostal branch of internal thoracic artery,Structure of internal thoracic artery
21,Structure of anterior parietal artery,Structure of middle cerebral artery
22,Structure of anterior parietal artery,Insular part of middle cerebral artery
23,Structure of anterior spinal artery,Structure of vertebral artery
24,Structure of anterior temporal artery,Structure of middle cerebral artery
25,Structure of anterior temporal artery,Sphenoid part of middle cerebral artery
26,Anterior vagal trunk,Vagus nerve structure
27,Structure of ascending cervical artery,Structure of inferior thyroid artery
28,Bundle of His,Structure of atrioventricular node
29,Structure of atrioventricular node branch of right coronary artery,First septal branch of right posterior interventricular artery
30,Structure of auriculotemporal nerve,Structure of mandibular nerve
31,Structure of axillary nerve,Posterior fasciculus of brachial plexus
32,Structure of bronchial branch of brachiocephalic artery,Structure of brachiocephalic artery
33,Structure of buccal nerve,Structure of mandibular nerve
34,Structure of calcarine artery,Medial occipital artery
35,Structure of caroticotympanic artery,Internal carotid artery structure
36,Structure of caroticotympanic artery,Structure of petrous portion of internal carotid artery
37,Carotid sinus nerve,Glossopharyngeal nerve structure
38,Celiac Artery,Abdominal aorta structure
39,Structure of central retinal artery,Structure of ophthalmic artery
40,Structure of chorda tympani,Facial nerve structure
41,Structure of chorda tympani,Structure of lingual nerve
42,Cochlear Nerve,Acoustic Nerve
43,Structure of common hepatic artery,Celiac Artery
44,Structure of common hepatic artery,Celiac Artery
45,Common iliac artery structure,Abdominal aorta structure
46,Structure of costocervical trunk,Structure of subclavian artery
47,Structure of cystic artery,Structure of right branch of hepatic artery
48,Cystic duct structure,Common bile duct structure
49,Structure of deep artery of clitoris,Structure of internal pudendal artery
50,Structure of deep artery of penis,Structure of internal pudendal artery
51,Structure of deep temporal nerve,Structure of mandibular nerve
52,Structure of dorsal artery of clitoris,Structure of internal pudendal artery
53,Structure of dorsal artery of penis,Structure of internal pudendal artery
54,Structure of dorsal nasal artery,Structure of ophthalmic artery
55,Structure of episcleral artery,Structure of muscular branch of ophthalmic artery
56,Structure of esophageal artery,Thoracic aorta
57,Structure of external iliac artery,Common iliac artery structure
58,Structure of femoral nerve,Lumbar plexus structure
59,Structure of frontal nerve,Structure of ophthalmic nerve
60,Structure of gastroduodenal artery,Structure of common hepatic artery
61,Structure of genitofemoral nerve,Lumbar plexus structure
62,Structure of hepatic artery proper,Structure of common hepatic artery
63,Structure of ileocolic artery,Superior mesenteric artery structure
64,Structure of iliohypogastric nerve,Lumbar plexus structure
65,Structure of ilioinguinal nerve,Lumbar plexus structure
66,Structure of iliolumbar artery,Trunk of posterior division of internal iliac artery
67,Structure of inferior cardiac nerve,Structure of stellate ganglion
68,Structure of inferior epigastric artery,Structure of external iliac artery
69,Structure of inferior laryngeal artery,Structure of inferior thyroid artery
70,Structure of inferior lingular bronchus,Lingular branch of left superior lobar bronchus
71,Structure of inferior macular artery,Structure of central retinal artery
72,Structure of inferior nasal retinal artery,Inferior central retinal artery
73,Structure of inferior palpebral arch,Structure of medial palpebral artery
74,Structure of inferior pancreaticoduodenal artery,Superior mesenteric artery structure
75,Structure of inferior rectal artery,Structure of internal pudendal artery
76,Structure of inferior root of ansa cervicalis,Cervical plexus structure
77,Structure of inferior thyroid artery,Structure of thyrocervical trunk
78,Structure of infratrochlear nerve,Structure of nasociliary nerve
79,Structure of internal carotid nerve,Structure of superior cervical ganglion
80,Structure of internal iliac artery,Common iliac artery structure
81,Structure of internal thoracic artery,Structure of subclavian artery
82,Structure of jugular nerve,Structure of superior cervical ganglion
83,Structure of lacrimal artery,Structure of ophthalmic artery
84,Structure of lacrimal nerve,Structure of ophthalmic nerve
85,Structure of lateral circumflex femoral artery,Structure of profunda femoris artery
86,Structure of lateral femoral cutaneous nerve,Lumbar plexus structure
87,Structure of lateral pectoral nerve,Structure of lateral fasciculus of brachial plexus
88,Structure of lateral sacral artery,Trunk of posterior division of internal iliac artery
89,Structure of lateral thoracic artery,Structure of axillary artery
90,Structure of lateral thoracic artery,Third part of axillary artery
91,Structure of left anterior cerebral artery,Structure of left internal carotid artery
92,Left bundle branch structure,Ventricular part of atrioventricular bundle
93,Structure of left colic artery,Structure of inferior mesenteric artery
94,Left common carotid artery structure,Aortic arch structure
95,Structure of left common iliac artery,Abdominal aorta structure
96,Left coronary artery structure,Ascending aorta structure
97,Structure of left external carotid artery,Left common carotid artery structure
98,Structure of left external iliac artery,Structure of left common iliac artery
99,Structure of left gastric artery,Celiac Artery
100,Structure of left gastric artery,Celiac Artery
101,Structure of left hepatic duct,Common Hepatic Duct
102,Structure of left internal carotid artery,Left common carotid artery structure
103,Structure of left internal iliac artery,Structure of left common iliac artery
104,Left main bronchus structure,Trachea
105,Structure of left middle cerebral artery,Structure of left internal carotid artery
106,Structure of left posterior cerebral artery,Structure of basilar artery
107,Left pulmonary arterial tree,Pulmonary artery structure
108,Structure of left renal artery,Abdominal aorta structure
109,Structure of left subclavian artery,Aortic arch structure
110,Structure of left vertebral artery,Structure of left subclavian artery
111,Structure of left vertebral artery,First part of left subclavian artery proper
112,Structure of smaller occipital nerve,Anterior ramus of second cervical nerve
113,Structure of smaller occipital nerve,Cervical plexus structure
114,Structure of lingual nerve,Structure of mandibular nerve
115,Lobar bronchus structure,Main Bronchus
116,Long ciliary nerves,Structure of nasociliary nerve
117,Structure of lumbar artery,Abdominal aorta structure
118,Structure of lumbar splanchnic nerve,Lumbar sympathetic trunk
119,Structure of mandibular nerve,Trigeminal nerve structure
120,Structure of masseteric nerve,Structure of mandibular nerve
121,Structure of maxillary nerve,Trigeminal nerve structure
122,Structure of medial circumflex femoral artery,Structure of profunda femoris artery
123,Structure of medial pectoral nerve,Structure of medial fasciculus of brachial plexus
124,Structure of mediastinal branch of descending thoracic aorta,Thoracic aorta
125,Structure of mental nerve,Structure of inferior alveolar nerve
126,Structure of middle cerebral artery,Internal carotid artery structure
127,Structure of middle colic artery,Superior mesenteric artery structure
128,Meningeal branch of maxillary nerve,Structure of maxillary nerve
129,Structure of musculocutaneous nerve,Structure of lateral fasciculus of brachial plexus
130,Structure of musculophrenic artery,Structure of internal thoracic artery
131,Structure of nasociliary nerve,Structure of frontal nerve
132,Structure of obturator nerve,Lumbar plexus structure
133,Structure of ophthalmic artery,Internal carotid artery structure
134,Structure of ophthalmic artery,Cerebral portion of internal carotid artery
135,Structure of ophthalmic nerve,Trigeminal nerve structure
136,Structure of ovarian artery,Abdominal aorta structure
137,Structure of perineal artery,Structure of internal pudendal artery
138,Structure of posterior auricular nerve,Facial nerve structure
139,Structure of posterior cecal artery,Inferior branch of ileocolic artery
140,Structure of posterior choroidal artery,Structure of posterior cerebral artery
141,Structure of posterior communicating artery,Internal carotid artery structure
142,Structure of posterior communicating artery,Cerebral portion of internal carotid artery
143,Structure of posterior ethmoidal artery,Structure of ophthalmic artery
144,Structure of posterior ethmoidal nerve,Structure of nasociliary nerve
145,Structure of posterior femoral cutaneous nerve,Sacral plexus structure
146,Structure of posterior gastric artery,Structure of splenic artery
147,Structure of posterior inferior cerebellar artery,Structure of vertebral artery
