,CUI1,CUI2
0,ACETYLSALICYLATE SODIUM,Virus Diseases
1,Propantheline Bromide,Hypersensitivity
2,inamrinone lactate,Hypersensitivity
3,Donepezil hydrochloride,Hypersensitivity
4,Naftifine hydrochloride,Hypersensitivity
5,Inamrinone,Hypersensitivity
6,Streptomycin,Hypersensitivity
7,Treprostinil,Hypersensitivity
8,Terbutaline Sulfate,Hypersensitivity
9,Pyrazinamide,Hypersensitivity
10,Perflutren,Hypersensitivity
11,Metoclopramide Hydrochloride,Hypersensitivity
12,aluminum chloride,Hypersensitivity
13,Ethambutol,Hypersensitivity
14,Ethionamide,Hypersensitivity
15,Sulbactam Sodium,Hypersensitivity
16,Medium chain triglycerides,Hypersensitivity
17,Piperacillin Sodium,Hypersensitivity
18,Masoprocol,Hypersensitivity
19,Ciclopirox olamine,Hypersensitivity
20,Trihexyphenidyl Hydrochloride,Hypersensitivity
21,Methazolamide,Hypersensitivity
22,Albuterol,Hypersensitivity
23,Pentoxifylline,Hypersensitivity
24,Guanethidine Monosulfate,Hypersensitivity
25,Rifampin,Hypersensitivity
26,sulconazole,Hypersensitivity
27,aminosalicylic acid,Hypersensitivity
28,Carbenicillin,Hypersensitivity
29,Carbenicillin Disodium,Hypersensitivity
30,Milrinone,Hypersensitivity
31,triamcinolone diacetate,Mycoses
32,Ketamine Hydrochloride,Angina Pectoris
33,EPHEDRINE TANNATE,Cardiac Arrhythmia
34,Doxorubicin,Cardiac Arrhythmia
35,Nicotine,Cardiac Arrhythmia
36,Epirubicin Hydrochloride,Cardiac Arrhythmia
37,Daunorubicin Liposomal,Cardiac Arrhythmia
38,Theophylline anhydrous,Cardiac Arrhythmia
39,doxorubicin hydrochloride liposome,Cardiac Arrhythmia
40,Mefloquine,Epilepsy
41,Doxapram,Epilepsy
42,Triamcinolone,Mycoses
43,Bisoprolol,Heart failure
44,Atenolol,Heart failure
45,"ALBUMIN,AGGREGATED",Heart failure
46,ziprasidone,Heart failure
47,Sotalol,Heart failure
48,esmolol,Heart failure
49,Oxybutynin chloride,Drug Allergy
50,Ethosuximide,Drug Allergy
51,Camphor,Drug Allergy
52,Tiagabine hydrochloride,Drug Allergy
53,benzquinamide,Drug Allergy
54,Methdilazine hydrochloride,Drug Allergy
55,Vidarabine,Drug Allergy
56,PHENYLTOLOXAMINE RESIN COMPLEX,Drug Allergy
57,Propiomazine hydrochloride,Drug Allergy
58,Etonogestrel,Drug Allergy
59,mecobalamin,Drug Allergy
60,Equine diphtheria antitoxin,Drug Allergy
61,Sulfamethizole,Drug Allergy
62,Epoprostenol Sodium,Heart failure
63,Auranofin,Exfoliative dermatitis
64,Procainamide,"Lupus Erythematosus, Systemic"
65,Pentazocine Hydrochloride,Drug Allergy
66,SODIUM PHOSPHATE DIHYDRATE,Drug Allergy
67,peginterferon alfa-2b,Drug Allergy
68,Hydroxyzine,Drug Allergy
69,Oxacillin,Drug Allergy
70,Ganciclovir Sodium,Drug Allergy
71,Sodium estrone sulfate,Drug Allergy
72,desflurane,Drug Allergy
73,dihydroxyaluminum sodium carbonate,Drug Allergy
74,Diltiazem Hydrochloride,Drug Allergy
75,Chloroprocaine hydrochloride,Drug Allergy
76,Loperamide Hydrochloride,Drug Allergy
77,Bretylium Tosylate,Drug Allergy
78,Gentian Violet,Drug Allergy
79,Povidone,Drug Allergy
80,Etidocaine,Drug Allergy
81,Quinestrol,Drug Allergy
82,Dipivefrin,Drug Allergy
83,Brompheniramine,Drug Allergy
84,Methamphetamine,Drug Allergy
85,Thalidomide,Drug Allergy
86,trovafloxacin,Drug Allergy
87,Auranofin,Colitis
88,quinupristin,Drug Allergy
89,Casanthranol,Drug Allergy
90,Praziquantel,Drug Allergy
91,Betamethasone valerate,Drug Allergy
92,fosfestrol,Drug Allergy
93,Clindamycin,Drug Allergy
94,drotrecogin alfa,Drug Allergy
95,ziprasidone hydrochloride,Drug Allergy
96,Estradiol acetate,Drug Allergy
97,Chloroquine,Drug Allergy
98,Glutethimide,Drug Allergy
99,Citalopram,Drug Allergy
100,Trimipramine Maleate,Drug Allergy
101,Testosterone Propionate,Drug Allergy
102,Polyethylene Glycol 400,Drug Allergy
103,PHENTERMINE RESIN,Drug Allergy
104,mycophenolate mofetil,Drug Allergy
105,Ergocalciferol,Drug Allergy
106,Magnesium Hydroxide,Fecal Impaction
107,alosetron hydrochloride,Constipation
108,Zinc Acetate,Drug Allergy
109,saquinavir mesylate,Drug Allergy
110,dronabinol,Drug Allergy
111,amcinonide,Drug Allergy
112,Phenyltoloxamine citrate,Drug Allergy
113,Lysine,Drug Allergy
114,Pyridoxine Hydrochloride,Drug Allergy
115,norgestimate,Drug Allergy
116,Desmopressin Acetate,Drug Allergy
117,Pentosan Polysulphate Sodium,Drug Allergy
118,Tocainide Monohydrochloride,Drug Allergy
119,Fluvoxamine Maleate,Drug Allergy
120,"Estrogens, Conjugated (USP)",Drug Allergy
121,Liquefied phenol,Drug Allergy
122,Megestrol Acetate,Drug Allergy
123,Adenosine,Drug Allergy
124,magnesium trisilicate,Drug Allergy
125,valganciclovir,Drug Allergy
126,Imipramine pamoate,Drug Allergy
127,Fluconazole,Drug Allergy
128,Phenelzine Sulfate,Drug Allergy
129,Phenylpropanolamine,Drug Allergy
130,Levalbuterol,Drug Allergy
131,"insulin aspart protamine, human",Drug Allergy
132,Dienestrol,Drug Allergy
133,ranitidine bismuth citrate,Drug Allergy
134,nitisinone,Drug Allergy
135,mycophenolate mofetil hydrochloride,Drug Allergy
136,Risedronate,Drug Allergy
137,Docusate Calcium,Drug Allergy
138,Trimetrexate,Drug Allergy
139,acrivastine,Drug Allergy
140,ibutilide,Drug Allergy
141,Coal tar pitch volatiles,Drug Allergy
142,Calcium Carbonate,Drug Allergy
143,Sodium Lactate,Drug Allergy
144,Erythromycin Ethylsuccinate,Drug Allergy
145,Propranolol Hydrochloride,Drug Allergy
146,Cyclopentolate,Drug Allergy
147,Tetracaine,Drug Allergy
148,cefprozil,Drug Allergy
149,Fexofenadine hydrochloride,Drug Allergy
150,naratriptan,Drug Allergy
151,homatropine,Drug Allergy
152,Ofloxacin,Drug Allergy
153,Levobupivacaine,Drug Allergy
154,butalbital,Drug Allergy
155,Niacinamide,Drug Allergy
156,Clorazepate Dipotassium,Drug Allergy
157,Imipramine Hydrochloride,Drug Allergy
158,Pyrilamine,Drug Allergy
159,chloramphenicol palmitate,Drug Allergy
160,Delavirdine,Drug Allergy
161,Vancomycin,Drug Allergy
162,Propylthiouracil,Drug Allergy
163,Pramipexole,Drug Allergy
164,Zinc Oxide,Drug Allergy
165,Cephapirin,Drug Allergy
166,Diazoxide,Drug Allergy
167,Calamine,Drug Allergy
168,oxybutynin,Drug Allergy
169,Witch Hazel,Drug Allergy
170,Triprolidine,Drug Allergy
171,Dyclonine hydrochloride,Drug Allergy
172,Vinblastine,Drug Allergy
173,Streptokinase,Drug Allergy
174,Paromomycin,Drug Allergy
175,Phenazopyridine,Drug Allergy
176,Cysteamine Hydrochloride,Drug Allergy
177,Terbinafine hydrochloride,Drug Allergy
178,Hydromorphone Hydrochloride,Drug Allergy
179,Amiodarone,Drug Allergy
180,Ethanol,Drug Allergy
181,corticorelin ovine,Drug Allergy
182,Piroxicam,Drug Allergy
183,"diphtheria toxoid vaccine, inactivated",Bacterial Infections
184,spectinomycin hydrochloride,Drug Allergy
185,palivizumab,Drug Allergy
186,Fluticasone propionate,Drug Allergy
187,colistimethate,Drug Allergy
188,Propranolol,Drug Allergy
189,Meprobamate,Drug Allergy
190,Scopolamine Hydrobromide,Drug Allergy
191,fosfomycin tromethamine,Drug Allergy
192,"insulin, regular, beef-pork",Drug Allergy
193,Diphenhydramine Citrate,Drug Allergy
194,cefuroxime axetil,Drug Allergy
195,Arsenic,Drug Allergy
196,Thioguanine,Drug Allergy
197,Cerivastatin sodium,Drug Allergy
198,TRIMETHOPRIM SULFATE,Drug Allergy
199,Phenindamine tartrate,Drug Allergy
200,Docusate Sodium,Drug Allergy
201,Isoproterenol Sulfate,Drug Allergy
202,Atracurium,Drug Allergy
203,deferoxamine mesylate,Drug Allergy
204,levothyroxine,Drug Allergy
205,Fludrocortisone,Drug Allergy
206,Sodium Acetate,Drug Allergy
207,Etidocaine hydrochloride,Drug Allergy
208,emedastine difumarate,Drug Allergy
209,Toremifene,Drug Allergy
210,Protamine Sulfate (USP),Drug Allergy
211,Sodium Iodide,Drug Allergy
212,choriogonadotropin alfa,Drug Allergy
213,Ipodate,Drug Allergy
214,Capsicum extract,Drug Allergy
215,nandrolone phenpropionate,Drug Allergy
216,Mebendazole,Drug Allergy
217,Mannitol hexanitrate,Drug Allergy
218,Acetylcholine Chloride,Drug Allergy
219,Sulfadiazine,Drug Allergy
220,Cefoperazone,Drug Allergy
221,Selenious Acid,Drug Allergy
222,Levomethadyl,Drug Allergy
223,repaglinide,Drug Allergy
224,Trifluoperazine hydrochloride,Drug Allergy
225,Lysine Hydrochloride,Drug Allergy
226,Vecuronium Bromide,Drug Allergy
227,Cat's Claw preparation,Drug Allergy
228,bromodiphenhydramine,Drug Allergy
229,aluminum chlorohydrate,Drug Allergy
230,Butabarbital sodium,Drug Allergy
231,Methocarbamol,Drug Allergy
232,Doxepin Hydrochloride,Drug Allergy
233,manganese monoxide,Drug Allergy
234,Pentamidine Isethionate,Drug Allergy
235,oxybenzone,Drug Allergy
236,Naloxone,Drug Allergy
237,Gemcitabine hydrochloride,Drug Allergy
238,Sufentanil,Drug Allergy
239,"Albumin Human, USP",Drug Allergy
240,Octreotide,Drug Allergy
241,Hyaluronic Acid,Drug Allergy
242,Halothane,Drug Allergy
243,Alphaprodine,Drug Allergy
244,Primidone,Drug Allergy
245,abacavir sulfate,Drug Allergy
246,Tiludronate,Drug Allergy
247,Hexachlorophene,Drug Allergy
248,Cephalothin,Drug Allergy
249,dihydrocodeine,Drug Allergy
250,Amantadine,Drug Allergy
251,Zanamivir,Drug Allergy
252,Fluvoxamine,Drug Allergy
253,"Ultralente Insulin, Beef-Pork",Drug Allergy
254,Primaquine Phosphate,Drug Allergy
255,Cyclandelate,Drug Allergy
256,CALCIUM LEVULINATE,Drug Allergy
257,Nalbuphine Hydrochloride,Drug Allergy
258,Indocyanine Green,Drug Allergy
259,Clopidogrel bisulfate,Drug Allergy
260,"NITROFURANTOIN, MACROCRYSTALS",Drug Allergy
261,caffeine citrate,Drug Allergy
262,Testolactone,Drug Allergy
263,Dutasteride,Drug Allergy
264,triamcinolone diacetate,Drug Allergy
265,ferric oxide,Drug Allergy
266,Cholestyramine Resin,Drug Allergy
267,glucomannan,Drug Allergy
268,Naloxone Hydrochloride,Drug Allergy
269,Cephapirin Sodium,Drug Allergy
270,"BCG, Live, Tice Strain",Tuberculosis
271,Aluminum carbonate,Drug Allergy
272,Mefloquine,Drug Allergy
273,Aminohippurate Sodium,Drug Allergy
274,Potassium Acetate,Drug Allergy
275,Enalapril,Drug Allergy
276,quinidine gluconate,Drug Allergy
277,Potassium gluconate,Drug Allergy
278,Aprotinin,Drug Allergy
279,gallium nitrate,Drug Allergy
280,Fluvastatin sodium,Drug Allergy
281,Isoproterenol Hydrochloride,Drug Allergy
282,Permethrin,Drug Allergy
283,Aloe Extract,Drug Allergy
284,Pentazocine,Drug Allergy
285,Fosinopril,Drug Allergy
286,Zinc Sulfate,Drug Allergy
287,remifentanil,Drug Allergy
288,Interferon Alfa-2a,Drug Allergy
289,Griseofulvin,Drug Allergy
290,Vincristine Sulfate,Drug Allergy
291,gemifloxacin mesylate,Drug Allergy
292,Kanamycin,Drug Allergy
293,Ergocalciferol,Hypercalcemia
294,Calcium Citrate,Hypercalcemia
295,trisodium citrate anhydrous,Kidney Diseases
296,Fluoxymesterone,Kidney Diseases
297,Ceftazidime,Drug Allergy
298,ovine digoxin immune fab,Drug Allergy
299,Naproxen,Drug Allergy
300,Protriptyline,Drug Allergy
301,Terazosin,Drug Allergy
302,Dalteparin Sodium,Drug Allergy
303,prednisolone acetate,Drug Allergy
304,tamsulosin,Drug Allergy
305,Caspofungin,Drug Allergy
306,Methysergide Maleate,Kidney Diseases
307,yohimbine,Kidney Diseases
308,Acetazolamide sodium,Kidney Diseases
309,Phenelzine,Kidney Diseases
310,Dextran 40,Bone Marrow Diseases
311,Methdilazine hydrochloride,Bone Marrow Diseases
312,propiomazine,Bone Marrow Diseases
313,Dextran 70,Bone Marrow Diseases
314,Trifluoperazine,Bone Marrow Diseases
315,Gold,Heart failure
316,ibritumomab tiuxetan,Drug Allergy
317,dibasic sodium phosphate heptahydrate,Drug Allergy
318,"Insulin, Regular, Pork",Drug Allergy
319,Buprenorphine hydrochloride,Drug Allergy
320,"antihemophilic factor, human",Drug Allergy
321,montelukast,Drug Allergy
322,Niacin,Drug Allergy
323,Gadopentetate Dimeglumine,Drug Allergy
324,cilostazol,Heart failure
325,carvedilol phosphate,Heart failure
326,Labetalol,Heart failure
327,Corticotropin,Heart failure
328,Mitoxantrone Hydrochloride,Heart failure
329,Doxorubicin Hydrochloride,Heart failure
330,Isocarboxazid,Hypertensive disease
331,Dextrothyroxine,Hypertensive disease
332,Anistreplase,Brain Neoplasms
333,butabarbital,Pregnancy
334,Chlordiazepoxide Hydrochloride,Pregnancy
335,Isotretinoin,Pregnancy
336,Secobarbital,Pregnancy
337,oxaliplatin,Pregnancy
338,Estrone,Pregnancy
339,Metoprolol Tartrate,Pregnancy
340,cyclothiazide,Pregnancy
341,acetyl sulfisoxazole,Pregnancy
342,Temazepam,Pregnancy
343,Cysteamine Hydrochloride,Pregnancy
344,cerivastatin,Pregnancy
345,Lorazepam,Pregnancy
346,Salsalate,Pregnancy
347,Prilocaine Hydrochloride,Child
348,Fluvastatin sodium,Liver Failure
349,cerivastatin,Liver Failure
350,Clindamycin,Liver Failure
351,Topotecan,Thrombocytopenia
352,Pipobroman,Thrombocytopenia
353,Topotecan Hydrochloride,Thrombocytopenia
354,Dextran 70,Thrombocytopenia
355,ardeparin sodium,Thrombocytopenia
356,Ganciclovir Sodium,Thrombocytopenia
357,fulvestrant,Thrombocytopenia
358,tinzaparin,Thrombocytopenia
359,Uracil Mustard,Thrombocytopenia
360,Enoxaparin,Thrombocytopenia
361,Daunorubicin,Thrombocytopenia
362,Doxorubicin Hydrochloride,Thrombocytopenia
363,heparin,Thrombocytopenia
364,Estramustine Phosphate Sodium,Thromboembolism
365,estropipate,Thromboembolism
366,norethindrone acetate,Thromboembolism
367,17-alpha-Hydroxyprogesterone,Thromboembolism
368,Divalproex Sodium,Liver Failure
369,Clindamycin palmitate hydrochloride,Liver Failure
370,Labetalol,Liver Failure
371,"GRISEOFULVIN, ULTRAMICROCRYSTALLINE",Liver Failure
372,Gemfibrozil,Liver Failure
373,Fentanyl,Liver Failure
374,Phenobarbital Sodium,Liver Failure
375,interferon alfacon-1,Acquired Immunodeficiency Syndrome
376,Phenobarbital Sodium,Pregnancy
377,Moexipril hydrochloride,Pregnancy
378,Follitropin Alfa,Pregnancy
379,leflunomide,Pregnancy
380,carvedilol,Pregnancy
381,propoxyphene napsylate,Pregnancy
382,Cytarabine liposome,Pregnancy
383,quazepam,Pregnancy
384,choriogonadotropin alfa,Pregnancy
385,Toremifene,Pregnancy
386,Streptomycin Sulfate,Pregnancy
387,Testosterone,Pregnancy
388,Mestranol,Pregnancy
389,nandrolone phenpropionate,Infant
390,Nalidixic Acid,Infant
391,Methylprednisolone Sodium Succinate,Infant
392,Sulfadoxine,Infant
393,Orphenadrine Hydrochloride,Infant
394,"NITROFURANTOIN, MACROCRYSTALS",Infant
395,ACETYLSALICYLATE SODIUM,Blood Coagulation Disorders
396,ACETYLSALICYLATE SODIUM,Nasal Polyps
397,naratriptan,Myocardial Infarction
398,Nortriptyline Hydrochloride,Myocardial Infarction
399,nicotine polacrilex,Myocardial Infarction
400,"Sodium Phosphate, Monobasic",Kidney Failure
401,brinzolamide,Kidney Failure
402,quinethazone,Kidney Failure
403,Metformin hydrochloride,Kidney Failure
404,Magnesium Chloride,Kidney Failure
405,dibasic sodium phosphate heptahydrate,Kidney Failure
406,magnesium carbonate,Kidney Failure
407,Potassium bitartrate,Kidney Failure
408,metaxalone,Kidney Failure
409,Hydrochlorothiazide,Kidney Failure
410,galantamine hydrobromide,Kidney Failure
411,magnesium trisilicate,Kidney Failure
412,Plicamycin,Hemorrhagic Disorders
413,Enoxaparin,Hemorrhagic Disorders
414,Glycopyrrolate,Hemorrhagic Disorders
415,Dalteparin Sodium,Hemorrhagic Disorders
416,tinzaparin,Hemorrhagic Disorders
417,Menadiol sodium phosphate,Hemorrhagic Disorders
418,Sodium estrone sulfate,Thromboembolism
419,Calcium Gluconate,Drug toxicity
420,Tacrine,Drug toxicity
421,Calcium Chloride,Drug toxicity
422,almotriptan,"Angina Pectoris, Variant"
423,naratriptan,"Angina Pectoris, Variant"
424,zolmitriptan,"Angina Pectoris, Variant"
425,Dicumarol,Pre-Eclampsia
426,doxycycline hyclate,"Child, Preschool"
427,tolterodine tartrate,Angle Closure Glaucoma
428,Diphenoxylate,"Child, Preschool"
429,difenoxin,"Child, Preschool"
430,tirofiban,Congenital arteriovenous malformation
431,somatrem,Brain Neoplasms
432,Pilocarpine,Angle Closure Glaucoma
433,Meprobamate,Angle Closure Glaucoma
434,Tripelennamine,Angle Closure Glaucoma
435,Racepinephrine Hydrochloride,Angle Closure Glaucoma
436,Isosorbide Mononitrate,Angle Closure Glaucoma
437,Clemastine,Angle Closure Glaucoma
438,Azithromycin Dihydrate,Liver diseases
439,Dinoprostone,Pregnancy
440,Stanozolol,Pregnancy
441,Oxazepam,Pregnancy
442,Dibucaine,Wounds and Injuries
443,Iodine,Vasculitis
444,Homatropine hydrobromide,Hemorrhage
445,valsartan,Pregnancy
446,Atorvastatin calcium,Pregnancy
447,Phenmetrazine Hydrochloride,Pregnancy
448,podophyllin,Pregnancy
449,Demeclocycline Hydrochloride,Pregnancy
450,Nortriptyline Hydrochloride,Pregnancy
451,Testosterone Propionate,Hemorrhage
452,Norgestrel,Hemorrhage
453,Streptokinase,Hemorrhage
454,Medroxyprogesterone,Hemorrhage
455,Ginseng Preparation,Blood Coagulation Disorders
456,oxaprozin,Blood Coagulation Disorders
457,Dextran 40,Blood Coagulation Disorders
458,Dextran 1,Blood Coagulation Disorders
459,Thiothixene hydrochloride,Blood Coagulation Disorders
460,gemifloxacin mesylate,Pregnancy
461,Alprostadil,Pregnancy
462,Chlorothiazide,Pregnancy
463,Doxycycline Calcium,Pregnancy
464,Tolbutamide,Pregnancy
465,Valproic Acid,Pregnancy
466,Testosterone Propionate,Pregnancy
467,Codeine sulfate,Pregnancy
468,Clopidogrel bisulfate,Blood Coagulation Disorders
469,Ticlopidine,Blood Coagulation Disorders
470,fluphenazine decanoate,Blood Coagulation Disorders
471,Trimetrexate,"Pregnancy Trimester, Third"
472,Sulfisoxazole Diolamine,"Pregnancy Trimester, Third"
473,Hydromorphone,Asthma
474,Pilocarpine Hydrochloride,Asthma
475,carbinoxamine,Hypertensive disease
476,Mestranol,Hypertensive disease
