,CUI1,CUI2
0,Autoimmune reaction,"SLE glomerulonephritis syndrome, WHO class VI"
1,Autoimmune reaction,Lung disease with systemic lupus erythematosus
2,Autoimmune reaction,Lupus hepatitis
3,Autoimmune reaction,Lupus Erythematosus
4,Autoimmune reaction,Drug-induced lupus erythematosus
5,Autoimmune reaction,"Lupus Erythematosus, Systemic"
6,Autoimmune reaction,Drug-induced lupus erythematosus due to procainamide
7,Autoimmune reaction,Limited lupus erythematosus
8,Autoimmune reaction,Systemic lupus erythematosus with organ/system involvement
9,Autoimmune reaction,"Panniculitis, Lupus Erythematosus"
10,Autoimmune reaction,Systemic lupus erythematosus with multisystem involvement
11,Autoimmune reaction,Autoimmune neonatal thrombocytopenia
12,Autoimmune reaction,Systemic lupus erythematosus with pericarditis
13,Autoimmune reaction,"SLE glomerulonephritis syndrome, WHO class IV"
14,Autoimmune reaction,Acute systemic lupus erythematosus
15,Autoimmune reaction,Fulminating systemic lupus erythematosus
16,Autoimmune reaction,Systemic lupus erythematosus of childhood
17,Autoimmune reaction,"SLE glomerulonephritis syndrome, WHO class II"
18,Autoimmune reaction,"SLE glomerulonephritis syndrome, WHO class V"
19,Autoimmune reaction,Libman-Sacks Disease
20,Autoimmune reaction,Drug-induced lupus erythematosus due to hydralazine
21,Autoimmune reaction,"Lupus Erythematosus, Systemic"
22,Autoimmune reaction,Drug-induced lupus erythematosus due to diphenylhydantoin
23,Autoimmune reaction,Lupus Nephritis
24,Autoimmune reaction,"SLE glomerulonephritis syndrome, WHO class I"
25,Autoimmune reaction,"SLE glomerulonephritis syndrome, WHO class III"
26,Autoimmune reaction,Lupus disease of the lung
27,Autoimmune reaction,Drug-induced lupus erythematosus
28,Autoimmune reaction,Systemic lupus erythematosus arthritis
29,Autoimmune reaction,Neonatal Systemic lupus erythematosus
30,INFECTIOUS PROCESS,Bacterial sepsis
31,INFECTIOUS PROCESS,Progressive rubella panencephalitis
32,INFECTIOUS PROCESS,Acute osteomyelitis of hand
33,INFECTIOUS PROCESS,Arthritis due to Pseudomonas
34,INFECTIOUS PROCESS,Disease due to Nairovirus
35,INFECTIOUS PROCESS,Herpetic infection of penis
36,INFECTIOUS PROCESS,Hemorrhagic Fever with Renal Syndrome
37,INFECTIOUS PROCESS,Chronic viral hepatitis
38,INFECTIOUS PROCESS,Tick-borne relapsing fever
39,INFECTIOUS PROCESS,Primary syphilis of tonsils
40,INFECTIOUS PROCESS,Suppurative tonsillitis
41,INFECTIOUS PROCESS,Enteric redmouth disease
42,INFECTIOUS PROCESS,Focal Infection
43,INFECTIOUS PROCESS,Aspergilloma
44,INFECTIOUS PROCESS,Furuncle of hand
45,INFECTIOUS PROCESS,Nonvenomous insect bite with infection
46,INFECTIOUS PROCESS,Herpes zoster with meningitis
47,INFECTIOUS PROCESS,Lupus Vulgaris
48,INFECTIOUS PROCESS,Septicemia
49,INFECTIOUS PROCESS,Infection due to diphtheroid bacteria
50,INFECTIOUS PROCESS,Human typhoid AND/OR paratyphoid fever
51,INFECTIOUS PROCESS,Chlamydia Infections
52,INFECTIOUS PROCESS,Poxviridae Infections
53,INFECTIOUS PROCESS,Paramyxoviridae Infections
54,INFECTIOUS PROCESS,Bunyaviridae Infections
55,INFECTIOUS PROCESS,Picornaviridae Infections
56,INFECTIOUS PROCESS,Reoviridae Infections
57,INFECTIOUS PROCESS,Retroviridae Infections
58,INFECTIOUS PROCESS,Disease of possible viral origin
59,INFECTIOUS PROCESS,Infectious disease due to plant
60,INFECTIOUS PROCESS,Infection due to chordate
61,INFECTIOUS PROCESS,Infection of amniotic cavity
62,INFECTIOUS PROCESS,Nonvenomous insect bite of face with infection
63,INFECTIOUS PROCESS,Mumps pancreatitis
64,INFECTIOUS PROCESS,Blister of scapular region with infection
65,INFECTIOUS PROCESS,Herpes zoster iridocyclitis
66,INFECTIOUS PROCESS,"Tuberculosis, Central Nervous System"
67,INFECTIOUS PROCESS,Morganella infection
68,INFECTIOUS PROCESS,Parainfluenza virus laryngotracheitis
69,INFECTIOUS PROCESS,"Skin Diseases, Infectious"
70,INFECTIOUS PROCESS,Candidiasis of vulva
71,INFECTIOUS PROCESS,Eperythrozoonosis
72,INFECTIOUS PROCESS,Intrauterine sepsis of fetus
73,INFECTIOUS PROCESS,Lymph Node Tuberculosis
