,CUI1,CUI2
0,Temporal context value,Conjunctival swab taken for virology
1,Temporal context value,Swab from nasopharynx taken for virology
2,Temporal context value,Prescription by herbalist
3,Temporal context value,Procedure on family member
4,Temporal context value,Specimen received
5,Temporal context value,parent education
6,Temporal context value,Conjunctival swab for virology received
7,Temporal context value,Nasopharyngeal swab for virology received
8,Current or past,Determination of pattern of resistance to antiviral agent not done
9,Current or specified,Lung adhesions freed
10,Current or specified,Family history of diabetes mellitus
11,Current or specified,FH: Gout
12,Current or specified,FH: Cholinesterase deficiency
13,Current or specified,FH: Hereditary spherocytosis
14,Current or specified,FH: Thalassemia
15,Current or specified,Family history of sickle cell anemia
16,Current or specified,FH: Sickle cell trait
17,Current or specified,FH: Senile dementia
18,Current or specified,Family history of Huntington's chorea
19,Current or specified,FH: Epilepsy
20,Current or specified,FH: Migraine
21,Current or specified,FH: Glaucoma
22,Current or specified,Family history: Occupational lung disease
23,Current or specified,FH: Rheumatoid arthritis
24,Current or specified,FH: Scleroderma
25,Current or specified,18 month examination not attended
26,Current or specified,2.5 year examination not attended
27,Current or specified,3.5 year examination not attended
28,Current or specified,4.5 year examination not attended
29,Current or specified,10 year examination not attended
30,Current or specified,Sensitivity contraindicated - immunization
31,Current or specified,Pertussis vaccine contraindicated
32,Current or specified,Dislocated jaw reduced
33,Current or specified,Drug declined by patient
34,Current or specified,Drug declined by patient - dislikes taste
35,Current or specified,Drug declined by patient - side effects
36,Current or specified,Drug declined by patient - inconvenient
37,Current or specified,Drug declined by patient - problem swallowing
38,Current or specified,Drug declined by patient - patient beliefs
39,Current or specified,Drug declined by patient - alternative therapy
40,Current or specified,Medication declined by patient - cannot pay script
41,Current or specified,Drug declined by patient - reason unknown
42,Current or specified,Contraindication to live immunization
43,Current or specified,Immunization contraindicated
44,Current or specified,FH: Blindness/low vision
45,Current or specified,Medical C/I - immunization
46,Current or specified,Dislocated hip reduced
47,Current or specified,Dislocated knee reduced
48,Current or specified,Dislocated toe reduced
49,Current or specified,Nystagmus absent
50,Current or specified,Meningism absent
51,Current or specified,Meningism present
52,Current or specified,FH: Stomach cancer
53,Current or specified,FH: Bowel cancer
54,Current or specified,FH: Bronchus cancer
55,Current or specified,Family history: Parkinsonism
56,Current or specified,FH: Angina
