,CUI1,CUI2
0,2 ML Adenosine 3 MG/ML Prefilled Syringe [Adenocard],Adenosine 3 MG/ML Prefilled Syringe [Adenocard]
1,4 ML Adenosine 3 MG/ML Prefilled Syringe [Adenocard],Adenosine 3 MG/ML Prefilled Syringe [Adenocard]
2,2 ML Adenosine 3 MG/ML Prefilled Syringe [Adenocard],Adenosine 3 MG/ML Prefilled Syringe [Adenocard]
3,4 ML Adenosine 3 MG/ML Prefilled Syringe [Adenocard],Adenosine 3 MG/ML Prefilled Syringe [Adenocard]
4,10 ML Etomidate 2 MG/ML Injection [Amidate],Amidate 2 MG/ML includes Injection & Prefilled Syringe
5,20 ML Etomidate 2 MG/ML Prefilled Syringe [Amidate],Amidate 2 MG/ML includes Injection & Prefilled Syringe
6,60 ACTUAT Fluticasone propionate 0.1 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler [Advair],Fluticasone propionate 0.1 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler [Advair]
7,60 ACTUAT Fluticasone propionate 0.5 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler [Advair],Fluticasone propionate 0.5 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler [Advair]
8,3 ML Amiodarone hydrochloride 50 MG/ML Injection,"Amiodarone hydrochloride 50 MG/ML includes Injectable Solution, Injection & Prefilled Syringe"
9,3 ML Amiodarone hydrochloride 50 MG/ML Prefilled Syringe,"Amiodarone hydrochloride 50 MG/ML includes Injectable Solution, Injection & Prefilled Syringe"
10,2 ML Ketorolac Tromethamine 30 MG/ML Prefilled Syringe,"Ketorolac Tromethamine 30 MG/ML includes Prefilled Syringe, Injection & Cartridge"
11,varenicline 1 MG Oral Tablet [Chantix],"Chantix 1 MG Oral Tablet includes Continuing Months of Therapy Pack, 56 Count"
12,2 ML Metoclopramide 5 MG/ML Injection,Metoclopramide 5 MG/ML Includes Injectable Solution & 2 ML Prefilled Syringe
