,CUI1,CUI2
0,Cytomegalovirus Infections,Ganciclovir
1,Cytomegalovirus Infections,"Immunoglobulins, Intravenous"
2,Bacterial Infections,Nitrofuran Antibacterial [EPC]
3,Rheumatism,Angelica sinensis preparation
4,Rheumatism,Prednisone
5,Rheumatism,Methylprednisolone
6,Malaria,Dihydrofolate Reductase Inhibitor Antimalarial
7,Malaria,Quinine Sulfate
8,Malaria,Atovaquone
9,Malaria,chloroquine phosphate
10,Hypersensitivity,Soy Proteins
11,Hypersensitivity,common sagebrush pollen extract
12,Hypersensitivity,Candida albicans allergenic extract
13,Hypersensitivity,cocoa butter
14,Hypersensitivity,Eurotium herbariorum allergenic extract
15,Hypersensitivity,wheat smut allergenic extract
16,Hypersensitivity,spiny pigweed pollen extract
17,Hypersensitivity,Kentucky bluegrass pollen extract
18,Hypersensitivity,June grass pollen extract
19,Hypersensitivity,Alternaria alternata allergenic extract
20,Hypersensitivity,Clove oil
21,Hypersensitivity,Aspergillus fumigatus allergenic extract
22,Bacterial Infections,Penicillin-class Antibacterial [EPC]
23,Virus Diseases,Ribavirin
24,Virus Diseases,Trifluridine
25,"Affective Disorders, Psychotic",Protriptyline Hydrochloride
26,"Affective Disorders, Psychotic",Protriptyline
27,"Affective Disorders, Psychotic",Desipramine
28,Depressive disorder,Citalopram
29,Depressive disorder,Sertraline Hydrochloride
30,Depressive disorder,Imipramine
31,Depressive disorder,buspirone hydrochloride
32,Depressive disorder,Lithium Carbonate
33,Depressive disorder,venlafaxine
34,Depressive disorder,Fluvoxamine Maleate
35,Depressive disorder,Tranylcypromine sulfate
36,Depressive disorder,Paroxetine Hydrochloride
37,Depressive disorder,Mirtazapine
38,Protozoan Infections,Macrolide Antimicrobial
39,Helicobacter Infections,Amoxicillin
40,Helicobacter Infections,Nizatidine
41,Helicobacter Infections,Omeprazole magnesium
42,Helicobacter Infections,Omeprazole
43,Helicobacter Infections,Tetracycline
44,Helicobacter Infections,Pantoprazole sodium
45,Helicobacter Infections,Clarithromycin
46,Influenza,peramivir
47,Bacterial Infections,Amphenicol-class Antibacterial [EPC]
48,Herpes Simplex Infections,Herpes Simplex Virus Pyrophosphate Analog DNA Polymerase Inhibitor
49,Herpes Simplex Infections,famciclovir
50,Herpes Simplex Infections,Methylene blue
51,Herpes Simplex Infections,Acyclovir Sodium
52,Parasitic Diseases,Antiparasitic [EPC]
53,Vomiting,Antiemetic [EPC]
54,Vomiting,Promazine Hydrochloride
55,Vomiting,Chlorcyclizine hydrochloride
56,Vomiting,Trimethobenzamide hydrochloride
57,Vomiting,dexamethasone acetate
58,Vomiting,Perphenazine
59,Vomiting,Ipecac
60,Angina Pectoris,Penbutolol Sulfate
61,Angina Pectoris,Nadolol
62,Angina Pectoris,Sulfinpyrazone
63,Angina Pectoris,Metoprolol Tartrate
64,Angina Pectoris,esmolol
65,Angina Pectoris,Labetalol
66,Angina Pectoris,Astragalus preparation
67,Lice Infestations,Permethrin
68,Lice Infestations,Pyrethrins
69,Bacterial Infections,Methylated Sulfonamide Antibacterial [EPC]
