,CUI1,CUI2
0,mitotic spindle pole body separation,negative regulation of mitotic spindle pole body separation
1,flocculation,negative regulation of flocculation
2,phosphorelay signal transduction system,negative regulation of phosphorelay signal transduction system
3,cell morphogenesis involved in differentiation,negative regulation of cell morphogenesis involved in differentiation
4,mitochondrial RNA catabolic process,negative regulation of mitochondrial RNA catabolic process
5,Gastric acid secretion,negative regulation of gastric acid secretion
6,epithelial to mesenchymal transition,negative regulation of epithelial to mesenchymal transition
7,blood vessel remodeling,negative regulation of blood vessel remodeling
8,respiratory burst involved in inflammatory response,negative regulation of respiratory burst involved in inflammatory response
9,UDP-glucose catabolic process,negative regulation of UDP-glucose catabolic process
10,protein ADP-ribosylation,negative regulation of protein ADP-ribosylation
11,N-terminal protein palmitoylation,negative regulation of N-terminal protein palmitoylation
12,Steroid biosynthesis,negative regulation of steroid biosynthetic process
13,ergosterol biosynthetic process,negative regulation of ergosterol biosynthetic process
14,heme biosynthetic process,negative regulation of heme biosynthetic process
15,sodium ion transport,negative regulation of sodium ion transport
16,iron transport,negative regulation of iron ion transport
17,Activation-induced cell death of T cells,negative regulation of activation-induced cell death of T cells
18,organelle organization,negative regulation of organelle organization
19,mitochondrion organization,negative regulation of mitochondrion organization
20,Cell Communication,negative regulation of cell communication
21,nitric oxide mediated signal transduction,negative regulation of nitric oxide mediated signal transduction
22,Mitochondrial Fusion,negative regulation of mitochondrial fusion
23,acetylcholine metabolic process,negative regulation of acetylcholine metabolic process
24,auxin-activated signaling pathway,negative regulation of auxin mediated signaling pathway
25,cytokinin-activated signaling pathway,negative regulation of cytokinin-activated signaling pathway
26,Gene Expression,negative regulation of gene expression
27,epithelial cell migration,negative regulation of epithelial cell migration
28,cell communication by chemical coupling,negative regulation of cell communication by chemical coupling
29,cell communication by electrical coupling,negative regulation of cell communication by electrical coupling
30,muscle cell apoptotic process,negative regulation of muscle cell apoptotic process
31,striated muscle cell apoptotic process,negative regulation of striated muscle cell apoptotic process
32,cardiac muscle cell apoptotic process,negative regulation of cardiac muscle cell apoptotic process
33,protein glutathionylation,negative regulation of protein glutathionylation
34,macrophage derived foam cell differentiation,negative regulation of macrophage derived foam cell differentiation
35,fibroblast migration,negative regulation of fibroblast migration
36,cholesterol storage,negative regulation of cholesterol storage
37,macrophage cytokine production,negative regulation of macrophage cytokine production
38,Glial Cell Proliferation,negative regulation of glial cell proliferation
39,Schwann cell proliferation,negative regulation of Schwann cell proliferation
40,cardiac muscle adaptation,negative regulation of cardiac muscle adaptation
41,myotube differentiation,negative regulation of myotube differentiation
42,long-chain fatty acid import across plasma membrane,negative regulation of long-chain fatty acid import across plasma membrane
43,synaptic vesicle priming,negative regulation of synaptic vesicle priming
44,peptidyl-threonine phosphorylation,negative regulation of peptidyl-threonine phosphorylation
45,triglyceride biosynthetic process,negative regulation of triglyceride biosynthetic process
46,triglyceride catabolic process,negative regulation of triglyceride catabolic process
47,lipid storage,negative regulation of lipid storage
48,cAMP-mediated signaling,negative regulation of cAMP-mediated signaling
49,cGMP-mediated signaling,negative regulation of cGMP-mediated signaling
50,Digestive System Processes,negative regulation of digestive system process
51,extracellular matrix disassembly,negative regulation of extracellular matrix disassembly
52,lamellipodium assembly,negative regulation of lamellipodium assembly
53,ascospore formation,negative regulation of ascospore formation
54,filamentous growth,negative regulation of filamentous growth
55,collagen catabolic process,negative regulation of collagen catabolic process
56,Ovulation,negative regulation of ovulation
57,sequestering of triglyceride,negative regulation of sequestering of triglyceride
58,stress-activated protein kinase signaling cascade,negative regulation of stress-activated protein kinase signaling cascade
59,Physiologic calcification,negative regulation of biomineral tissue development
60,cell-substrate adhesion,negative regulation of cell-substrate adhesion
61,plasminogen activation,negative regulation of plasminogen activation
62,signal transduction involved in positive regulation of conjugation with cellular fusion,negative regulation of signal transduction involved in conjugation with cellular fusion
63,mitochondrial translation,negative regulation of mitochondrial translation
64,receptor biosynthetic process,negative regulation of receptor biosynthetic process
65,inositol phosphate biosynthetic process,negative regulation of inositol phosphate biosynthetic process
66,collagen metabolic process,negative regulation of collagen metabolic process
67,tumor necrosis factor-mediated signaling pathway,negative regulation of tumor necrosis factor-mediated signaling pathway
68,cytoplasmic mRNA processing body assembly,negative regulation of cytoplasmic mRNA processing body assembly
69,ion transmembrane transport,negative regulation of ion transmembrane transport
70,basidiospore formation,negative regulation of basidiospore formation
71,zygospore formation,negative regulation of zygospore formation
72,sporangiospore formation,negative regulation of sporangiospore formation
73,response to interferon-gamma,negative regulation of response to interferon-gamma
74,very-low-density lipoprotein particle remodeling,negative regulation of very-low-density lipoprotein particle remodeling
75,smooth muscle cell apoptotic process,negative regulation of smooth muscle cell apoptotic process
76,plasma lipoprotein particle oxidation,negative regulation of plasma lipoprotein oxidation
77,very-low-density lipoprotein particle clearance,negative regulation of very-low-density lipoprotein particle clearance
78,Tooth Calcification,negative regulation of tooth mineralization
79,phosphatidylcholine catabolic process,negative regulation of phosphatidylcholine catabolic process
80,iron ion transmembrane transport,negative regulation of iron ion transmembrane transport
81,histone H4-K20 methylation,negative regulation of histone H4-K20 methylation
82,lipoprotein oxidation,negative regulation of lipoprotein oxidation
83,hydrogen peroxide metabolic process,negative regulation of hydrogen peroxide metabolic process
84,Penile Erection,negative regulation of penile erection
85,hindgut contraction,negative regulation of hindgut contraction
86,macromolecule metabolic process,negative regulation of macromolecule metabolic process
87,endothelial cell migration,negative regulation of endothelial cell migration
88,sporangium development,negative regulation of sporangium development
89,keratinocyte proliferation,negative regulation of keratinocyte proliferation
90,sporulation,negative regulation of sporulation
91,sexual sporulation resulting in formation of a cellular spore,negative regulation of sexual sporulation resulting in formation of a cellular spore
92,asexual sporulation resulting in formation of a cellular spore,negative regulation of asexual sporulation resulting in formation of a cellular spore
93,cellular carbohydrate metabolic process,negative regulation of cellular carbohydrate metabolic process
94,G0 to G1 transition,Negative Regulation of G0 to G1 Transition
95,sarcomere organization,negative regulation of sarcomere organization
96,Respiratory Burst,negative regulation of respiratory burst
97,platelet-derived growth factor receptor signaling pathway,negative regulation of platelet-derived growth factor receptor signaling pathway
98,norepinephrine secretion,negative regulation of norepinephrine secretion
99,macrophage chemotaxis,negative regulation of macrophage chemotaxis
100,conidium formation,negative regulation of conidium formation
101,Cell development,negative regulation of cell development
102,oocyte development,negative regulation of oocyte development
103,hydrogen peroxide biosynthetic process,negative regulation of hydrogen peroxide biosynthetic process
104,centrosome duplication,negative regulation of centrosome duplication
105,intracellular pH reduction,negative regulation of cellular pH reduction
106,multi-organism process,negative regulation of multi-organism process
107,formation by symbiont of haustorium for nutrient acquisition from host,negative regulation of formation by symbiont of haustorium for nutrient acquisition from host
108,Transmembrane Transport,negative regulation of transmembrane transport
109,Cardiac Muscle Contraction,negative regulation of cardiac muscle contraction
110,elastin catabolic process,negative regulation of elastin catabolic process
111,interferon-gamma-mediated signaling pathway,negative regulation of interferon-gamma-mediated signaling pathway
112,type I interferon signaling pathway,negative regulation of type I interferon-mediated signaling pathway
113,cell adhesion molecule production,negative regulation of cell adhesion molecule production
114,mast cell differentiation,negative regulation of mast cell differentiation
115,pathway-restricted SMAD protein phosphorylation,negative regulation of pathway-restricted SMAD protein phosphorylation
116,growth hormone receptor signaling pathway,negative regulation of growth hormone receptor signaling pathway
117,calcium ion transport into cytosol,negative regulation of calcium ion transport into cytosol
118,axonemal microtubule depolymerization,negative regulation of axonemal microtubule depolymerization
119,glucagon secretion,negative regulation of glucagon secretion
120,chemokine-mediated signaling pathway,negative regulation of chemokine-mediated signaling pathway
121,interleukin-6-mediated signaling pathway,negative regulation of interleukin-6-mediated signaling pathway
122,interleukin-27-mediated signaling pathway,negative regulation of interleukin-27-mediated signaling pathway
123,mitochondrial translational initiation,negative regulation of mitochondrial translational initiation
124,adiponectin secretion,negative regulation of adiponectin secretion
125,enamel mineralization,negative regulation of enamel mineralization
126,Lymphocyte Apoptotic Process,Negative Regulation of Lymphocyte Apoptotic Process
127,T cell apoptotic process,negative regulation of T cell apoptotic process
128,activated T cell autonomous cell death,negative regulation of activated T cell autonomous cell death
129,thymocyte apoptotic process,negative regulation of thymocyte apoptotic process
130,natural killer cell apoptotic process,negative regulation of natural killer cell apoptotic process
131,mucus secretion,negative regulation of mucus secretion
132,fat cell proliferation,negative regulation of fat cell proliferation
133,brown fat cell proliferation,negative regulation of brown fat cell proliferation
134,white fat cell proliferation,negative regulation of white fat cell proliferation
135,hepatocyte differentiation,negative regulation of hepatocyte differentiation
136,ERK1 and ERK2 cascade,negative regulation of ERK1 and ERK2 cascade
137,ERK5 cascade,negative regulation of ERK5 cascade
138,nucleotide-binding oligomerization domain containing signaling pathway,negative regulation of nucleotide-binding oligomerization domain containing signaling pathway
139,nucleotide-binding oligomerization domain containing 1 signaling pathway,negative regulation of nucleotide-binding oligomerization domain containing 1 signaling pathway
140,nucleotide-binding oligomerization domain containing 2 signaling pathway,negative regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway
141,oligodendrocyte progenitor proliferation,negative regulation of oligodendrocyte progenitor proliferation
142,Uterine Contraction,negative regulation of uterine smooth muscle contraction
143,thrombin-activated receptor signaling pathway,negative regulation of thrombin-activated receptor signaling pathway
144,spore germination on or near host,negative regulation of spore germination on or near host
145,germ tube formation on or near host,negative regulation of germ tube formation on or near host
146,appressorium formation on or near host,negative regulation of appressorium formation on or near host
147,initiation of appressorium on or near host,negative regulation of appressorium initiation on or near host
148,formation of symbiont germ tube hook structure on or near host,negative regulation of symbiont germ tube hook structure formation on or near host
149,maturation of appressorium on or near host,negative regulation of appressorium maturation on or near host
150,establishment of turgor in appressorium,negative regulation of establishment of turgor in appressorium
151,cell wall strengthening in symbiont involved in entry into host,negative regulation of symbiont cell wall strengthening involved in entry into host
152,formation of symbiont penetration peg for entry into host,negative regulation of symbiont penetration peg formation for entry into host
153,initiation of symbiont penetration peg,negative regulation of symbiont penetration peg initiation
154,formation of symbiont invasive hypha in host,negative regulation of symbiont invasive hypha formation in host
155,infection cushion formation on or near host,negative regulation of infection cushion formation on or near host
156,hyphopodium formation on or near host,negative regulation of hyphopodium formation on or near host
157,haustorium mother cell formation on or near host,negative regulation of haustorium mother cell formation on or near host
158,formation of symbiont haustorium neck for entry into host,negative regulation of symbiont haustorium neck formation for entry into host
159,formation of symbiont penetration hypha for entry into host,negative regulation of symbiont penetration hypha formation for entry into host
160,spore encystment on host,negative regulation of spore encystment on host
161,zoospore encystment on host,negative regulation of zoospore encystment on host
162,sporangium germination on or near host,negative regulation of sporangium germination on or near host
163,encysted zoospore germination on or near host,negative regulation of encysted zoospore germination on or near host
164,spore movement on or near host,negative regulation of spore movement on or near host
165,zoospore movement on or near host,negative regulation of zoospore movement on or near host
166,zoospore formation,negative regulation of zoospore formation
167,oospore formation,negative regulation of oospore formation
168,aeciospore formation,negative regulation of aeciospore formation
169,uredospore formation,negative regulation of uredospore formation
170,teliospore formation,negative regulation of teliospore formation
171,spore-bearing structure development,negative regulation of spore-bearing organ development
172,oogonium development,negative regulation of oogonium development
173,aecium development,negative regulation of aecium development
174,zygosporangium development,negative regulation of zygosporangium development
175,telium development,negative regulation of telium development
176,uredinium development,negative regulation of uredinium development
177,aplanospore formation,negative regulation of aplanospore formation
178,basidium development,negative regulation of basidium development
179,ascus development,negative regulation of ascus development
180,oomycete sporangium development,negative regulation of oomycete sporangium development
181,formation by symbiont of arbuscule for nutrient acquisition from host,negative regulation of arbuscule formation for nutrient acquisition from host
182,G2/M transition of mitotic cell cycle,negative regulation of G2/M transition of mitotic cell cycle
183,Mitochondrial Fission,negative regulation of mitochondrial fission
184,meiotic joint molecule formation,negative regulation of meiotic joint molecule formation
185,pheromone-dependent signal transduction involved in conjugation with cellular fusion,negative regulation of pheromone-dependent signal transduction involved in conjugation with cellular fusion
186,division septum assembly,negative regulation of division septum assembly
187,metanephros development,negative regulation of metanephros development
188,branching involved in ureteric bud morphogenesis,negative regulation of branching involved in ureteric bud morphogenesis
189,kidney development,negative regulation of kidney development
190,release of cytochrome c from mitochondria,negative regulation of release of cytochrome c from mitochondria
191,cell migration involved in sprouting angiogenesis,negative regulation of cell migration involved in sprouting angiogenesis
192,nematode larval development,negative regulation of nematode larval development
193,thyroid hormone mediated signaling pathway,negative regulation of thyroid hormone mediated signaling pathway
194,osteoclast proliferation,negative regulation of osteoclast proliferation
195,Monocyte chemotaxis,negative regulation of monocyte chemotaxis
196,mast cell chemotaxis,negative regulation of mast cell chemotaxis
197,cell proliferation involved in heart valve morphogenesis,negative regulation of cell proliferation involved in heart valve morphogenesis
198,cardiac muscle hypertrophy,negative regulation of cardiac muscle hypertrophy
199,Wnt signaling pathway involved in heart development,negative regulation of Wnt signaling pathway involved in heart development
200,mesenchymal to epithelial transition involved in metanephros morphogenesis,negative regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis
201,cilium movement,negative regulation of cilium movement
202,neural retina development,negative regulation of neural retina development
203,glycogen metabolic process,negative regulation of glycogen metabolic process
204,(1->3)-beta-D-glucan biosynthetic process,negative regulation of (1->3)-beta-D-glucan biosynthetic process
205,mitochondrial DNA replication,negative regulation of mitochondrial DNA replication
206,"DNA-templated transcription, termination","negative regulation of DNA-templated transcription, termination"
207,transcription initiation from RNA polymerase II promoter,negative regulation of transcription initiation from RNA polymerase II promoter
208,Triglyceride Metabolism,negative regulation of triglyceride metabolic process
209,Bile Acid Biosynthesis Pathway,negative regulation of bile acid biosynthetic process
210,zinc ion transport,negative regulation of zinc ion transport
