,CUI1,CUI2
0,Operative procedure on arteriovenous fistula,Pseudoaneurysm of surgical arteriovenous fistula
1,Injury of testis,Late effect of injury of testicle
2,Cholecystectomy procedure,Postcholecystectomy bile peritonitis
3,Operative Surgical Procedures,Postoperative tethered cord syndrome
4,Operative Surgical Procedures,Postoperative aspiration pneumonia
5,Operative Surgical Procedures,Acute postoperative renal failure
6,Operative Surgical Procedures,Postsurgical lymphedema
7,Procedure involving peritoneal dialysis catheter,Malposition of peritoneal dialysis catheter
8,Procedure involving peritoneal dialysis catheter,Obstruction of peritoneal dialysis catheter by fibrin formation
9,Insertion of tympanic ventilation tube in tympanic membrane,Complication of retained tympanic ventilation tube
10,Gastrectomy,Postgastrectomy phytobezoar
11,Craniocerebral Trauma,Posttraumatic seizure
12,Cerebrovascular accident,Monoplegia of dominant lower limb as a late effect of cerebrovascular accident
13,Cerebrovascular accident,Monoplegia of dominant upper limb as a late effect of cerebrovascular accident
14,Cerebrovascular accident,Monoplegia of nondominant lower limb as a late effect of cerebrovascular accident
15,Cerebrovascular accident,Speech and language deficit as late effect of cerebrovascular accident
16,Cerebrovascular accident,Monoplegia of nondominant upper limb as a late effect of cerebrovascular accident
17,Cerebrovascular accident,Residual cognitive deficit as late effect of cerebrovascular accident
18,Cerebrovascular accident,Aphasia as late effect of cerebrovascular accident
19,Cerebrovascular accident,Hemiplegia as late effect of cerebrovascular accident
20,Injury of testis,Pain in testicle as late effect of injury to testicle
21,"Syphilis, Congenital",Syphilitic saddle nose
22,Operative Surgical Procedures,Infected seroma after surgical procedure
23,Poliomyelitis,Osteopathy from poliomyelitis
24,Poliomyelitis,Osteopathy from poliomyelitis
25,Poliomyelitis,Poliomyelitis osteopathy of the shoulder region
26,Poliomyelitis,Poliomyelitis osteopathy of the upper arm
27,Poliomyelitis,Poliomyelitis osteopathy of the forearm
28,Poliomyelitis,Poliomyelitis osteopathy of the hand
29,Poliomyelitis,Poliomyelitis osteopathy of the pelvic region and/or thigh
30,Poliomyelitis,Poliomyelitis osteopathy of the lower leg
31,Poliomyelitis,Poliomyelitis osteopathy of the ankle and/or foot
32,Poliomyelitis,"Osteopathy resulting from poliomyelitis, other specified sites"
33,Poliomyelitis,Poliomyelitis osteopathy of multiple sites
34,Poliomyelitis,Osteopathy from poliomyelitis
35,Communicable Diseases,Shunt nephritis
36,"Arthroplasty, Replacement, Shoulder",Infection of total shoulder joint prosthesis
37,"Arthroplasty, Replacement",Wear of articular bearing surface of prosthetic joint
38,Cerebrovascular Disorders,Dysphasia as late effect of cerebrovascular disease
39,Cerebrovascular Disorders,Aphasia as late effect of cerebrovascular disease
40,Cerebrovascular Disorders,Sensory disorder as a late effect of cerebrovascular disease
41,Cerebrovascular Disorders,Abnormal vision as a late effect of cerebrovascular disease
42,Cerebrovascular Disorders,Monoplegia of lower limb as late effect of cerebrovascular disease
43,Cerebrovascular Disorders,Hemiparesis as late effect of cerebrovascular accident
44,Cerebrovascular Disorders,Hemiplegia as late effect of cerebrovascular disease
