,CUI1,CUI2
0,mitotic spindle pole body separation,positive regulation of mitotic spindle pole body separation
1,phosphorelay signal transduction system,positive regulation of phosphorelay signal transduction system
2,cell morphogenesis involved in differentiation,positive regulation of cell morphogenesis involved in differentiation
3,mitochondrial RNA catabolic process,positive regulation of mitochondrial RNA catabolic process
4,Gastric acid secretion,positive regulation of gastric acid secretion
5,epithelial to mesenchymal transition,positive regulation of epithelial to mesenchymal transition
6,Fc receptor mediated stimulatory signaling pathway,positive regulation of Fc receptor mediated stimulatory signaling pathway
7,respiratory burst involved in inflammatory response,positive regulation of respiratory burst involved in inflammatory response
8,glucose metabolism,positive regulation of glucose metabolic process
9,transcription initiation from RNA polymerase II promoter,positive regulation of transcription initiation from RNA polymerase II promoter
10,Steroid biosynthesis,positive regulation of steroid biosynthetic process
11,ergosterol biosynthetic process,positive regulation of ergosterol biosynthetic process
12,heme biosynthetic process,positive regulation of heme biosynthetic process
13,sodium ion transport,positive regulation of sodium ion transport
14,iron transport,positive regulation of iron ion transport
15,Activation-induced cell death of T cells,positive regulation of activation-induced cell death of T cells
16,organelle organization,positive regulation of organelle organization
17,mitochondrion organization,positive regulation of mitochondrion organization
18,Meiotic Recombination,positive regulation of reciprocal meiotic recombination
19,Cell Communication,positive regulation of cell communication
20,nitric oxide mediated signal transduction,positive regulation of nitric oxide mediated signal transduction
21,Mitochondrial Fusion,positive regulation of mitochondrial fusion
22,acetylcholine metabolic process,positive regulation of acetylcholine metabolic process
23,auxin-activated signaling pathway,positive regulation of auxin mediated signaling pathway
24,cytokinin-activated signaling pathway,positive regulation of cytokinin-activated signaling pathway
25,auxin biosynthetic process,positive regulation of auxin biosynthetic process
26,Gene Expression,positive regulation of gene expression
27,vascular endothelial growth factor production,positive regulation of vascular endothelial growth factor production
28,epithelial cell migration,positive regulation of epithelial cell migration
29,cell communication by chemical coupling,positive regulation of cell communication by chemical coupling
30,cell communication by electrical coupling,positive regulation of cell communication by electrical coupling
31,muscle cell apoptotic process,positive regulation of muscle cell apoptotic process
