,CUI1,CUI2
0,mitotic spindle pole body separation,regulation of mitotic spindle pole body separation
1,flocculation,regulation of flocculation
2,phosphorelay signal transduction system,regulation of phosphorelay signal transduction system
3,microtubule cytoskeleton organization,regulation of microtubule cytoskeleton organization
4,double-strand break repair via homologous recombination,regulation of double-strand break repair via homologous recombination
5,cell morphogenesis involved in differentiation,regulation of cell morphogenesis involved in differentiation
6,septum digestion after cytokinesis,regulation of septum digestion after cytokinesis
7,mitochondrial RNA catabolic process,regulation of mitochondrial RNA catabolic process
8,Gastric acid secretion,regulation of gastric acid secretion
9,epithelial to mesenchymal transition,regulation of epithelial to mesenchymal transition
10,blood vessel remodeling,regulation of blood vessel remodeling
11,Fc receptor mediated stimulatory signaling pathway,regulation of Fc receptor mediated stimulatory signaling pathway
12,respiratory burst involved in inflammatory response,regulation of respiratory burst involved in inflammatory response
13,system process,regulation of system process
14,respiratory gaseous exchange in organisms,regulation of respiratory system process
15,glucose metabolism,regulation of glucose metabolic process
16,UDP-glucose catabolic process,regulation of UDP-glucose catabolic process
17,DNA Methylation,DNA Methylation Regulation
18,transcription initiation from RNA polymerase II promoter,regulation of transcription initiation from RNA polymerase II promoter
19,mRNA export from nucleus,regulation of mRNA export from nucleus
20,protein ADP-ribosylation,regulation of protein ADP-ribosylation
21,N-terminal protein palmitoylation,regulation of N-terminal protein palmitoylation
22,Ubiquinone Biosynthesis Pathway,regulation of ubiquinone biosynthetic process
23,heme biosynthetic process,regulation of heme biosynthetic process
24,anion transport,regulation of anion transport
25,iron transport,regulation of iron ion transport
26,Activation-induced cell death of T cells,regulation of activation-induced cell death of T cells
27,mitochondrion organization,regulation of mitochondrion organization
28,mitotic spindle organization,regulation of mitotic spindle organization
29,budding cell apical bud growth,regulation of budding cell apical bud growth
30,Cell Communication,regulation of cell communication
31,nitric oxide mediated signal transduction,regulation of nitric oxide mediated signal transduction
32,Excretory function,regulation of excretion
33,Feeding behaviors,regulation of feeding behavior
34,Mitochondrial Fusion,regulation of mitochondrial fusion
35,Cell Death,Regulation of Cell Death Process
36,acetylcholine metabolic process,regulation of acetylcholine metabolic process
37,fungal-type cell wall biogenesis,regulation of fungal-type cell wall biogenesis
38,auxin-activated signaling pathway,regulation of auxin mediated signaling pathway
39,cytokinin-activated signaling pathway,regulation of cytokinin-activated signaling pathway
40,auxin biosynthetic process,regulation of auxin biosynthetic process
41,vascular endothelial growth factor production,regulation of vascular endothelial growth factor production
42,epithelial cell migration,regulation of epithelial cell migration
43,cell communication by chemical coupling,regulation of cell communication by chemical coupling
44,cell communication by electrical coupling,regulation of cell communication by electrical coupling
45,muscle cell apoptotic process,regulation of muscle cell apoptotic process
46,striated muscle cell apoptotic process,regulation of striated muscle cell apoptotic process
47,cardiac muscle cell apoptotic process,regulation of cardiac muscle cell apoptotic process
48,protein glutathionylation,regulation of protein glutathionylation
49,protein kinase A signaling,regulation of protein kinase A signaling
50,macrophage derived foam cell differentiation,regulation of macrophage derived foam cell differentiation
51,fibroblast migration,regulation of fibroblast migration
52,T cell chemotaxis,regulation of T cell chemotaxis
53,cholesterol storage,regulation of cholesterol storage
54,macrophage tolerance induction,regulation of macrophage tolerance induction
55,macrophage cytokine production,regulation of macrophage cytokine production
56,cytoplasmic microtubule depolymerization,regulation of cytoplasmic microtubule depolymerization
57,Glial Cell Proliferation,regulation of glial cell proliferation
58,Schwann cell proliferation,regulation of Schwann cell proliferation
59,release of sequestered calcium ion into cytosol by sarcoplasmic reticulum,regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum
60,cardiac muscle adaptation,regulation of cardiac muscle adaptation
61,myotube differentiation,regulation of myotube differentiation
62,heparan sulfate proteoglycan biosynthetic process,regulation of heparan sulfate proteoglycan biosynthetic process
63,long-chain fatty acid import across plasma membrane,regulation of long-chain fatty acid import across plasma membrane
64,coenzyme A biosynthetic process,regulation of coenzyme A biosynthetic process
65,synaptic vesicle priming,regulation of synaptic vesicle priming
66,peptidyl-threonine phosphorylation,regulation of peptidyl-threonine phosphorylation
67,1-aminocyclopropane-1-carboxylate metabolic process,regulation of 1-aminocyclopropane-1-carboxylate metabolic process
68,starch biosynthetic process,regulation of starch biosynthetic process
69,dolichol biosynthetic process,regulation of dolichol biosynthetic process
70,triglyceride biosynthetic process,regulation of triglyceride biosynthetic process
71,triglyceride catabolic process,regulation of triglyceride catabolic process
72,lipid storage,regulation of lipid storage
73,cAMP-mediated signaling,regulation of cAMP-mediated signaling
74,cGMP-mediated signaling,regulation of cGMP-mediated signaling
75,Digestive System Processes,regulation of digestive system process
76,DNA strand elongation,regulation of DNA strand elongation
77,extracellular matrix disassembly,regulation of extracellular matrix disassembly
78,lamellipodium assembly,regulation of lamellipodium assembly
79,filamentous growth,regulation of filamentous growth
80,collagen catabolic process,regulation of collagen catabolic process
81,Ovulation,regulation of ovulation
82,sequestering of triglyceride,regulation of sequestering of triglyceride
83,stress-activated protein kinase signaling cascade,regulation of stress-activated protein kinase signaling cascade
84,Physiologic calcification,regulation of biomineral tissue development
85,Chromatin Modeling,regulation of chromatin assembly
86,Chromatin Disassembly,regulation of chromatin disassembly
87,fungal-type cell wall organization,regulation of fungal-type cell wall organization
88,cell-substrate adhesion,regulation of cell-substrate adhesion
89,plasminogen activation,regulation of plasminogen activation
90,signal transduction involved in positive regulation of conjugation with cellular fusion,regulation of signal transduction involved in conjugation with cellular fusion
91,mitochondrial translation,regulation of mitochondrial translation
92,receptor biosynthetic process,regulation of receptor biosynthetic process
93,inositol phosphate biosynthetic process,regulation of inositol phosphate biosynthetic process
94,collagen metabolic process,regulation of collagen metabolic process
95,tumor necrosis factor-mediated signaling pathway,regulation of tumor necrosis factor-mediated signaling pathway
96,cholesterol efflux,regulation of cholesterol efflux
97,cytoplasmic mRNA processing body assembly,regulation of cytoplasmic mRNA processing body assembly
98,ion transmembrane transport,regulation of ion transmembrane transport
99,basidiospore formation,regulation of basidiospore formation
100,zygospore formation,regulation of zygospore formation
101,sporangiospore formation,regulation of sporangiospore formation
102,response to interferon-gamma,regulation of response to interferon-gamma
103,very-low-density lipoprotein particle remodeling,regulation of very-low-density lipoprotein particle remodeling
104,smooth muscle cell apoptotic process,regulation of smooth muscle cell apoptotic process
105,cholesterol esterification,regulation of cholesterol esterification
106,plasma lipoprotein particle oxidation,regulation of plasma lipoprotein oxidation
107,very-low-density lipoprotein particle clearance,regulation of very-low-density lipoprotein particle clearance
108,Tooth Calcification,regulation of tooth mineralization
109,phosphatidylcholine catabolic process,regulation of phosphatidylcholine catabolic process
110,iron ion transmembrane transport,regulation of iron ion transmembrane transport
111,histone H4-K20 methylation,regulation of histone H4-K20 methylation
112,lipoprotein oxidation,regulation of lipoprotein oxidation
113,"circadian sleep/wake cycle, wakefulness","regulation of circadian sleep/wake cycle, wakefulness"
114,Penile Erection,regulation of penile erection
115,macromolecule metabolic process,regulation of macromolecule metabolic process
116,endothelial cell migration,regulation of endothelial cell migration
117,sporangium development,regulation of sporangium development
118,keratinocyte proliferation,regulation of keratinocyte proliferation
119,sporulation,regulation of sporulation
120,sexual sporulation resulting in formation of a cellular spore,regulation of sexual sporulation resulting in formation of a cellular spore
121,asexual sporulation resulting in formation of a cellular spore,regulation of asexual sporulation resulting in formation of a cellular spore
122,cellular component biogenesis,regulation of cellular component biogenesis
123,cellular carbohydrate metabolic process,regulation of cellular carbohydrate metabolic process
124,symbiont process,"regulation of symbiosis, encompassing mutualism through parasitism"
125,G0 to G1 transition,regulation of G0 to G1 transition
126,establishment of protein localization,regulation of establishment of protein localization
127,sarcomere organization,regulation of sarcomere organization
128,sterigmatocystin biosynthetic process,regulation of sterigmatocystin biosynthetic process
129,Respiratory Burst,regulation of respiratory burst
