,CUI1,CUI2
0,Alzheimer's Caregivers,Caregiver
1,Alzheimer's Caregivers,Alzheimer's Disease
2,Ankle Injuries and Disorders,Leg Injuries and Disorders
3,Ankle Injuries and Disorders,Foot Injuries and Disorders
4,Ankle Injuries and Disorders,Sprains and Strains
5,Ankle Injuries and Disorders,Athletic Injuries
6,Ankle Injuries and Disorders,Arthropathy
7,Ankle Injuries and Disorders,Fracture
8,Ankle Injuries and Disorders,Difficulty walking
9,Tinea Pedis,Foot Health
10,Tinea Pedis,Mycoses
11,Tinea Pedis,Tinea
12,Vitamin B Complex,Anemia
13,Vitamin B Complex,Folic Acid
14,Vitamin B Complex,Vitamins
15,Behcet Syndrome,Vasculitis
16,Contraceptive methods,Vasectomy
17,Contraceptive methods,Pregnancy in Adolescence
18,Contraceptive methods,Pregnancy
19,Contraceptive methods,Tubal Ligation
20,Contraceptive methods,Teen Sexual Health
21,Bleeding tendency,Hematological Disease
22,Bleeding tendency,Blood Platelet Disorders
23,Bleeding tendency,Blood
24,Bleeding tendency,"Hemophilia, NOS"
25,Bleeding tendency,Blood Clot
26,Bleeding tendency,Anticoagulants
27,Bleeding tendency,Hemorrhage
28,Bone Density,Bone Diseases
29,Bone Density,Osteoporosis
30,Bone Density,Fracture
31,Botox,Botulism
32,Botox,Skin Aging
33,Botox,Cosmetic Plastic Surgery
34,Botulism,Botox
35,Botulism,Food Safety
36,Botulism,Bacterial Infections
37,Botulism,Foodborne Disease
38,Botulism,Biodefense and Bioterrorism
39,Defecation,Anus Diseases
40,Defecation,Fecal Incontinence
41,Defecation,Constipation
42,Defecation,Rectal Diseases
43,Defecation,Diarrhea
44,Congenital anomaly of brain,Hereditary Diseases
45,Congenital anomaly of brain,Cerebellar Diseases
46,Congenital anomaly of brain,Hydrocephalus
47,Congenital anomaly of brain,Neural Tube Defects
48,Congenital anomaly of brain,Congenital defects
49,Congenital anomaly of brain,Brain Diseases
50,Congenital anomaly of brain,Craniofacial Abnormalities
51,Burn injury,Fire Safety
52,Burn injury,Inhalation injury
53,Burn injury,First Aid
54,Cancer--Living with Cancer,Malignant Neoplasms
55,Cancer--Living with Cancer,Chemotherapy
56,Cancer--Living with Cancer,Coping with Chronic Illness
57,Cancer--Living with Cancer,Palliative Care
58,Carotid Artery Diseases,Vascular Diseases
59,Carotid Artery Diseases,Cerebrovascular accident
60,Carotid Artery Diseases,Atherosclerosis
61,Cataract,Disorder of eye
62,Cataract,Vision Impairment and Blindness
63,Cellulitis,Streptococcal Infections
64,Cellulitis,Staphylococcal Infections
65,Cellulitis,Bacterial Infections
66,Thoracic Injuries,Chest Pain
67,Thoracic Injuries,Pleural Diseases
68,Child Care,Family issues
69,Child Care,Caregiver
70,Childbirth,"Twins, Triplets, Multiple Births"
71,Childbirth,Health Problems in Pregnancy
72,Childbirth,Postnatal Care
73,Childbirth,Cesarean section
74,Childbirth,Childbirth Problems
75,Childbirth,Pregnancy
76,Child health care,Toddler Health
77,Child health care,Common Infant and Newborn Problems
78,Child health care,Child Dental Health
79,Child health care,Hearing Problems in Children
80,Child health care,School Health
81,Child health care,Uncommon Infant and Newborn Problems
82,Child health care,Child Nutritional Physiological Phenomena
83,Child health care,Teen Health
84,Child health care,safety of children
85,Child health care,Exercise for Children
86,Child health care,Medicines and Children
87,Child health care,Child Development
88,Child health care,Childhood Immunization
89,Choking,Foreign Bodies
90,Choking,First Aid
91,Choking,Tracheal Diseases
92,Cochlear implant procedure,Hearing Problems in Children
93,Cochlear implant procedure,Self-Help Devices
94,Cochlear implant procedure,Hearing Aids
95,Cochlear implant procedure,Hearing Disorders and Deafness
96,Colorectal Carcinoma,Colonic Diseases
97,Colorectal Carcinoma,Anal carcinoma
98,Colorectal Carcinoma,Intestinal Cancer
99,Colorectal Carcinoma,Rectal Diseases
100,Colorectal Carcinoma,Colonic Polyps
101,Colorectal Carcinoma,colonoscopy
102,Brain Concussion,Craniocerebral Trauma
103,Brain Concussion,Athletic Injuries
104,Brain Concussion,Brain Diseases
105,Brain Concussion,Traumatic Brain Injury
106,Congenital Heart Defects,Cardiomyopathies
107,Congenital Heart Defects,Heart Disease in Women
108,Congenital Heart Defects,Congenital defects
109,Congenital Heart Defects,Heart Diseases
