,CUI1,CUI2
0,Combined heavy particle therapy,Radioactivity
1,Intermediate distance curietherapy,Gamma Rays
2,Radiotherapy: permanent seeds NOS,Ionizing radiation
3,Afterloading cavity radiotherapy,Ionizing radiation
4,Electrolysis to lesion of skin NEC,Electricity
5,Strontium 90 brachytherapy,Ionizing radiation
6,Making of beam direction shell for radiotherapy,Radiation
7,Cobalt 60 therapy,Gamma Rays
8,Pulsed electromagnetic energy to lower limb,Electromagnetic Radiation
9,Microwave therapy to face,microwave electromagnetic radiation
10,Preparation of radiation therapy aid,Radiation
11,Percutaneous needle biopsy of nerve,Biopsy needle
12,Treatment planning for teletherapy,Radiation
13,Teleradiotherapy with radioactive cesium,Gamma Rays
14,S+P - Syringe and probe nasolacrimal duct,Probes
15,Punch biopsy (procedure),Keyes biopsy punch
16,Low speed rotational atherectomy,Atherectomy device
17,Total prosthetic replacement of hip joint using cement,Hip Joint Implantable Prostheses (device)
18,Central venous cannula insertion via umbilical vein,Vascular cannula
19,Fiberoptic esophagoscopy and snare resection,Endoscopes
20,Vascular cannula insertion,Vascular cannula
21,Endoscopic laser fragmentation of renal calculus,Endoscopes
22,Arthroscopy,Endoscopes
23,Endoscopy and brush biopsy,Endoscopes
24,Head artery endoscopy,Endoscopes
25,Nasal endoscopy with maxillary antrostomy,Endoscopes
26,"Functional endoscopic sinus surgery, total",Endoscopes
27,Fallopian tube endoscopy,Endoscopes
28,Catheterisation of right side of heart NEC,catheter device
29,Endoscopic trachea biopsy,Endoscopes
30,Arthroscopy of knee with medial and lateral meniscectomy,Endoscopes
31,Other urinary contrast radiography,Radiographic contrast media
32,Diagnostic endoscopic examination of larynx,Endoscopes
33,Swedish interactive thresholding algorithm automated static perimetry,Automated static perimeter
34,Radiofrequency destruction of lumbar sympathetic nerve,Radiofrequency controlled thermal probe
35,Radiotherapy for analgesia,Ionizing radiation
36,Cryotherapy of lesion of floor of mouth,Cryoprobe
37,Percutaneous transluminal mapping of conducting system of heart,Holter Monitors
38,Stereotactic radiosurgery of lesion of intracranial vasculature,Radiofrequency controlled thermal probe
39,Making of docking unit for radiotherapy,Devices
40,Suture of floor of mouth,Surgical sutures
41,Percutaneous endoscopic gastrostomy feeding,Feeding tube
42,Percutaneous high speed rotational coronary atherectomy,Angioplasty catheter
43,Revision to open reduction of fracture and external fixation,External Fixation Devices
44,Magnetic Resonance Imaging (MRI) of Ovary,Magnetic resonance imaging unit
45,MR proton spectroscopy of body,Magnetic resonance imaging unit
46,Provision of headband distance telescope,Eyeglasses
47,Non-endoscopic biopsy of gastrointestinal tract,Gastrointestinal biopsy device
48,Lacrimal syringing,Syringes
49,Ultrasonic endarterectomy,Atherectomy device
50,Nasojejunal feeding,Feeding tube
51,Primary closed wire fixation of fracture,Stainless steel wire suture
52,Electrocoagulation of duodenal lesion,Diathermy device
53,Low power laser therapy to upper limb,Laser-generated electromagnetic radiation
54,Postoperative course of deep X-ray therapy,"Radiation, Nonionizing"
55,Esophagoscopy for biopsy and collection of specimen by brushing or washing,Brush device
56,Ellestad protocol,Holter Monitors
57,Suture of larynx,Surgical sutures
58,Construction of canthorrhaphy with transposition of tarsal plate,Surgical sutures
59,Suture of joint capsule with arthroplasty of upper extremity,Surgical sutures
60,Insertion of graft of great vessels with cardiopulmonary bypass,Heart-Lung Machine
61,Fitting of prosthesis above knee,Leg Prosthesis (device)
62,Repair of endocardial cushion defect with prosthesis,Prosthesis
63,Fiberoptic bronchoscopy with biopsy of bronchus,Flexible fiberoptic endoscope
64,Positron-Emission Tomography,Positron emission tomography unit
65,Reduction of fracture of leg with internal fixation,Internal Fixators
66,Denver shunt patency test,Vascular device
67,Closure of skin by suture,Surgical sutures
68,Thrombectomy with catheter of celiac artery by abdominal incision,catheter device
69,Percutaneous transluminal angioplasty of femoral artery,Angioplasty catheter
70,Closure of defect of interatrial septum using prosthetic patch,Prosthetic patch
71,Primary closed reduction of fracture dislocation and external fixation,External Fixation Devices
72,Other specified extracorporeal shockwave lithotripsy of ureteric calculus,Shock wave lithotripter
