,CUI1,CUI2
0,"Fetishism, Psychiatric","Fetishism, Psychiatric"
1,Neurotic Disorders,Neurotic Disorders
2,Apathy,Apathy
3,Psychological pseudocyesis,Psychological pseudocyesis
4,Psychological pseudocyesis,Psychological pseudocyesis
5,Psychological pseudocyesis,Psychological pseudocyesis
6,hemiopia,Hemianopsia
7,Hypnoanalysis,Hypnotherapy
8,readaptation,Adaptation
9,Elavil,Amitriptyline
10,Valium,Diazepam
11,Tofranil,Imipramine
12,Xylocaine,Lidocaine
13,Quaalude,Methaqualone
14,Tobacco,Nicotine
15,Mellaril,Thioridazine
16,Stelazine,Trifluoperazine
17,Autism Spectrum Disorders,Pervasive Development Disorder
18,Certified Public Accountants,Accountant
19,manifestations of immunopathology,Immunology
20,Performing Arts,Arts
21,Abducens nerve structure,Abducens nerve structure
22,Aptitude,Ability
23,Talent,Ability
24,skill,Ability
25,"Assimilation, Cultural",Acculturation
26,"Assimilation, Cultural",Acculturation
27,Acetaldehyde,Acetaldehyde
28,Acetaldehyde,Acetaldehyde
29,Acetaldehyde,Acetaldehyde
30,Achievement,Achievement
31,Accomplishment,Achievement
32,Success,Achievement
33,Acoustic Nerve,Acoustic Nerve
34,Acoustic Nerve,Acoustic Nerve
35,"Reflex, Acoustic","Reflex, Acoustic"
36,"Reflex, Acoustic","Reflex, Acoustic"
37,Sound Waves,Acoustics
38,Acquired Immunodeficiency Syndrome,Acquired Immunodeficiency Syndrome
39,Pregnancy in Adolescence,Pregnancy in Adolescence
40,Adrenergic Receptor,Adrenergic Receptor
41,Adrenergic Receptor,Adrenergic Receptor
42,Adrenergic Receptor,Adrenergic Receptor
43,Living Wills,Advance Directives
44,Mood Disorders,Mood Disorders
45,Mood Disorders,Mood Disorders
46,sensory pathway,Afferent Pathways
47,Successive Contrast,Afterimage
48,Airplanes,Aircraft
49,Alcohol abuse,Alcohol abuse
50,Alcoholic Beverages,Alcoholic Beverages
51,"Alcoholic Intoxication, Chronic","Alcoholic Intoxication, Chronic"
52,Dyslexia,Alexia
53,Quinidine,Alkaloids
54,Rauwolfia,Alkaloids
55,homatropine,Alkaloids
56,Opiate Alkaloids,Alkaloids
57,Alopecia,Alopecia
58,Alopecia,Alopecia
59,Complementary Medicine,Alternative Medicine
60,Homeopathic Remedies,Alternative Medicine
61,Alzheimer's Disease,Alzheimer's Disease
62,Amantadine,Amantadine
63,Native Americans,American Indians
64,American Indians,American Indians
65,Chlorisondamine,Amines
66,Amytal,Amobarbital
67,Amobarbital Sodium,Amobarbital
68,Amphetamine,Amphetamine
69,benzedrine,Amphetamine
70,Amphetamine Sulfate,Amphetamine
71,Amygdaloid structure,Amygdaloid structure
72,Analysis of Variance,Analysis of Variance
73,Rage,Anger
74,"Mating Behavior, Animal","Mating Behavior, Animal"
75,Animal Copulation,"Mating Behavior, Animal"
76,"Mating Behavior, Animal","Mating Behavior, Animal"
77,"Vocalization, Animal","Vocalization, Animal"
78,Sense of smell altered,Anosmia
79,Asphyxia,Anoxia
80,Hypoxia,Anoxia
81,Asphyxia,Anoxia
82,Androgen Antagonists,Androgen Antagonists
83,Estrogen Antagonists,Estrogen Antagonists
84,Allergens,Antigens
85,Antigens,Antigens
86,Antisocial Personality Disorder,Antisocial Personality Disorder
87,Antisocial Personality Disorder,Antisocial Personality Disorder
88,Antisocial Personality Disorder,Antisocial Personality Disorder
89,Worried,Anxiety
90,apprehension,Anxiety
91,Anxiety,Anxiety
92,Anxiety,Anxiety
93,Anxiety neurosis (finding),Anxiety Disorders
94,Agrammatism,Aphasia
95,Auditory discrimination aphasia,Aphasia
96,Apomorphine hydrochloride,Apomorphine
97,Akinesia,Apraxias
98,Spiders,Arachnida (invertebrate)
99,arecoline hydrobromide,Arecoline
100,Firesetting Behavior,Arson
101,Products of the Arts,Products of the Arts
102,Rheumatism,Arthritis
103,Articulation Disorders,Articulation Disorders
104,Artificial cardiac pacemaker,Artificial cardiac pacemaker
105,Ascorbic Acid,Ascorbic Acid
106,Asian Americans,Asians
107,ambition,Aspirations (Psychology)
108,Aspirin,Aspirin
109,Cerebellar Dysmetria,Ataxia
110,Atropine,Atropine
111,methylatropine,Atropine
112,Suicide attempt,Suicide attempt
113,Parasuicide,Suicide attempt
114,Attention deficit hyperactivity disorder,Attention deficit hyperactivity disorder
115,Nonreligious Beliefs,Attitude
116,Opinions,Attitude
117,"Audiometry, Bekesy",Audiometry
118,Auditory area,Auditory area
119,Sound Localization,Sound Localization
120,Sound Localization,Sound Localization
121,Hearing,Auditory Perception
122,Listening,Auditory Perception
123,Sound - physical agent,Acoustic Stimulation
124,Noise,Acoustic Stimulation
125,Acoustic Stimuli,Acoustic Stimulation
126,Domination,Authoritarianism
127,Celiac Plexus,Autonomic ganglion
128,Hypogastric Plexus,Autonomic ganglion
129,Myenteric Plexus,Autonomic ganglion
130,"Autonomic Fibers, Postganglionic",Autonomic ganglion
131,"Autonomic Fibers, Preganglionic",Autonomic ganglion
132,Structure of stellate ganglion,Autonomic ganglion
133,Submucous Plexus,Autonomic ganglion
134,Pressoreceptors,Pressoreceptors
135,Corpus striatum structure,Basal Ganglia
136,Ventral Striatum,Basal Ganglia
137,Chiroptera,Chiroptera
138,Therapeutic Equivalency,Biological Availability
139,"Ethics, Medical",Bioethics
140,Biochemical Marker,Biological Markers
141,"Markers, Clinical",Biological Markers
142,Bipolar Disorder,Bipolar Disorder
143,Bipolar Disorder,Bipolar Disorder
144,Bipolar Disorder,Bipolar Disorder
145,Bipolar Disorder,Bipolar Disorder
146,Fowl (bird),Aves
147,Childbirth,Birth
148,Birth,Birth
149,Contraceptive methods,Contraceptive methods
150,Population Control,Contraceptive methods
151,Birth Injuries,Birth Injuries
152,Low Birth Weights,Birth Weight
153,African American,Black race
154,Black race,Black race
155,Blood Circulation,Blood Circulation
156,Blood coagulation,Blood coagulation
157,Plasma,Plasma
158,Blood Platelets,Blood Platelets
159,Blood Glucose,Blood Glucose
160,Blood Transfusion,Blood Transfusion
161,Body Height,Body Height
162,Kinesics,Body Language
163,Body Rocking,Body Rocking
164,Body Temperature,Body Temperature
165,Body Weight,Body Weight
166,Brain Concussion,Brain Concussion
167,Brainwashing,Brainwashing
168,Mammary Neoplasms,Mammary Neoplasms
169,"Psychotherapy, Brief","Psychotherapy, Brief"
170,"Psychotherapy, Brief","Psychotherapy, Brief"
171,lithium bromide,Bromides
172,Bruxism,Bruxism
173,Commerce,business career
174,Industry,business career
175,Manufacture,business career
176,nabilone,Cannabinoids
177,Cannabis,Cannabis
178,Capital Punishment,Capital Punishment
179,Capital Punishment,Capital Punishment
180,Carboxyhemoglobinemia,Carbon Monoxide Poisoning
181,Family Caregivers,Caregiver
182,Brain Monoamines,Catecholamines
183,Abreaction,Catharsis
184,Cattle,Cattle
185,Cattle,Cattle
186,Cerebellar cortex structure,Cerebellum
187,Cerebellar Nuclei,Cerebellum
188,Structure of cerebellopontine angle,Cerebellum
189,Cerebral cortex,Cerebral cortex
190,Cerebral aqueduct,Cerebral Ventricles
191,Structure of choroid plexus,Cerebral Ventricles
192,Ependyma,Cerebral Ventricles
193,Cerebral Ventricles,Cerebral Ventricles
194,Cerebrospinal Fluid,Cerebrospinal Fluid
195,Cerebrovascular Disorders,Cerebrovascular Disorders
196,child abuse behavior,child abuse behavior
197,Babysitter,Child Care
198,Child Psychiatric Clinics,Child Guidance Clinics
199,Librium,Chlordiazepoxide
200,Clomipramine,Clomipramine
201,Thorazine,Chlorpromazine
202,Cholecystokinin,Cholecystokinin
203,Choline Chloride,Choline
204,Cholinergic Receptors,Cholinergic Receptors
205,Cholinergic Receptors,Cholinergic Receptors
206,Muscarinic Acetylcholine Receptor,Cholinergic Receptors
207,Nicotinic Receptors,Cholinergic Receptors
208,Cholinergic Receptors,Cholinergic Receptors
209,Cholinesterase Inhibitors,Cholinesterase Inhibitors
210,Ritual female circumcision (procedure),Male Circumcision
211,"Conditioning, Classical","Conditioning, Classical"
212,"Conditioning, Classical","Conditioning, Classical"
213,Respondent Conditioning,"Conditioning, Classical"
214,Nondirective Therapy,Nondirective Therapy
215,Nondirective Therapy,Nondirective Therapy
216,Person-Centered Psychotherapy,Nondirective Therapy
217,Counselee,Clients
218,statistical cluster,statistical cluster
219,Organ of Corti structure,Cochlear structure
220,Codeine,Codeine
221,Codeine sulfate,Codeine
222,Cognitive Dissonance,Cognitive Dissonance
223,Spectral Sensitivity,Color Perception
224,Information Exchange,Communication
225,Communism,Communism
226,Rural Development,community development
227,Urban Development,community development
228,Community Mental Health Centers,Community Mental Health Centers
